<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	0.94942	0.95372	0.94558	0.95303	54444	103197	6
2015.01.05	0.95074	0.95768	0.94890	0.95069	72361	136151	10
2015.01.06	0.95048	0.95959	0.95024	0.95671	79228	156462	9
2015.01.07	0.95664	0.95843	0.95124	0.95434	76933	137414	9
2015.01.08	0.95434	0.96127	0.95366	0.96098	64222	124095	1
2015.01.09	0.96094	0.97419	0.95849	0.97309	70651	153135	1
2015.01.12	0.97378	0.97741	0.96769	0.97647	73337	150890	9
2015.01.13	0.97641	0.97944	0.97149	0.97628	82132	174644	6
2015.01.14	0.97589	0.97854	0.96809	0.97369	100424	206863	5
2015.01.15	0.97364	0.98494	0.97153	0.98209	131115	232490	4
2015.01.16	0.98200	0.98875	0.97834	0.98508	106483	171048	5
2015.01.19	0.98431	0.98629	0.97963	0.98005	67072	119947	5
2015.01.20	0.97984	0.99045	0.97734	0.98965	78165	145555	7
2015.01.21	0.98930	1.00839	0.98723	0.99740	102683	172278	8
2015.01.22	0.99718	1.00453	0.99218	0.99362	112658	205205	4
2015.01.23	0.99349	0.99568	0.97957	0.98224	108013	202697	4
2015.01.26	0.98048	0.98903	0.97848	0.98832	80633	169083	4
2015.01.27	0.98822	0.99301	0.98174	0.98387	85445	170601	6
2015.01.28	0.98389	0.99634	0.97999	0.98873	99236	186770	8
2015.01.29	0.98864	0.99003	0.97494	0.97913	97754	186151	5
2015.01.30	0.97913	0.99069	0.97858	0.98796	98830	190146	7
2015.02.02	0.98478	0.99649	0.98008	0.98013	90318	180890	7
2015.02.03	0.98013	0.98469	0.95883	0.96708	126873	217708	4
2015.02.04	0.96708	0.97870	0.96448	0.97459	111440	210457	4
2015.02.05	0.97459	0.97944	0.96783	0.96943	90971	175624	6
2015.02.06	0.96935	0.97959	0.96595	0.97572	90639	188548	4
2015.02.09	0.97299	0.97762	0.96989	0.97256	70432	116822	7
2015.02.10	0.97234	0.98034	0.96927	0.97789	75013	115700	5
2015.02.11	0.97781	0.98023	0.97278	0.97458	70964	112035	6
2015.02.12	0.97428	0.97542	0.95914	0.96728	82114	148940	6
2015.02.13	0.96737	0.97325	0.96446	0.96750	76803	132531	7
2015.02.16	0.96714	0.97049	0.96554	0.96868	64201	95035	8
2015.02.17	0.96869	0.97173	0.96533	0.96837	73003	109950	9
2015.02.18	0.96828	0.97283	0.96695	0.97249	71449	112051	8
2015.02.19	0.97249	0.97682	0.96854	0.97340	70026	106825	8
2015.02.20	0.97340	0.98396	0.97237	0.98219	73635	119449	6
2015.02.23	0.98318	0.98465	0.97901	0.98060	59001	103586	8
2015.02.24	0.98058	0.98570	0.97748	0.97758	78377	124808	6
2015.02.25	0.97758	0.98369	0.97713	0.98064	76868	119413	4
2015.02.26	0.98057	0.98397	0.97462	0.97601	84498	121972	9
2015.02.27	0.97599	0.97873	0.97272	0.97669	72474	104975	5
2015.03.02	0.97588	0.97704	0.97048	0.97313	57232	89743	9
2015.03.03	0.97313	0.98129	0.97199	0.97653	77077	98221	7
2015.03.04	0.97654	0.98278	0.96987	0.97105	71927	95689	4
2015.03.05	0.97104	0.97394	0.96827	0.97153	72172	92707	7
2015.03.06	0.97154	0.97877	0.97089	0.97354	73619	97887	5
2015.03.09	0.97219	0.97472	0.96969	0.97056	66615	84406	7
2015.03.10	0.97039	0.97128	0.96265	0.96718	102872	137655	4
2015.03.11	0.96718	0.96890	0.96318	0.96792	101501	142906	7
2015.03.12	0.96778	0.97932	0.96649	0.97748	105698	144913	4
2015.03.13	0.97749	0.97891	0.97338	0.97598	94606	126955	5
2015.03.16	0.97459	0.98067	0.97413	0.97555	72086	98255	8
2015.03.17	0.97549	0.97896	0.97124	0.97397	74034	104553	7
2015.03.18	0.97389	0.98061	0.97197	0.97663	90609	127492	5
2015.03.19	0.97571	0.97771	0.96976	0.97238	112345	159897	4
2015.03.20	0.97198	0.97949	0.97153	0.97514	84009	126392	5
2015.03.23	0.97650	0.98719	0.97650	0.98668	100422	143833	7
2015.03.24	0.98668	0.98814	0.98113	0.98381	99908	136224	6
2015.03.25	0.98372	0.98726	0.98063	0.98188	87749	117647	8
2015.03.26	0.98169	0.98261	0.97438	0.97698	101103	140942	5
2015.03.27	0.97678	0.97933	0.97129	0.97701	87732	121621	6
2015.03.30	0.97454	0.97669	0.96787	0.96989	77232	110631	8
2015.03.31	0.96991	0.97183	0.96313	0.96472	86612	119805	4
2015.04.01	0.96481	0.97032	0.95803	0.95895	92345	136850	4
2015.04.02	0.95882	0.95974	0.95130	0.95304	80628	107071	1
2015.04.03	0.95304	0.96286	0.95099	0.95131	49025	66985	9
2015.04.06	0.95071	0.95439	0.94681	0.94709	47026	67540	11
2015.04.07	0.94694	0.96079	0.94543	0.95429	80770	113697	7
2015.04.08	0.95429	0.96615	0.95399	0.96385	82448	115965	7
