<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	0.75896	0.76374	0.75846	0.76045	55523	74646	5
2018.01.03	0.76040	0.76711	0.75891	0.76520	55256	74632	4
2018.01.04	0.76525	0.76749	0.76326	0.76553	53651	71097	5
2018.01.05	0.76536	0.76793	0.76420	0.76610	54733	72668	5
2018.01.08	0.76640	0.76730	0.76418	0.76600	45908	61477	6
2018.01.09	0.76569	0.76974	0.76554	0.76854	55784	74490	4
2018.01.10	0.76859	0.77010	0.76505	0.76700	73989	96806	5
2018.01.11	0.76704	0.77286	0.76651	0.76990	70974	92581	4
2018.01.12	0.76995	0.77039	0.76299	0.76525	80224	106563	7
2018.01.15	0.76486	0.76876	0.76359	0.76675	67657	89026	5
2018.01.16	0.76680	0.76827	0.76272	0.76344	72366	99417	1
2018.01.17	0.76341	0.77041	0.76155	0.76924	91340	121259	3
2018.01.18	0.76918	0.77085	0.76577	0.76671	80410	106293	6
2018.01.19	0.76679	0.77019	0.76522	0.76891	77583	104353	4
2018.01.22	0.76855	0.77143	0.76766	0.77080	60567	79893	4
2018.01.23	0.77075	0.77145	0.76446	0.76580	72190	95459	6
2018.01.24	0.76585	0.76792	0.76115	0.76120	82630	106093	4
2018.01.25	0.76121	0.76435	0.75058	0.75477	117361	152435	5
2018.01.26	0.75369	0.75950	0.75369	0.75714	97251	128666	5
2018.01.29	0.75610	0.75914	0.75503	0.75850	82309	110043	4
2018.01.30	0.75849	0.75948	0.75362	0.75495	86316	114958	4
2018.01.31	0.75545	0.75765	0.74907	0.74977	95830	126617	4
2018.02.01	0.74969	0.75102	0.74304	0.74430	90852	121671	4
2018.02.02	0.74445	0.74490	0.73692	0.73715	93719	126446	5
2018.02.05	0.73771	0.74420	0.73281	0.73360	96321	125794	5
2018.02.06	0.73355	0.74045	0.73009	0.73985	135778	176573	4
2018.02.07	0.73995	0.74215	0.73498	0.73832	88838	117518	4
2018.02.08	0.73765	0.73983	0.72786	0.72815	109455	143341	4
2018.02.09	0.72810	0.73533	0.72659	0.73316	99335	129856	5
2018.02.12	0.73311	0.73847	0.73217	0.73790	71444	94746	6
2018.02.13	0.73789	0.73987	0.73149	0.73423	70834	94389	7
2018.02.14	0.73417	0.73744	0.72753	0.73613	90845	119928	4
2018.02.15	0.73611	0.73758	0.72890	0.73239	85324	113016	5
2018.02.16	0.73224	0.73521	0.73154	0.73312	75625	99290	7
2018.02.19	0.73326	0.73631	0.73276	0.73489	47773	62620	4
