<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	87.860	88.409	87.632	87.890	62186	95452	1
2018.01.03	87.882	88.231	87.693	88.140	63329	101199	1
2018.01.04	88.142	88.705	88.078	88.641	67284	106089	1
2018.01.05	88.641	89.087	88.440	88.864	63688	101851	1
2018.01.08	88.932	89.073	88.474	88.665	51365	83751	1
2018.01.09	88.665	88.846	87.865	88.120	78907	123862	1
2018.01.10	88.115	88.162	87.210	87.377	92611	147307	1
2018.01.11	87.377	88.087	87.282	87.795	86479	143690	1
2018.01.12	87.788	87.937	87.392	87.849	88784	144682	1
2018.01.15	87.770	88.166	87.669	88.016	80460	127293	1
2018.01.16	88.018	88.415	87.720	87.883	86522	140568	1
2018.01.17	87.880	88.998	87.832	88.675	99924	154924	1
2018.01.18	88.659	88.983	88.400	88.859	93917	152449	1
2018.01.19	88.858	89.020	88.371	88.548	88866	147076	1
2018.01.22	88.421	88.992	88.378	88.914	72335	123028	1
2018.01.23	88.903	89.067	87.910	88.230	87873	149051	1
2018.01.24	88.227	88.425	87.874	88.035	102539	166812	1
2018.01.25	88.026	88.335	87.705	87.773	128180	193411	1
2018.01.26	87.743	88.497	87.743	88.051	118883	192497	1
2018.01.29	88.057	88.333	87.925	88.168	98136	161216	1
2018.01.30	88.166	88.305	87.462	87.891	102923	178757	1
2018.01.31	87.887	88.492	87.640	87.946	109914	191236	1
2018.02.01	87.938	88.127	87.490	87.936	105930	176655	1
2018.02.02	87.943	88.001	87.225	87.237	116427	192430	1
2018.02.05	87.211	87.510	85.893	85.908	129111	298926	1
2018.02.06	85.918	86.667	84.989	86.602	186313	344743	1
2018.02.07	86.602	86.728	85.417	85.499	123050	203371	1
2018.02.08	85.502	85.985	84.520	84.593	145669	252057	1
2018.02.09	84.590	85.443	84.009	84.996	156272	260080	1
2018.02.12	85.054	85.435	84.755	85.394	96238	150905	1
2018.02.13	85.392	85.596	84.285	84.740	99011	171460	1
2018.02.14	84.735	84.894	83.319	84.802	118621	189882	1
2018.02.15	84.799	84.818	83.869	84.291	113333	191957	1
2018.02.16	84.295	84.663	83.906	84.016	100195	160550	1
2018.02.19	84.062	84.505	84.002	84.336	60579	111808	1
2018.02.20	84.327	84.810	84.208	84.595	85516	147757	1
2018.02.21	84.590	84.861	83.991	84.103	97179	158490	1
2018.02.22	84.106	84.106	83.517	83.753	90190	150363	1
2018.02.23	83.756	83.854	83.272	83.800	73886	123510	1
2018.02.26	84.019	84.126	83.601	83.972	77646	129179	1
2018.02.27	83.967	84.163	83.578	83.596	86566	141345	1
2018.02.28	83.591	83.810	82.784	82.791	89603	153557	1
2018.03.01	82.793	83.176	82.125	82.373	115562	198530	1
2018.03.02	82.368	82.605	81.561	82.052	108516	175356	1
2018.03.05	81.897	82.491	81.487	82.464	95622	159142	1
2018.03.06	82.464	83.322	82.171	83.075	94365	158239	1
2018.03.07	83.077	83.080	82.012	82.991	109366	173630	1
2018.03.08	82.991	83.170	82.497	82.700	85983	147834	1
2018.03.09	82.693	83.901	82.630	83.798	86791	139586	1
2018.03.12	83.670	84.101	83.667	83.771	68225	115028	1
2018.03.13	83.766	84.524	83.543	83.759	87449	134122	1
2018.03.14	83.753	84.258	83.482	83.748	87798	133822	1
2018.03.15	83.740	83.767	82.700	82.916	82638	129037	1
2018.03.16	82.917	82.955	81.708	81.709	77028	125179	1
2018.03.19	81.734	82.007	81.255	81.875	81701	134074	1
2018.03.20	81.872	82.195	81.606	81.846	77462	124783	1
2018.03.21	81.846	82.576	81.471	82.349	83334	137746	1
2018.03.22	82.348	82.432	80.973	80.987	115767	185420	1
2018.03.23	80.987	81.461	80.498	80.588	130424	199572	1
2018.03.26	80.603	81.724	80.551	81.640	90460	138730	1
2018.03.27	81.632	81.893	80.861	80.884	98323	165378	1
2018.03.28	80.884	81.963	80.754	81.833	116536	202259	1
2018.03.29	81.821	81.919	81.467	81.690	92771	168387	1
2018.03.30	81.692	81.848	81.477	81.589	108815	151525	4
2018.04.02	81.647	81.801	80.827	81.113	69228	102138	1
2018.04.03	81.115	81.992	80.932	81.916	95030	153744	1
2018.04.04	81.900	82.459	81.251	82.384	104234	174114	1
2018.04.05	82.374	82.646	82.125	82.494	87390	153907	1
2018.04.06	82.495	82.580	81.900	82.010	110277	174592	1
2018.04.09	82.108	82.581	81.966	82.141	81838	130263	1
2018.04.10	82.148	83.374	82.066	83.188	99531	150591	1
2018.04.11	83.182	83.282	82.669	82.774	81488	122764	1
2018.04.12	82.762	83.311	82.700	83.214	74810	106907	1
2018.04.13	83.211	84.074	83.136	83.305	73273	102181	1
2018.04.16	83.480	83.650	83.105	83.312	63224	89213	1
2018.04.17	83.312	83.383	83.057	83.081	63548	90927	1
2018.04.18	83.081	83.572	83.047	83.460	65488	92801	1
2018.04.19	83.460	83.945	82.859	82.976	79973	111899	1
2018.04.20	82.975	83.153	82.426	82.536	74681	106768	1
2018.04.23	82.678	82.818	82.502	82.653	74657	106180	1
2018.04.24	82.652	83.092	82.487	82.735	84645	125309	1
2018.04.25	82.731	82.799	82.452	82.769	83403	124001	1
2018.04.26	82.771	82.911	82.526	82.561	82984	132000	1
2018.04.27	82.558	82.710	82.374	82.670	72017	102506	1
2018.04.30	82.623	82.722	82.231	82.319	62694	89706	1
2018.05.01	82.308	82.532	82.034	82.278	70698	101463	1
2018.05.02	82.277	82.651	82.075	82.296	90400	127442	1
2018.05.03	82.299	82.576	81.750	82.239	90821	126122	1
2018.05.04	82.234	82.461	81.671	82.219	77614	110001	1
2018.05.07	82.276	82.291	81.822	81.973	67844	92325	1
2018.05.08	81.944	82.014	81.138	81.333	82440	115075	1
2018.05.09	81.334	82.004	81.133	81.846	79650	114202	1
2018.05.10	81.847	82.464	81.732	82.382	90464	130275	1
2018.05.11	82.381	82.671	82.236	82.465	78043	113930	1
2018.05.14	82.441	82.788	82.409	82.498	59943	82035	1
2018.05.15	82.493	82.704	82.192	82.438	91413	135711	1
2018.05.16	82.446	82.972	82.176	82.965	90647	140166	1
2018.05.17	82.963	83.376	82.841	83.185	87011	135014	1
2018.05.18	83.187	83.430	83.048	83.140	81013	128843	1
2018.05.21	83.382	84.218	83.308	84.178	68409	104393	1
2018.05.22	84.158	84.477	83.979	83.996	80168	126145	1
2018.05.23	83.990	84.044	82.483	83.199	110144	168537	1
2018.05.24	83.200	83.329	82.380	82.758	105384	165658	1
2018.05.25	82.755	83.163	82.407	82.546	92313	138076	1
2018.05.28	82.955	83.068	82.428	82.543	77477	113595	1
2018.05.29	82.544	82.608	81.097	81.627	126092	190526	1
2018.05.30	81.622	82.608	81.026	82.456	118743	178835	1
2018.05.31	82.397	82.667	81.993	82.342	112192	167955	1
2018.06.01	82.342	82.938	82.204	82.847	97605	149817	1
2018.06.04	82.757	84.019	82.756	83.943	75712	116302	1
2018.06.05	83.940	84.182	83.340	83.613	90676	142597	1
2018.06.06	83.607	84.498	83.567	84.479	84062	134816	1
2018.06.07	84.477	84.535	83.394	83.597	92450	145689	1
2018.06.08	83.597	83.778	82.586	83.225	91277	138195	1
2018.06.11	82.935	83.809	82.929	83.699	66438	105121	1
2018.06.12	83.695	84.157	83.515	83.549	86387	132013	1
2018.06.13	83.537	83.988	83.442	83.607	76079	112754	1
2018.06.14	83.600	83.644	82.688	82.721	85712	129571	1
2018.06.15	82.711	82.844	82.271	82.308	84899	122815	1
2018.06.18	82.353	82.415	81.890	82.055	59802	91768	1
2018.06.19	82.045	82.081	80.628	81.208	107498	158831	1
2018.06.20	81.185	81.662	80.988	81.304	86627	131490	1
2018.06.21	81.299	81.647	81.070	81.125	104131	184864	1
2018.06.22	81.114	81.932	81.001	81.803	93657	154222	1
2018.06.25	81.692	81.857	80.984	81.370	96046	149189	1
2018.06.26	81.352	81.456	80.966	81.346	98367	160745	1
2018.06.27	81.345	81.639	80.751	80.910	115057	200887	1
2018.06.28	80.907	81.299	80.691	81.186	105940	179356	1
2018.06.29	81.191	82.042	81.045	81.926	105778	167449	1
2018.07.02	81.895	82.109	80.982	81.361	88492	136198	1
2018.07.03	81.362	82.075	81.030	81.651	93720	150682	1
2018.07.04	81.651	81.969	81.434	81.528	85797	127824	1
2018.07.05	81.513	81.932	81.272	81.709	96202	150354	1
2018.07.06	81.705	82.260	81.589	82.048	87613	136624	1
2018.07.09	82.038	82.802	82.019	82.752	72206	117412	1
2018.07.10	82.743	83.159	82.647	82.762	78062	124825	1
2018.07.11	82.753	82.782	82.068	82.489	118739	195539	1
2018.07.12	82.487	83.405	82.385	83.355	89960	141943	1
2018.07.13	83.353	83.604	82.992	83.368	80268	124287	1
2018.07.16	83.249	83.686	83.222	83.277	73432	127269	1
