<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.09819	1.10238	1.09471	1.10160	101243	149545	4
2018.01.03	1.10106	1.10531	1.10072	1.10443	110457	167409	4
2018.01.04	1.10449	1.10504	1.09790	1.09870	106933	159673	1
2018.01.05	1.09869	1.09941	1.09449	1.09639	103767	153259	4
2018.01.08	1.09705	1.09777	1.09109	1.09216	96415	144969	3
2018.01.09	1.09227	1.09595	1.08879	1.09226	113976	171161	4
2018.01.10	1.09226	1.09457	1.08698	1.08914	130843	196849	1
2018.01.11	1.08918	1.09547	1.08664	1.08667	126747	190261	1
2018.01.12	1.08668	1.09140	1.08395	1.09095	125368	185011	4
2018.01.15	1.09111	1.09412	1.08969	1.09070	117093	171084	4
2018.01.16	1.09070	1.09547	1.09016	1.09474	108221	168996	4
2018.01.17	1.09468	1.10016	1.09392	1.09524	133968	210657	4
2018.01.18	1.09526	1.09854	1.09218	1.09507	130042	201967	4
2018.01.19	1.09522	1.10005	1.09505	1.09764	125282	204266	4
2018.01.22	1.09757	1.09926	1.09378	1.09378	101547	157726	4
2018.01.23	1.09378	1.09449	1.08557	1.08700	121125	187386	4
2018.01.24	1.08723	1.09966	1.08606	1.09857	131163	200843	4
2018.01.25	1.09850	1.09942	1.09342	1.09544	165578	244502	3
2018.01.26	1.09467	1.10382	1.09446	1.10147	146619	219919	4
2018.01.29	1.10306	1.10723	1.10173	1.10481	128260	196299	5
2018.01.30	1.10479	1.10587	1.10092	1.10215	135880	201841	1
2018.01.31	1.10219	1.10388	1.09191	1.09354	160060	230599	1
2018.02.01	1.09341	1.09417	1.08492	1.08638	150369	220520	3
2018.02.02	1.08628	1.08766	1.08428	1.08464	152847	223232	4
2018.02.05	1.08530	1.08807	1.08333	1.08378	151706	218964	4
2018.02.06	1.08427	1.08495	1.07446	1.07634	196181	282771	1
2018.02.07	1.07628	1.08474	1.07472	1.08000	143506	208923	1
2018.02.08	1.08002	1.08932	1.07568	1.07754	166692	232342	1
2018.02.09	1.07757	1.08067	1.07468	1.07672	158840	224610	1
2018.02.12	1.07876	1.08316	1.07693	1.08174	120739	178639	4
2018.02.13	1.08193	1.08393	1.07612	1.07988	124480	189483	4
2018.02.14	1.07976	1.08073	1.07145	1.07507	154931	228319	4
2018.02.15	1.07515	1.07697	1.07041	1.07210	142095	212813	4
