<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	0.78043	0.78444	0.77910	0.78287	45193	82449	2
2018.01.03	0.78274	0.78445	0.78049	0.78337	44685	82499	1
2018.01.04	0.78342	0.78661	0.78140	0.78621	45847	86831	3
2018.01.05	0.78619	0.78744	0.78347	0.78629	45826	88138	1
2018.01.08	0.78613	0.78722	0.78267	0.78401	35816	67504	2
2018.01.09	0.78401	0.78643	0.78072	0.78228	43872	79963	1
2018.01.10	0.78229	0.78671	0.78080	0.78413	57894	106397	1
2018.01.11	0.78411	0.78943	0.78364	0.78911	56237	115245	1
2018.01.12	0.78911	0.79240	0.78479	0.79128	61296	120893	2
2018.01.15	0.79023	0.79784	0.79023	0.79632	56265	107506	2
2018.01.16	0.79625	0.79744	0.79366	0.79591	54045	108933	1
2018.01.17	0.79591	0.80224	0.79401	0.79692	68227	129613	1
2018.01.18	0.79683	0.80065	0.79414	0.79976	63288	120086	1
2018.01.19	0.79976	0.80384	0.79816	0.79898	61467	122368	2
2018.01.22	0.79990	0.80268	0.79786	0.80158	45868	92361	1
2018.01.23	0.80156	0.80295	0.79563	0.79992	58717	113560	2
2018.01.24	0.79981	0.80825	0.79930	0.80615	65374	130890	2
2018.01.25	0.80610	0.81186	0.80111	0.80212	90885	165975	1
2018.01.26	0.80209	0.81355	0.80043	0.81101	80472	153368	1
2018.01.29	0.81016	0.81177	0.80737	0.80928	65691	125536	2
2018.01.30	0.80928	0.81132	0.80423	0.80808	65233	129284	1
2018.01.31	0.80808	0.81167	0.80347	0.80541	78073	146078	1
2018.02.01	0.80546	0.80670	0.79871	0.80385	73805	147813	2
2018.02.02	0.80383	0.80438	0.79175	0.79221	83887	164399	3
2018.02.05	0.79134	0.79535	0.78748	0.78766	83530	184482	1
2018.02.06	0.78764	0.79098	0.78351	0.79049	115470	272424	1
2018.02.07	0.79045	0.79084	0.78164	0.78212	74302	154637	2
2018.02.08	0.78214	0.78432	0.77755	0.77793	95116	192824	1
2018.02.09	0.77792	0.78297	0.77588	0.78117	92638	188835	1
2018.02.12	0.78122	0.78631	0.78091	0.78614	60273	122629	2
2018.02.13	0.78614	0.78761	0.78277	0.78587	61086	131197	2
2018.02.14	0.78581	0.79339	0.77727	0.79250	87058	180585	2
2018.02.15	0.79248	0.79661	0.78916	0.79446	81161	175114	2
2018.02.16	0.79451	0.79882	0.78921	0.79029	72089	157711	1
2018.02.19	0.79058	0.79349	0.78979	0.79121	52791	108445	3
2018.02.20	0.79110	0.79332	0.78737	0.78825	70250	155870	2
2018.02.21	0.78821	0.79019	0.78026	0.78034	78141	170189	3
2018.02.22	0.78026	0.78596	0.77901	0.78452	64215	135173	2
2018.02.23	0.78448	0.78469	0.78039	0.78417	56387	117197	2
2018.02.26	0.78377	0.78931	0.78253	0.78540	53852	107752	2
2018.02.27	0.78538	0.78681	0.77829	0.77885	68065	151598	2
2018.02.28	0.77880	0.78187	0.77600	0.77610	62809	133845	2
2018.03.01	0.77609	0.77691	0.77124	0.77534	87383	182295	2
2018.03.02	0.77534	0.77733	0.77372	0.77613	75132	153805	1
2018.03.05	0.77614	0.77698	0.77253	0.77646	63030	127203	2
2018.03.06	0.77636	0.78420	0.77560	0.78278	67552	140054	1
2018.03.07	0.78266	0.78297	0.77716	0.78237	72482	150025	1
2018.03.08	0.78227	0.78384	0.77725	0.77859	63659	128605	2
2018.03.09	0.77859	0.78536	0.77761	0.78438	59792	122375	2
2018.03.12	0.78474	0.78794	0.78456	0.78719	46123	98199	2
2018.03.13	0.78716	0.78972	0.78455	0.78592	60554	134841	2
2018.03.14	0.78585	0.79160	0.78509	0.78762	56858	119245	1
2018.03.15	0.78753	0.78850	0.77940	0.77975	54039	111613	2
2018.03.16	0.77963	0.78037	0.77091	0.77091	50928	106312	2
2018.03.19	0.77172	0.77255	0.76863	0.77170	54990	109819	1
2018.03.20	0.77166	0.77207	0.76786	0.76825	52537	102417	2
2018.03.21	0.76818	0.77795	0.76719	0.77647	65409	127771	3
2018.03.22	0.77645	0.77850	0.76867	0.76921	72321	142158	2
2018.03.23	0.76919	0.77437	0.76870	0.76961	73139	145633	3
2018.03.26	0.77021	0.77500	0.76946	0.77452	51212	99078	2
2018.03.27	0.77450	0.77574	0.76748	0.76777	57184	112171	2
2018.03.28	0.76779	0.77021	0.76531	0.76615	68689	137777	2
2018.03.29	0.76604	0.76893	0.76425	0.76766	52747	98972	3
2018.03.30	0.76761	0.77061	0.76722	0.76789	88944	123987	3
2018.04.02	0.76855	0.76947	0.76492	0.76600	36703	63425	3
2018.04.03	0.76603	0.77065	0.76516	0.76834	54858	109913	2
2018.04.04	0.76820	0.77211	0.76625	0.77153	59667	112688	2
2018.04.05	0.77135	0.77260	0.76737	0.76816	50997	93584	1
2018.04.06	0.76808	0.76993	0.76573	0.76711	62672	117697	2
2018.04.09	0.76788	0.77108	0.76517	0.76940	48336	94619	2
2018.04.10	0.76943	0.77675	0.76934	0.77600	56278	107339	2
2018.04.11	0.77584	0.77726	0.77393	0.77502	49669	95050	1
2018.04.12	0.77505	0.77712	0.77377	0.77536	46375	82945	3
2018.04.13	0.77526	0.78096	0.77503	0.77600	45860	76376	1
2018.04.16	0.77688	0.77830	0.77519	0.77775	37677	62166	2
2018.04.17	0.77783	0.77909	0.77597	0.77635	42459	80204	3
2018.04.18	0.77623	0.77974	0.77440	0.77825	41887	71102	1
2018.04.19	0.77812	0.78124	0.77187	0.77282	55373	100675	3
2018.04.20	0.77272	0.77312	0.76549	0.76688	49399	89079	2
2018.04.23	0.76699	0.76824	0.75994	0.76040	49762	85481	2
2018.04.24	0.76040	0.76206	0.75781	0.76034	58264	104638	2
2018.04.25	0.76029	0.76058	0.75518	0.75639	54665	99645	1
2018.04.26	0.75640	0.75886	0.75466	0.75533	62711	117767	2
2018.04.27	0.75533	0.75835	0.75317	0.75809	54449	100195	1
2018.04.30	0.75751	0.75818	0.75249	0.75277	51019	87950	1
2018.05.01	0.75275	0.75461	0.74723	0.74886	55508	100229	2
2018.05.02	0.74881	0.75369	0.74751	0.74918	76417	136643	2
2018.05.03	0.74918	0.75425	0.74850	0.75310	76554	144805	3
2018.05.04	0.75303	0.75602	0.74922	0.75370	61811	111916	2
2018.05.07	0.75404	0.75428	0.74928	0.75134	52379	96947	2
2018.05.08	0.75125	0.75277	0.74333	0.74526	66831	123982	3
2018.05.09	0.74507	0.74722	0.74120	0.74564	62469	111966	1
2018.05.10	0.74564	0.75394	0.74496	0.75301	75928	139056	2
2018.05.11	0.75288	0.75667	0.75223	0.75393	61742	118682	1
2018.05.14	0.75398	0.75646	0.75223	0.75224	52015	89237	4
2018.05.15	0.75215	0.75371	0.74477	0.74700	69250	125272	2
2018.05.16	0.74708	0.75227	0.74468	0.75150	66651	120439	2
2018.05.17	0.75149	0.75471	0.74975	0.75101	65397	129840	1
2018.05.18	0.75078	0.75278	0.74882	0.75064	58160	112369	1
2018.05.21	0.75200	0.75866	0.75027	0.75797	55468	103871	1
2018.05.22	0.75783	0.76053	0.75661	0.75743	59634	111720	1
2018.05.23	0.75737	0.75823	0.75223	0.75575	77458	141485	1
2018.05.24	0.75578	0.75823	0.75418	0.75744	74858	141645	1
2018.05.25	0.75742	0.75897	0.75422	0.75456	66778	126453	2
2018.05.28	0.75580	0.75808	0.75393	0.75435	52966	103122	2
2018.05.29	0.75436	0.75522	0.74978	0.75049	78302	148302	2
