<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.01	1.14644	1.14644	1.14627	1.14627	6	7	52
2019.01.02	1.14598	1.14967	1.13250	1.13432	180116	450085	1
2019.01.03	1.13423	1.14110	1.13092	1.13924	215959	508631	1
2019.01.04	1.13924	1.14189	1.13456	1.13943	175971	423285	1
2019.01.07	1.13955	1.14826	1.13954	1.14740	143485	370138	1
2019.01.08	1.14740	1.14844	1.14222	1.14406	148361	378875	1
2019.01.09	1.14406	1.15578	1.14370	1.15417	178675	467209	1
2019.01.10	1.15419	1.15697	1.14844	1.14994	171624	508756	1
2019.01.11	1.14994	1.15403	1.14580	1.14656	151918	383680	1
2019.01.14	1.14589	1.14820	1.14506	1.14679	137387	351142	1
2019.01.15	1.14679	1.14896	1.13819	1.14121	168743	433483	1
2019.01.16	1.14119	1.14248	1.13777	1.13911	147853	377259	1
2019.01.17	1.13911	1.14059	1.13700	1.13880	149301	386251	1
2019.01.18	1.13880	1.14103	1.13532	1.13614	149637	395654	1
2019.01.21	1.13603	1.13910	1.13567	1.13658	93467	236109	1
2019.01.22	1.13658	1.13739	1.13361	1.13595	138012	371396	1
2019.01.23	1.13594	1.13942	1.13505	1.13808	142075	382723	1
2019.01.24	1.13804	1.13913	1.12892	1.13020	172175	435817	1
2019.01.25	1.13011	1.14176	1.13004	1.14032	163192	443453	1
2019.01.28	1.14005	1.14436	1.13900	1.14271	136477	359488	1
2019.01.29	1.14257	1.14501	1.14111	1.14307	161654	427611	1
2019.01.30	1.14308	1.15016	1.14062	1.14786	165273	435501	1
2019.01.31	1.14786	1.15141	1.14356	1.14467	181893	485274	1
2019.02.01	1.14468	1.14884	1.14343	1.14547	155192	412163	1
2019.02.04	1.14503	1.14603	1.14244	1.14353	135643	369141	1
2019.02.05	1.14353	1.14404	1.14011	1.14054	130108	338500	1
2019.02.06	1.14054	1.14094	1.13608	1.13618	133340	352885	1
2019.02.07	1.13615	1.13683	1.13244	1.13390	141981	382334	1
2019.02.08	1.13383	1.13508	1.13207	1.13207	122326	342150	1
2019.02.11	1.13186	1.13298	1.12672	1.12754	133913	385767	1
2019.02.12	1.12752	1.13396	1.12577	1.13251	139481	402179	1
2019.02.13	1.13251	1.13414	1.12601	1.12602	134338	385712	1
2019.02.14	1.12601	1.13098	1.12490	1.12947	152806	425469	1
2019.02.15	1.12949	1.13061	1.12340	1.12925	151362	442487	1
2019.02.18	1.12906	1.13338	1.12889	1.13081	96624	269456	1
2019.02.19	1.13079	1.13574	1.12755	1.13400	135962	405277	1
2019.02.20	1.13400	1.13711	1.13249	1.13359	136095	397297	1
2019.02.21	1.13359	1.13663	1.13202	1.13333	151725	445706	1
2019.02.22	1.13323	1.13556	1.13161	1.13319	130764	395324	1
2019.02.25	1.13340	1.13675	1.13281	1.13568	126101	372115	1
2019.02.26	1.13570	1.14027	1.13450	1.13888	137271	420293	1
2019.02.27	1.13887	1.14036	1.13622	1.13693	142252	425041	1
2019.02.28	1.13691	1.14197	1.13595	1.13704	152954	461010	1
2019.03.01	1.13706	1.14085	1.13533	1.13633	142342	414969	1
2019.03.04	1.13811	1.13826	1.13090	1.13394	139016	410132	1
2019.03.05	1.13394	1.13408	1.12895	1.13073	136750	396663	1
2019.03.06	1.13072	1.13245	1.12855	1.13061	118636	328146	1
2019.03.07	1.13059	1.13202	1.11764	1.11929	143909	392473	1
2019.03.08	1.11929	1.12461	1.11852	1.12311	140449	382760	1
2019.03.11	1.12316	1.12583	1.12217	1.12440	115254	310838	1
2019.03.12	1.12436	1.13049	1.12434	1.12861	129571	337552	1
2019.03.13	1.12861	1.13385	1.12773	1.13268	111323	301216	1
2019.03.14	1.13255	1.13375	1.12940	1.13034	122245	332000	1
2019.03.15	1.13025	1.13443	1.12976	1.13240	106574	303202	1
2019.03.18	1.13201	1.13589	1.13189	1.13388	92553	254318	1
2019.03.19	1.13388	1.13615	1.13295	1.13507	98706	274147	1
2019.03.20	1.13508	1.14480	1.13354	1.14130	136053	365333	1
2019.03.21	1.14129	1.14373	1.13425	1.13734	141596	361714	1
2019.03.22	1.13728	1.13905	1.12732	1.13004	155602	414833	1
2019.03.25	1.12892	1.13314	1.12883	1.13119	124223	335476	1
2019.03.26	1.13117	1.13259	1.12632	1.12654	130394	343774	1
2019.03.27	1.12654	1.12855	1.12421	1.12435	156595	420219	1
2019.03.28	1.12435	1.12612	1.12135	1.12211	156365	433440	1
2019.03.29	1.12211	1.12466	1.12098	1.12179	157159	440130	1
2019.04.01	1.12254	1.12498	1.12039	1.12122	141828	415422	1
2019.04.02	1.12120	1.12160	1.11836	1.12040	146169	442901	1
2019.04.03	1.12043	1.12547	1.12000	1.12320	150544	462671	1
2019.04.04	1.12321	1.12475	1.12059	1.12199	125100	385068	1
2019.04.05	1.12198	1.12472	1.12099	1.12142	119929	348746	1
2019.04.08	1.12138	1.12744	1.12118	1.12616	121533	383807	1
2019.04.09	1.12604	1.12842	1.12549	1.12612	129412	390182	1
2019.04.10	1.12614	1.12876	1.12294	1.12731	144152	438410	1
2019.04.11	1.12730	1.12873	1.12498	1.12513	125821	383118	1
2019.04.12	1.12513	1.13239	1.12511	1.12976	139375	419954	1
2019.04.15	1.13035	1.13209	1.12975	1.13030	123936	379171	1
2019.04.16	1.13030	1.13139	1.12797	1.12804	152283	480048	1
2019.04.17	1.12804	1.13237	1.12788	1.12944	136226	398246	1
2019.04.18	1.12933	1.13039	1.12261	1.12279	140560	419806	1
2019.04.19	1.12295	1.12476	1.12263	1.12408	58534	117212	1
2019.04.22	1.12408	1.12620	1.12357	1.12566	60656	184057	1
2019.04.23	1.12568	1.12612	1.11921	1.12268	116804	366196	1
2019.04.24	1.12264	1.12265	1.11406	1.11519	133264	394910	1
2019.04.25	1.11518	1.11623	1.11178	1.11309	120875	353278	1
2019.04.26	1.11283	1.11739	1.11111	1.11429	126058	355708	1
2019.04.29	1.11441	1.11869	1.11441	1.11854	95162	287799	1
2019.04.30	1.11854	1.12290	1.11757	1.12145	115954	325180	1
2019.05.01	1.12141	1.12647	1.11870	1.11953	95743	244750	1
2019.05.02	1.11950	1.12190	1.11707	1.11714	112187	306130	1
2019.05.03	1.11714	1.12047	1.11350	1.12007	117211	346341	1
2019.05.06	1.11799	1.12092	1.11672	1.11980	107892	322044	1
2019.05.07	1.11980	1.12178	1.11666	1.11912	115234	343893	1
2019.05.08	1.11899	1.12136	1.11827	1.11909	123464	371310	1
2019.05.09	1.11909	1.12509	1.11734	1.12138	138972	414076	1
2019.05.10	1.12123	1.12536	1.12115	1.12329	126628	384101	1
2019.05.13	1.12320	1.12635	1.12216	1.12216	107819	331426	1
2019.05.14	1.12211	1.12439	1.12011	1.12033	104395	320763	1
2019.05.15	1.12033	1.12245	1.11779	1.12008	108529	343312	1
2019.05.16	1.12009	1.12238	1.11662	1.11736	103193	335608	1
2019.05.17	1.11735	1.11841	1.11551	1.11563	114058	364177	1
2019.05.20	1.11598	1.11748	1.11506	1.11655	98649	306777	1
2019.05.21	1.11652	1.11880	1.11419	1.11604	108723	338442	1
2019.05.22	1.11593	1.11802	1.11485	1.11501	93179	290471	1
2019.05.23	1.11498	1.11875	1.11070	1.11815	118600	371756	1
2019.05.24	1.11819	1.12121	1.11733	1.12043	102125	323618	1
2019.05.27	1.12068	1.12151	1.11869	1.11910	59069	184912	1
2019.05.28	1.11910	1.11983	1.11592	1.11598	105797	309338	1
2019.05.29	1.11598	1.11724	1.11243	1.11310	123213	358657	1
2019.05.30	1.11305	1.11433	1.11160	1.11291	103824	305712	1
2019.05.31	1.11285	1.11797	1.11251	1.11678	138873	429716	1
2019.06.03	1.11607	1.12619	1.11601	1.12414	133153	378232	1
2019.06.04	1.12414	1.12774	1.12267	1.12515	139710	417760	1
2019.06.05	1.12515	1.13065	1.12200	1.12208	137989	402286	1
2019.06.06	1.12204	1.13090	1.12008	1.12753	131344	368056	1
2019.06.07	1.12752	1.13477	1.12512	1.13334	124301	361958	1
2019.06.10	1.13220	1.13308	1.12902	1.13113	102989	327147	1
2019.06.11	1.13109	1.13374	1.13013	1.13260	118614	363223	1
2019.06.12	1.13253	1.13434	1.12824	1.12871	119919	377854	1
2019.06.13	1.12871	1.13037	1.12683	1.12761	111567	357273	1
2019.06.14	1.12761	1.12891	1.12024	1.12050	120309	355828	1
2019.06.17	1.12089	1.12470	1.12037	1.12178	84812	249061	1
2019.06.18	1.12178	1.12428	1.11813	1.11936	126996	394886	1
2019.06.19	1.11926	1.12542	1.11871	1.12259	118437	321952	1
2019.06.20	1.12255	1.13173	1.12255	1.12916	149576	428431	1
2019.06.21	1.12913	1.13777	1.12830	1.13679	150971	425159	1
2019.06.24	1.13695	1.14039	1.13662	1.13978	104498	301497	1
2019.06.25	1.13979	1.14119	1.13442	1.13651	140527	392610	1
2019.06.26	1.13651	1.13913	1.13474	1.13678	121020	346448	1
2019.06.27	1.13676	1.13814	1.13477	1.13689	109050	307218	1
2019.06.28	1.13689	1.13933	1.13506	1.13681	106974	285652	1
2019.07.01	1.13595	1.13710	1.12810	1.12851	120014	308790	1
2019.07.02	1.12850	1.13215	1.12751	1.12847	100047	267185	1
2019.07.03	1.12842	1.13123	1.12686	1.12774	99863	267575	1
2019.07.04	1.12777	1.12951	1.12731	1.12847	54530	141250	1
2019.07.05	1.12837	1.12877	1.12073	1.12235	100814	266530	1
2019.07.08	1.12215	1.12344	1.12069	1.12142	77087	215571	1
2019.07.09	1.12141	1.12187	1.11933	1.12078	80157	218926	1
2019.07.10	1.12076	1.12643	1.12018	1.12503	104798	276442	1
2019.07.11	1.12503	1.12857	1.12451	1.12529	107067	283666	1
2019.07.12	1.12529	1.12748	1.12381	1.12698	97258	264917	1
2019.07.15	1.12666	1.12838	1.12532	1.12577	77515	212408	1
2019.07.16	1.12574	1.12634	1.12018	1.12103	95717	264230	1
2019.07.17	1.12102	1.12335	1.11997	1.12242	81418	226842	1
2019.07.18	1.12237	1.12804	1.12051	1.12765	115922	308135	1
2019.07.19	1.12766	1.12820	1.12033	1.12192	112746	305633	1
2019.07.22	1.12150	1.12253	1.12062	1.12094	85233	230195	1
2019.07.23	1.12093	1.12096	1.11457	1.11517	98860	270636	1
2019.07.24	1.11516	1.11558	1.11269	1.11399	99060	270062	1
2019.07.25	1.11400	1.11877	1.11013	1.11462	135901	364671	1
2019.07.26	1.11460	1.11509	1.11120	1.11247	98280	269072	1
2019.07.29	1.11246	1.11509	1.11128	1.11443	86949	231750	1
2019.07.30	1.11443	1.11610	1.11321	1.11545	107724	276189	1
2019.07.31	1.11548	1.11620	1.10600	1.10749	141545	356018	1
2019.08.01	1.10749	1.10958	1.10268	1.10847	175206	464737	1
2019.08.02	1.10849	1.11164	1.10696	1.11057	185288	482067	1
2019.08.05	1.11042	1.12130	1.11033	1.12033	174374	467036	1
2019.08.06	1.12034	1.12497	1.11675	1.11980	163437	434416	1
2019.08.07	1.11980	1.12417	1.11791	1.11980	175786	445985	1
2019.08.08	1.11974	1.12323	1.11769	1.11802	138912	349468	1
2019.08.09	1.11801	1.12229	1.11780	1.11969	115774	296787	1
2019.08.12	1.11978	1.12306	1.11619	1.12131	118678	318938	1
2019.08.13	1.12129	1.12285	1.11701	1.11710	144100	376250	1
2019.08.14	1.11708	1.11908	1.11305	1.11377	137005	348209	1
2019.08.15	1.11380	1.11583	1.10913	1.11065	148090	405067	1
2019.08.16	1.11065	1.11121	1.10662	1.10899	118139	253024	1
2019.08.19	1.10925	1.11137	1.10760	1.10778	88703	199836	1
2019.08.20	1.10773	1.11066	1.10655	1.10998	90124	198418	1
2019.08.21	1.10981	1.11070	1.10804	1.10845	79173	175740	1
2019.08.22	1.10844	1.11130	1.10635	1.10799	92389	211921	1
2019.08.23	1.10798	1.11532	1.10516	1.11360	119345	242936	1
2019.08.26	1.11507	1.11639	1.10942	1.11008	144383	284146	1
2019.08.27	1.11004	1.11159	1.10855	1.10901	98395	210695	1
2019.08.28	1.10895	1.10978	1.10733	1.10770	98631	209990	1
2019.08.29	1.10770	1.10930	1.10419	1.10563	103534	212843	1
2019.08.30	1.10563	1.10603	1.09632	1.09880	92356	170447	1
2019.09.02	1.09893	1.09962	1.09580	1.09682	43350	51435	1
2019.09.03	1.09684	1.09786	1.09260	1.09726	91446	144353	1
2019.09.04	1.09726	1.10383	1.09684	1.10348	97012	175492	1
2019.09.05	1.10348	1.10847	1.10166	1.10340	106941	187983	1
2019.09.06	1.10340	1.10572	1.10201	1.10250	99395	172319	1
2019.09.09	1.10260	1.10680	1.10153	1.10477	79954	144288	1
2019.09.10	1.10474	1.10595	1.10305	1.10432	79045	143007	1
2019.09.11	1.10430	1.10555	1.09851	1.10102	75857	138232	1
2019.09.12	1.10102	1.10871	1.09268	1.10643	127517	220648	1
2019.09.13	1.10643	1.11094	1.10554	1.10707	97393	177060	1
2019.09.16	1.10732	1.10863	1.09932	1.09991	87007	157415	1
2019.09.17	1.09984	1.10744	1.09901	1.10725	99141	182245	1
2019.09.18	1.10723	1.10755	1.10136	1.10298	93287	169210	1
2019.09.19	1.10298	1.10735	1.10229	1.10408	108705	213334	1
2019.09.20	1.10406	1.10676	1.09961	1.10169	103022	193780	1
2019.09.23	1.10136	1.10253	1.09661	1.09925	99317	192267	1
2019.09.24	1.09927	1.10240	1.09837	1.10193	102728	195753	1
2019.09.25	1.10192	1.10228	1.09374	1.09413	107450	210524	1
2019.09.26	1.09409	1.09672	1.09087	1.09187	107152	207580	1
2019.09.27	1.09187	1.09586	1.09046	1.09367	98923	193281	1
2019.09.30	1.09419	1.09478	1.08847	1.08991	94311	187433	1
2019.10.01	1.08991	1.09428	1.08790	1.09311	114993	226611	1
2019.10.02	1.09314	1.09636	1.09040	1.09590	108025	218697	1
2019.10.03	1.09584	1.09992	1.09408	1.09627	114491	235214	1
2019.10.04	1.09627	1.09990	1.09570	1.09760	102940	203891	1
2019.10.07	1.09803	1.10004	1.09619	1.09703	86004	178047	1
2019.10.08	1.09703	1.09958	1.09409	1.09560	112189	231530	1
2019.10.09	1.09560	1.09900	1.09507	1.09710	90856	191953	1
2019.10.10	1.09704	1.10337	1.09699	1.10050	128771	251720	1
2019.10.11	1.10049	1.10626	1.10007	1.10329	135090	268761	1
2019.10.14	1.10316	1.10426	1.10128	1.10248	82214	165851	1
2019.10.15	1.10250	1.10459	1.09912	1.10320	121384	243169	1
2019.10.16	1.10319	1.10855	1.10223	1.10710	122791	249767	1
2019.10.17	1.10710	1.11398	1.10650	1.11234	118416	237906	1
2019.10.18	1.11236	1.11719	1.11145	1.11703	89703	154563	1
2019.10.21	1.11607	1.11793	1.11386	1.11487	84047	132076	1
2019.10.22	1.11487	1.11568	1.11176	1.11243	85704	128650	1
2019.10.23	1.11242	1.11405	1.11061	1.11297	76645	117210	1
2019.10.24	1.11296	1.11627	1.10930	1.11037	96138	151736	1
2019.10.25	1.11036	1.11229	1.10729	1.10790	67088	107755	1
2019.10.28	1.10800	1.11065	1.10760	1.10991	65355	108873	1
2019.10.29	1.10990	1.11183	1.10735	1.11118	75012	128105	1
2019.10.30	1.11117	1.11516	1.10801	1.11501	94894	140660	1
2019.10.31	1.11499	1.11755	1.11314	1.11513	100152	155012	1
2019.11.01	1.11511	1.11718	1.11281	1.11641	82708	135394	1
2019.11.04	1.11684	1.11753	1.11247	1.11272	70466	112232	1
2019.11.05	1.11269	1.11401	1.10635	1.10742	95007	161019	1
2019.11.06	1.10742	1.10928	1.10651	1.10658	75660	130154	1
2019.11.07	1.10658	1.10914	1.10360	1.10497	100399	161573	1
2019.11.08	1.10492	1.10554	1.10167	1.10176	73211	123945	1
2019.11.11	1.10230	1.10430	1.10163	1.10323	55201	91300	1
2019.11.12	1.10323	1.10385	1.10025	1.10088	71797	123736	1
2019.11.13	1.10089	1.10203	1.09953	1.10053	76670	127451	1
2019.11.14	1.10052	1.10274	1.09890	1.10204	75306	121035	1
2019.11.15	1.10202	1.10569	1.10145	1.10494	69246	118314	1
2019.11.18	1.10489	1.10899	1.10487	1.10718	70725	120614	1
2019.11.19	1.10711	1.10839	1.10626	1.10780	64960	110635	1
2019.11.20	1.10777	1.10813	1.10530	1.10723	79237	140530	1
2019.11.21	1.10723	1.10969	1.10522	1.10581	75890	131535	1
2019.11.22	1.10580	1.10872	1.10143	1.10179	82216	185920	1
2019.11.25	1.10170	1.10321	1.10035	1.10126	68100	121369	1
2019.11.26	1.10115	1.10256	1.10071	1.10194	69440	116865	1
2019.11.27	1.10194	1.10246	1.09922	1.09989	68553	121705	1
2019.11.28	1.09987	1.10179	1.09986	1.10067	47275	77529	1
2019.11.29	1.10059	1.10282	1.09811	1.10150	67025	110876	1
2019.12.02	1.10229	1.10907	1.10029	1.10784	76827	138073	1
2019.12.03	1.10782	1.10934	1.10660	1.10809	76910	135347	1
2019.12.04	1.10809	1.11161	1.10666	1.10775	84453	158729	1
2019.12.05	1.10772	1.11080	1.10772	1.11042	70373	130553	1
2019.12.06	1.11042	1.11097	1.10398	1.10543	70926	129909	1
2019.12.09	1.10580	1.10779	1.10533	1.10635	57910	112036	1
2019.12.10	1.10638	1.10977	1.10626	1.10919	70440	136549	1
2019.12.11	1.10914	1.11448	1.10701	1.11294	85775	155694	1
2019.12.12	1.11294	1.11541	1.11029	1.11286	103305	189848	1
2019.12.13	1.11285	1.11995	1.11032	1.11174	141016	238851	1
2019.12.16	1.11280	1.11581	1.11225	1.11435	76646	155424	1
2019.12.17	1.11433	1.11746	1.11293	1.11487	86610	163456	1
2019.12.18	1.11483	1.11541	1.11105	1.11127	78033	153809	1
2019.12.19	1.11126	1.11442	1.11072	1.11199	83586	167784	1
