<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.73021	1.73795	1.72317	1.73570	127639	159683	4
2018.01.03	1.73570	1.74152	1.72278	1.72448	124421	157085	1
2018.01.04	1.72399	1.73001	1.72129	1.72264	123397	155629	4
2018.01.05	1.72264	1.73074	1.72164	1.72472	124901	157880	3
2018.01.08	1.72321	1.73332	1.72292	1.72983	111980	144561	4
2018.01.09	1.72961	1.73149	1.72407	1.73046	126136	161152	1
2018.01.10	1.73032	1.73254	1.72082	1.72176	152301	192341	1
2018.01.11	1.72187	1.72308	1.70977	1.71507	142873	179698	4
2018.01.12	1.71481	1.74311	1.71433	1.73306	162242	210531	4
2018.01.15	1.73687	1.73687	1.72697	1.73091	129615	160767	4
2018.01.16	1.73080	1.73477	1.72898	1.73170	151494	206850	4
2018.01.17	1.73152	1.73814	1.72716	1.73463	182250	258949	3
2018.01.18	1.73464	1.73979	1.72954	1.73591	169150	254836	4
2018.01.19	1.73550	1.73802	1.72895	1.73186	170161	234273	3
2018.01.22	1.73586	1.74594	1.73361	1.74397	136109	183600	3
2018.01.23	1.74381	1.75531	1.74331	1.74913	158475	213374	2
2018.01.24	1.74910	1.76662	1.74581	1.76591	176334	234207	4
2018.01.25	1.76606	1.77181	1.75644	1.76027	227562	287614	4
2018.01.26	1.76061	1.76665	1.74214	1.74478	206557	274956	3
2018.01.29	1.74446	1.74837	1.73511	1.73847	178586	242868	4
2018.01.30	1.73832	1.75243	1.73635	1.74967	181814	239778	4
2018.01.31	1.74967	1.76253	1.74352	1.76127	198871	257397	2
2018.02.01	1.76080	1.78179	1.76003	1.77338	181532	232501	4
2018.02.02	1.77338	1.78479	1.77288	1.78101	192957	244803	4
2018.02.05	1.78086	1.78581	1.76480	1.77102	195928	249974	3
2018.02.06	1.77100	1.78019	1.76104	1.76370	250342	314618	2
2018.02.07	1.76335	1.77584	1.76265	1.77390	182445	238508	4
2018.02.08	1.77382	1.79988	1.77072	1.78786	226358	292420	4
2018.02.09	1.78772	1.79608	1.76427	1.76866	217012	276962	3
2018.02.12	1.76622	1.77446	1.75925	1.75928	160402	209560	3
2018.02.13	1.75900	1.77366	1.75745	1.76722	161733	214195	4
2018.02.14	1.76714	1.77800	1.76029	1.76541	194816	253048	1
2018.02.15	1.76507	1.78091	1.76239	1.77402	185853	243215	3
2018.02.16	1.77396	1.77746	1.76536	1.77303	173642	228334	4
2018.02.19	1.77161	1.77433	1.76643	1.76848	117163	150971	1
2018.02.20	1.76826	1.77623	1.76049	1.77482	166901	219184	1
2018.02.21	1.77475	1.78369	1.77087	1.78312	183117	245686	1
2018.02.22	1.78320	1.78484	1.77214	1.77810	167659	223101	4
2018.02.23	1.77803	1.79108	1.77751	1.78034	156988	208883	4
2018.02.26	1.78267	1.79046	1.77725	1.77764	152777	200783	2
2018.02.27	1.77753	1.78654	1.77320	1.78500	172647	224273	4
2018.02.28	1.78491	1.78657	1.76679	1.77266	171945	225535	3
2018.03.01	1.77227	1.78222	1.77041	1.77540	207619	270151	4
2018.03.02	1.77484	1.78118	1.77142	1.77645	201633	259498	4
2018.03.05	1.77727	1.79058	1.77503	1.78329	178538	231246	4
2018.03.06	1.78329	1.78539	1.77323	1.77347	189081	248451	4
2018.03.07	1.77325	1.78788	1.77268	1.77438	204652	267403	2
2018.03.08	1.77440	1.78076	1.76994	1.77260	187817	243594	4
2018.03.09	1.77056	1.77494	1.76351	1.76374	182384	236088	4
2018.03.12	1.76373	1.76794	1.75981	1.76616	149164	191030	1
2018.03.13	1.76601	1.77971	1.76245	1.77589	171077	224083	1
2018.03.14	1.77589	1.77955	1.76472	1.77219	169912	225802	4
2018.03.15	1.77200	1.78869	1.77080	1.78687	169238	223602	4
2018.03.16	1.78647	1.80876	1.78632	1.80681	164005	219829	4
2018.03.19	1.80514	1.82834	1.80496	1.81661	178178	238591	2
2018.03.20	1.81670	1.82658	1.81396	1.82162	158314	196959	1
2018.03.21	1.82154	1.83126	1.81759	1.82073	168136	213043	4
2018.03.22	1.82046	1.83965	1.81825	1.83214	188922	238110	4
2018.03.23	1.83186	1.83623	1.82496	1.83560	191316	241362	4
2018.03.26	1.83433	1.84460	1.82998	1.83603	148102	185923	2
2018.03.27	1.83564	1.84456	1.82684	1.84283	161344	195097	3
2018.03.28	1.84259	1.85075	1.83591	1.83682	176957	219333	4
