<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.69159	1.70128	1.69159	1.69995	94373	115063	4
2018.01.03	1.69993	1.70307	1.69146	1.69389	94380	114945	4
2018.01.04	1.69350	1.69808	1.69157	1.69157	96599	117231	6
2018.01.05	1.69158	1.69657	1.67581	1.68319	102506	130382	4
2018.01.08	1.68249	1.68701	1.67770	1.68477	89683	108361	4
2018.01.09	1.68459	1.68786	1.67934	1.68742	97392	118346	4
2018.01.10	1.68723	1.69947	1.67943	1.69429	125067	153380	4
2018.01.11	1.69430	1.70012	1.69201	1.69432	114754	139008	4
2018.01.12	1.69403	1.71793	1.69389	1.70994	140654	176987	5
2018.01.15	1.71013	1.71637	1.70744	1.71366	129712	157460	4
2018.01.16	1.71347	1.71603	1.70715	1.71473	139032	179178	4
2018.01.17	1.71469	1.72876	1.70608	1.71934	174223	238305	4
2018.01.18	1.71934	1.73375	1.71821	1.72500	155946	222066	7
2018.01.19	1.72488	1.73400	1.72253	1.72959	147956	190418	4
2018.01.22	1.73273	1.74250	1.73013	1.74013	122211	154323	4
2018.01.23	1.73963	1.74768	1.73642	1.73821	140655	181465	5
2018.01.24	1.73783	1.75932	1.73779	1.75753	169825	218442	5
2018.01.25	1.75760	1.76374	1.74366	1.74864	210599	262873	4
2018.01.26	1.74910	1.75940	1.74252	1.74302	186734	236739	4
2018.01.29	1.74048	1.74514	1.73019	1.73621	156568	197142	7
2018.01.30	1.73603	1.74603	1.73021	1.74436	151400	189834	4
2018.01.31	1.74431	1.74799	1.73491	1.74679	163361	200987	4
2018.02.01	1.74657	1.75582	1.74416	1.74896	136756	165113	4
2018.02.02	1.74946	1.75566	1.74748	1.75390	153741	187495	4
2018.02.05	1.75339	1.75524	1.74503	1.74956	154481	186760	5
2018.02.06	1.74953	1.75293	1.73568	1.74187	208771	258555	4
2018.02.07	1.74174	1.74909	1.73657	1.74391	150203	186981	4
2018.02.08	1.74353	1.76628	1.74134	1.75303	184302	225817	4
2018.02.09	1.75288	1.76132	1.73681	1.73918	181092	221951	4
2018.02.12	1.73836	1.74427	1.73701	1.74000	118296	145413	4
2018.02.13	1.73964	1.75366	1.73879	1.74891	120189	146573	5
2018.02.14	1.74890	1.75548	1.74096	1.74807	144699	178402	4
2018.02.15	1.74818	1.76268	1.74757	1.75947	144300	179393	4
2018.02.16	1.75885	1.76354	1.75320	1.76136	148021	184359	4
2018.02.19	1.75953	1.76258	1.75681	1.75777	101425	120675	6
2018.02.20	1.75753	1.77033	1.75472	1.76954	131798	164282	4
2018.02.21	1.76937	1.77193	1.76046	1.76764	144713	177722	4
2018.02.22	1.76760	1.77567	1.75837	1.77234	135726	164442	4
2018.02.23	1.77230	1.77815	1.76362	1.76362	128085	157577	4
2018.02.26	1.76777	1.78035	1.76521	1.77092	121791	152219	5
2018.02.27	1.77011	1.77715	1.76764	1.77654	139723	174091	4
2018.02.28	1.77616	1.77687	1.76396	1.76525	138570	165211	4
2018.03.01	1.76529	1.77017	1.76163	1.76816	164480	203512	4
2018.03.02	1.76762	1.77999	1.76585	1.77702	156588	194090	7
2018.03.05	1.77673	1.80064	1.77389	1.79508	143070	173657	4
2018.03.06	1.79508	1.79909	1.78750	1.78772	151406	183317	4
2018.03.07	1.78737	1.80482	1.78720	1.79324	170532	213357	4
2018.03.08	1.79278	1.79633	1.77956	1.78063	157843	197054	4
2018.03.09	1.78009	1.78439	1.77346	1.77350	150792	186595	4
2018.03.12	1.77460	1.78598	1.77388	1.78556	114273	142783	4
2018.03.13	1.78523	1.81290	1.78296	1.80976	135502	164445	4
2018.03.14	1.80956	1.81159	1.80346	1.80845	140002	172090	6
2018.03.15	1.80844	1.82415	1.80347	1.81884	138952	174225	6
2018.03.16	1.81853	1.82917	1.81753	1.82598	129012	163461	4
2018.03.19	1.82462	1.84150	1.82436	1.83386	146574	179986	4
2018.03.20	1.83362	1.83795	1.82729	1.82946	122603	143880	5
2018.03.21	1.82920	1.83661	1.82032	1.82411	139419	160595	5
2018.03.22	1.82393	1.82926	1.81716	1.82366	153697	181048	6
2018.03.23	1.82315	1.82620	1.81391	1.82179	155405	186347	6
2018.03.26	1.82177	1.83805	1.81995	1.82728	122359	143850	6
2018.03.27	1.82677	1.82921	1.81330	1.82385	132935	150254	4
2018.03.28	1.82351	1.82910	1.81432	1.81854	137034	182279	8
2018.03.29	1.81771	1.81987	1.80545	1.80569	114673	132005	5
2018.03.30	1.80540	1.81214	1.80474	1.80611	101097	141501	5
2018.04.02	1.80730	1.81782	1.80653	1.81332	84265	100302	7
2018.04.03	1.81298	1.81524	1.79627	1.79987	113134	128715	4
2018.04.04	1.79938	1.80742	1.79642	1.79722	117055	136995	5
2018.04.05	1.79722	1.79896	1.78446	1.78519	101014	115155	4
2018.04.06	1.78487	1.80180	1.78387	1.80014	122849	144800	4
