<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.31359	1.32204	1.31359	1.32025	99822	128292	2
2018.01.03	1.32025	1.32458	1.31933	1.32006	94073	124163	1
2018.01.04	1.31990	1.32333	1.31900	1.32050	89813	117997	4
2018.01.05	1.32050	1.32602	1.31959	1.32201	91807	120972	1
2018.01.08	1.32160	1.32683	1.32072	1.32535	79131	107220	4
2018.01.09	1.32470	1.33157	1.32470	1.33085	92132	121749	1
2018.01.10	1.33085	1.33201	1.31877	1.32089	116118	151866	2
2018.01.11	1.32088	1.32367	1.31726	1.32075	106424	138698	4
2018.01.12	1.32075	1.33091	1.31961	1.32776	125488	168688	3
2018.01.15	1.32886	1.33076	1.32378	1.32815	103312	131167	4
2018.01.16	1.32815	1.33036	1.32188	1.32305	116825	152077	1
2018.01.17	1.32305	1.33555	1.32259	1.33495	139054	182529	4
2018.01.18	1.33484	1.33551	1.32898	1.33186	123764	158751	4
2018.01.19	1.33175	1.33557	1.32810	1.33486	122898	157514	4
2018.01.22	1.33455	1.34627	1.33328	1.34491	104227	135464	2
2018.01.23	1.34456	1.34598	1.33882	1.34065	118582	151895	1
2018.01.24	1.34065	1.34836	1.33786	1.34557	138054	175557	1
2018.01.25	1.34589	1.34911	1.32871	1.33030	182095	235778	3
2018.01.26	1.33030	1.33534	1.31981	1.32152	157259	203200	4
2018.01.29	1.31932	1.32569	1.31457	1.31927	134288	171378	4
2018.01.30	1.31922	1.32338	1.31065	1.32213	139666	182337	4
2018.01.31	1.32150	1.32423	1.31603	1.32141	149268	193744	2
2018.02.01	1.32121	1.33000	1.31965	1.32067	133625	173194	2
2018.02.02	1.32012	1.32335	1.31420	1.31420	149786	191417	4
2018.02.05	1.31470	1.31533	1.29860	1.30016	140417	181571	3
2018.02.06	1.30037	1.31033	1.29801	1.30535	190395	248779	4
2018.02.07	1.30535	1.31285	1.30256	1.31018	138441	183720	1
2018.02.08	1.30800	1.32419	1.30046	1.30206	174537	222142	4
2018.02.09	1.30205	1.31248	1.29133	1.29836	165078	211710	4
2018.02.12	1.29806	1.30217	1.29463	1.29915	117283	152868	1
2018.02.13	1.29915	1.30127	1.29367	1.29836	114479	149758	3
2018.02.14	1.29849	1.30299	1.29230	1.30090	134863	174254	4
2018.02.15	1.30090	1.30382	1.29650	1.29985	131981	169448	3
2018.02.16	1.29967	1.30165	1.29622	1.30052	122386	157237	4
2018.02.19	1.29993	1.30260	1.29838	1.30045	71815	91550	3
2018.02.20	1.30051	1.31212	1.29906	1.30973	104680	135524	1
2018.02.21	1.30937	1.31190	1.30317	1.30669	121684	155586	1
2018.02.22	1.30674	1.30710	1.29934	1.30155	112295	142663	1
2018.02.23	1.30155	1.31005	1.30066	1.30707	101570	131098	4
2018.02.26	1.30949	1.31433	1.30681	1.30995	100763	130908	4
2018.02.27	1.30988	1.31078	1.30375	1.30555	118886	152637	3
2018.02.28	1.30527	1.31161	1.29900	1.29962	119292	156524	2
2018.03.01	1.29964	1.30503	1.29629	1.29686	141096	181630	4
2018.03.02	1.29665	1.29782	1.28624	1.29371	140033	178605	4
2018.03.05	1.29067	1.30389	1.28977	1.30166	133875	171568	4
2018.03.06	1.30159	1.30697	1.29913	1.30630	129388	170320	1
2018.03.07	1.30630	1.31184	1.29816	1.31105	138405	176923	1
2018.03.08	1.31105	1.31476	1.30865	1.31328	131089	168786	3
2018.03.09	1.31303	1.31903	1.31110	1.31689	120474	158039	4
2018.03.12	1.31573	1.32023	1.31416	1.31750	90289	115122	4
2018.03.13	1.31746	1.32076	1.31486	1.31805	111365	144155	1
2018.03.14	1.31805	1.32399	1.31690	1.31920	108241	136968	1
2018.03.15	1.31920	1.32675	1.31642	1.32592	112162	140770	1
2018.03.16	1.32581	1.32897	1.32333	1.32709	109418	135492	4
2018.03.19	1.32774	1.34089	1.32639	1.33354	121029	152945	4
2018.03.20	1.33342	1.33893	1.33269	1.33874	116843	146666	2
2018.03.21	1.33872	1.34420	1.33646	1.34265	131015	165973	4
2018.03.22	1.34267	1.34646	1.33422	1.33782	144192	178848	3
2018.03.23	1.33771	1.34347	1.33329	1.33805	144904	182984	1
2018.03.26	1.33882	1.34674	1.33694	1.34497	112972	147321	3
2018.03.27	1.34469	1.34592	1.33591	1.34016	119355	149152	4
2018.03.28	1.34012	1.34855	1.33958	1.34650	127395	162778	4
2018.03.29	1.34648	1.34787	1.34032	1.34049	117953	148094	4
2018.03.30	1.34043	1.34190	1.33529	1.33591	87123	115513	4
2018.04.02	1.33524	1.34244	1.33524	1.34105	80380	100873	4
2018.04.03	1.34005	1.34950	1.34005	1.34764	108123	140928	1
2018.04.04	1.34767	1.35314	1.34400	1.35252	112220	143250	3
2018.04.05	1.35257	1.35373	1.34595	1.34902	105275	130745	4
2018.04.06	1.34898	1.35411	1.34583	1.35097	119737	157845	1
2018.04.09	1.35061	1.35526	1.34938	1.35096	105051	133978	4
2018.04.10	1.35081	1.35703	1.35040	1.35635	111910	142025	4
2018.04.11	1.35635	1.36409	1.35582	1.35738	111937	140162	1
2018.04.12	1.35723	1.37125	1.35570	1.36901	114968	142635	3
2018.04.13	1.36899	1.37434	1.36842	1.36897	99253	128051	4
2018.04.16	1.36948	1.37655	1.36874	1.37601	94236	119138	2
2018.04.17	1.37598	1.38364	1.37551	1.38035	102869	128627	1
2018.04.18	1.38030	1.38554	1.37244	1.37552	115161	145771	4
2018.04.19	1.37552	1.38072	1.36743	1.36785	131119	160758	3
2018.04.20	1.36784	1.37165	1.36294	1.36414	123615	150598	4
2018.04.23	1.36433	1.36853	1.36010	1.36336	120238	147911	4
2018.04.24	1.36326	1.37061	1.36151	1.36816	114511	146989	4
2018.04.25	1.36815	1.37205	1.36690	1.36946	115378	148853	2
2018.04.26	1.36935	1.37812	1.36831	1.37665	125218	156894	3
2018.04.27	1.37615	1.37924	1.36060	1.36083	115414	143152	4
2018.04.30	1.36061	1.36527	1.35671	1.36338	108335	133291	4
2018.05.01	1.36281	1.36498	1.35334	1.35655	115610	139105	3
