<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	151.972	152.740	151.862	152.553	99123	134100	2
2018.01.03	152.549	152.820	151.755	152.008	112194	158534	2
2018.01.04	151.988	152.979	151.950	152.759	96662	133695	2
2018.01.05	152.759	153.640	152.695	153.323	97251	142656	1
2018.01.08	153.395	153.668	152.872	153.403	92851	139801	2
2018.01.09	153.400	153.570	151.941	152.499	126106	185171	2
2018.01.10	152.497	152.596	150.357	150.470	149190	226514	2
2018.01.11	150.458	151.001	150.193	150.552	134724	208939	2
2018.01.12	150.552	152.672	150.495	152.415	149612	236653	2
2018.01.15	152.482	152.807	151.930	152.406	135088	204545	2
2018.01.16	152.409	153.096	152.047	152.311	139229	217852	2
2018.01.17	152.297	154.281	152.147	153.909	159932	250370	2
2018.01.18	153.847	154.579	153.616	154.305	147185	231027	1
2018.01.19	154.312	154.437	153.110	153.483	152690	236162	2
2018.01.22	153.558	155.255	153.472	155.100	131433	207926	1
2018.01.23	155.100	155.396	153.730	154.385	149941	235590	2
2018.01.24	154.385	155.704	154.125	155.506	178165	279485	1
2018.01.25	155.506	156.083	154.423	154.634	220748	338229	2
2018.01.26	154.633	155.850	153.424	153.766	197676	313646	1
2018.01.29	153.648	154.020	152.820	153.323	183719	282043	2
2018.01.30	153.321	154.086	151.970	153.859	175801	279870	1
2018.01.31	153.842	155.345	153.558	154.953	186596	294767	2
2018.02.01	154.936	156.440	154.875	156.003	170518	282908	1
2018.02.02	156.017	156.607	155.413	155.523	188926	316982	2
2018.02.05	155.383	155.538	152.228	152.228	207879	339894	1
2018.02.06	152.227	152.907	151.203	152.795	264657	424573	1
2018.02.07	152.769	153.118	151.323	151.733	193854	326477	2
2018.02.08	151.707	154.043	150.822	151.268	243647	395765	1
2018.02.09	151.272	152.750	148.918	150.381	256018	413891	1
2018.02.12	150.341	150.826	149.662	150.306	187052	322314	2
2018.02.13	150.305	150.617	148.974	149.785	178142	316677	2
2018.02.14	149.779	150.024	147.961	149.758	206320	360204	2
2018.02.15	149.758	150.184	148.936	149.600	202097	355648	1
2018.02.16	149.599	149.961	148.775	149.111	182941	319235	1
2018.02.19	148.940	149.470	148.877	149.194	146668	262776	4
2018.02.20	149.166	150.380	149.073	150.197	155783	284027	2
2018.02.21	150.200	150.931	149.416	149.994	177163	319477	2
2018.02.22	149.997	149.997	148.538	148.948	170203	299955	2
2018.02.23	148.949	149.513	148.641	149.271	149119	263466	2
2018.02.26	149.878	150.010	149.002	149.326	161979	289074	2
2018.02.27	149.326	149.812	148.836	149.249	165098	296442	2
2018.02.28	149.249	149.514	146.725	146.774	168794	315221	1
2018.03.01	146.776	147.485	146.007	146.302	203747	364864	2
2018.03.02	146.299	146.442	144.985	145.885	202584	354631	1
2018.03.05	145.584	147.119	145.079	147.071	190267	331456	2
2018.03.06	147.051	148.011	146.552	147.363	172435	309221	1
2018.03.07	147.369	147.568	146.228	147.344	191704	340545	3
2018.03.08	147.348	147.658	146.363	146.686	170260	309976	2
2018.03.09	146.656	148.543	146.599	147.882	175167	318012	1
2018.03.12	147.677	148.211	147.411	147.969	157663	293877	2
2018.03.13	147.970	149.376	147.762	148.770	166352	305797	2
2018.03.14	148.767	149.162	147.752	148.427	165597	283326	1
2018.03.15	148.429	148.497	147.445	148.178	166229	312557	2
2018.03.16	148.177	148.244	147.246	147.746	156520	276721	2
2018.03.19	147.608	149.682	147.045	148.764	173035	286090	1
2018.03.20	148.767	149.790	148.575	149.117	164406	274964	2
2018.03.21	149.113	150.303	148.950	149.943	145914	251757	4
2018.03.22	149.942	150.170	148.273	148.384	187012	321331	3
2018.03.23	148.388	148.971	147.665	147.983	201156	322691	3
2018.03.26	147.933	150.106	147.877	149.948	150180	239509	4
2018.03.27	149.944	150.496	148.933	149.111	151715	244571	2
2018.03.28	149.108	150.589	148.930	150.358	188901	299608	1
2018.03.29	150.356	150.464	149.021	149.154	166902	271008	2
2018.03.30	149.150	149.457	148.823	148.886	134652	191010	4
2018.04.02	148.927	149.671	148.384	148.686	116128	175417	3
2018.04.03	148.678	149.956	148.490	149.843	145084	231201	2
2018.04.04	149.841	150.426	148.797	150.317	158329	253346	2
2018.04.05	150.317	150.687	149.960	150.359	139012	269713	3
2018.04.06	150.353	151.224	149.883	150.599	164912	255812	3
2018.04.09	150.631	151.489	150.488	150.837	135952	214793	2
2018.04.10	150.837	152.136	150.702	151.943	145872	237478	3
2018.04.11	151.942	152.242	151.276	151.366	129217	221864	3
2018.04.12	151.363	152.875	151.167	152.673	130271	211840	3
2018.04.13	152.667	153.852	152.582	152.809	117041	175099	2
2018.04.16	152.951	153.758	152.651	153.560	120963	172322	3
2018.04.17	153.545	153.752	152.778	152.867	108756	175152	1
2018.04.18	152.863	153.627	152.056	152.279	113836	179920	1
2018.04.19	152.279	152.956	151.089	151.203	127915	195513	2
2018.04.20	151.202	151.701	150.664	150.664	132734	189173	2
2018.04.23	150.872	151.640	150.727	151.510	126154	173976	2
2018.04.24	151.502	152.599	151.405	152.094	123667	196599	2
2018.04.25	152.096	152.566	152.044	152.419	121661	185480	3
2018.04.26	152.410	152.725	151.973	152.109	136732	207990	2
2018.04.27	152.101	152.274	150.240	150.261	139245	201659	2
2018.04.30	150.189	150.839	149.835	150.393	116724	169952	2
2018.05.01	150.419	150.631	149.145	149.579	134663	207825	1
2018.05.02	149.582	150.121	149.006	149.116	150364	221160	1
2018.05.03	149.111	149.462	147.600	148.217	146403	219262	1
2018.05.04	148.217	148.292	147.058	147.520	122365	177846	1
2018.05.07	147.645	148.261	147.342	147.883	110112	152628	3
2018.05.08	147.883	148.074	147.049	147.823	133628	205252	3
2018.05.09	147.822	149.192	147.709	148.645	133365	210029	3
2018.05.10	148.643	149.304	147.480	147.879	150880	270020	3
2018.05.11	147.877	148.483	147.579	148.098	120532	214666	3
2018.05.14	148.020	149.067	147.966	148.630	114924	168602	2
2018.05.15	148.630	149.200	148.379	148.969	136814	216260	2
2018.05.16	148.970	149.068	148.180	148.846	145558	229676	2
2018.05.17	148.845	149.832	148.754	149.693	141629	223344	2
2018.05.18	149.693	150.009	149.088	149.155	123144	197081	3
2018.05.21	149.231	149.653	148.811	149.069	123827	201897	2
2018.05.22	149.067	149.723	148.765	148.921	134170	217827	3
2018.05.23	148.888	149.005	145.943	146.909	174037	282720	2
2018.05.24	146.905	147.264	145.687	146.148	168088	272931	1
2018.05.25	146.151	146.720	145.278	145.409	154812	238691	1
2018.05.28	146.121	146.191	145.318	145.631	122356	192456	1
2018.05.29	145.632	145.711	143.195	144.061	196938	324138	2
2018.05.30	144.020	145.053	143.596	144.676	179090	291588	2
2018.05.31	144.682	145.309	144.122	144.662	170759	277625	2
2018.06.01	144.663	146.300	144.486	146.146	153408	247014	2
2018.06.04	146.011	146.895	145.838	146.177	133950	215262	2
2018.06.05	146.177	147.092	146.037	146.945	138250	233065	2
2018.06.06	146.976	148.004	146.865	147.771	129962	208145	1
2018.06.07	147.764	148.117	146.904	147.228	149927	243781	3
2018.06.08	147.229	147.440	146.089	146.887	141475	221442	3
2018.06.11	146.575	147.844	146.561	147.156	120150	195238	3
2018.06.12	147.165	147.986	147.117	147.564	141273	226821	2
2018.06.13	147.564	147.895	147.210	147.567	120502	195065	3
2018.06.14	147.556	147.846	146.619	146.715	136200	229535	3
2018.06.15	146.717	147.062	146.294	146.947	136252	216964	2
2018.06.18	146.761	147.026	146.099	146.398	108842	183219	4
2018.06.19	146.398	146.469	144.383	144.982	158904	267147	1
2018.06.20	144.986	145.621	144.582	145.345	135656	224990	2
2018.06.21	145.344	146.217	144.589	145.597	163779	283153	3
2018.06.22	145.597	146.648	145.464	145.839	144593	241446	2
2018.06.25	145.578	146.185	144.694	145.737	150424	250165	2
2018.06.26	145.736	145.772	144.971	145.518	151683	266152	2
2018.06.27	145.547	145.659	144.524	144.580	168466	306563	2
2018.06.28	144.578	144.676	143.771	144.476	167860	278878	2
2018.06.29	144.478	146.330	144.342	146.136	173533	288868	2
2018.07.02	145.848	146.486	145.183	145.731	154294	247904	3
2018.07.03	145.722	146.381	145.282	145.863	149697	250746	2
2018.07.04	145.859	146.360	145.565	146.139	145283	221649	2
2018.07.05	145.990	146.870	145.836	146.241	159776	255227	1
2018.07.06	146.259	146.783	146.072	146.726	129230	211634	3
2018.07.09	147.036	147.611	146.104	146.924	146460	237203	2
2018.07.10	146.941	147.791	146.811	147.333	141983	231899	2
2018.07.11	147.323	148.132	146.801	147.851	171606	269647	3
2018.07.12	147.843	148.893	147.783	148.578	147476	233539	2
2018.07.13	148.578	148.725	147.639	148.631	139469	265057	2
2018.07.16	148.410	149.310	148.406	148.611	123438	205402	2
