<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.90090	1.91414	1.89679	1.91237	107245	120316	9
2018.01.03	1.91060	1.92140	1.90170	1.90550	112137	124682	8
2018.01.04	1.90486	1.91004	1.89188	1.89333	106725	120841	4
2018.01.05	1.89316	1.89819	1.88880	1.89234	111452	124332	8
2018.01.08	1.89181	1.89458	1.88454	1.89014	98025	108780	9
2018.01.09	1.88953	1.89396	1.87984	1.88992	109637	122009	8
2018.01.10	1.88984	1.89524	1.87152	1.87599	140719	156314	9
2018.01.11	1.87581	1.87967	1.86278	1.86402	128605	144886	4
2018.01.12	1.86361	1.89567	1.86134	1.89050	142846	158723	5
2018.01.15	1.89532	1.89680	1.88465	1.88915	120998	135563	6
2018.01.16	1.88661	1.89749	1.88661	1.89698	128527	143087	5
2018.01.17	1.89698	1.90454	1.89313	1.90121	159256	175567	5
2018.01.18	1.90076	1.90840	1.89411	1.90236	145740	160616	4
2018.01.19	1.90231	1.90875	1.90037	1.90234	140517	158383	4
2018.01.22	1.90629	1.91239	1.90059	1.90823	125323	141979	5
2018.01.23	1.90764	1.91123	1.90021	1.90299	147107	165183	4
2018.01.24	1.90327	1.94283	1.90223	1.94005	168914	188665	7
2018.01.25	1.94161	1.94604	1.92398	1.92985	218012	240069	4
2018.01.26	1.92888	1.94098	1.92230	1.92358	186159	207434	4
2018.01.29	1.92441	1.92937	1.91553	1.92141	154655	172122	4
2018.01.30	1.92121	1.93151	1.91453	1.92977	159760	180688	4
2018.01.31	1.92945	1.93041	1.90842	1.92637	181582	203830	4
2018.02.01	1.92514	1.94021	1.92433	1.92702	164430	185289	4
2018.02.02	1.92814	1.93752	1.92640	1.93274	170290	193973	7
2018.02.05	1.93382	1.93833	1.91837	1.92097	174929	192558	11
2018.02.06	1.92088	1.92306	1.89654	1.89915	217579	240825	4
2018.02.07	1.89996	1.92466	1.89660	1.91739	165380	188655	4
2018.02.08	1.91603	1.94526	1.91540	1.92671	206067	230486	4
2018.02.09	1.92661	1.93808	1.90001	1.90483	194871	219111	4
2018.02.12	1.90531	1.91430	1.90407	1.90459	136475	154922	5
2018.02.13	1.90436	1.91099	1.89589	1.90923	141163	160047	4
2018.02.14	1.90901	1.90961	1.89358	1.90004	174142	196648	4
2018.02.15	1.89967	1.90812	1.89420	1.90282	159776	179466	5
2018.02.16	1.90241	1.90816	1.89592	1.89761	143865	161706	9
2018.02.19	1.89799	1.90178	1.89489	1.89811	104105	116599	7
2018.02.20	1.89779	1.90657	1.89489	1.90443	134175	152387	5
2018.02.21	1.90527	1.90794	1.89314	1.90151	156579	176751	5
2018.02.22	1.90123	1.90472	1.89022	1.90063	140126	157007	6
2018.02.23	1.89864	1.92153	1.89864	1.91466	129872	145099	5
