<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.35065	1.36001	1.34945	1.35889	96437	166612	1
2018.01.03	1.35873	1.36124	1.34948	1.35142	93398	167125	1
2018.01.04	1.35140	1.35595	1.35052	1.35504	89378	157089	1
2018.01.05	1.35499	1.35823	1.35231	1.35640	89860	158214	1
2018.01.08	1.35556	1.35853	1.35229	1.35662	75964	127267	1
2018.01.09	1.35657	1.35822	1.35063	1.35395	81935	144923	1
2018.01.10	1.35395	1.35618	1.34816	1.35060	103252	176919	1
2018.01.11	1.35060	1.35546	1.34579	1.35355	99896	177392	1
2018.01.12	1.35354	1.37440	1.35335	1.37277	114799	199430	1
2018.01.15	1.37279	1.38193	1.37253	1.37935	99282	170825	1
2018.01.16	1.37935	1.38052	1.37417	1.37910	104947	188220	1
2018.01.17	1.37902	1.39420	1.37566	1.38306	125281	215140	1
2018.01.18	1.38306	1.39130	1.38044	1.38922	119024	214405	1
2018.01.19	1.38920	1.39449	1.38383	1.38479	118625	208566	1
2018.01.22	1.38879	1.39905	1.38569	1.39837	104361	191395	1
2018.01.23	1.39829	1.40273	1.39158	1.39973	114874	207842	1
2018.01.24	1.39973	1.42627	1.39952	1.42375	139126	252019	1
2018.01.25	1.42375	1.43451	1.40827	1.41313	182096	320824	1
2018.01.26	1.41337	1.42854	1.41071	1.41562	161887	288971	1
2018.01.29	1.41347	1.41579	1.40250	1.40727	140185	252003	1
2018.01.30	1.40729	1.41665	1.39798	1.41447	142521	259654	1
2018.01.31	1.41434	1.42325	1.41216	1.41902	158014	276343	1
2018.02.01	1.41890	1.42781	1.41594	1.42595	137505	257240	1
2018.02.02	1.42594	1.42777	1.41013	1.41213	143143	265911	1
2018.02.05	1.41001	1.41501	1.39541	1.39572	148092	270331	1
2018.02.06	1.39559	1.39992	1.38363	1.39480	176752	322644	1
2018.02.07	1.39479	1.39937	1.38482	1.38809	136376	254821	1
2018.02.08	1.38809	1.40671	1.38454	1.39105	169326	332588	1
2018.02.09	1.39104	1.39871	1.37642	1.38239	160100	303824	1
2018.02.12	1.38081	1.38758	1.37958	1.38357	118209	218926	1
2018.02.13	1.38366	1.39239	1.38323	1.38909	119433	228275	1
2018.02.14	1.38909	1.40163	1.37996	1.39956	139423	263318	1
2018.02.15	1.39952	1.41034	1.39948	1.40981	137544	255399	1
2018.02.16	1.40981	1.41444	1.39964	1.40298	126117	235294	1
2018.02.19	1.40108	1.40488	1.39584	1.39964	100054	182305	1
2018.02.20	1.39958	1.40242	1.39311	1.39948	115720	221540	1
2018.02.21	1.39958	1.40082	1.39042	1.39182	134569	251697	1
2018.02.22	1.39182	1.39885	1.38565	1.39531	122996	235147	1
2018.02.23	1.39526	1.40049	1.39044	1.39656	107773	190896	1
2018.02.26	1.39844	1.40696	1.39280	1.39668	85859	149077	1
2018.02.27	1.39668	1.39962	1.38574	1.39060	100385	176470	1
2018.02.28	1.39060	1.39158	1.37564	1.37590	100042	185993	1
2018.03.01	1.37591	1.37846	1.37115	1.37746	114629	212361	1
2018.03.02	1.37745	1.38166	1.37554	1.37980	109580	194065	1
2018.03.05	1.37886	1.38769	1.37664	1.38482	106434	186946	1
2018.03.06	1.38478	1.39291	1.38163	1.38863	100426	178359	1
2018.03.07	1.38860	1.39118	1.38459	1.38990	107019	180709	1
2018.03.08	1.38932	1.39098	1.37807	1.38089	104535	180662	1
2018.03.09	1.38089	1.38886	1.37878	1.38447	96967	169337	1
2018.03.12	1.38500	1.39174	1.38410	1.39052	73846	128429	1
2018.03.13	1.39048	1.39938	1.38745	1.39602	87554	153240	1
2018.03.14	1.39599	1.39955	1.39255	1.39605	85776	148583	1
2018.03.15	1.39606	1.39884	1.39213	1.39357	88360	185461	1
2018.03.16	1.39353	1.39807	1.38891	1.39432	79220	135271	1
2018.03.19	1.39353	1.40881	1.39128	1.40226	98392	171974	1
2018.03.20	1.40228	1.40664	1.39826	1.39968	85896	144291	1
2018.03.21	1.39967	1.41504	1.39958	1.41393	102048	175182	1
2018.03.22	1.41392	1.42175	1.40756	1.40948	107033	185503	1
2018.03.23	1.40953	1.41717	1.40849	1.41305	99384	162991	1
2018.03.26	1.41326	1.42442	1.41296	1.42273	76270	125263	1
2018.03.27	1.42277	1.42440	1.40659	1.41556	85930	146193	1
2018.03.28	1.41550	1.42001	1.40703	1.40762	89823	150733	1
2018.03.29	1.40760	1.40959	1.40106	1.40174	84365	143371	1
2018.03.30	1.40167	1.40594	1.40088	1.40088	74637	103382	1
2018.04.02	1.40224	1.40775	1.40193	1.40430	61510	101388	1
2018.04.03	1.40425	1.40883	1.40208	1.40557	79368	133122	1
2018.04.04	1.40543	1.40962	1.40146	1.40782	84193	142561	1
2018.04.05	1.40782	1.40968	1.39652	1.40015	76084	148221	1
2018.04.06	1.40015	1.41055	1.39827	1.40814	89806	144972	1
2018.04.09	1.40866	1.41644	1.40782	1.41294	72651	124015	1
2018.04.10	1.41294	1.41878	1.41199	1.41742	78953	128552	1
2018.04.11	1.41744	1.42230	1.41608	1.41746	75121	121777	1
2018.04.12	1.41741	1.42464	1.41451	1.42268	78365	129586	1
2018.04.13	1.42268	1.42961	1.42205	1.42372	67700	105982	1
2018.04.16	1.42397	1.43438	1.42291	1.43369	66891	100347	1
2018.04.17	1.43366	1.43763	1.42826	1.42862	73882	123269	1
2018.04.18	1.42850	1.43142	1.41728	1.42000	77166	123878	1
