<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	109.648	109.726	108.707	108.874	131155	254214	1
2019.01.03	108.872	108.898	104.736	107.646	186200	336941	1
2019.01.04	107.646	108.589	107.512	108.518	161359	303358	1
2019.01.07	108.503	108.747	108.019	108.705	107858	221182	1
2019.01.08	108.702	109.087	108.441	108.723	108255	216894	1
2019.01.09	108.727	109.001	107.971	108.158	113141	222958	1
2019.01.10	108.158	108.518	107.769	108.425	115480	236522	1
2019.01.11	108.425	108.597	108.145	108.528	92014	184698	1
2019.01.14	108.499	108.555	107.986	108.157	72670	145089	1
2019.01.15	108.154	108.765	108.134	108.643	110934	223904	1
2019.01.16	108.632	109.195	108.370	109.087	87670	174359	1
2019.01.17	109.087	109.398	108.686	109.250	104419	209717	1
2019.01.18	109.249	109.889	109.056	109.769	102829	207219	1
2019.01.21	109.679	109.767	109.474	109.655	66017	123605	1
2019.01.22	109.656	109.693	109.146	109.357	86200	180652	1
2019.01.23	109.357	109.999	109.322	109.593	89115	187292	1
2019.01.24	109.588	109.799	109.421	109.632	96261	190002	1
2019.01.25	109.628	109.949	109.453	109.539	95324	194572	1
2019.01.28	109.543	109.576	109.160	109.332	84599	173679	1
2019.01.29	109.329	109.541	109.129	109.385	85258	176592	1
2019.01.30	109.385	109.743	108.808	109.033	93641	188739	1
2019.01.31	109.035	109.071	108.497	108.861	89997	182383	1
2019.02.01	108.858	109.580	108.725	109.504	80244	158506	1
2019.02.04	109.510	110.161	109.432	109.874	73240	148604	1
2019.02.05	109.874	110.041	109.778	109.960	69630	132336	1
2019.02.06	109.960	110.051	109.560	109.964	71634	145151	1
2019.02.07	109.963	110.086	109.605	109.804	87923	185809	1
2019.02.08	109.791	109.897	109.648	109.724	75028	153825	1
2019.02.11	109.729	110.468	109.729	110.361	65525	134148	1
2019.02.12	110.361	110.651	110.336	110.476	73936	147722	1
2019.02.13	110.462	111.052	110.420	111.002	66176	131281	1
2019.02.14	111.003	111.128	110.448	110.466	85441	169790	1
2019.02.15	110.463	110.645	110.252	110.458	82123	167746	1
2019.02.18	110.439	110.652	110.439	110.591	64279	150690	1
2019.02.19	110.590	110.823	110.453	110.615	68878	152770	1
2019.02.20	110.612	110.950	110.523	110.845	71090	167660	1
2019.02.21	110.839	110.861	110.568	110.692	76283	170881	1
2019.02.22	110.691	110.905	110.557	110.637	67192	152778	1
2019.02.25	110.649	111.234	110.577	111.061	75485	164147	1
2019.02.26	111.061	111.078	110.424	110.580	70829	183809	1
2019.02.27	110.581	111.074	110.351	110.989	74351	173796	1
2019.02.28	110.985	111.493	110.661	111.381	77785	179877	1
2019.03.01	111.379	112.077	111.324	111.906	72210	175877	1
2019.03.04	111.851	112.013	111.640	111.737	78019	168214	1
2019.03.05	111.733	112.137	111.713	111.877	65291	145743	1
2019.03.06	111.877	111.922	111.615	111.759	66014	143424	1
2019.03.07	111.757	111.857	111.482	111.555	71008	166424	1
2019.03.08	111.533	111.650	110.778	111.156	86447	222221	1
2019.03.11	110.986	111.307	110.879	111.194	58847	141414	1
2019.03.12	111.191	111.466	111.110	111.344	73546	163422	1
2019.03.13	111.344	111.465	111.006	111.143	65330	140452	1
2019.03.14	111.142	111.833	111.120	111.672	77249	194774	1
2019.03.15	111.659	111.901	111.384	111.471	70473	172683	1
2019.03.18	111.460	111.628	111.296	111.424	47141	129487	1
2019.03.19	111.421	111.476	111.158	111.385	58409	132694	1
2019.03.20	111.374	111.695	110.535	110.684	78032	193766	1
2019.03.21	110.684	110.958	110.298	110.800	79982	188197	1
2019.03.22	110.790	110.897	109.741	109.925	104149	238654	1
2019.03.25	109.916	110.241	109.708	109.957	97945	230133	1
2019.03.26	109.957	110.690	109.921	110.631	99015	214488	1
2019.03.27	110.628	110.713	110.235	110.510	113134	263409	1
2019.03.28	110.512	110.832	110.018	110.609	102947	239114	1
2019.03.29	110.607	110.949	110.533	110.825	83572	196181	1
2019.04.01	111.008	111.442	110.810	111.343	71244	166965	1
2019.04.02	111.343	111.454	111.248	111.310	57043	125622	1
2019.04.03	111.307	111.578	111.208	111.486	66793	146421	1
2019.04.04	111.486	111.683	111.334	111.648	55674	131319	1
2019.04.05	111.642	111.822	111.549	111.688	56185	128248	1
2019.04.08	111.665	111.746	111.283	111.464	49971	117175	1
2019.04.09	111.453	111.579	110.979	111.132	56606	131572	1
2019.04.10	111.132	111.280	110.843	111.003	58388	127893	1
2019.04.11	111.000	111.696	110.900	111.645	59412	132849	1
2019.04.12	111.643	112.093	111.585	111.993	61022	137020	1
2019.04.15	111.955	112.095	111.886	112.032	43878	103798	1
2019.04.16	112.031	112.045	111.846	111.982	57625	148912	1
2019.04.17	111.982	112.165	111.921	112.056	52196	113621	1
2019.04.18	112.051	112.062	111.766	111.952	57641	128092	1
2019.04.19	111.952	112.005	111.859	111.859	66183	116984	1
2019.04.22	111.854	111.991	111.844	111.934	33491	74798	1
2019.04.23	111.936	112.032	111.651	111.854	48886	107089	1
2019.04.24	111.855	112.399	111.681	112.185	57360	121034	1
2019.04.25	112.182	112.239	111.368	111.601	64051	132246	1
2019.04.26	111.598	112.031	111.428	111.526	67450	137528	1
2019.04.29	111.533	111.898	111.533	111.644	35336	75021	1
2019.04.30	111.642	111.689	111.235	111.410	53098	115374	1
2019.05.01	111.409	111.613	111.051	111.369	46213	94381	1
2019.05.02	111.368	111.664	111.348	111.495	53793	118336	1
2019.05.03	111.493	111.699	111.068	111.090	57322	117584	1
2019.05.06	110.604	110.958	110.280	110.742	66661	133054	1
2019.05.07	110.741	110.852	110.170	110.240	77479	165211	1
2019.05.08	110.240	110.293	109.902	110.091	87142	186168	1
2019.05.09	110.089	110.108	109.472	109.767	95845	202926	1
2019.05.10	109.767	110.049	109.474	109.940	114005	229589	1
2019.05.13	109.746	109.834	109.019	109.301	93812	204251	1
2019.05.14	109.279	109.772	109.145	109.598	71878	154170	1
2019.05.15	109.591	109.701	109.153	109.587	83518	186682	1
2019.05.16	109.588	109.967	109.336	109.841	69764	153458	1
2019.05.17	109.840	110.194	109.493	110.054	95881	207294	1
2019.05.20	110.103	110.318	109.809	110.061	81117	182914	1
2019.05.21	110.058	110.672	110.016	110.489	74174	160615	1
2019.05.22	110.483	110.625	110.241	110.348	65591	146525	1
2019.05.23	110.348	110.363	109.457	109.600	94707	213409	1
2019.05.24	109.595	109.745	109.273	109.285	74233	166999	1
2019.05.27	109.398	109.584	109.357	109.504	43709	85855	1
2019.05.28	109.481	109.629	109.210	109.372	89393	177706	1
2019.05.29	109.358	109.699	109.149	109.589	98661	198022	1
2019.05.30	109.589	109.925	109.473	109.621	80954	173468	1
2019.05.31	109.617	109.622	108.277	108.278	123359	252032	1
2019.06.03	108.275	108.445	107.883	108.060	105712	223072	1
2019.06.04	108.060	108.358	107.845	108.143	97678	210599	1
2019.06.05	108.138	108.485	107.815	108.461	100394	217155	1
2019.06.06	108.459	108.562	108.025	108.396	92216	194726	1
2019.06.07	108.394	108.617	107.880	108.189	88561	189554	1
2019.06.10	108.474	108.716	108.312	108.429	71314	161006	1
2019.06.11	108.429	108.800	108.350	108.516	74232	164151	1
2019.06.12	108.512	108.566	108.218	108.502	82246	175253	1
2019.06.13	108.501	108.536	108.164	108.378	81479	176038	1
2019.06.14	108.358	108.587	108.158	108.550	80354	165556	1
2019.06.17	108.493	108.724	108.469	108.539	56327	119913	1
2019.06.18	108.535	108.676	108.060	108.446	94645	199509	1
2019.06.19	108.446	108.617	107.900	108.101	80713	178313	1
2019.06.20	108.101	108.141	107.209	107.292	112899	245253	1
2019.06.21	107.282	107.734	107.048	107.303	100800	218987	1
2019.06.24	107.263	107.537	107.248	107.295	70978	157269	1
2019.06.25	107.291	107.409	106.778	107.169	108648	231787	1
2019.06.26	107.169	107.849	107.099	107.787	85199	182408	1
2019.06.27	107.779	108.161	107.647	107.789	77721	171214	1
2019.06.28	107.774	107.935	107.561	107.908	77002	167080	1
2019.07.01	108.150	108.533	108.102	108.439	80274	153220	1
2019.07.02	108.431	108.474	107.766	107.875	64435	124638	1
2019.07.03	107.875	107.914	107.532	107.783	67290	134551	1
2019.07.04	107.786	107.842	107.707	107.809	41539	75616	1
2019.07.05	107.807	108.637	107.781	108.454	67219	130552	1
2019.07.08	108.411	108.805	108.280	108.718	54619	112207	1
2019.07.09	108.717	108.963	108.677	108.852	56178	121202	1
2019.07.10	108.850	108.990	108.346	108.462	74174	160122	1
2019.07.11	108.456	108.531	107.859	108.489	66387	134659	1
2019.07.12	108.488	108.609	107.804	107.884	65835	136598	1
2019.07.15	107.861	108.108	107.797	107.907	50968	104953	1
2019.07.16	107.901	108.375	107.821	108.235	69945	151662	1
2019.07.17	108.233	108.325	107.935	107.942	55493	114577	1
2019.07.18	107.940	108.016	107.211	107.288	78759	163800	1
2019.07.19	107.288	107.978	107.216	107.698	79573	160734	1
2019.07.22	107.711	108.067	107.699	107.863	58114	133343	1
2019.07.23	107.863	108.287	107.825	108.207	58038	118012	1
2019.07.24	108.199	108.276	107.933	108.178	53099	112899	1
2019.07.25	108.178	108.755	108.042	108.628	64515	140986	1
2019.07.26	108.629	108.828	108.559	108.662	50353	116519	1
2019.07.29	108.620	108.899	108.420	108.776	37640	98803	1
2019.07.30	108.778	108.948	108.452	108.591	67442	168954	1
2019.07.31	108.577	108.997	108.490	108.748	95893	207882	1
2019.08.01	108.747	109.318	107.254	107.328	129674	291323	1
2019.08.02	107.328	107.567	106.508	106.550	177734	395287	1
2019.08.05	106.549	106.681	105.785	105.940	177748	369984	1
2019.08.06	105.938	107.087	105.519	106.474	173111	365649	1
2019.08.07	106.473	106.474	105.495	106.266	176489	358327	1
2019.08.08	106.265	106.301	105.894	106.072	126590	262224	1
2019.08.09	106.063	106.091	105.268	105.638	106718	210666	1
2019.08.12	105.545	105.691	105.049	105.295	100532	220922	1
2019.08.13	105.294	106.973	105.065	106.744	144131	320093	1
2019.08.14	106.744	106.767	105.650	105.907	143882	311970	1
2019.08.15	105.914	106.777	105.702	106.122	179369	361038	1
2019.08.16	106.118	106.494	106.018	106.358	105621	225020	1
2019.08.19	106.245	106.696	106.245	106.631	83654	206664	1
2019.08.20	106.629	106.691	106.161	106.223	85098	199122	1
2019.08.21	106.223	106.646	106.213	106.610	70515	151249	1
2019.08.22	106.605	106.653	106.251	106.431	84212	183412	1
2019.08.23	106.426	106.734	105.254	105.363	127446	250180	1
2019.08.26	104.947	106.413	104.453	106.080	189977	362884	1
2019.08.27	106.085	106.151	105.590	105.738	113735	230153	1
2019.08.28	105.739	106.229	105.651	106.118	101602	211152	1
2019.08.29	106.108	106.681	105.829	106.516	103070	215036	1
2019.08.30	106.503	106.544	106.103	106.228	93804	198157	1
2019.09.02	106.061	106.399	105.915	106.198	61460	122080	1
2019.09.03	106.194	106.385	105.737	105.918	109073	218263	1
2019.09.04	105.914	106.445	105.830	106.379	79638	168439	1
2019.09.05	106.362	107.232	106.301	106.935	110491	216060	1
2019.09.06	106.921	107.101	106.622	106.914	97726	199203	1
2019.09.09	106.820	107.274	106.761	107.234	76664	155437	1
2019.09.10	107.231	107.586	107.181	107.542	89211	189604	1
2019.09.11	107.525	107.855	107.495	107.796	81475	162384	1
2019.09.12	107.796	108.187	107.521	108.076	129950	257664	1
2019.09.13	108.055	108.259	107.906	108.057	88463	185571	1
2019.09.16	107.476	108.167	107.457	108.128	97336	190480	1
2019.09.17	108.128	108.371	108.022	108.114	87124	169681	1
2019.09.18	108.108	108.475	108.085	108.443	76308	150983	1
2019.09.19	108.441	108.471	107.786	108.009	100119	205389	1
2019.09.20	108.005	108.086	107.524	107.535	90614	188493	1
2019.09.23	107.714	107.768	107.310	107.540	71536	154872	1
2019.09.24	107.532	107.797	106.961	107.046	106864	219754	1
2019.09.25	107.028	107.883	106.987	107.769	115394	249919	1
2019.09.26	107.762	107.957	107.424	107.830	99266	216494	1
2019.09.27	107.830	108.180	107.656	107.862	105836	222589	1
2019.09.30	107.960	108.178	107.743	108.071	83499	180261	1
2019.10.01	108.071	108.470	107.626	107.740	100798	208116	1
2019.10.02	107.728	107.892	107.046	107.177	113114	245936	1
2019.10.03	107.169	107.297	106.483	106.911	131926	246709	1
2019.10.04	106.899	107.134	106.577	106.890	98040	178562	1
2019.10.07	106.651	107.464	106.649	107.242	80353	150962	1
2019.10.08	107.242	107.444	106.806	107.073	110518	209110	1
2019.10.09	107.067	107.628	106.933	107.473	83479	160011	1
2019.10.10	107.470	108.018	107.034	107.955	134129	243101	1
2019.10.11	107.955	108.628	107.847	108.358	124840	220784	1
2019.10.14	108.343	108.521	108.032	108.391	70004	120320	1
2019.10.15	108.389	108.899	108.155	108.852	90029	157482	1
2019.10.16	108.852	108.863	108.560	108.755	99071	172371	1
2019.10.17	108.740	108.939	108.451	108.631	94990	169397	1
2019.10.18	108.627	108.721	108.371	108.371	78941	145635	1
2019.10.21	108.453	108.663	108.291	108.599	78454	143419	1
2019.10.22	108.598	108.727	108.440	108.481	65454	124810	1
2019.10.23	108.475	108.703	108.250	108.691	81454	150386	1
2019.10.24	108.690	108.753	108.496	108.599	74682	144129	1
2019.10.25	108.599	108.773	108.510	108.655	63926	120894	1
2019.10.28	108.740	109.039	108.657	108.931	53081	109593	1
2019.10.29	108.927	109.068	108.752	108.885	58980	111087	1
2019.10.30	108.879	109.287	108.719	108.826	74529	134870	1
2019.10.31	108.828	108.898	107.926	108.019	90758	181280	1
2019.11.01	108.021	108.323	107.887	108.168	65956	123049	1
2019.11.04	108.218	108.649	108.182	108.573	46674	90509	1
