<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	1.04971	1.05089	1.04515	1.04916	197992	266172	2
2019.01.03	1.04921	1.05075	1.01111	1.04647	270565	345708	3
2019.01.04	1.04648	1.05664	1.04594	1.05580	222012	300432	4
2019.01.07	1.05458	1.05848	1.05406	1.05766	159370	220474	4
2019.01.08	1.05767	1.06309	1.05627	1.06180	154767	222059	4
2019.01.09	1.06174	1.06381	1.05496	1.05588	167035	226411	4
2019.01.10	1.05602	1.05978	1.05449	1.05947	156713	214909	4
2019.01.11	1.05946	1.06068	1.05428	1.05504	145785	200079	4
2019.01.14	1.05632	1.05738	1.05384	1.05470	141363	193688	4
2019.01.15	1.05466	1.05660	1.05353	1.05585	158117	216458	4
2019.01.16	1.05585	1.06093	1.05470	1.05737	128347	176009	4
2019.01.17	1.05742	1.06489	1.05689	1.06329	152639	207342	2
2019.01.18	1.06329	1.06517	1.06149	1.06175	119416	161266	3
2019.01.21	1.06086	1.06701	1.06086	1.06286	113994	151114	3
2019.01.22	1.06286	1.06454	1.05428	1.05494	135518	182154	4
2019.01.23	1.05464	1.05595	1.05018	1.05158	146823	203641	3
2019.01.24	1.05162	1.05413	1.04654	1.04850	158517	218979	3
2019.01.25	1.04807	1.05006	1.04745	1.04932	148356	212460	4
2019.01.28	1.05027	1.05091	1.04734	1.04877	109388	145741	4
2019.01.29	1.04862	1.04950	1.04496	1.04668	142822	192991	4
2019.01.30	1.04650	1.05332	1.04639	1.05053	181374	250779	2
2019.01.31	1.05054	1.05325	1.04882	1.05078	165872	223572	4
2019.02.01	1.05122	1.05186	1.04704	1.05076	159550	218051	3
2019.02.04	1.05048	1.05099	1.04823	1.04886	120346	165272	4
2019.02.05	1.04856	1.05296	1.04555	1.04888	135885	187778	4
2019.02.06	1.04902	1.05009	1.03988	1.04817	168334	230297	3
2019.02.07	1.04815	1.05272	1.04790	1.05213	148325	203839	4
2019.02.08	1.05213	1.05348	1.04701	1.05020	141119	194320	3
2019.02.11	1.05066	1.05117	1.04817	1.04872	135011	184550	4
2019.02.12	1.04871	1.05453	1.04825	1.05289	135426	182760	1
2019.02.13	1.05290	1.05435	1.03960	1.04252	156042	207884	1
2019.02.14	1.04253	1.04319	1.03688	1.03872	159715	213806	1
2019.02.15	1.03853	1.04074	1.03691	1.03941	140931	181497	4
2019.02.18	1.04014	1.04184	1.03800	1.04084	112111	151005	4
2019.02.19	1.04084	1.04295	1.03862	1.04067	143305	194316	3
2019.02.20	1.04045	1.04480	1.04006	1.04449	134741	182163	1
2019.02.21	1.04447	1.04893	1.03970	1.04197	189149	253473	3
2019.02.22	1.04163	1.04899	1.04051	1.04081	147296	193763	1
2019.02.25	1.04000	1.04263	1.03916	1.04079	144659	213465	1
2019.02.26	1.04077	1.04326	1.03891	1.04256	138957	187618	2
2019.02.27	1.04220	1.04390	1.04108	1.04221	162096	215416	4
2019.02.28	1.04203	1.04605	1.04072	1.04176	159396	217576	2
2019.03.01	1.04161	1.04244	1.03940	1.04083	127605	168061	1
2019.03.04	1.04053	1.04226	1.03875	1.03909	122903	157876	1
2019.03.05	1.03940	1.04363	1.03811	1.04208	114091	142176	1
2019.03.06	1.04175	1.04282	1.03583	1.03854	118119	145206	1
2019.03.07	1.03850	1.03973	1.03687	1.03822	108341	133946	4
2019.03.08	1.03822	1.03923	1.03424	1.03478	117498	143423	1
2019.03.11	1.03507	1.03589	1.03312	1.03456	101354	129071	3
2019.03.12	1.03450	1.03539	1.03101	1.03174	100623	124459	1
2019.03.13	1.03177	1.03486	1.02934	1.03434	98757	122568	1
2019.03.14	1.03425	1.03593	1.03201	1.03454	109329	136762	1
2019.03.15	1.03445	1.03566	1.03328	1.03419	91028	110007	4
2019.03.18	1.03455	1.03715	1.03402	1.03624	94993	118785	1
2019.03.19	1.03624	1.03736	1.03357	1.03387	102252	124698	2
2019.03.20	1.03374	1.03687	1.03267	1.03377	114714	138990	1
2019.03.21	1.03368	1.03635	1.02981	1.03366	144311	175989	1
2019.03.22	1.03386	1.03418	1.02893	1.02910	155994	197937	1
2019.03.25	1.02968	1.03147	1.02752	1.02885	121900	157077	4
2019.03.26	1.02887	1.03340	1.02814	1.03266	122262	155768	2
2019.03.27	1.03271	1.04521	1.03075	1.04208	141551	178458	4
2019.03.28	1.04211	1.04440	1.04013	1.04354	141503	182481	4
2019.03.29	1.04366	1.04512	1.04017	1.04185	119479	152509	1
2019.04.01	1.04260	1.04523	1.04212	1.04476	106424	134363	4
2019.04.02	1.04475	1.04953	1.04329	1.04609	129773	165308	4
2019.04.03	1.04609	1.04955	1.04487	1.04901	114515	139676	4
2019.04.04	1.04899	1.05401	1.04748	1.05282	108377	140467	5
2019.04.05	1.05277	1.05745	1.05103	1.05504	100262	127307	3
2019.04.08	1.05434	1.05726	1.05324	1.05686	98637	129981	5
2019.04.09	1.05682	1.05961	1.05528	1.05656	100079	127810	4
2019.04.10	1.05576	1.06054	1.05421	1.05927	115072	146298	3
2019.04.11	1.05832	1.06109	1.05800	1.05820	95138	116279	1
2019.04.12	1.05824	1.06246	1.05800	1.06020	112623	143741	4
2019.04.15	1.06108	1.06219	1.05813	1.06036	94375	116234	1
2019.04.16	1.06036	1.06181	1.05708	1.06055	113621	142322	1
2019.04.17	1.06023	1.07320	1.05870	1.06695	116553	141009	3
2019.04.18	1.06696	1.07144	1.06502	1.06891	110344	138987	2
2019.04.19	1.06920	1.07003	1.06840	1.06881	73781	90382	5
2019.04.22	1.06868	1.06995	1.06747	1.06747	67381	81911	5
2019.04.23	1.06760	1.06847	1.06647	1.06647	90151	108129	1
2019.04.24	1.06646	1.06712	1.06168	1.06330	123012	152691	4
2019.04.25	1.06290	1.06422	1.05766	1.05840	98631	121842	5
2019.04.26	1.05822	1.05842	1.05588	1.05640	105962	128324	6
2019.04.29	1.05737	1.05886	1.05516	1.05785	68337	84326	1
2019.04.30	1.05744	1.05824	1.05499	1.05559	91895	116371	1
2019.05.01	1.05479	1.06152	1.05450	1.05869	90820	110164	5
2019.05.02	1.05849	1.05973	1.05716	1.05749	89162	110880	4
2019.05.03	1.05747	1.05792	1.05512	1.05637	94266	116640	4
2019.05.06	1.05415	1.05937	1.05352	1.05815	108853	135056	4
2019.05.07	1.05822	1.06431	1.05606	1.06193	99431	123601	4
2019.05.08	1.06160	1.07264	1.06132	1.06246	102149	131266	4
2019.05.09	1.06228	1.06284	1.05860	1.06008	102000	132770	1
2019.05.10	1.05998	1.06175	1.05940	1.06001	130582	165380	4
2019.05.13	1.05971	1.06060	1.05664	1.05707	98037	126027	4
2019.05.14	1.05710	1.05738	1.05451	1.05570	83341	103920	4
2019.05.15	1.05563	1.05676	1.05429	1.05529	87797	109869	5
2019.05.16	1.05527	1.05609	1.05207	1.05398	88148	112095	4
2019.05.17	1.05398	1.05510	1.05224	1.05332	89586	112743	5
2019.05.20	1.05835	1.05933	1.05566	1.05695	79850	105852	4
2019.05.21	1.05685	1.05906	1.05545	1.05759	93183	119302	4
2019.05.22	1.05777	1.05972	1.05733	1.05931	71120	92065	4
2019.05.23	1.05941	1.05956	1.05696	1.05802	90205	117227	4
2019.05.24	1.05815	1.05863	1.05516	1.05685	77871	99899	5
2019.05.27	1.05701	1.05802	1.05636	1.05664	46842	59354	5
2019.05.28	1.05623	1.05864	1.05562	1.05767	86325	105999	6
2019.05.29	1.05777	1.06291	1.05718	1.06219	92620	116852	4
2019.05.30	1.06225	1.06310	1.06136	1.06140	79660	98227	4
2019.05.31	1.06102	1.06304	1.05994	1.06033	119373	143390	4
2019.06.03	1.06056	1.06234	1.05689	1.05721	119854	146946	5
2019.06.04	1.05720	1.06075	1.05690	1.05786	120262	154210	4
2019.06.05	1.05787	1.05873	1.04989	1.05258	119933	155055	2
2019.06.06	1.05182	1.05411	1.05091	1.05316	119379	145247	4
2019.06.07	1.05302	1.05445	1.04986	1.04986	111327	137064	4
2019.06.10	1.05100	1.05346	1.04984	1.05274	96777	125695	4
2019.06.11	1.05258	1.05795	1.05241	1.05737	108289	143983	4
2019.06.12	1.05739	1.05806	1.05352	1.05352	107376	146621	4
2019.06.13	1.05342	1.05427	1.05051	1.05242	95917	127015	4
2019.06.14	1.05206	1.05877	1.05205	1.05754	98146	115336	4
2019.06.17	1.05714	1.05883	1.05376	1.05494	69523	85630	6
2019.06.18	1.05494	1.05513	1.05060	1.05278	99781	127428	4
2019.06.19	1.05270	1.05361	1.05128	1.05201	93455	119551	4
2019.06.20	1.05198	1.05335	1.04785	1.05061	120422	151597	4
2019.06.21	1.05022	1.05368	1.04972	1.05092	107605	139621	5
2019.06.24	1.05132	1.05497	1.05081	1.05150	88226	102417	4
2019.06.25	1.05134	1.05248	1.04615	1.04800	119518	146391	4
2019.06.26	1.04803	1.05342	1.04414	1.04487	103270	128149	4
2019.06.27	1.04544	1.04769	1.04438	1.04583	90418	112588	4
2019.06.28	1.04586	1.04668	1.04362	1.04466	84636	104819	6
2019.07.01	1.04564	1.04675	1.04266	1.04313	92838	113425	4
2019.07.02	1.04360	1.04998	1.04269	1.04760	83631	102821	4
2019.07.03	1.04753	1.04974	1.04585	1.04743	81576	103031	2
2019.07.04	1.04726	1.05115	1.04726	1.04953	50877	61398	4
2019.07.05	1.04916	1.05441	1.04911	1.05295	82942	101597	4
2019.07.08	1.05244	1.05379	1.05079	1.05201	58096	76978	3
2019.07.09	1.05186	1.05266	1.04783	1.04838	68248	90363	4
2019.07.10	1.04831	1.05339	1.04591	1.04682	88702	117064	4
2019.07.11	1.04678	1.04760	1.04431	1.04639	87141	115323	4
2019.07.12	1.04642	1.04917	1.04598	1.04812	82936	107207	6
2019.07.15	1.04878	1.04929	1.04456	1.04721	67165	89213	4
2019.07.16	1.04718	1.04861	1.04428	1.04581	89509	115008	4
2019.07.17	1.04582	1.04697	1.04065	1.04113	83538	111972	2
2019.07.18	1.04114	1.04454	1.03992	1.04290	105624	139067	4
2019.07.19	1.04288	1.04345	1.04002	1.04111	104943	141465	4
2019.07.22	1.04062	1.04222	1.03852	1.04046	68617	92496	1
2019.07.23	1.04046	1.04521	1.04015	1.04465	72097	91872	4
2019.07.24	1.04468	1.04538	1.03944	1.04026	72303	90664	4
2019.07.25	1.04026	1.04374	1.03976	1.04272	91769	120298	4
2019.07.26	1.04272	1.04399	1.04112	1.04135	64687	93709	4
2019.07.29	1.04077	1.04347	1.04033	1.04048	45592	65932	5
2019.07.30	1.04047	1.04175	1.03890	1.03891	60835	84027	4
2019.07.31	1.03890	1.04563	1.03856	1.04262	116797	161564	4
2019.08.01	1.04284	1.04538	1.03622	1.03760	132158	183885	4
2019.08.02	1.03737	1.04192	1.03610	1.03962	124413	170750	4
2019.08.05	1.04035	1.04278	1.03412	1.03414	119092	165767	4
2019.08.06	1.03384	1.03941	1.02627	1.03572	132070	178636	4
2019.08.07	1.03611	1.04956	1.03368	1.04882	151142	201688	4
2019.08.08	1.04779	1.05208	1.04592	1.04918	115792	153738	5
2019.08.09	1.04896	1.05106	1.04718	1.04887	117602	151915	6
2019.08.12	1.04814	1.05145	1.04532	1.04669	129240	173825	4
2019.08.13	1.04550	1.05443	1.04521	1.05235	140462	186558	4
2019.08.14	1.05134	1.05357	1.04783	1.04808	131437	179827	7
2019.08.15	1.04770	1.05362	1.04763	1.05085	116636	170770	5
2019.08.16	1.05054	1.05555	1.05031	1.05435	93680	131746	6
2019.08.19	1.05413	1.05687	1.05224	1.05490	66495	93787	6
2019.08.20	1.05467	1.05822	1.05410	1.05593	75407	102452	5
2019.08.21	1.05597	1.06013	1.05596	1.05863	70305	96361	5
2019.08.22	1.05863	1.06158	1.05775	1.06077	90508	116462	1
2019.08.23	1.06074	1.06146	1.05471	1.05503	125264	154336	2
2019.08.26	1.05504	1.06132	1.05307	1.05918	168049	210881	1
2019.08.27	1.05933	1.06213	1.05780	1.06096	99065	124007	4
2019.08.28	1.06094	1.06496	1.06040	1.06242	113659	146150	4
2019.08.29	1.06226	1.06700	1.06158	1.06541	115917	147760	4
2019.08.30	1.06539	1.06931	1.06497	1.06735	112990	144009	4
2019.09.02	1.06675	1.06857	1.06390	1.06419	83294	105574	4
2019.09.03	1.06416	1.07083	1.06405	1.06624	111954	142307	4
2019.09.04	1.06617	1.07060	1.06596	1.06813	95609	120046	4
2019.09.05	1.06809	1.07077	1.06639	1.06870	109038	136593	1
2019.09.06	1.06875	1.07041	1.06320	1.06517	96667	121473	4
2019.09.09	1.06553	1.06930	1.06314	1.06748	86028	108505	4
2019.09.10	1.06721	1.06945	1.06443	1.06753	83323	103750	4
2019.09.11	1.06775	1.07045	1.06765	1.06992	77520	99952	4
2019.09.12	1.06978	1.07225	1.06759	1.07076	97930	124700	4
2019.09.13	1.07069	1.07964	1.07066	1.07845	80768	102631	4
2019.09.16	1.07654	1.08286	1.07592	1.08152	82395	107930	4
2019.09.17	1.08156	1.08271	1.07882	1.07909	89547	117248	4
2019.09.18	1.07898	1.08142	1.07821	1.08059	82771	108549	4
2019.09.19	1.08003	1.08136	1.07477	1.07731	104935	134892	4
2019.09.20	1.07683	1.08392	1.07660	1.08042	88198	115808	4
2019.09.23	1.08061	1.08191	1.07557	1.07559	79346	102779	5
2019.09.24	1.07561	1.07924	1.07388	1.07502	92519	148876	4
2019.09.25	1.07512	1.07683	1.07020	1.07601	99219	128503	4
2019.09.26	1.07594	1.07703	1.07062	1.07163	98456	133263	1
2019.09.27	1.07149	1.07553	1.07147	1.07413	100687	139995	3
2019.09.30	1.07475	1.07979	1.07396	1.07732	103782	145261	1
2019.10.01	1.07736	1.08048	1.07262	1.07355	135543	183402	3
2019.10.02	1.07327	1.07501	1.06903	1.06928	113575	162319	4
2019.10.03	1.06896	1.07251	1.06748	1.06980	113656	160123	4
2019.10.04	1.06821	1.07238	1.06744	1.07135	132684	189348	5
