<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	00:00:00	0.94942	0.95089	0.94560	0.94639	10258	17843	16
2015.01.02	04:00:00	0.94639	0.94787	0.94558	0.94762	4827	8362	21
2015.01.02	08:00:00	0.94764	0.94939	0.94688	0.94939	7208	16323	14
2015.01.02	12:00:00	0.94944	0.94949	0.94633	0.94833	8413	16857	8
2015.01.02	16:00:00	0.94828	0.95325	0.94769	0.95254	15726	29348	6
2015.01.02	20:00:00	0.95249	0.95372	0.94994	0.95303	8012	14464	14
2015.01.05	00:00:00	0.95074	0.95768	0.95023	0.95309	13563	20142	10
2015.01.05	04:00:00	0.95308	0.95409	0.94890	0.95029	10287	14895	12
2015.01.05	08:00:00	0.95030	0.95259	0.94918	0.95194	11047	23849	12
2015.01.05	12:00:00	0.95191	0.95289	0.95018	0.95144	13786	28793	11
2015.01.05	16:00:00	0.95137	0.95554	0.95108	0.95341	14654	30020	10
2015.01.05	20:00:00	0.95334	0.95354	0.94990	0.95069	9024	18452	11
2015.01.06	00:00:00	0.95048	0.95437	0.95024	0.95329	9405	14953	12
2015.01.06	04:00:00	0.95329	0.95658	0.95328	0.95585	9700	20422	9
2015.01.06	08:00:00	0.95586	0.95800	0.95548	0.95673	13525	28955	9
2015.01.06	12:00:00	0.95676	0.95839	0.95603	0.95613	12866	25788	12
2015.01.06	16:00:00	0.95613	0.95870	0.95463	0.95759	22302	43210	11
2015.01.06	20:00:00	0.95759	0.95959	0.95633	0.95671	11430	23134	10
2015.01.07	00:00:00	0.95664	0.95692	0.95324	0.95488	10340	14262	10
2015.01.07	04:00:00	0.95489	0.95589	0.95390	0.95523	7426	10927	9
2015.01.07	08:00:00	0.95529	0.95843	0.95395	0.95658	12678	20346	10
2015.01.07	12:00:00	0.95658	0.95709	0.95286	0.95436	15335	29690	10
2015.01.07	16:00:00	0.95436	0.95473	0.95124	0.95409	15950	31333	9
2015.01.07	20:00:00	0.95406	0.95629	0.95340	0.95434	15204	30856	9
2015.01.08	00:00:00	0.95434	0.95805	0.95366	0.95684	10006	16945	7
