<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	00:00:00	0.94930	0.95082	0.94750	0.94966	11476	10161350000	21
2015.01.02	04:00:00	0.94964	0.94966	0.94560	0.94686	16809	8094700000	18
2015.01.02	08:00:00	0.94684	0.94919	0.94684	0.94850	17295	6578050000	13
2015.01.02	12:00:00	0.94850	0.94950	0.94636	0.94735	18820	4467400000	9
2015.01.02	16:00:00	0.94729	0.95326	0.94691	0.95169	25802	9941000000	10
2015.01.02	20:00:00	0.95165	0.95345	0.95154	0.95230	17499	6173000000	11
2015.01.03	00:00:00	0.95231	0.95374	0.94991	0.95314	3313	300650000	17
2015.01.05	00:00:00	0.95057	0.95767	0.95017	0.95361	19558	5570050000	5
2015.01.05	04:00:00	0.95361	0.95470	0.95092	0.95201	20936	6256350000	7
2015.01.05	08:00:00	0.95200	0.95200	0.94887	0.95154	22612	3832300000	12
2015.01.05	12:00:00	0.95156	0.95290	0.95016	0.95077	27210	4766800000	10
2015.01.05	16:00:00	0.95078	0.95550	0.95052	0.95385	30333	7549800000	11
2015.01.05	20:00:00	0.95385	0.95403	0.95006	0.95026	19962	5958000000	4
2015.01.06	00:00:00	0.95029	0.95442	0.94995	0.95411	17241	2782850000	11
2015.01.06	04:00:00	0.95414	0.95659	0.95215	0.95431	21092	5742449000	3
2015.01.06	08:00:00	0.95431	0.95778	0.95426	0.95693	25491	7520050000	14
2015.01.06	12:00:00	0.95701	0.95837	0.95608	0.95693	27424	5448250000	16
2015.01.06	16:00:00	0.95693	0.95868	0.95458	0.95805	34353	9174850000	13
2015.01.06	20:00:00	0.95800	0.95955	0.95632	0.95752	25659	4808750000	2
2015.01.07	00:00:00	0.95754	0.95787	0.95330	0.95363	19051	5245400000	2
2015.01.07	04:00:00	0.95365	0.95582	0.95325	0.95502	19596	5119400000	13
2015.01.07	08:00:00	0.95502	0.95687	0.95389	0.95659	24851	4441550000	1
