<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	08:00:00	0.94775	0.94926	0.94684	0.94926	7901	0	37
2015.01.02	12:00:00	0.94926	0.94938	0.94621	0.94822	8924	0	37
2015.01.02	16:00:00	0.94819	0.95320	0.94757	0.95232	15175	0	37
2015.01.02	20:00:00	0.95232	0.95370	0.94982	0.95342	7393	0	37
2015.01.05	00:00:00	0.95067	0.95743	0.95007	0.95301	14802	0	37
2015.01.05	04:00:00	0.95302	0.95398	0.94874	0.95019	10581	0	37
2015.01.05	08:00:00	0.95020	0.95255	0.94910	0.95183	12356	0	37
2015.01.05	12:00:00	0.95190	0.95282	0.95008	0.95132	14750	0	37
2015.01.05	16:00:00	0.95130	0.95543	0.95100	0.95331	16598	0	37
2015.01.05	20:00:00	0.95328	0.95344	0.94983	0.95052	8835	0	37
2015.01.06	00:00:00	0.95016	0.95433	0.95016	0.95324	8287	0	38
2015.01.06	04:00:00	0.95325	0.95649	0.95320	0.95572	10414	0	37
2015.01.06	08:00:00	0.95573	0.95792	0.95539	0.95667	14700	0	37
2015.01.06	12:00:00	0.95667	0.95827	0.95593	0.95599	13083	0	37
2015.01.06	16:00:00	0.95600	0.95864	0.95449	0.95751	22452	0	37
2015.01.06	20:00:00	0.95752	0.95946	0.95622	0.95647	11455	0	37
2015.01.07	00:00:00	0.95621	0.95688	0.95313	0.95475	8490	0	37
2015.01.07	04:00:00	0.95478	0.95584	0.95380	0.95511	8220	0	37
2015.01.07	08:00:00	0.95511	0.95835	0.95379	0.95652	16744	0	37
2015.01.07	12:00:00	0.95652	0.95694	0.95277	0.95427	17829	0	37
2015.01.07	16:00:00	0.95427	0.95457	0.95114	0.95400	18409	0	37
2015.01.07	20:00:00	0.95405	0.95624	0.95335	0.95412	15367	0	37
2015.01.08	00:00:00	0.95378	0.95798	0.95360	0.95665	9599	0	37
2015.01.08	04:00:00	0.95668	0.95950	0.95589	0.95937	7117	0	38
2015.01.08	08:00:00	0.95936	0.96006	0.95737	0.95805	12819	0	37
2015.01.08	12:00:00	0.95807	0.95905	0.95563	0.95832	14358	0	37
2015.01.08	16:00:00	0.95830	0.96043	0.95739	0.96039	18722	0	37
2015.01.08	20:00:00	0.96039	0.96119	0.95927	0.96077	9649	0	37
2015.01.09	00:00:00	0.96082	0.96198	0.95840	0.96083	9998	0	37
2015.01.09	04:00:00	0.96085	0.96248	0.96075	0.96218	10228	0	38
2015.01.09	08:00:00	0.96220	0.96236	0.96055	0.96209	12605	0	37
2015.01.09	12:00:00	0.96211	0.96810	0.96021	0.96776	18883	0	37
2015.01.09	16:00:00	0.96772	0.97306	0.96743	0.97114	23859	0	37
2015.01.09	20:00:00	0.97114	0.97414	0.97073	0.97279	8860	0	37
2015.01.12	00:00:00	0.97367	0.97615	0.97274	0.97581	6715	0	39
2015.01.12	04:00:00	0.97575	0.97732	0.97463	0.97684	7984	0	37
2015.01.12	08:00:00	0.97683	0.97725	0.96930	0.96949	15502	0	37
2015.01.12	12:00:00	0.96950	0.97066	0.96757	0.97045	13770	0	37
2015.01.12	16:00:00	0.97046	0.97422	0.96980	0.97314	18588	0	37
2015.01.12	20:00:00	0.97314	0.97697	0.97314	0.97652	10799	0	37
2015.01.13	00:00:00	0.97607	0.97720	0.97310	0.97674	10264	0	37
2015.01.13	04:00:00	0.97675	0.97892	0.97506	0.97522	11846	0	37
2015.01.13	08:00:00	0.97523	0.97936	0.97467	0.97497	13764	0	37
2015.01.13	12:00:00	0.97498	0.97695	0.97378	0.97470	15342	0	37
2015.01.13	16:00:00	0.97466	0.97584	0.97139	0.97501	16667	0	37
2015.01.13	20:00:00	0.97499	0.97648	0.97385	0.97609	11803	0	37
2015.01.14	00:00:00	0.97617	0.97842	0.97520	0.97524	10061	0	37
2015.01.14	04:00:00	0.97525	0.97598	0.96805	0.97010	16223	0	37
2015.01.14	08:00:00	0.97011	0.97570	0.96801	0.97412	21544	0	37
2015.01.14	12:00:00	0.97412	0.97680	0.97147	0.97543	19586	0	37
2015.01.14	16:00:00	0.97538	0.97639	0.97184	0.97605	20673	0	37
2015.01.14	20:00:00	0.97604	0.97721	0.97310	0.97368	14037	0	37
2015.01.15	00:00:00	0.97378	0.98212	0.97142	0.97833	14529	0	37
2015.01.15	04:00:00	0.97835	0.98296	0.97782	0.98287	10800	0	37
2015.01.15	08:00:00	0.98288	0.98473	0.97522	0.97920	19650	0	37
2015.01.15	12:00:00	0.97933	0.98127	0.97395	0.97967	31583	0	37
2015.01.15	16:00:00	0.97970	0.98189	0.97812	0.97925	37430	0	37
2015.01.15	20:00:00	0.97924	0.98489	0.97913	0.98206	19453	0	38
2015.01.16	00:00:00	0.98128	0.98657	0.97815	0.98647	13735	0	38
2015.01.16	04:00:00	0.98652	0.98753	0.98454	0.98480	16334	0	37
2015.01.16	08:00:00	0.98479	0.98596	0.98315	0.98486	19788	0	37
2015.01.16	12:00:00	0.98486	0.98869	0.98372	0.98409	22363	0	37
2015.01.16	16:00:00	0.98407	0.98481	0.98061	0.98455	29826	0	37
2015.01.16	20:00:00	0.98454	0.98710	0.98419	0.98533	9426	0	39
2015.01.19	00:00:00	0.98392	0.98617	0.98262	0.98431	10143	0	37
2015.01.19	04:00:00	0.98430	0.98502	0.98100	0.98219	9854	0	38
2015.01.19	08:00:00	0.98219	0.98413	0.98145	0.98177	13673	0	38
2015.01.19	12:00:00	0.98177	0.98464	0.98061	0.98400	13533	0	37
2015.01.19	16:00:00	0.98401	0.98536	0.98128	0.98143	12691	0	38
2015.01.19	20:00:00	0.98142	0.98232	0.97953	0.98000	12061	0	37
2015.01.20	00:00:00	0.97996	0.98136	0.97722	0.98095	12170	0	38
2015.01.20	04:00:00	0.98096	0.98239	0.97732	0.97940	13275	0	37
2015.01.20	08:00:00	0.97941	0.98238	0.97774	0.98175	16151	0	37
2015.01.20	12:00:00	0.98174	0.98585	0.98085	0.98495	17755	0	37
2015.01.20	16:00:00	0.98494	0.99002	0.98424	0.98802	21558	0	37
2015.01.20	20:00:00	0.98798	0.99038	0.98742	0.98937	11523	0	37
2015.01.21	00:00:00	0.98942	0.98989	0.98712	0.98941	11306	0	38
2015.01.21	04:00:00	0.98944	0.99323	0.98917	0.99201	13793	0	38
2015.01.21	08:00:00	0.99199	0.99399	0.98840	0.98953	16079	0	37
2015.01.21	12:00:00	0.98953	0.99319	0.98929	0.99251	18240	0	37
2015.01.21	16:00:00	0.99250	1.00827	0.99011	1.00075	44053	0	37
2015.01.21	20:00:00	1.00072	1.00121	0.99695	0.99729	18482	0	37
2015.01.22	00:00:00	0.99734	1.00078	0.99692	0.99949	15324	0	37
2015.01.22	04:00:00	0.99947	0.99989	0.99541	0.99775	15712	0	38
2015.01.22	08:00:00	0.99775	1.00203	0.99741	0.99979	18202	0	37
2015.01.22	12:00:00	0.99980	1.00442	0.99833	1.00273	24158	0	37
2015.01.22	16:00:00	1.00267	1.00393	0.99832	0.99962	31986	0	37
2015.01.22	20:00:00	0.99960	1.00075	0.99203	0.99338	19572	0	37
2015.01.23	00:00:00	0.99341	0.99556	0.99107	0.99268	13758	0	38
2015.01.23	04:00:00	0.99269	0.99455	0.98784	0.99010	15662	0	37
2015.01.23	08:00:00	0.99009	0.99153	0.98545	0.98747	20257	0	37
2015.01.23	12:00:00	0.98747	0.98937	0.97950	0.98159	32482	0	37
2015.01.23	16:00:00	0.98161	0.98688	0.98123	0.98204	26522	0	37
2015.01.23	20:00:00	0.98208	0.98588	0.98082	0.98264	11927	0	40
2015.01.26	00:00:00	0.97917	0.98416	0.97847	0.98203	17236	0	39
2015.01.26	04:00:00	0.98204	0.98298	0.97996	0.98255	11649	0	37
2015.01.26	08:00:00	0.98252	0.98700	0.98025	0.98651	17863	0	37
2015.01.26	12:00:00	0.98653	0.98712	0.98318	0.98596	16475	0	37
2015.01.26	16:00:00	0.98598	0.98639	0.98348	0.98471	18780	0	37
2015.01.26	20:00:00	0.98472	0.98892	0.98459	0.98817	10622	0	38
2015.01.27	00:00:00	0.98819	0.99020	0.98680	0.98972	11147	0	37
2015.01.27	04:00:00	0.98967	0.99164	0.98805	0.99072	10282	0	37
2015.01.27	08:00:00	0.99074	0.99183	0.98749	0.99079	19155	0	37
