<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	109.648	109.726	109.542	109.597	14955	28303	1
2019.01.02	04:00:00	109.597	109.611	109.297	109.303	12894	29514	1
2019.01.02	08:00:00	109.302	109.346	108.707	108.941	26890	52201	1
2019.01.02	12:00:00	108.942	109.285	108.820	109.188	27976	54875	1
2019.01.02	16:00:00	109.187	109.464	109.175	109.442	31412	58051	1
2019.01.02	20:00:00	109.442	109.455	108.867	108.874	17028	31270	1
2019.01.03	00:00:00	108.872	108.898	104.736	107.535	37406	57395	1
2019.01.03	04:00:00	107.534	107.549	106.746	106.967	17821	34503	1
2019.01.03	08:00:00	106.968	107.958	106.797	107.657	33358	61429	1
2019.01.03	12:00:00	107.658	107.999	107.505	107.747	22630	41914	1
2019.01.03	16:00:00	107.746	108.304	107.104	108.024	50271	93933	1
2019.01.03	20:00:00	108.024	108.028	107.393	107.646	24714	47767	1
2019.01.04	00:00:00	107.646	107.969	107.512	107.840	30782	52675	1
2019.01.04	04:00:00	107.839	108.445	107.805	108.252	19282	37006	1
2019.01.04	08:00:00	108.253	108.282	107.821	108.031	25008	48593	1
2019.01.04	12:00:00	108.032	108.452	107.928	108.300	24404	45582	1
2019.01.04	16:00:00	108.300	108.589	108.064	108.449	44957	85808	1
2019.01.04	20:00:00	108.449	108.586	108.352	108.518	16926	33694	1
2019.01.07	00:00:00	108.503	108.622	108.321	108.369	19007	33499	1
2019.01.07	04:00:00	108.371	108.391	108.019	108.191	15156	30150	1
2019.01.07	08:00:00	108.193	108.273	108.067	108.196	17603	34976	1
2019.01.07	12:00:00	108.196	108.407	108.146	108.354	14099	30569	1
2019.01.07	16:00:00	108.354	108.647	108.208	108.604	28274	63731	1
2019.01.07	20:00:00	108.606	108.747	108.515	108.705	13719	28257	1
2019.01.08	00:00:00	108.702	108.773	108.512	108.560	14818	27875	1
2019.01.08	04:00:00	108.559	108.997	108.527	108.785	14605	31531	1
2019.01.08	08:00:00	108.784	109.087	108.736	108.872	18656	36993	1
2019.01.08	12:00:00	108.875	108.902	108.601	108.872	18802	36954	1
2019.01.08	16:00:00	108.873	108.960	108.441	108.589	28934	57920	1
2019.01.08	20:00:00	108.588	108.833	108.561	108.723	12440	25621	1
2019.01.09	00:00:00	108.727	108.858	108.681	108.790	16029	29901	1
2019.01.09	04:00:00	108.790	109.001	108.776	108.854	12858	26545	1
2019.01.09	08:00:00	108.853	108.990	108.790	108.906	14649	29394	1
2019.01.09	12:00:00	108.907	108.942	108.724	108.748	13934	30157	1
2019.01.09	16:00:00	108.748	108.754	108.050	108.316	33961	63796	1
2019.01.09	20:00:00	108.317	108.365	107.971	108.158	21710	43165	1
2019.01.10	00:00:00	108.158	108.257	107.843	107.972	22477	45001	1
2019.01.10	04:00:00	107.971	108.000	107.819	107.909	14767	30537	1
2019.01.10	08:00:00	107.909	108.148	107.769	108.093	19223	37181	1
2019.01.10	12:00:00	108.093	108.227	107.963	108.191	15728	30647	1
2019.01.10	16:00:00	108.191	108.434	107.919	108.392	26862	57959	1
2019.01.10	20:00:00	108.392	108.518	108.203	108.425	16423	35197	1
2019.01.11	00:00:00	108.425	108.473	108.272	108.390	17178	32481	1
2019.01.11	04:00:00	108.394	108.401	108.230	108.298	11079	22936	1
2019.01.11	08:00:00	108.298	108.432	108.232	108.334	13715	27802	1
2019.01.11	12:00:00	108.334	108.363	108.145	108.203	16525	33762	1
2019.01.11	16:00:00	108.201	108.597	108.188	108.406	25921	52704	1
2019.01.11	20:00:00	108.405	108.572	108.376	108.528	7596	15013	1
2019.01.14	00:00:00	108.499	108.555	108.167	108.204	8748	16539	1
2019.01.14	04:00:00	108.205	108.260	108.060	108.107	7599	15127	1
2019.01.14	08:00:00	108.108	108.222	108.043	108.145	12898	24957	1
2019.01.14	12:00:00	108.144	108.239	107.986	108.195	16429	32949	1
2019.01.14	16:00:00	108.195	108.355	108.075	108.185	19451	41138	1
2019.01.14	20:00:00	108.184	108.260	108.149	108.157	7545	14379	1
2019.01.15	00:00:00	108.154	108.469	108.134	108.409	18839	34205	1
2019.01.15	04:00:00	108.409	108.753	108.398	108.714	12778	25906	1
2019.01.15	08:00:00	108.715	108.737	108.515	108.564	14897	30047	1
2019.01.15	12:00:00	108.563	108.651	108.329	108.360	20902	43332	1
2019.01.15	16:00:00	108.359	108.765	108.351	108.620	26608	55160	1
2019.01.15	20:00:00	108.621	108.734	108.370	108.643	16910	35254	1
2019.01.16	00:00:00	108.632	108.716	108.370	108.427	15584	29498	1
2019.01.16	04:00:00	108.426	108.545	108.386	108.477	9981	20504	1
2019.01.16	08:00:00	108.477	108.640	108.428	108.629	12350	25146	1
2019.01.16	12:00:00	108.629	108.882	108.617	108.807	13188	26004	1
2019.01.16	16:00:00	108.806	108.996	108.675	108.967	20822	42357	1
2019.01.16	20:00:00	108.967	109.195	108.831	109.087	15745	30850	1
2019.01.17	00:00:00	109.087	109.119	108.834	108.901	19153	34669	1
2019.01.17	04:00:00	108.901	109.063	108.860	108.946	10401	21493	1
2019.01.17	08:00:00	108.945	108.946	108.701	108.737	16326	33846	1
2019.01.17	12:00:00	108.736	108.897	108.686	108.847	14942	32218	1
2019.01.17	16:00:00	108.850	109.102	108.791	108.978	21400	46423	1
