<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:00:00	0.98208	0.98273	0.97798	0.97910	48777	0	0
2018.01.03	00:00:00	0.97910	0.98359	0.97744	0.98159	67952	0	0
2018.01.04	00:00:00	0.98157	0.98496	0.98055	0.98136	70983	0	0
2018.01.05	00:00:00	0.98129	0.98255	0.97097	0.97569	75205	0	0
2018.01.08	00:00:00	0.97532	0.97634	0.97128	0.97349	57971	0	0
2018.01.09	00:00:00	0.97357	0.97571	0.97188	0.97463	73789	0	0
2018.01.10	00:00:00	0.97457	0.98567	0.97353	0.98331	98059	0	0
2018.01.11	00:00:00	0.98327	0.99055	0.98265	0.98762	90068	0	0
2018.01.12	00:00:00	0.98732	0.98884	0.98432	0.98595	96977	0	0
2018.01.15	00:00:00	0.98436	0.99065	0.98389	0.98938	91739	0	0
2018.01.16	00:00:00	0.98948	0.99088	0.98574	0.98921	88020	0	0
2018.01.17	00:00:00	0.98925	0.99823	0.98590	0.99068	110951	0	0
2018.01.18	00:00:00	0.99065	0.99751	0.98949	0.99305	100318	0	0
2018.01.19	00:00:00	0.99301	0.99997	0.99217	0.99789	92978	0	0
2018.01.22	00:00:00	0.99739	0.99943	0.99642	0.99713	69832	0	0
2018.01.23	00:00:00	0.99713	0.99872	0.99253	0.99295	87161	0	0
2018.01.24	00:00:00	0.99256	0.99772	0.99253	0.99502	100040	0	0
2018.01.25	00:00:00	0.99499	0.99820	0.99118	0.99262	130677	0	0
2018.01.26	00:00:00	0.99265	1.00087	0.99125	0.99871	110093	0	0
2018.01.29	00:00:00	0.99690	1.00043	0.99593	0.99836	93075	0	0
2018.01.30	00:00:00	0.99832	0.99939	0.99523	0.99658	97295	0	0
2018.01.31	00:00:00	0.99645	0.99954	0.98956	0.99147	111288	0	0
2018.02.01	00:00:00	0.99144	0.99225	0.98408	0.98564	107006	0	0
2018.02.02	00:00:00	0.98564	0.98625	0.98044	0.98387	118071	0	0
2018.02.05	00:00:00	0.98337	0.99042	0.98197	0.98725	127765	0	0
2018.02.06	00:00:00	0.98705	0.98841	0.98385	0.98719	173749	0	0
2018.02.07	00:00:00	0.98718	0.98826	0.98211	0.98249	108487	0	0
2018.02.08	00:00:00	0.98250	0.98533	0.97992	0.98022	137466	0	0
2018.02.09	00:00:00	0.98023	0.99029	0.97823	0.98186	128630	0	0
2018.02.12	00:00:00	0.98351	0.98960	0.98200	0.98821	77489	0	0
2018.02.13	00:00:00	0.98809	0.99095	0.98627	0.98931	82734	0	0
2018.02.14	00:00:00	0.98907	0.99192	0.98271	0.98968	118724	0	0
2018.02.15	00:00:00	0.98958	0.99329	0.98752	0.99098	108778	0	0
2018.02.16	00:00:00	0.99104	0.99510	0.99052	0.99306	95605	0	0
2018.02.19	00:00:00	0.99287	0.99499	0.99249	0.99353	58726	0	0
2018.02.20	00:00:00	0.99300	0.99749	0.99264	0.99627	92875	0	0
2018.02.21	00:00:00	0.99632	0.99884	0.99017	0.99056	98379	0	0
2018.02.22	00:00:00	0.99052	0.99789	0.98910	0.99651	91082	0	0
2018.02.23	00:00:00	0.99602	0.99692	0.98666	0.99011	79992	0	0
2018.02.26	00:00:00	0.99051	0.99639	0.99014	0.99534	73948	0	0
2018.02.27	00:00:00	0.99548	0.99768	0.99333	0.99474	91571	0	0
2018.02.28	00:00:00	0.99462	0.99907	0.99395	0.99544	93363	0	0
2018.03.01	00:00:00	0.99538	0.99689	0.99116	0.99515	125486	0	0
2018.03.02	00:00:00	0.99515	1.00109	0.99437	0.99998	113363	0	0
2018.03.05	00:00:00	0.99894	1.00877	0.99812	1.00620	96169	0	0
2018.03.06	00:00:00	1.00620	1.01145	1.00584	1.00756	111613	0	0
2018.03.07	00:00:00	1.00751	1.01350	1.00582	1.00983	120729	0	0
2018.03.08	00:00:00	1.00965	1.01163	1.00359	1.00389	98080	0	0
2018.03.09	00:00:00	1.00389	1.00805	1.00056	1.00501	100508	0	0
2018.03.11	00:00:00	1.00486	1.00581	1.00486	1.00552	782	0	0
2018.03.12	00:00:00	1.00560	1.01147	1.00554	1.01090	54909	0	0
2018.03.13	00:00:00	1.01090	1.01972	1.01032	1.01716	99142	0	0
2018.03.14	00:00:00	1.01715	1.02417	1.01691	1.02005	89398	0	0
2018.03.15	00:00:00	1.02006	1.02115	1.01657	1.01735	86419	0	0
2018.03.16	00:00:00	1.01736	1.01871	1.00929	1.01002	82624	0	0
2018.03.18	00:00:00	1.01008	1.01042	1.00946	1.00966	366	0	0
2018.03.19	00:00:00	1.00969	1.01090	1.00654	1.00897	88934	0	0
2018.03.20	00:00:00	1.00898	1.00933	1.00372	1.00429	87828	0	0
2018.03.21	00:00:00	1.00433	1.00565	0.99662	1.00143	103291	0	0
2018.03.22	00:00:00	1.00148	1.00330	0.99361	0.99495	103965	0	0
2018.03.23	00:00:00	0.99492	0.99816	0.99083	0.99201	101169	0	0
2018.03.26	00:00:00	0.99236	0.99858	0.99152	0.99469	86040	0	0
2018.03.27	00:00:00	0.99467	0.99607	0.98887	0.98913	85972	0	0
2018.03.28	00:00:00	0.98913	0.99140	0.98725	0.98941	110274	0	0
2018.03.29	00:00:00	0.98923	0.99300	0.98802	0.98883	79530	0	0
2018.03.30	00:00:00	0.98883	0.99244	0.98842	0.98977	75201	0	0
2018.04.02	00:00:00	0.99106	0.99163	0.98725	0.98912	52869	0	0
2018.04.03	00:00:00	0.98913	0.99218	0.98119	0.98382	82761	0	0
2018.04.04	00:00:00	0.98363	0.98748	0.98232	0.98489	98011	0	0
2018.04.05	00:00:00	0.98488	0.98584	0.97888	0.97909	79756	0	0
2018.04.06	00:00:00	0.97909	0.98257	0.97815	0.98067	90873	0	0
2018.04.09	00:00:00	0.97975	0.98272	0.97688	0.97688	79603	0	0
2018.04.10	00:00:00	0.97688	0.98178	0.97688	0.97775	87245	0	0
2018.04.11	00:00:00	0.97767	0.97852	0.97479	0.97490	77255	0	0
2018.04.12	00:00:00	0.97491	0.97812	0.97415	0.97548	80054	0	0
2018.04.13	00:00:00	0.97544	0.98111	0.97543	0.97839	69375	0	0
2018.04.13	15:00:00	0.97980	0.98004	0.97887	0.97896	3425	0	0
2018.04.13	16:00:00	0.97896	0.98016	0.97889	0.97895	4601	0	0
2018.04.13	17:00:00	0.97894	0.97996	0.97882	0.97993	5689	0	0
2018.04.13	18:00:00	0.97994	0.98004	0.97875	0.97888	5132	0	0
2018.04.13	19:00:00	0.97889	0.97936	0.97851	0.97874	3682	0	0
2018.04.13	20:00:00	0.97871	0.97930	0.97858	0.97922	2755	0	0
2018.04.13	21:00:00	0.97920	0.97924	0.97867	0.97875	2979	0	0
2018.04.13	22:00:00	0.97873	0.97970	0.97859	0.97909	3839	0	0
2018.04.13	23:00:00	0.97906	0.97935	0.97824	0.97839	1491	0	0
2018.04.16	00:00:00	0.97780	0.97842	0.97748	0.97777	676	0	0
2018.04.16	01:00:00	0.97782	0.98009	0.97776	0.97991	1933	0	0
2018.04.16	02:00:00	0.97993	0.97994	0.97909	0.97947	994	0	0
2018.04.16	03:00:00	0.97947	0.98038	0.97926	0.97986	2161	0	0
2018.04.16	04:00:00	0.97987	0.98064	0.97980	0.97984	2167	0	0
2018.04.16	05:00:00	0.97984	0.98056	0.97965	0.97993	1522	0	0
2018.04.16	06:00:00	0.97992	0.98061	0.97982	0.98024	1462	0	0
2018.04.16	07:00:00	0.98025	0.98037	0.97992	0.98019	1357	0	0
2018.04.16	08:00:00	0.98018	0.98040	0.97972	0.97987	1699	0	0
2018.04.16	09:00:00	0.97988	0.98028	0.97866	0.97869	3320	0	0
2018.04.16	10:00:00	0.97870	0.97991	0.97827	0.97985	4125	0	0
2018.04.16	11:00:00	0.97985	0.98060	0.97968	0.98056	3100	0	0
2018.04.16	12:00:00	0.98056	0.98060	0.97956	0.97991	2385	0	0
2018.04.16	13:00:00	0.97991	0.98010	0.97886	0.97945	2970	0	0
2018.04.16	14:00:00	0.97943	0.97976	0.97889	0.97902	2708	0	0
2018.04.16	15:00:00	0.97901	0.97919	0.97751	0.97781	4516	0	0
2018.04.16	16:00:00	0.97779	0.97848	0.97761	0.97784	4998	0	0
2018.04.16	17:00:00	0.97785	0.97845	0.97744	0.97752	6092	0	0
2018.04.16	18:00:00	0.97749	0.97829	0.97715	0.97824	4802	0	0
2018.04.16	19:00:00	0.97824	0.97840	0.97792	0.97818	2759	0	0
2018.04.16	20:00:00	0.97819	0.97825	0.97771	0.97785	1916	0	0
2018.04.16	21:00:00	0.97785	0.97795	0.97744	0.97753	1959	0	0
2018.04.16	22:00:00	0.97753	0.97804	0.97753	0.97801	2288	0	0
2018.04.16	23:00:00	0.97801	0.97804	0.97720	0.97730	1263	0	0
2018.04.17	00:00:00	0.97730	0.97785	0.97718	0.97767	663	0	0
2018.04.17	01:00:00	0.97771	0.97802	0.97754	0.97774	770	0	0
2018.04.17	02:00:00	0.97772	0.97794	0.97660	0.97693	979	0	0
2018.04.17	03:00:00	0.97694	0.97783	0.97673	0.97780	1728	0	0
2018.04.17	04:00:00	0.97780	0.97802	0.97659	0.97670	2323	0	0
2018.04.17	05:00:00	0.97669	0.97703	0.97643	0.97687	2094	0	0
2018.04.17	06:00:00	0.97687	0.97689	0.97567	0.97630	2122	0	0
2018.04.17	07:00:00	0.97631	0.97644	0.97593	0.97641	1164	0	0
2018.04.17	08:00:00	0.97641	0.97691	0.97641	0.97679	1598	0	0
2018.04.17	09:00:00	0.97678	0.97777	0.97677	0.97740	3602	0	0
2018.04.17	10:00:00	0.97742	0.97814	0.97721	0.97773	3648	0	0
2018.04.17	11:00:00	0.97771	0.97815	0.97757	0.97764	3011	0	0
2018.04.17	12:00:00	0.97767	0.97818	0.97718	0.97775	3063	0	0
2018.04.17	13:00:00	0.97774	0.97782	0.97624	0.97625	3121	0	0
2018.04.17	14:00:00	0.97624	0.97646	0.97528	0.97566	3198	0	0
2018.04.17	15:00:00	0.97566	0.97616	0.97480	0.97608	4630	0	0
2018.04.17	16:00:00	0.97607	0.97650	0.97511	0.97552	4950	0	0
2018.04.17	17:00:00	0.97555	0.97678	0.97496	0.97644	6225	0	0
2018.04.17	18:00:00	0.97646	0.97653	0.97417	0.97466	4921	0	0
2018.04.17	19:00:00	0.97465	0.97465	0.97355	0.97386	4289	0	0
2018.04.17	20:00:00	0.97385	0.97496	0.97362	0.97487	3003	0	0
2018.04.17	21:00:00	0.97487	0.97542	0.97449	0.97511	2998	0	0
2018.04.17	22:00:00	0.97511	0.97541	0.97476	0.97495	2620	0	0
2018.04.17	23:00:00	0.97493	0.97534	0.97409	0.97409	1464	0	0
2018.04.18	00:00:00	0.97411	0.97550	0.97401	0.97494	1265	0	0
2018.04.18	01:00:00	0.97498	0.97554	0.97495	0.97537	684	0	0
2018.04.18	02:00:00	0.97535	0.97548	0.97509	0.97525	498	0	0
2018.04.18	03:00:00	0.97526	0.97600	0.97518	0.97566	1681	0	0
2018.04.18	04:00:00	0.97563	0.97612	0.97522	0.97574	2793	0	0
2018.04.18	05:00:00	0.97574	0.97617	0.97560	0.97612	1786	0	0
2018.04.18	06:00:00	0.97607	0.97630	0.97585	0.97625	1083	0	0
2018.04.18	07:00:00	0.97625	0.97626	0.97559	0.97592	1171	0	0
2018.04.18	08:00:00	0.97591	0.97659	0.97582	0.97637	1732	0	0
2018.04.18	09:00:00	0.97639	0.97690	0.97599	0.97604	3736	0	0
2018.04.18	10:00:00	0.97606	0.97619	0.97508	0.97521	4100	0	0
2018.04.18	11:00:00	0.97523	0.97572	0.97490	0.97533	4014	0	0
2018.04.18	12:00:00	0.97534	0.97647	0.97513	0.97621	3065	0	0
2018.04.18	13:00:00	0.97621	0.97621	0.97485	0.97529	2628	0	0
2018.04.18	14:00:00	0.97530	0.97593	0.97508	0.97544	2849	0	0
2018.04.18	15:00:00	0.97543	0.97659	0.97532	0.97640	3632	0	0
2018.04.18	16:00:00	0.97640	0.97766	0.97582	0.97616	5657	0	0
2018.04.18	17:00:00	0.97610	0.98242	0.97610	0.98122	10292	0	0
2018.04.18	18:00:00	0.98125	0.98506	0.98087	0.98339	6624	0	0
2018.04.18	19:00:00	0.98338	0.98481	0.98269	0.98436	4528	0	0
2018.04.18	20:00:00	0.98438	0.98482	0.98296	0.98343	3455	0	0
2018.04.18	21:00:00	0.98343	0.98358	0.98302	0.98340	2442	0	0
2018.04.18	22:00:00	0.98344	0.98351	0.98234	0.98237	2658	0	0
2018.04.18	23:00:00	0.98237	0.98326	0.98218	0.98245	1394	0	0
2018.04.19	00:00:00	0.98245	0.98307	0.98238	0.98271	982	0	0
2018.04.19	01:00:00	0.98271	0.98358	0.98244	0.98320	750	0	0
2018.04.19	02:00:00	0.98318	0.98410	0.98307	0.98322	817	0	0
2018.04.19	03:00:00	0.98323	0.98432	0.98318	0.98369	1670	0	0
2018.04.19	04:00:00	0.98365	0.98502	0.98164	0.98185	3375	0	0
2018.04.19	05:00:00	0.98185	0.98326	0.98159	0.98307	2457	0	0
2018.04.19	06:00:00	0.98306	0.98445	0.98306	0.98429	2849	0	0
2018.04.19	07:00:00	0.98429	0.98545	0.98426	0.98504	2604	0	0
2018.04.19	08:00:00	0.98504	0.98564	0.98460	0.98497	2457	0	0
2018.04.19	09:00:00	0.98495	0.98530	0.98389	0.98425	3723	0	0
2018.04.19	10:00:00	0.98426	0.98435	0.98338	0.98381	4149	0	0
2018.04.19	11:00:00	0.98379	0.98407	0.98325	0.98382	3853	0	0
2018.04.19	12:00:00	0.98382	0.98390	0.98301	0.98372	3373	0	0
2018.04.19	13:00:00	0.98375	0.98384	0.98236	0.98262	3459	0	0
2018.04.19	14:00:00	0.98262	0.98265	0.98109	0.98188	3415	0	0
2018.04.19	15:00:00	0.98187	0.98219	0.97932	0.97984	5756	0	0
2018.04.19	16:00:00	0.97981	0.98062	0.97967	0.98051	6194	0	0
2018.04.19	17:00:00	0.98051	0.98101	0.97972	0.98001	6131	0	0
2018.04.19	18:00:00	0.98002	0.98013	0.97898	0.97932	6592	0	0
2018.04.19	19:00:00	0.97930	0.97936	0.97728	0.97826	5279	0	0
2018.04.19	20:00:00	0.97826	0.97897	0.97744	0.97793	5963	0	0
2018.04.19	21:00:00	0.97794	0.97862	0.97743	0.97862	3989	0	0
2018.04.19	22:00:00	0.97862	0.97905	0.97827	0.97870	3622	0	0
2018.04.19	23:00:00	0.97870	0.97924	0.97836	0.97909	1980	0	0
2018.04.20	00:00:00	0.97900	0.97946	0.97793	0.97811	1093	0	0
2018.04.20	01:00:00	0.97813	0.97882	0.97802	0.97836	1055	0	0
2018.04.20	02:00:00	0.97838	0.97856	0.97772	0.97773	1236	0	0
2018.04.20	03:00:00	0.97776	0.97856	0.97732	0.97819	2722	0	0
2018.04.20	04:00:00	0.97820	0.97820	0.97631	0.97714	3154	0	0
2018.04.20	05:00:00	0.97714	0.97738	0.97631	0.97687	2437	0	0
2018.04.20	06:00:00	0.97690	0.97745	0.97661	0.97710	2294	0	0
2018.04.20	07:00:00	0.97711	0.97770	0.97711	0.97738	1535	0	0
2018.04.20	08:00:00	0.97737	0.97746	0.97673	0.97697	2185	0	0
2018.04.20	09:00:00	0.97697	0.97724	0.97631	0.97692	3518	0	0
2018.04.20	10:00:00	0.97691	0.97694	0.97569	0.97636	4170	0	0
2018.04.20	11:00:00	0.97636	0.97685	0.97590	0.97598	2905	0	0
2018.04.20	12:00:00	0.97598	0.97637	0.97432	0.97467	3291	0	0
2018.04.20	13:00:00	0.97467	0.97485	0.97365	0.97463	2607	0	0
2018.04.20	14:00:00	0.97462	0.97469	0.97352	0.97366	3045	0	0
2018.04.20	15:00:00	0.97368	0.97692	0.97211	0.97680	6041	0	0
2018.04.20	16:00:00	0.97679	0.97686	0.97437	0.97462	5660	0	0
2018.04.20	17:00:00	0.97464	0.97631	0.97454	0.97620	7881	0	0
2018.04.20	18:00:00	0.97623	0.97756	0.97592	0.97724	7087	0	0
2018.04.20	19:00:00	0.97725	0.97757	0.97657	0.97716	5092	0	0
2018.04.20	20:00:00	0.97716	0.97748	0.97640	0.97728	3544	0	0
2018.04.20	21:00:00	0.97728	0.97783	0.97695	0.97736	2887	0	0
