<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	0.96118	0.96119	0.95983	0.96031	168	176	134
2019.01.02	00:20:00	0.96031	0.96134	0.95983	0.95983	1344	1371	67
2019.01.02	00:40:00	0.95985	0.96120	0.95974	0.95975	586	768	62
2019.01.02	01:00:00	0.95974	0.96059	0.95971	0.96034	1226	1737	24
2019.01.02	01:20:00	0.96033	0.96034	0.95966	0.95987	1475	2041	18
2019.01.02	01:40:00	0.95988	0.96041	0.95976	0.96024	859	1140	17
2019.01.02	02:00:00	0.96026	0.96056	0.95977	0.96049	1150	1656	18
2019.01.02	02:20:00	0.96048	0.96052	0.95922	0.95929	1222	1658	18
2019.01.02	02:40:00	0.95930	0.95944	0.95911	0.95923	1080	1702	19
2019.01.02	03:00:00	0.95923	0.95970	0.95887	0.95918	1419	1956	16
2019.01.02	03:20:00	0.95918	0.95954	0.95880	0.95883	969	1294	8
2019.01.02	03:40:00	0.95881	0.95914	0.95740	0.95772	1959	2578	1
2019.01.02	04:00:00	0.95773	0.95773	0.95524	0.95534	2425	3136	3
2019.01.02	04:20:00	0.95538	0.95645	0.95537	0.95580	2943	4103	14
2019.01.02	04:40:00	0.95579	0.95754	0.95575	0.95753	1852	2610	15
2019.01.02	05:00:00	0.95752	0.95753	0.95671	0.95678	1486	2171	15
2019.01.02	05:20:00	0.95678	0.95711	0.95650	0.95669	1079	1532	16
2019.01.02	05:40:00	0.95668	0.95695	0.95637	0.95673	1038	1447	17
2019.01.02	06:00:00	0.95672	0.95715	0.95613	0.95715	1434	2110	15
2019.01.02	06:20:00	0.95714	0.95809	0.95701	0.95773	1371	1984	13
2019.01.02	06:40:00	0.95773	0.95795	0.95748	0.95788	1067	1572	17
2019.01.02	07:00:00	0.95789	0.95846	0.95768	0.95837	1506	2134	17
2019.01.02	07:20:00	0.95837	0.95844	0.95541	0.95578	2398	3355	15
2019.01.02	07:40:00	0.95579	0.95601	0.95493	0.95552	1954	2749	16
2019.01.02	08:00:00	0.95553	0.95733	0.95548	0.95730	2259	3139	13
2019.01.02	08:20:00	0.95726	0.95798	0.95702	0.95771	1670	2421	17
2019.01.02	08:40:00	0.95771	0.95814	0.95729	0.95737	1919	2954	17
2019.01.02	09:00:00	0.95735	0.95768	0.95487	0.95495	3003	4216	6
2019.01.02	09:20:00	0.95495	0.95571	0.95488	0.95555	3398	4686	10
2019.01.02	09:40:00	0.95558	0.95578	0.95461	0.95473	2915	3545	13
2019.01.02	10:00:00	0.95474	0.95583	0.95412	0.95456	4507	5883	6
2019.01.02	10:20:00	0.95456	0.95552	0.95409	0.95540	4221	5676	4
2019.01.02	10:40:00	0.95542	0.95599	0.95514	0.95579	3885	5205	12
2019.01.02	11:00:00	0.95578	0.95674	0.95542	0.95643	3663	4981	7
2019.01.02	11:20:00	0.95643	0.95674	0.95579	0.95584	2341	2877	11
2019.01.02	11:40:00	0.95583	0.95634	0.95543	0.95587	2561	3128	10
2019.01.02	12:00:00	0.95585	0.95589	0.95518	0.95552	2799	3467	15
2019.01.02	12:20:00	0.95552	0.95577	0.95537	0.95561	1952	2670	12
2019.01.02	12:40:00	0.95562	0.95568	0.95515	0.95528	2332	3282	13
2019.01.02	13:00:00	0.95528	0.95587	0.95526	0.95540	2220	2987	12
2019.01.02	13:20:00	0.95537	0.95561	0.95507	0.95558	2512	3509	13
2019.01.02	13:40:00	0.95559	0.95582	0.95522	0.95524	2120	3022	12
2019.01.02	14:00:00	0.95524	0.95536	0.95476	0.95503	2264	3256	13
2019.01.02	14:20:00	0.95503	0.95603	0.95499	0.95572	2919	3881	12
2019.01.02	14:40:00	0.95572	0.95575	0.95493	0.95502	2103	3052	15
2019.01.02	15:00:00	0.95501	0.95540	0.95469	0.95472	1936	2763	6
2019.01.02	15:20:00	0.95475	0.95538	0.95350	0.95409	4127	5686	8
2019.01.02	15:40:00	0.95409	0.95433	0.95351	0.95351	2901	4026	12
2019.01.02	16:00:00	0.95351	0.95355	0.95214	0.95246	2864	3988	13
2019.01.02	16:20:00	0.95247	0.95277	0.95201	0.95263	3055	4413	13
2019.01.02	16:40:00	0.95263	0.95347	0.95229	0.95252	3799	5281	11
2019.01.02	17:00:00	0.95252	0.95255	0.95079	0.95096	4561	6010	5
2019.01.02	17:20:00	0.95095	0.95114	0.95020	0.95042	4453	5764	10
2019.01.02	17:40:00	0.95041	0.95244	0.94959	0.95212	4992	6653	10
2019.01.02	18:00:00	0.95214	0.95237	0.95153	0.95221	3706	4966	12
2019.01.02	18:20:00	0.95221	0.95234	0.95122	0.95123	3202	4558	11
2019.01.02	18:40:00	0.95123	0.95134	0.95075	0.95114	3619	5316	7
