<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	0.91698	0.91766	0.91652	0.91711	113	0	25
2020.06.01	00:20:00	0.91716	0.91783	0.91623	0.91735	156	0	25
2020.06.01	00:40:00	0.91736	0.91805	0.91691	0.91710	173	0	51
2020.06.01	01:00:00	0.91701	0.91777	0.91665	0.91734	959	0	25
2020.06.01	01:20:00	0.91734	0.91804	0.91729	0.91783	567	0	38
2020.06.01	01:40:00	0.91785	0.91791	0.91740	0.91745	509	0	25
2020.06.01	02:00:00	0.91746	0.91755	0.91698	0.91729	467	0	27
2020.06.01	02:20:00	0.91729	0.91759	0.91704	0.91709	338	0	29
2020.06.01	02:40:00	0.91709	0.91779	0.91698	0.91731	366	0	25
2020.06.01	03:00:00	0.91729	0.92026	0.91720	0.91985	1134	0	25
2020.06.01	03:20:00	0.91987	0.91992	0.91895	0.91931	1053	0	25
2020.06.01	03:40:00	0.91931	0.91941	0.91868	0.91872	561	0	25
2020.06.01	04:00:00	0.91854	0.91950	0.91831	0.91945	792	0	25
2020.06.01	04:20:00	0.91945	0.92357	0.91916	0.92322	1297	0	25
2020.06.01	04:40:00	0.92321	0.92414	0.92168	0.92233	867	0	25
2020.06.01	05:00:00	0.92234	0.92250	0.92185	0.92211	510	0	25
2020.06.01	05:20:00	0.92211	0.92228	0.92171	0.92217	489	0	27
2020.06.01	05:40:00	0.92217	0.92352	0.92212	0.92284	687	0	25
2020.06.01	06:00:00	0.92283	0.92302	0.92231	0.92251	514	0	25
2020.06.01	06:20:00	0.92251	0.92289	0.92243	0.92285	442	0	25
2020.06.01	06:40:00	0.92291	0.92334	0.92239	0.92260	442	0	25
2020.06.01	07:00:00	0.92269	0.92357	0.92269	0.92339	337	0	25
2020.06.01	07:20:00	0.92339	0.92380	0.92285	0.92286	369	0	25
2020.06.01	07:40:00	0.92290	0.92332	0.92277	0.92295	284	0	26
2020.06.01	08:00:00	0.92295	0.92361	0.92263	0.92349	409	0	25
2020.06.01	08:20:00	0.92352	0.92428	0.92342	0.92388	412	0	25
2020.06.01	08:40:00	0.92388	0.92489	0.92377	0.92463	533	0	25
2020.06.01	09:00:00	0.92465	0.92609	0.92450	0.92606	1014	0	25
2020.06.01	09:20:00	0.92606	0.92609	0.92485	0.92486	843	0	25
2020.06.01	09:40:00	0.92486	0.92518	0.92471	0.92504	688	0	25
2020.06.01	10:00:00	0.92509	0.92517	0.92387	0.92397	1069	0	25
2020.06.01	10:20:00	0.92399	0.92483	0.92384	0.92472	803	0	25
2020.06.01	10:40:00	0.92473	0.92601	0.92451	0.92590	1110	0	25
2020.06.01	11:00:00	0.92591	0.92591	0.92231	0.92256	1787	0	25
2020.06.01	11:20:00	0.92256	0.92375	0.92226	0.92353	1483	0	25
2020.06.01	11:40:00	0.92349	0.92399	0.92308	0.92356	1204	0	25
2020.06.01	12:00:00	0.92366	0.92427	0.92339	0.92366	998	0	25
2020.06.01	12:20:00	0.92366	0.92366	0.92317	0.92359	763	0	25
2020.06.01	12:40:00	0.92359	0.92378	0.92305	0.92348	928	0	25
2020.06.01	13:00:00	0.92347	0.92348	0.92212	0.92247	799	0	25
2020.06.01	13:20:00	0.92243	0.92329	0.92242	0.92295	814	0	25
2020.06.01	13:40:00	0.92293	0.92302	0.92227	0.92272	728	0	25
2020.06.01	14:00:00	0.92272	0.92295	0.92238	0.92256	787	0	25
2020.06.01	14:20:00	0.92256	0.92345	0.92235	0.92331	634	0	25
2020.06.01	14:40:00	0.92331	0.92384	0.92291	0.92380	620	0	25
2020.06.01	15:00:00	0.92382	0.92399	0.92341	0.92364	803	0	25
2020.06.01	15:20:00	0.92357	0.92382	0.92308	0.92312	1066	0	25
2020.06.01	15:40:00	0.92313	0.92325	0.92248	0.92285	859	0	25
2020.06.01	16:00:00	0.92285	0.92320	0.92203	0.92230	923	0	25
2020.06.01	16:20:00	0.92231	0.92366	0.92220	0.92328	1555	0	25
2020.06.01	16:40:00	0.92330	0.92340	0.92229	0.92266	1289	0	25
2020.06.01	17:00:00	0.92274	0.92351	0.92243	0.92327	1727	0	25
2020.06.01	17:20:00	0.92323	0.92391	0.92249	0.92308	1516	0	25
2020.06.01	17:40:00	0.92308	0.92439	0.92240	0.92427	1553	0	25
2020.06.01	18:00:00	0.92424	0.92441	0.92242	0.92288	1209	0	25
2020.06.01	18:20:00	0.92288	0.92323	0.92230	0.92277	947	0	25
2020.06.01	18:40:00	0.92278	0.92321	0.92250	0.92284	939	0	25
2020.06.01	19:00:00	0.92283	0.92297	0.92187	0.92226	743	0	25
2020.06.01	19:20:00	0.92226	0.92292	0.92226	0.92263	621	0	25
2020.06.01	19:40:00	0.92263	0.92281	0.92195	0.92218	572	0	25
2020.06.01	20:00:00	0.92223	0.92276	0.92205	0.92275	499	0	25
2020.06.01	20:20:00	0.92260	0.92321	0.92239	0.92319	429	0	25
2020.06.01	20:40:00	0.92319	0.92342	0.92258	0.92281	563	0	25
2020.06.01	21:00:00	0.92278	0.92298	0.92220	0.92222	431	0	26
2020.06.01	21:20:00	0.92222	0.92272	0.92214	0.92266	426	0	25
2020.06.01	21:40:00	0.92266	0.92336	0.92240	0.92298	578	0	25
2020.06.01	22:00:00	0.92298	0.92315	0.92208	0.92247	695	0	25
2020.06.01	22:20:00	0.92247	0.92253	0.92197	0.92212	474	0	25
2020.06.01	22:40:00	0.92212	0.92253	0.92178	0.92243	606	0	26
2020.06.01	23:00:00	0.92239	0.92250	0.92179	0.92214	458	0	28
2020.06.01	23:20:00	0.92214	0.92261	0.92197	0.92197	285	0	25
2020.06.01	23:40:00	0.92197	0.92275	0.92190	0.92239	274	0	32
2020.06.02	00:00:00	0.92239	0.92467	0.92181	0.92336	208	0	25
2020.06.02	00:20:00	0.92350	0.92364	0.92295	0.92345	137	0	25
2020.06.02	00:40:00	0.92330	0.92351	0.92246	0.92271	221	0	25
2020.06.02	01:00:00	0.92274	0.92297	0.92253	0.92256	205	0	25
2020.06.02	01:20:00	0.92256	0.92278	0.92191	0.92198	186	0	31
2020.06.02	01:40:00	0.92198	0.92209	0.92152	0.92199	316	0	25
2020.06.02	02:00:00	0.92194	0.92213	0.92154	0.92154	368	0	28
2020.06.02	02:20:00	0.92154	0.92257	0.92150	0.92227	377	0	25
2020.06.02	02:40:00	0.92222	0.92230	0.92110	0.92132	409	0	25
2020.06.02	03:00:00	0.92132	0.92230	0.92132	0.92201	813	0	25
2020.06.02	03:20:00	0.92198	0.92243	0.92145	0.92219	637	0	25
2020.06.02	03:40:00	0.92219	0.92254	0.92111	0.92113	599	0	25
2020.06.02	04:00:00	0.92113	0.92145	0.92042	0.92066	655	0	25
2020.06.02	04:20:00	0.92066	0.92120	0.92011	0.92119	859	0	25
2020.06.02	04:40:00	0.92126	0.92140	0.91982	0.92021	685	0	25
2020.06.02	05:00:00	0.92018	0.92062	0.91972	0.91989	509	0	25
2020.06.02	05:20:00	0.91987	0.91999	0.91949	0.91962	485	0	25
2020.06.02	05:40:00	0.91960	0.92011	0.91915	0.91919	433	0	25
2020.06.02	06:00:00	0.91917	0.92007	0.91912	0.92004	406	0	25
2020.06.02	06:20:00	0.92004	0.92022	0.91952	0.91954	353	0	25
2020.06.02	06:40:00	0.91954	0.92020	0.91950	0.92003	354	0	25
2020.06.02	07:00:00	0.91997	0.92009	0.91964	0.91974	341	0	25
2020.06.02	07:20:00	0.91973	0.92027	0.91903	0.91989	490	0	27
2020.06.02	07:40:00	0.91988	0.92034	0.91978	0.92017	368	0	28
2020.06.02	08:00:00	0.92015	0.92121	0.92007	0.92086	540	0	25
2020.06.02	08:20:00	0.92086	0.92103	0.92033	0.92056	583	0	25
2020.06.02	08:40:00	0.92056	0.92066	0.91989	0.92040	491	0	25
2020.06.02	09:00:00	0.92040	0.92088	0.91964	0.91985	710	0	25
2020.06.02	09:20:00	0.91985	0.92069	0.91981	0.92062	651	0	25
2020.06.02	09:40:00	0.92062	0.92075	0.91942	0.91961	962	0	25
2020.06.02	10:00:00	0.91968	0.92062	0.91964	0.92040	1171	0	25
2020.06.02	10:20:00	0.92040	0.92189	0.92033	0.92136	1102	0	25
2020.06.02	10:40:00	0.92133	0.92138	0.92055	0.92097	976	0	25
2020.06.02	11:00:00	0.92091	0.92215	0.92043	0.92186	1207	0	25
2020.06.02	11:20:00	0.92185	0.92356	0.92161	0.92341	1518	0	25
2020.06.02	11:40:00	0.92341	0.92422	0.92306	0.92421	1107	0	25
2020.06.02	12:00:00	0.92418	0.92561	0.92415	0.92476	1085	0	25
2020.06.02	12:20:00	0.92476	0.92617	0.92471	0.92609	1041	0	25
2020.06.02	12:40:00	0.92613	0.92732	0.92588	0.92710	1062	0	25
2020.06.02	13:00:00	0.92712	0.92723	0.92616	0.92630	934	0	25
2020.06.02	13:20:00	0.92627	0.92662	0.92548	0.92552	843	0	25
2020.06.02	13:40:00	0.92552	0.92697	0.92551	0.92649	727	0	25
2020.06.02	14:00:00	0.92648	0.92713	0.92613	0.92701	684	0	25
2020.06.02	14:20:00	0.92700	0.92710	0.92586	0.92660	825	0	25
2020.06.02	14:40:00	0.92662	0.92717	0.92592	0.92611	756	0	25
2020.06.02	15:00:00	0.92612	0.92701	0.92589	0.92653	1085	0	25
2020.06.02	15:20:00	0.92657	0.92714	0.92583	0.92708	1050	0	25
2020.06.02	15:40:00	0.92708	0.92833	0.92705	0.92805	1032	0	25
2020.06.02	16:00:00	0.92802	0.92818	0.92708	0.92801	1020	0	25
2020.06.02	16:20:00	0.92800	0.92832	0.92713	0.92764	1351	0	25
2020.06.02	16:40:00	0.92764	0.92880	0.92707	0.92852	1217	0	25
2020.06.02	17:00:00	0.92846	0.92958	0.92738	0.92809	1700	0	25
2020.06.02	17:20:00	0.92808	0.92983	0.92795	0.92935	1349	0	25
2020.06.02	17:40:00	0.92942	0.92971	0.92836	0.92958	1535	0	25
2020.06.02	18:00:00	0.92953	0.92957	0.92832	0.92890	1629	0	25
2020.06.02	18:20:00	0.92890	0.92938	0.92799	0.92873	1192	0	25
2020.06.02	18:40:00	0.92880	0.92924	0.92850	0.92872	1013	0	25
2020.06.02	19:00:00	0.92863	0.92917	0.92843	0.92901	769	0	25
2020.06.02	19:20:00	0.92901	0.93000	0.92866	0.93000	665	0	25
2020.06.02	19:40:00	0.93000	0.93050	0.92983	0.93014	705	0	25
2020.06.02	20:00:00	0.93014	0.93044	0.92988	0.93011	613	0	25
2020.06.02	20:20:00	0.93011	0.93012	0.92967	0.92979	529	0	25
2020.06.02	20:40:00	0.92979	0.92998	0.92953	0.92982	556	0	25
2020.06.02	21:00:00	0.92985	0.93024	0.92960	0.93017	614	0	25
2020.06.02	21:20:00	0.93017	0.93027	0.92971	0.92990	504	0	25
2020.06.02	21:40:00	0.92990	0.93110	0.92990	0.93093	612	0	25
2020.06.02	22:00:00	0.93092	0.93109	0.93059	0.93095	527	0	25
2020.06.02	22:20:00	0.93095	0.93142	0.93084	0.93125	775	0	25
2020.06.02	22:40:00	0.93128	0.93196	0.93123	0.93157	1039	0	25
2020.06.02	23:00:00	0.93157	0.93207	0.93143	0.93201	427	0	25
2020.06.02	23:20:00	0.93201	0.93242	0.93193	0.93224	294	0	25
2020.06.02	23:40:00	0.93221	0.93265	0.93183	0.93183	287	0	28
2020.06.03	00:00:00	0.93183	0.93212	0.93075	0.93166	184	0	43
2020.06.03	00:20:00	0.93166	0.93183	0.93148	0.93153	110	0	25
2020.06.03	00:40:00	0.93171	0.93185	0.93107	0.93134	237	0	25
2020.06.03	01:00:00	0.93141	0.93227	0.93141	0.93215	300	0	25
2020.06.03	01:20:00	0.93214	0.93215	0.93180	0.93199	172	0	28
2020.06.03	01:40:00	0.93199	0.93210	0.93130	0.93206	242	0	28
2020.06.03	02:00:00	0.93197	0.93214	0.93167	0.93175	271	0	27
2020.06.03	02:20:00	0.93175	0.93451	0.93172	0.93444	759	0	25
2020.06.03	02:40:00	0.93444	0.93498	0.93377	0.93395	706	0	25
2020.06.03	03:00:00	0.93391	0.93585	0.93384	0.93554	823	0	25
2020.06.03	03:20:00	0.93554	0.93688	0.93546	0.93636	690	0	25
2020.06.03	03:40:00	0.93636	0.93883	0.93624	0.93781	1157	0	25
2020.06.03	04:00:00	0.93785	0.94077	0.93774	0.93955	1227	0	25
2020.06.03	04:20:00	0.93955	0.94157	0.93743	0.93764	1165	0	25
2020.06.03	04:40:00	0.93764	0.93857	0.93715	0.93768	990	0	25
2020.06.03	05:00:00	0.93770	0.93802	0.93639	0.93640	754	0	25
2020.06.03	05:20:00	0.93640	0.93661	0.93569	0.93646	678	0	25
