<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	0.63973	0.64058	0.63959	0.64058	130	0	71
2020.06.01	00:20:00	0.64058	0.64079	0.63968	0.64038	189	0	90
2020.06.01	00:40:00	0.64036	0.64102	0.63990	0.64028	292	0	90
2020.06.01	01:00:00	0.64025	0.64040	0.63868	0.63891	557	0	47
2020.06.01	01:20:00	0.63891	0.63998	0.63891	0.63986	271	0	42
2020.06.01	01:40:00	0.63986	0.63986	0.63944	0.63950	225	0	42
2020.06.01	02:00:00	0.63952	0.63963	0.63896	0.63909	176	0	34
2020.06.01	02:20:00	0.63909	0.63945	0.63890	0.63903	193	0	41
2020.06.01	02:40:00	0.63891	0.63981	0.63891	0.63945	177	0	41
2020.06.01	03:00:00	0.63945	0.64287	0.63943	0.64251	555	0	37
2020.06.01	03:20:00	0.64251	0.64322	0.64221	0.64269	633	0	41
2020.06.01	03:40:00	0.64266	0.64299	0.64226	0.64238	361	0	41
2020.06.01	04:00:00	0.64232	0.64321	0.64191	0.64301	755	0	39
2020.06.01	04:20:00	0.64305	0.64640	0.64275	0.64611	646	0	35
2020.06.01	04:40:00	0.64611	0.64683	0.64556	0.64569	595	0	42
2020.06.01	05:00:00	0.64569	0.64576	0.64523	0.64557	246	0	41
2020.06.01	05:20:00	0.64557	0.64581	0.64533	0.64581	282	0	41
2020.06.01	05:40:00	0.64581	0.64707	0.64580	0.64666	394	0	37
2020.06.01	06:00:00	0.64665	0.64689	0.64593	0.64605	298	0	36
2020.06.01	06:20:00	0.64605	0.64611	0.64562	0.64575	324	0	41
2020.06.01	06:40:00	0.64575	0.64611	0.64527	0.64533	170	0	41
2020.06.01	07:00:00	0.64533	0.64623	0.64533	0.64617	199	0	41
2020.06.01	07:20:00	0.64617	0.64665	0.64587	0.64587	185	0	33
2020.06.01	07:40:00	0.64587	0.64603	0.64569	0.64576	289	0	41
2020.06.01	08:00:00	0.64575	0.64605	0.64539	0.64593	292	0	41
2020.06.01	08:20:00	0.64599	0.64653	0.64586	0.64635	294	0	41
2020.06.01	08:40:00	0.64635	0.64725	0.64618	0.64707	286	0	41
2020.06.01	09:00:00	0.64707	0.64848	0.64673	0.64839	641	0	26
2020.06.01	09:20:00	0.64840	0.64841	0.64754	0.64778	745	0	26
2020.06.01	09:40:00	0.64778	0.64822	0.64770	0.64807	621	0	26
2020.06.01	10:00:00	0.64810	0.64841	0.64738	0.64768	1045	0	26
2020.06.01	10:20:00	0.64768	0.64823	0.64755	0.64818	855	0	26
2020.06.01	10:40:00	0.64819	0.64969	0.64816	0.64940	1110	0	24
2020.06.01	11:00:00	0.64945	0.64945	0.64502	0.64523	1753	0	24
2020.06.01	11:20:00	0.64523	0.64579	0.64480	0.64561	1546	0	25
2020.06.01	11:40:00	0.64561	0.64591	0.64478	0.64544	1184	0	26
2020.06.01	12:00:00	0.64553	0.64631	0.64513	0.64616	905	0	26
2020.06.01	12:20:00	0.64616	0.64660	0.64580	0.64633	886	0	25
2020.06.01	12:40:00	0.64633	0.64675	0.64614	0.64642	986	0	25
2020.06.01	13:00:00	0.64640	0.64641	0.64575	0.64611	909	0	26
2020.06.01	13:20:00	0.64611	0.64677	0.64608	0.64665	825	0	26
