<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	71.653	71.812	71.646	71.805	154	0	58
2020.06.01	00:20:00	71.805	71.812	71.699	71.793	157	0	52
2020.06.01	00:40:00	71.793	71.827	71.737	71.762	245	0	42
2020.06.01	01:00:00	71.756	71.771	71.594	71.631	882	0	30
2020.06.01	01:20:00	71.631	71.805	71.625	71.792	448	0	30
2020.06.01	01:40:00	71.792	71.793	71.713	71.732	509	0	30
2020.06.01	02:00:00	71.730	71.730	71.621	71.651	583	0	30
2020.06.01	02:20:00	71.651	71.691	71.617	71.626	482	0	30
2020.06.01	02:40:00	71.627	71.745	71.619	71.703	476	0	30
2020.06.01	03:00:00	71.705	72.203	71.672	72.156	1441	0	30
2020.06.01	03:20:00	72.156	72.244	72.085	72.134	1116	0	30
2020.06.01	03:40:00	72.133	72.143	72.069	72.080	812	0	30
2020.06.01	04:00:00	72.079	72.172	71.997	72.149	1089	0	30
2020.06.01	04:20:00	72.149	72.494	72.118	72.453	1361	0	30
2020.06.01	04:40:00	72.453	72.547	72.377	72.406	1032	0	30
2020.06.01	05:00:00	72.406	72.425	72.352	72.404	642	0	30
2020.06.01	05:20:00	72.403	72.442	72.364	72.441	593	0	30
2020.06.01	05:40:00	72.441	72.581	72.441	72.512	774	0	30
2020.06.01	06:00:00	72.509	72.523	72.357	72.370	602	0	30
2020.06.01	06:20:00	72.370	72.410	72.339	72.362	507	0	30
2020.06.01	06:40:00	72.366	72.404	72.297	72.307	465	0	30
2020.06.01	07:00:00	72.311	72.415	72.311	72.388	371	0	30
2020.06.01	07:20:00	72.388	72.445	72.348	72.348	406	0	30
2020.06.01	07:40:00	72.350	72.374	72.286	72.290	445	0	30
2020.06.01	08:00:00	72.290	72.351	72.244	72.337	532	0	30
2020.06.01	08:20:00	72.340	72.432	72.333	72.399	521	0	30
2020.06.01	08:40:00	72.399	72.515	72.392	72.482	638	0	30
2020.06.01	09:00:00	72.480	72.631	72.444	72.603	1026	0	30
2020.06.01	09:20:00	72.604	72.611	72.526	72.553	795	0	30
2020.06.01	09:40:00	72.553	72.643	72.546	72.622	694	0	30
2020.06.01	10:00:00	72.632	72.676	72.548	72.582	1050	0	30
2020.06.01	10:20:00	72.582	72.610	72.531	72.595	759	0	30
2020.06.01	10:40:00	72.596	72.811	72.591	72.783	1065	0	30
2020.06.01	11:00:00	72.784	72.784	72.183	72.228	1781	0	30
2020.06.01	11:20:00	72.229	72.396	72.162	72.378	1488	0	30
2020.06.01	11:40:00	72.378	72.419	72.292	72.330	1204	0	30
2020.06.01	12:00:00	72.341	72.448	72.301	72.427	986	0	30
2020.06.01	12:20:00	72.427	72.440	72.369	72.439	899	0	30
2020.06.01	12:40:00	72.439	72.455	72.362	72.387	964	0	30
2020.06.01	13:00:00	72.386	72.412	72.324	72.398	913	0	30
2020.06.01	13:20:00	72.398	72.475	72.389	72.424	803	0	30
2020.06.01	13:40:00	72.424	72.467	72.396	72.435	773	0	30
2020.06.01	14:00:00	72.437	72.529	72.432	72.523	856	0	30
2020.06.01	14:20:00	72.523	72.598	72.487	72.586	676	0	30
2020.06.01	14:40:00	72.586	72.628	72.510	72.565	701	0	30
2020.06.01	15:00:00	72.567	72.627	72.547	72.559	814	0	30
2020.06.01	15:20:00	72.561	72.582	72.466	72.468	1046	0	30
2020.06.01	15:40:00	72.467	72.478	72.403	72.431	807	0	30
2020.06.01	16:00:00	72.429	72.459	72.325	72.356	747	0	30
2020.06.01	16:20:00	72.356	72.574	72.356	72.536	1492	0	30
2020.06.01	16:40:00	72.538	72.572	72.495	72.526	1195	0	30
2020.06.01	17:00:00	72.526	72.787	72.498	72.775	1806	0	30
2020.06.01	17:20:00	72.771	72.846	72.730	72.786	1469	0	30
2020.06.01	17:40:00	72.785	73.005	72.734	72.990	1566	0	30
2020.06.01	18:00:00	72.991	72.991	72.871	72.925	1096	0	30
2020.06.01	18:20:00	72.925	72.943	72.849	72.927	909	0	30
2020.06.01	18:40:00	72.930	72.984	72.914	72.969	761	0	30
2020.06.01	19:00:00	72.968	73.036	72.940	73.024	648	0	30
2020.06.01	19:20:00	73.024	73.061	72.972	73.007	547	0	30
2020.06.01	19:40:00	73.007	73.028	72.939	72.958	600	0	30
2020.06.01	20:00:00	72.962	73.051	72.954	73.050	491	0	30
2020.06.01	20:20:00	73.037	73.055	73.011	73.041	473	0	30
2020.06.01	20:40:00	73.041	73.051	73.000	73.044	535	0	30
2020.06.01	21:00:00	73.043	73.079	73.025	73.049	468	0	30
2020.06.01	21:20:00	73.049	73.080	73.019	73.078	405	0	30
2020.06.01	21:40:00	73.078	73.175	73.057	73.152	554	0	30
2020.06.01	22:00:00	73.152	73.175	73.105	73.140	681	0	30
2020.06.01	22:20:00	73.140	73.177	73.122	73.136	416	0	30
2020.06.01	22:40:00	73.136	73.148	73.097	73.131	581	0	30
2020.06.01	23:00:00	73.131	73.131	73.080	73.107	395	0	30
2020.06.01	23:20:00	73.107	73.120	73.081	73.092	225	0	30
2020.06.01	23:40:00	73.092	73.120	73.075	73.114	323	0	32
2020.06.02	00:00:00	73.096	73.319	73.074	73.232	280	0	30
2020.06.02	00:20:00	73.230	73.233	73.184	73.197	178	0	45
2020.06.02	00:40:00	73.197	73.200	73.134	73.185	576	0	40
2020.06.02	01:00:00	73.187	73.197	73.126	73.149	384	0	31
2020.06.02	01:20:00	73.149	73.189	73.106	73.118	337	0	30
2020.06.02	01:40:00	73.117	73.117	73.010	73.047	478	0	30
2020.06.02	02:00:00	73.047	73.057	72.956	72.957	603	0	30
2020.06.02	02:20:00	72.957	73.112	72.948	73.068	496	0	30
2020.06.02	02:40:00	73.069	73.069	72.916	72.955	614	0	30
2020.06.02	03:00:00	72.955	73.205	72.953	73.171	1006	0	30
2020.06.02	03:20:00	73.169	73.246	73.140	73.210	745	0	30
2020.06.02	03:40:00	73.210	73.262	73.096	73.111	847	0	30
2020.06.02	04:00:00	73.112	73.151	73.030	73.089	891	0	30
2020.06.02	04:20:00	73.087	73.141	73.020	73.132	978	0	30
