<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.07386	1.07600	1.07355	1.07381	136	0	20
2020.06.01	00:20:00	1.07382	1.07540	1.07382	1.07513	108	0	49
2020.06.01	00:40:00	1.07513	1.07513	1.07363	1.07458	120	0	52
2020.06.01	01:00:00	1.07467	1.07498	1.07413	1.07426	722	0	25
2020.06.01	01:20:00	1.07425	1.07464	1.07395	1.07455	451	0	23
2020.06.01	01:40:00	1.07457	1.07471	1.07428	1.07455	374	0	21
2020.06.01	02:00:00	1.07450	1.07469	1.07441	1.07453	336	0	20
2020.06.01	02:20:00	1.07453	1.07457	1.07394	1.07407	340	0	20
2020.06.01	02:40:00	1.07409	1.07449	1.07397	1.07433	281	0	20
2020.06.01	03:00:00	1.07434	1.07574	1.07383	1.07511	1056	0	20
2020.06.01	03:20:00	1.07511	1.07548	1.07472	1.07497	1941	0	20
2020.06.01	03:40:00	1.07497	1.07500	1.07452	1.07478	501	0	20
2020.06.01	04:00:00	1.07470	1.07577	1.07449	1.07557	664	0	20
2020.06.01	04:20:00	1.07557	1.07883	1.07526	1.07830	1174	0	20
2020.06.01	04:40:00	1.07830	1.07881	1.07721	1.07726	826	0	20
2020.06.01	05:00:00	1.07729	1.07764	1.07702	1.07764	429	0	20
2020.06.01	05:20:00	1.07760	1.07780	1.07739	1.07766	523	0	20
2020.06.01	05:40:00	1.07766	1.07869	1.07766	1.07818	743	0	20
2020.06.01	06:00:00	1.07820	1.07822	1.07761	1.07771	491	0	20
2020.06.01	06:20:00	1.07771	1.07817	1.07769	1.07783	353	0	20
2020.06.01	06:40:00	1.07780	1.07812	1.07747	1.07755	421	0	20
2020.06.01	07:00:00	1.07763	1.07819	1.07763	1.07818	282	0	20
2020.06.01	07:20:00	1.07818	1.07830	1.07766	1.07776	358	0	20
2020.06.01	07:40:00	1.07768	1.07797	1.07759	1.07788	254	0	20
2020.06.01	08:00:00	1.07792	1.07813	1.07766	1.07799	392	0	20
2020.06.01	08:20:00	1.07802	1.07880	1.07799	1.07854	454	0	20
2020.06.01	08:40:00	1.07854	1.07926	1.07822	1.07919	536	0	20
2020.06.01	09:00:00	1.07927	1.08085	1.07919	1.08044	868	0	20
2020.06.01	09:20:00	1.08045	1.08065	1.07977	1.07982	684	0	20
2020.06.01	09:40:00	1.07980	1.08051	1.07977	1.08042	612	0	20
2020.06.01	10:00:00	1.08043	1.08089	1.08006	1.08015	998	0	20
2020.06.01	10:20:00	1.08015	1.08081	1.08010	1.08077	667	0	20
2020.06.01	10:40:00	1.08077	1.08152	1.08072	1.08128	1076	0	20
2020.06.01	11:00:00	1.08126	1.08126	1.07907	1.07957	1642	0	20
2020.06.01	11:20:00	1.07956	1.07989	1.07898	1.07965	1489	0	20
2020.06.01	11:40:00	1.07965	1.08023	1.07940	1.07983	1116	0	20
2020.06.01	12:00:00	1.07984	1.08078	1.07977	1.08039	847	0	20
2020.06.01	12:20:00	1.08039	1.08075	1.08013	1.08072	798	0	20
2020.06.01	12:40:00	1.08070	1.08081	1.07985	1.07985	805	0	20
2020.06.01	13:00:00	1.07985	1.08024	1.07963	1.08024	659	0	20
2020.06.01	13:20:00	1.08024	1.08073	1.08011	1.08035	649	0	20
2020.06.01	13:40:00	1.08035	1.08049	1.08007	1.08028	682	0	20
