<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.07386	1.07592	1.07347	1.07373	140	0	35
2020.06.01	00:20:00	1.07374	1.07542	1.07374	1.07505	108	0	64
2020.06.01	00:40:00	1.07505	1.07505	1.07355	1.07450	121	0	67
2020.06.01	01:00:00	1.07459	1.07490	1.07405	1.07418	723	0	40
2020.06.01	01:20:00	1.07417	1.07456	1.07387	1.07447	448	0	38
2020.06.01	01:40:00	1.07449	1.07463	1.07420	1.07447	370	0	36
2020.06.01	02:00:00	1.07442	1.07461	1.07433	1.07445	337	0	35
2020.06.01	02:20:00	1.07445	1.07449	1.07386	1.07399	339	0	35
2020.06.01	02:40:00	1.07401	1.07441	1.07389	1.07425	281	0	35
2020.06.01	03:00:00	1.07426	1.07566	1.07375	1.07503	1052	0	35
2020.06.01	03:20:00	1.07503	1.07540	1.07464	1.07489	1949	0	35
2020.06.01	03:40:00	1.07489	1.07492	1.07444	1.07470	504	0	35
2020.06.01	04:00:00	1.07462	1.07569	1.07441	1.07549	664	0	35
2020.06.01	04:20:00	1.07549	1.07875	1.07518	1.07822	1174	0	35
2020.06.01	04:40:00	1.07822	1.07873	1.07713	1.07718	826	0	35
2020.06.01	05:00:00	1.07721	1.07756	1.07694	1.07756	428	0	35
2020.06.01	05:20:00	1.07752	1.07772	1.07731	1.07758	524	0	35
2020.06.01	05:40:00	1.07758	1.07861	1.07758	1.07810	744	0	35
2020.06.01	06:00:00	1.07812	1.07814	1.07753	1.07763	492	0	35
2020.06.01	06:20:00	1.07763	1.07809	1.07761	1.07775	351	0	35
2020.06.01	06:40:00	1.07772	1.07804	1.07739	1.07747	419	0	35
2020.06.01	07:00:00	1.07755	1.07811	1.07755	1.07810	282	0	35
2020.06.01	07:20:00	1.07810	1.07822	1.07758	1.07768	358	0	35
2020.06.01	07:40:00	1.07760	1.07789	1.07751	1.07780	254	0	35
2020.06.01	08:00:00	1.07784	1.07805	1.07758	1.07791	392	0	35
2020.06.01	08:20:00	1.07794	1.07872	1.07791	1.07846	454	0	35
2020.06.01	08:40:00	1.07846	1.07918	1.07814	1.07911	536	0	35
2020.06.01	09:00:00	1.07919	1.08077	1.07911	1.08036	870	0	35
2020.06.01	09:20:00	1.08037	1.08057	1.07969	1.07974	684	0	35
2020.06.01	09:40:00	1.07972	1.08043	1.07969	1.08034	613	0	35
2020.06.01	10:00:00	1.08035	1.08081	1.07998	1.08007	997	0	35
2020.06.01	10:20:00	1.08007	1.08073	1.08002	1.08069	667	0	35
2020.06.01	10:40:00	1.08069	1.08144	1.08064	1.08120	1075	0	35
2020.06.01	11:00:00	1.08118	1.08118	1.07899	1.07949	1640	0	35
2020.06.01	11:20:00	1.07948	1.07981	1.07890	1.07957	1487	0	35
2020.06.01	11:40:00	1.07957	1.08015	1.07932	1.07975	1116	0	35
2020.06.01	12:00:00	1.07976	1.08070	1.07969	1.08031	847	0	35
2020.06.01	12:20:00	1.08031	1.08067	1.08005	1.08064	797	0	35
2020.06.01	12:40:00	1.08062	1.08073	1.07977	1.07977	805	0	35
2020.06.01	13:00:00	1.07977	1.08016	1.07955	1.08016	659	0	35
2020.06.01	13:20:00	1.08016	1.08065	1.08003	1.08027	647	0	35
2020.06.01	13:40:00	1.08027	1.08041	1.07999	1.08020	681	0	35
2020.06.01	14:00:00	1.08021	1.08047	1.08013	1.08040	803	0	35
2020.06.01	14:20:00	1.08040	1.08089	1.08004	1.08023	750	0	35
2020.06.01	14:40:00	1.08023	1.08067	1.08009	1.08041	681	0	35
2020.06.01	15:00:00	1.08042	1.08098	1.08033	1.08069	781	0	35
2020.06.01	15:20:00	1.08077	1.08083	1.07976	1.07983	1012	0	35
2020.06.01	15:40:00	1.07986	1.07995	1.07901	1.07908	822	0	35
2020.06.01	16:00:00	1.07909	1.07919	1.07836	1.07847	847	0	35
2020.06.01	16:20:00	1.07847	1.07915	1.07839	1.07865	1540	0	35
2020.06.01	16:40:00	1.07866	1.07922	1.07789	1.07834	1149	0	35
2020.06.01	17:00:00	1.07700	1.07853	1.07700	1.07768	1731	0	35
2020.06.01	17:20:00	1.07769	1.07789	1.07694	1.07744	1397	0	35
2020.06.01	17:40:00	1.07744	1.07900	1.07733	1.07893	1464	0	35
2020.06.01	18:00:00	1.07895	1.07924	1.07858	1.07904	1128	0	35
2020.06.01	18:20:00	1.07904	1.07936	1.07859	1.07920	770	0	35
2020.06.01	18:40:00	1.07925	1.07942	1.07899	1.07937	684	0	35
2020.06.01	19:00:00	1.07937	1.07956	1.07902	1.07950	536	0	35
2020.06.01	19:20:00	1.07950	1.08024	1.07948	1.08023	607	0	35
2020.06.01	19:40:00	1.08023	1.08030	1.07953	1.07962	702	0	35
2020.06.01	20:00:00	1.07960	1.07977	1.07936	1.07973	555	0	35
2020.06.01	20:20:00	1.07972	1.07975	1.07945	1.07966	436	0	35
2020.06.01	20:40:00	1.07965	1.07966	1.07928	1.07942	618	0	35
2020.06.01	21:00:00	1.07943	1.07960	1.07919	1.07920	364	0	35
2020.06.01	21:20:00	1.07920	1.07953	1.07919	1.07943	328	0	35
2020.06.01	21:40:00	1.07943	1.08006	1.07931	1.07981	553	0	35
2020.06.01	22:00:00	1.07981	1.08002	1.07951	1.07970	547	0	35
2020.06.01	22:20:00	1.07970	1.07994	1.07932	1.07944	370	0	35
2020.06.01	22:40:00	1.07944	1.07952	1.07903	1.07945	1047	0	35
2020.06.01	23:00:00	1.07947	1.07948	1.07895	1.07905	431	0	35
2020.06.01	23:20:00	1.07896	1.07954	1.07883	1.07911	216	0	35
2020.06.01	23:40:00	1.07911	1.07975	1.07896	1.07919	296	0	38
2020.06.02	00:00:00	1.07955	1.08094	1.07818	1.07929	343	0	35
2020.06.02	00:20:00	1.07950	1.08015	1.07918	1.08007	155	0	57
2020.06.02	00:40:00	1.08007	1.08039	1.07925	1.07928	135	0	69
2020.06.02	01:00:00	1.07926	1.08003	1.07924	1.07971	230	0	35
2020.06.02	01:20:00	1.07971	1.08012	1.07954	1.07960	267	0	35
2020.06.02	01:40:00	1.07960	1.07970	1.07922	1.07946	325	0	35
2020.06.02	02:00:00	1.07942	1.07980	1.07920	1.07946	384	0	35
2020.06.02	02:20:00	1.07942	1.08038	1.07937	1.08018	521	0	35
2020.06.02	02:40:00	1.08018	1.08054	1.07984	1.07989	797	0	35
2020.06.02	03:00:00	1.07984	1.08014	1.07942	1.07964	1148	0	35
2020.06.02	03:20:00	1.07966	1.07976	1.07911	1.07965	716	0	35
2020.06.02	03:40:00	1.07965	1.07978	1.07898	1.07939	948	0	35
2020.06.02	04:00:00	1.07938	1.08003	1.07896	1.07998	2086	0	35
2020.06.02	04:20:00	1.07998	1.08089	1.07972	1.08087	831	0	35
2020.06.02	04:40:00	1.08087	1.08096	1.08015	1.08037	753	0	35
2020.06.02	05:00:00	1.08037	1.08063	1.07986	1.07992	613	0	35
2020.06.02	05:20:00	1.07991	1.08018	1.07973	1.08017	605	0	35
2020.06.02	05:40:00	1.08017	1.08035	1.07976	1.07977	414	0	35
2020.06.02	06:00:00	1.07977	1.08015	1.07977	1.08012	361	0	35
2020.06.02	06:20:00	1.08011	1.08053	1.07987	1.08017	399	0	35
2020.06.02	06:40:00	1.08017	1.08029	1.07978	1.08019	647	0	35
2020.06.02	07:00:00	1.08019	1.08078	1.08010	1.08060	274	0	35
2020.06.02	07:20:00	1.08060	1.08060	1.07941	1.08030	726	0	35
2020.06.02	07:40:00	1.08029	1.08068	1.08026	1.08062	519	0	35
2020.06.02	08:00:00	1.08063	1.08195	1.08060	1.08144	518	0	35
2020.06.02	08:20:00	1.08144	1.08174	1.08133	1.08162	539	0	35
2020.06.02	08:40:00	1.08162	1.08191	1.08140	1.08157	519	0	35
2020.06.02	09:00:00	1.08160	1.08249	1.08151	1.08247	899	0	35
2020.06.02	09:20:00	1.08247	1.08343	1.08236	1.08336	961	0	35
2020.06.02	09:40:00	1.08336	1.08377	1.08252	1.08275	1197	0	35
2020.06.02	10:00:00	1.08278	1.08404	1.08278	1.08377	1599	0	35
2020.06.02	10:20:00	1.08377	1.08480	1.08361	1.08427	1450	0	35
2020.06.02	10:40:00	1.08427	1.08491	1.08403	1.08479	1440	0	35
2020.06.02	11:00:00	1.08476	1.08636	1.08448	1.08622	1493	0	35
2020.06.02	11:20:00	1.08620	1.08722	1.08532	1.08585	1649	0	35
2020.06.02	11:40:00	1.08585	1.08688	1.08547	1.08644	905	0	35
2020.06.02	12:00:00	1.08642	1.08716	1.08628	1.08657	1030	0	35
2020.06.02	12:20:00	1.08658	1.08713	1.08647	1.08713	940	0	35
2020.06.02	12:40:00	1.08716	1.08790	1.08680	1.08701	1047	0	35
2020.06.02	13:00:00	1.08701	1.08735	1.08567	1.08571	985	0	35
2020.06.02	13:20:00	1.08571	1.08583	1.08487	1.08508	999	0	35
2020.06.02	13:40:00	1.08508	1.08570	1.08501	1.08533	707	0	35
2020.06.02	14:00:00	1.08533	1.08557	1.08465	1.08486	733	0	35
2020.06.02	14:20:00	1.08487	1.08488	1.08439	1.08461	872	0	35
2020.06.02	14:40:00	1.08459	1.08472	1.08355	1.08389	803	0	35
2020.06.02	15:00:00	1.08389	1.08440	1.08369	1.08402	924	0	35
2020.06.02	15:20:00	1.08402	1.08477	1.08380	1.08471	1063	0	35
2020.06.02	15:40:00	1.08472	1.08535	1.08438	1.08516	946	0	35
2020.06.02	16:00:00	1.08514	1.08519	1.08427	1.08464	914	0	35
2020.06.02	16:20:00	1.08466	1.08486	1.08373	1.08375	1190	0	35
2020.06.02	16:40:00	1.08372	1.08383	1.08158	1.08184	1320	0	35
2020.06.02	17:00:00	1.08184	1.08265	1.08145	1.08154	1732	0	35
2020.06.02	17:20:00	1.08154	1.08236	1.08145	1.08215	1215	0	35
2020.06.02	17:40:00	1.08212	1.08289	1.08192	1.08283	1526	0	35
2020.06.02	18:00:00	1.08285	1.08330	1.08222	1.08292	1610	0	35
2020.06.02	18:20:00	1.08293	1.08329	1.08256	1.08317	1050	0	35
2020.06.02	18:40:00	1.08320	1.08348	1.08291	1.08303	880	0	35
2020.06.02	19:00:00	1.08299	1.08349	1.08288	1.08327	650	0	35
2020.06.02	19:20:00	1.08327	1.08391	1.08325	1.08369	621	0	35
2020.06.02	19:40:00	1.08368	1.08419	1.08366	1.08383	691	0	35
2020.06.02	20:00:00	1.08383	1.08384	1.08327	1.08339	665	0	35
2020.06.02	20:20:00	1.08339	1.08339	1.08294	1.08306	561	0	35
2020.06.02	20:40:00	1.08306	1.08316	1.08274	1.08283	551	0	35
2020.06.02	21:00:00	1.08284	1.08297	1.08235	1.08251	650	0	35
2020.06.02	21:20:00	1.08251	1.08258	1.08188	1.08192	605	0	35
2020.06.02	21:40:00	1.08192	1.08225	1.08151	1.08185	571	0	35
