<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	0.66542	0.66676	0.66542	0.66661	81	0	16
2020.06.01	00:20:00	0.66661	0.66667	0.66558	0.66653	107	0	16
2020.06.01	00:40:00	0.66653	0.66685	0.66607	0.66628	155	0	16
2020.06.01	01:00:00	0.66621	0.66624	0.66473	0.66496	612	0	16
2020.06.01	01:20:00	0.66495	0.66623	0.66494	0.66615	367	0	17
2020.06.01	01:40:00	0.66617	0.66617	0.66574	0.66590	330	0	17
2020.06.01	02:00:00	0.66584	0.66585	0.66532	0.66549	378	0	16
2020.06.01	02:20:00	0.66549	0.66580	0.66525	0.66533	284	0	16
2020.06.01	02:40:00	0.66533	0.66619	0.66526	0.66575	322	0	16
2020.06.01	03:00:00	0.66575	0.66964	0.66574	0.66936	935	0	16
2020.06.01	03:20:00	0.66934	0.67003	0.66869	0.66905	817	0	16
2020.06.01	03:40:00	0.66905	0.66945	0.66859	0.66890	487	0	16
2020.06.01	04:00:00	0.66890	0.66982	0.66844	0.66976	740	0	16
2020.06.01	04:20:00	0.66980	0.67339	0.66951	0.67293	1101	0	16
2020.06.01	04:40:00	0.67293	0.67375	0.67233	0.67242	732	0	16
2020.06.01	05:00:00	0.67243	0.67253	0.67191	0.67224	495	0	16
2020.06.01	05:20:00	0.67224	0.67275	0.67212	0.67274	452	0	16
2020.06.01	05:40:00	0.67274	0.67416	0.67273	0.67346	655	0	16
2020.06.01	06:00:00	0.67345	0.67354	0.67230	0.67241	442	0	16
2020.06.01	06:20:00	0.67241	0.67270	0.67210	0.67223	425	0	16
2020.06.01	06:40:00	0.67227	0.67264	0.67182	0.67183	368	0	16
2020.06.01	07:00:00	0.67187	0.67274	0.67187	0.67266	241	0	16
2020.06.01	07:20:00	0.67266	0.67306	0.67231	0.67231	278	0	16
2020.06.01	07:40:00	0.67234	0.67265	0.67220	0.67233	251	0	16
2020.06.01	08:00:00	0.67233	0.67276	0.67185	0.67263	397	0	16
2020.06.01	08:20:00	0.67266	0.67346	0.67261	0.67330	385	0	16
2020.06.01	08:40:00	0.67330	0.67418	0.67318	0.67400	507	0	16
2020.06.01	09:00:00	0.67399	0.67555	0.67377	0.67535	830	0	16
2020.06.01	09:20:00	0.67534	0.67539	0.67448	0.67452	596	0	16
2020.06.01	09:40:00	0.67452	0.67503	0.67445	0.67483	491	0	16
2020.06.01	10:00:00	0.67488	0.67545	0.67431	0.67451	834	0	16
2020.06.01	10:20:00	0.67453	0.67515	0.67438	0.67510	617	0	16
2020.06.01	10:40:00	0.67510	0.67716	0.67506	0.67694	797	0	16
2020.06.01	11:00:00	0.67695	0.67695	0.67200	0.67233	1537	0	16
2020.06.01	11:20:00	0.67233	0.67374	0.67186	0.67354	1332	0	16
2020.06.01	11:40:00	0.67353	0.67413	0.67290	0.67346	1020	0	16
2020.06.01	12:00:00	0.67357	0.67424	0.67319	0.67381	764	0	16
2020.06.01	12:20:00	0.67381	0.67389	0.67304	0.67345	583	0	16
2020.06.01	12:40:00	0.67345	0.67355	0.67250	0.67282	689	0	16
2020.06.01	13:00:00	0.67283	0.67283	0.67195	0.67232	737	0	16
2020.06.01	13:20:00	0.67232	0.67301	0.67232	0.67281	603	0	16
2020.06.01	13:40:00	0.67279	0.67295	0.67204	0.67247	519	0	16
2020.06.01	14:00:00	0.67250	0.67315	0.67250	0.67311	696	0	16
2020.06.01	14:20:00	0.67312	0.67384	0.67281	0.67374	564	0	16
2020.06.01	14:40:00	0.67374	0.67416	0.67311	0.67363	503	0	16
2020.06.01	15:00:00	0.67364	0.67425	0.67359	0.67379	628	0	16
2020.06.01	15:20:00	0.67376	0.67410	0.67279	0.67282	881	0	16
2020.06.01	15:40:00	0.67282	0.67300	0.67239	0.67253	626	0	16
2020.06.01	16:00:00	0.67250	0.67277	0.67136	0.67163	639	0	16
2020.06.01	16:20:00	0.67162	0.67370	0.67162	0.67344	1267	0	16
2020.06.01	16:40:00	0.67344	0.67392	0.67319	0.67372	1041	0	16
2020.06.01	17:00:00	0.67379	0.67625	0.67340	0.67604	1576	0	16
2020.06.01	17:20:00	0.67602	0.67692	0.67589	0.67640	1188	0	16
2020.06.01	17:40:00	0.67640	0.67873	0.67611	0.67869	1316	0	16
2020.06.01	18:00:00	0.67869	0.67870	0.67732	0.67759	846	0	16
2020.06.01	18:20:00	0.67762	0.67783	0.67699	0.67764	731	0	16
2020.06.01	18:40:00	0.67767	0.67844	0.67765	0.67838	625	0	16
