<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	0.69741	0.69872	0.69717	0.69848	78	0	33
2020.06.01	00:20:00	0.69841	0.69851	0.69712	0.69768	84	0	100
2020.06.01	00:40:00	0.69768	0.69795	0.69768	0.69791	52	0	100
2020.06.01	01:00:00	0.69781	0.69793	0.69626	0.69637	561	0	33
2020.06.01	01:20:00	0.69638	0.69714	0.69637	0.69705	294	0	33
2020.06.01	01:40:00	0.69705	0.69705	0.69674	0.69699	248	0	33
2020.06.01	02:00:00	0.69697	0.69711	0.69668	0.69669	250	0	38
2020.06.01	02:20:00	0.69669	0.69691	0.69659	0.69675	225	0	40
2020.06.01	02:40:00	0.69675	0.69720	0.69672	0.69706	254	0	37
2020.06.01	03:00:00	0.69706	0.69859	0.69702	0.69837	778	0	35
2020.06.01	03:20:00	0.69838	0.69953	0.69838	0.69903	731	0	34
2020.06.01	03:40:00	0.69906	0.69953	0.69887	0.69908	466	0	33
2020.06.01	04:00:00	0.69908	0.69973	0.69894	0.69941	631	0	33
2020.06.01	04:20:00	0.69941	0.69991	0.69925	0.69977	746	0	33
2020.06.01	04:40:00	0.69978	0.70020	0.69972	0.70001	504	0	36
2020.06.01	05:00:00	0.69999	0.70009	0.69979	0.70005	340	0	36
2020.06.01	05:20:00	0.70001	0.70026	0.70001	0.70025	270	0	35
2020.06.01	05:40:00	0.70026	0.70080	0.70019	0.70073	471	0	33
2020.06.01	06:00:00	0.70073	0.70084	0.70011	0.70029	500	0	33
2020.06.01	06:20:00	0.70029	0.70029	0.69966	0.69969	259	0	35
2020.06.01	06:40:00	0.69970	0.69980	0.69938	0.69942	229	0	33
2020.06.01	07:00:00	0.69943	0.69972	0.69918	0.69971	242	0	33
2020.06.01	07:20:00	0.69971	0.69998	0.69966	0.69976	197	0	34
2020.06.01	07:40:00	0.69976	0.69986	0.69951	0.69965	275	0	35
2020.06.01	08:00:00	0.69966	0.69972	0.69935	0.69942	397	0	35
2020.06.01	08:20:00	0.69942	0.69958	0.69933	0.69955	309	0	33
2020.06.01	08:40:00	0.69956	0.69983	0.69945	0.69975	294	0	33
2020.06.01	09:00:00	0.69973	0.70027	0.69943	0.70004	760	0	33
2020.06.01	09:20:00	0.70005	0.70029	0.69977	0.70028	583	0	33
2020.06.01	09:40:00	0.70028	0.70061	0.70012	0.70047	493	0	33
2020.06.01	10:00:00	0.70050	0.70087	0.70034	0.70086	932	0	33
2020.06.01	10:20:00	0.70090	0.70097	0.70056	0.70082	716	0	33
2020.06.01	10:40:00	0.70082	0.70176	0.70082	0.70130	851	0	33
2020.06.01	11:00:00	0.70132	0.70152	0.69913	0.69927	1516	0	33
2020.06.01	11:20:00	0.69926	0.69939	0.69886	0.69894	1312	0	33
2020.06.01	11:40:00	0.69895	0.69901	0.69836	0.69873	960	0	33
2020.06.01	12:00:00	0.69877	0.69957	0.69848	0.69945	769	0	33
2020.06.01	12:20:00	0.69945	0.70008	0.69932	0.69969	829	0	33
2020.06.01	12:40:00	0.69969	0.70029	0.69964	0.69987	811	0	33
2020.06.01	13:00:00	0.69988	0.70029	0.69963	0.70025	771	0	33
2020.06.01	13:20:00	0.70025	0.70059	0.69985	0.70052	699	0	33
2020.06.01	13:40:00	0.70054	0.70091	0.70019	0.70062	695	0	33
2020.06.01	14:00:00	0.70064	0.70097	0.70059	0.70096	675	0	33
