<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	78.124	78.277	78.119	78.264	151	0	38
2020.06.01	00:20:00	78.260	78.272	78.131	78.206	102	0	55
2020.06.01	00:40:00	78.206	78.232	78.192	78.216	113	0	71
2020.06.01	01:00:00	78.218	78.236	78.009	78.059	584	0	41
2020.06.01	01:20:00	78.059	78.206	78.053	78.200	320	0	40
2020.06.01	01:40:00	78.199	78.200	78.147	78.158	321	0	41
2020.06.01	02:00:00	78.160	78.161	78.081	78.095	446	0	31
2020.06.01	02:20:00	78.094	78.127	78.065	78.086	393	0	31
2020.06.01	02:40:00	78.086	78.179	78.083	78.156	305	0	31
2020.06.01	03:00:00	78.158	78.448	78.115	78.418	1165	0	31
2020.06.01	03:20:00	78.421	78.542	78.421	78.452	889	0	31
2020.06.01	03:40:00	78.451	78.477	78.409	78.440	630	0	31
2020.06.01	04:00:00	78.439	78.489	78.382	78.462	790	0	31
2020.06.01	04:20:00	78.462	78.514	78.440	78.467	890	0	31
2020.06.01	04:40:00	78.470	78.518	78.445	78.486	615	0	31
2020.06.01	05:00:00	78.485	78.513	78.459	78.507	441	0	31
2020.06.01	05:20:00	78.499	78.540	78.487	78.539	368	0	31
2020.06.01	05:40:00	78.539	78.579	78.522	78.563	595	0	31
2020.06.01	06:00:00	78.562	78.565	78.431	78.437	504	0	31
2020.06.01	06:20:00	78.437	78.453	78.386	78.399	334	0	31
2020.06.01	06:40:00	78.398	78.406	78.346	78.356	339	0	31
2020.06.01	07:00:00	78.359	78.404	78.344	78.378	277	0	31
2020.06.01	07:20:00	78.378	78.414	78.374	78.382	274	0	31
2020.06.01	07:40:00	78.382	78.402	78.301	78.314	365	0	31
2020.06.01	08:00:00	78.314	78.353	78.275	78.315	419	0	31
2020.06.01	08:20:00	78.315	78.362	78.311	78.353	391	0	31
2020.06.01	08:40:00	78.353	78.397	78.325	78.375	393	0	31
2020.06.01	09:00:00	78.372	78.426	78.329	78.391	716	0	31
2020.06.01	09:20:00	78.391	78.442	78.375	78.438	584	0	31
2020.06.01	09:40:00	78.435	78.517	78.434	78.498	519	0	31
2020.06.01	10:00:00	78.501	78.558	78.483	78.543	825	0	31
2020.06.01	10:20:00	78.543	78.554	78.480	78.495	650	0	31
2020.06.01	10:40:00	78.495	78.631	78.493	78.599	698	0	31
2020.06.01	11:00:00	78.598	78.602	78.234	78.280	1478	0	31
2020.06.01	11:20:00	78.280	78.378	78.218	78.359	1251	0	31
2020.06.01	11:40:00	78.359	78.372	78.297	78.308	881	0	31
2020.06.01	12:00:00	78.309	78.423	78.284	78.401	831	0	31
2020.06.01	12:20:00	78.401	78.429	78.368	78.422	774	0	31
2020.06.01	12:40:00	78.422	78.444	78.365	78.374	856	0	31
2020.06.01	13:00:00	78.375	78.483	78.354	78.467	734	0	31
2020.06.01	13:20:00	78.468	78.520	78.420	78.460	660	0	31
2020.06.01	13:40:00	78.459	78.503	78.451	78.492	663	0	31
2020.06.01	14:00:00	78.494	78.601	78.494	78.600	630	0	31
2020.06.01	14:20:00	78.600	78.619	78.550	78.604	463	0	31
2020.06.01	14:40:00	78.606	78.625	78.536	78.536	452	0	31
2020.06.01	15:00:00	78.536	78.609	78.525	78.548	563	0	31
2020.06.01	15:20:00	78.555	78.564	78.487	78.494	778	0	31
2020.06.01	15:40:00	78.491	78.517	78.443	78.476	779	0	31
2020.06.01	16:00:00	78.473	78.487	78.408	78.440	714	0	31
2020.06.01	16:20:00	78.443	78.570	78.443	78.552	1017	0	31
2020.06.01	16:40:00	78.550	78.633	78.548	78.579	879	0	31
2020.06.01	17:00:00	78.582	78.825	78.574	78.811	1427	0	31
2020.06.01	17:20:00	78.812	78.884	78.785	78.839	1156	0	31
2020.06.01	17:40:00	78.839	78.967	78.809	78.959	1100	0	31
2020.06.01	18:00:00	78.963	79.044	78.921	79.007	948	0	31
2020.06.01	18:20:00	79.007	79.020	78.942	79.020	780	0	31
2020.06.01	18:40:00	79.022	79.091	79.017	79.060	620	0	31
2020.06.01	19:00:00	79.059	79.179	79.040	79.167	569	0	31
2020.06.01	19:20:00	79.167	79.171	79.086	79.116	494	0	31
2020.06.01	19:40:00	79.120	79.144	79.083	79.097	483	0	31
2020.06.01	20:00:00	79.097	79.168	79.094	79.154	424	0	31
2020.06.01	20:20:00	79.151	79.160	79.105	79.106	296	0	31
2020.06.01	20:40:00	79.104	79.141	79.089	79.139	330	0	31
2020.06.01	21:00:00	79.139	79.196	79.131	79.194	302	0	32
2020.06.01	21:20:00	79.195	79.197	79.144	79.187	317	0	31
2020.06.01	21:40:00	79.187	79.241	79.177	79.241	421	0	31
2020.06.01	22:00:00	79.241	79.283	79.219	79.271	487	0	31
2020.06.01	22:20:00	79.275	79.326	79.274	79.297	434	0	31
2020.06.01	22:40:00	79.297	79.322	79.256	79.267	420	0	31
2020.06.01	23:00:00	79.267	79.284	79.232	79.263	330	0	32
2020.06.01	23:20:00	79.263	79.263	79.222	79.258	208	0	31
2020.06.01	23:40:00	79.259	79.264	79.207	79.249	320	0	31
2020.06.02	00:00:00	79.249	79.288	79.184	79.259	134	0	46
2020.06.02	00:20:00	79.259	79.280	79.205	79.247	219	0	31
2020.06.02	00:40:00	79.246	79.280	79.221	79.279	461	0	57
