<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.66886	1.66934	1.66653	1.66665	163	0	17
2020.06.01	00:20:00	1.66665	1.66913	1.66639	1.66722	161	0	69
2020.06.01	00:40:00	1.66720	1.66748	1.66606	1.66702	265	0	48
2020.06.01	01:00:00	1.66708	1.66992	1.66648	1.66951	987	0	17
2020.06.01	01:20:00	1.66952	1.66968	1.66737	1.66766	640	0	27
2020.06.01	01:40:00	1.66761	1.66873	1.66761	1.66833	523	0	31
2020.06.01	02:00:00	1.66825	1.67020	1.66825	1.66977	576	0	28
2020.06.01	02:20:00	1.66977	1.67045	1.66926	1.67021	501	0	25
2020.06.01	02:40:00	1.67021	1.67039	1.66864	1.66923	569	0	17
2020.06.01	03:00:00	1.66924	1.66928	1.66071	1.66166	1484	0	17
2020.06.01	03:20:00	1.66169	1.66228	1.66000	1.66140	1355	0	22
2020.06.01	03:40:00	1.66140	1.66232	1.66081	1.66223	925	0	22
2020.06.01	04:00:00	1.66241	1.66286	1.66034	1.66084	1171	0	20
2020.06.01	04:20:00	1.66086	1.66148	1.65327	1.65417	1616	0	17
2020.06.01	04:40:00	1.65417	1.65561	1.65256	1.65541	1144	0	25
2020.06.01	05:00:00	1.65541	1.65652	1.65528	1.65556	841	0	23
2020.06.01	05:20:00	1.65563	1.65616	1.65499	1.65500	735	0	23
2020.06.01	05:40:00	1.65500	1.65502	1.65195	1.65330	1034	0	23
2020.06.01	06:00:00	1.65331	1.65576	1.65323	1.65545	660	0	17
2020.06.01	06:20:00	1.65545	1.65624	1.65488	1.65583	638	0	25
2020.06.01	06:40:00	1.65571	1.65680	1.65500	1.65671	755	0	26
2020.06.01	07:00:00	1.65659	1.65688	1.65485	1.65489	555	0	17
2020.06.01	07:20:00	1.65489	1.65570	1.65427	1.65567	572	0	25
2020.06.01	07:40:00	1.65563	1.65602	1.65512	1.65551	433	0	17
2020.06.01	08:00:00	1.65551	1.65643	1.65485	1.65516	671	0	17
2020.06.01	08:20:00	1.65511	1.65534	1.65359	1.65411	668	0	17
2020.06.01	08:40:00	1.65411	1.65452	1.65197	1.65241	781	0	21
2020.06.01	09:00:00	1.65243	1.65296	1.64970	1.64999	1342	0	17
2020.06.01	09:20:00	1.64994	1.65160	1.64961	1.65133	1089	0	17
2020.06.01	09:40:00	1.65133	1.65144	1.64994	1.64994	920	0	19
2020.06.01	10:00:00	1.64978	1.65108	1.64921	1.65037	1462	0	20
2020.06.01	10:20:00	1.65037	1.65066	1.64918	1.64918	1164	0	18
2020.06.01	10:40:00	1.64918	1.64935	1.64619	1.64661	1506	0	17
2020.06.01	11:00:00	1.64657	1.65439	1.64652	1.65402	2372	0	17
2020.06.01	11:20:00	1.65395	1.65516	1.65239	1.65263	1983	0	17
2020.06.01	11:40:00	1.65267	1.65431	1.65218	1.65364	1563	0	21
2020.06.01	12:00:00	1.65344	1.65434	1.65119	1.65153	1178	0	17
2020.06.01	12:20:00	1.65154	1.65199	1.65060	1.65128	1188	0	17
2020.06.01	12:40:00	1.65130	1.65202	1.65061	1.65151	1277	0	17
2020.06.01	13:00:00	1.65159	1.65288	1.65159	1.65169	1229	0	17
2020.06.01	13:20:00	1.65167	1.65219	1.65089	1.65121	1050	0	17
2020.06.01	13:40:00	1.65122	1.65196	1.65089	1.65121	1010	0	17
2020.06.01	14:00:00	1.65111	1.65170	1.65074	1.65102	1195	0	17
2020.06.01	14:20:00	1.65111	1.65166	1.64907	1.64931	1000	0	19
2020.06.01	14:40:00	1.64931	1.65025	1.64894	1.64917	958	0	17
2020.06.01	15:00:00	1.64920	1.64945	1.64835	1.64935	1034	0	17
2020.06.01	15:20:00	1.64944	1.65055	1.64870	1.65044	1380	0	17
2020.06.01	15:40:00	1.65044	1.65176	1.64991	1.65165	1167	0	17
2020.06.01	16:00:00	1.65174	1.65398	1.65105	1.65311	1085	0	17
2020.06.01	16:20:00	1.65311	1.65345	1.65003	1.65019	1836	0	17
2020.06.01	16:40:00	1.65020	1.65154	1.64993	1.65095	1546	0	17
2020.06.01	17:00:00	1.65065	1.65123	1.64605	1.64673	2170	0	17
2020.06.01	17:20:00	1.64682	1.64711	1.64340	1.64439	1908	0	17
2020.06.01	17:40:00	1.64438	1.64518	1.64046	1.64067	1935	0	17
2020.06.01	18:00:00	1.64072	1.64228	1.64066	1.64142	1549	0	17
2020.06.01	18:20:00	1.64142	1.64238	1.63992	1.64011	1262	0	17
2020.06.01	18:40:00	1.64009	1.64029	1.63928	1.63928	1065	0	17
2020.06.01	19:00:00	1.63928	1.63988	1.63845	1.63853	770	0	17
2020.06.01	19:20:00	1.63854	1.63974	1.63773	1.63929	811	0	22
2020.06.01	19:40:00	1.63926	1.64106	1.63886	1.64060	890	0	20
2020.06.01	20:00:00	1.64055	1.64055	1.63891	1.63891	755	0	21
2020.06.01	20:20:00	1.63911	1.63995	1.63910	1.63914	607	0	18
2020.06.01	20:40:00	1.63914	1.63968	1.63892	1.63911	837	0	19
2020.06.01	21:00:00	1.63913	1.63960	1.63886	1.63905	693	0	17
2020.06.01	21:20:00	1.63906	1.63922	1.63805	1.63810	622	0	17
2020.06.01	21:40:00	1.63810	1.63873	1.63676	1.63704	799	0	19
2020.06.01	22:00:00	1.63709	1.63778	1.63658	1.63711	964	0	20
2020.06.01	22:20:00	1.63711	1.63727	1.63621	1.63710	525	0	20
2020.06.01	22:40:00	1.63710	1.63795	1.63703	1.63752	969	0	25
2020.06.01	23:00:00	1.63755	1.63854	1.63755	1.63807	654	0	24
2020.06.01	23:20:00	1.63807	1.63838	1.63746	1.63809	346	0	17
2020.06.01	23:40:00	1.63809	1.63843	1.63754	1.63783	386	0	30
2020.06.02	00:00:00	1.63747	1.63791	1.63270	1.63585	345	0	17
2020.06.02	00:20:00	1.63599	1.63632	1.63571	1.63617	176	0	59
2020.06.02	00:40:00	1.63610	1.63739	1.63605	1.63655	346	0	17
2020.06.02	01:00:00	1.63654	1.63731	1.63612	1.63691	455	0	32
