<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.53174	1.53174	1.52868	1.52886	129	0	31
2020.06.01	00:20:00	1.52894	1.53129	1.52876	1.52972	113	0	111
2020.06.01	00:40:00	1.52972	1.52972	1.52893	1.52902	90	0	111
2020.06.01	01:00:00	1.52902	1.53214	1.52866	1.53194	499	0	25
2020.06.01	01:20:00	1.53194	1.53201	1.53054	1.53091	210	0	51
2020.06.01	01:40:00	1.53091	1.53151	1.53091	1.53104	147	0	45
2020.06.01	02:00:00	1.53104	1.53190	1.53101	1.53189	294	0	39
2020.06.01	02:20:00	1.53189	1.53235	1.53174	1.53209	398	0	25
2020.06.01	02:40:00	1.53207	1.53210	1.53134	1.53146	370	0	27
2020.06.01	03:00:00	1.53134	1.53151	1.52844	1.52880	914	0	25
2020.06.01	03:20:00	1.52882	1.52882	1.52683	1.52758	848	0	25
2020.06.01	03:40:00	1.52758	1.52771	1.52677	1.52739	564	0	25
2020.06.01	04:00:00	1.52739	1.52746	1.52634	1.52723	784	0	27
2020.06.01	04:20:00	1.52723	1.52810	1.52701	1.52738	1064	0	25
2020.06.01	04:40:00	1.52734	1.52763	1.52671	1.52704	698	0	27
2020.06.01	05:00:00	1.52704	1.52769	1.52674	1.52682	597	0	26
2020.06.01	05:20:00	1.52690	1.52697	1.52648	1.52649	586	0	25
2020.06.01	05:40:00	1.52652	1.52653	1.52574	1.52600	598	0	25
2020.06.01	06:00:00	1.52597	1.52748	1.52595	1.52740	555	0	25
2020.06.01	06:20:00	1.52739	1.52833	1.52735	1.52832	417	0	25
2020.06.01	06:40:00	1.52831	1.52882	1.52817	1.52875	560	0	25
2020.06.01	07:00:00	1.52872	1.52937	1.52831	1.52837	596	0	25
2020.06.01	07:20:00	1.52837	1.52858	1.52797	1.52823	361	0	26
2020.06.01	07:40:00	1.52820	1.52854	1.52801	1.52821	335	0	25
2020.06.01	08:00:00	1.52821	1.52882	1.52796	1.52876	493	0	25
2020.06.01	08:20:00	1.52876	1.52889	1.52837	1.52845	416	0	25
2020.06.01	08:40:00	1.52845	1.52871	1.52790	1.52809	424	0	25
2020.06.01	09:00:00	1.52807	1.52856	1.52772	1.52819	910	0	25
2020.06.01	09:20:00	1.52812	1.52822	1.52732	1.52732	680	0	25
2020.06.01	09:40:00	1.52730	1.52734	1.52635	1.52648	534	0	25
