<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.01	00:00:00	1.08528	1.08528	1.08528	1.08528	5	5	67
2020.01.02	00:00:00	1.08423	1.08529	1.08415	1.08529	246	288	252
2020.01.02	00:20:00	1.08529	1.08529	1.08320	1.08475	77	79	150
2020.01.02	00:40:00	1.08382	1.08493	1.08382	1.08419	90	58	122
2020.01.02	01:00:00	1.08446	1.08491	1.08404	1.08488	510	702	13
2020.01.02	01:20:00	1.08489	1.08543	1.08487	1.08534	178	215	5
2020.01.02	01:40:00	1.08534	1.08578	1.08532	1.08570	517	587	4
2020.01.02	02:00:00	1.08569	1.08590	1.08565	1.08581	521	635	4
2020.01.02	02:20:00	1.08581	1.08616	1.08580	1.08613	463	653	5
2020.01.02	02:40:00	1.08613	1.08638	1.08605	1.08623	379	471	9
2020.01.02	03:00:00	1.08623	1.08647	1.08614	1.08627	631	797	8
2020.01.02	03:20:00	1.08627	1.08646	1.08606	1.08609	509	668	6
2020.01.02	03:40:00	1.08609	1.08616	1.08585	1.08611	353	464	6
2020.01.02	04:00:00	1.08612	1.08647	1.08607	1.08624	387	444	5
2020.01.02	04:20:00	1.08624	1.08652	1.08620	1.08650	274	348	7
2020.01.02	04:40:00	1.08651	1.08654	1.08619	1.08626	322	355	6
2020.01.02	05:00:00	1.08626	1.08655	1.08621	1.08642	420	510	6
2020.01.02	05:20:00	1.08642	1.08659	1.08628	1.08649	656	790	5
2020.01.02	05:40:00	1.08649	1.08650	1.08627	1.08632	409	427	5
2020.01.02	06:00:00	1.08632	1.08644	1.08627	1.08644	306	388	7
2020.01.02	06:20:00	1.08644	1.08653	1.08621	1.08631	431	452	4
2020.01.02	06:40:00	1.08631	1.08667	1.08591	1.08637	694	738	4
2020.01.02	07:00:00	1.08637	1.08691	1.08637	1.08675	712	866	7
2020.01.02	07:20:00	1.08676	1.08680	1.08650	1.08669	670	993	6
2020.01.02	07:40:00	1.08671	1.08712	1.08659	1.08698	547	772	6
2020.01.02	08:00:00	1.08700	1.08760	1.08690	1.08758	504	596	6
2020.01.02	08:20:00	1.08759	1.08777	1.08724	1.08743	467	686	4
2020.01.02	08:40:00	1.08743	1.08764	1.08727	1.08731	421	491	7
2020.01.02	09:00:00	1.08731	1.08758	1.08696	1.08755	1286	1494	4
2020.01.02	09:20:00	1.08755	1.08762	1.08720	1.08720	953	1281	4
2020.01.02	09:40:00	1.08721	1.08756	1.08714	1.08730	913	1188	3
2020.01.02	10:00:00	1.08730	1.08763	1.08712	1.08718	1617	2244	4
2020.01.02	10:20:00	1.08719	1.08730	1.08679	1.08697	1088	1579	4
2020.01.02	10:40:00	1.08697	1.08709	1.08629	1.08629	1425	2224	4
2020.01.02	11:00:00	1.08629	1.08663	1.08616	1.08626	1251	1801	4
2020.01.02	11:20:00	1.08626	1.08628	1.08528	1.08561	1007	1646	4
2020.01.02	11:40:00	1.08557	1.08621	1.08506	1.08617	1230	1724	4
2020.01.02	12:00:00	1.08618	1.08628	1.08536	1.08539	1030	1265	4
2020.01.02	12:20:00	1.08539	1.08575	1.08498	1.08552	1294	2139	4
2020.01.02	12:40:00	1.08552	1.08608	1.08548	1.08608	1060	1711	3
2020.01.02	13:00:00	1.08608	1.08641	1.08600	1.08629	1243	1966	4
2020.01.02	13:20:00	1.08629	1.08654	1.08577	1.08586	1375	2315	4
2020.01.02	13:40:00	1.08586	1.08632	1.08575	1.08595	1049	1641	4
2020.01.02	14:00:00	1.08595	1.08656	1.08568	1.08656	1171	2205	4
2020.01.02	14:20:00	1.08655	1.08698	1.08646	1.08687	1059	1648	4
2020.01.02	14:40:00	1.08688	1.08695	1.08661	1.08689	834	1109	5
2020.01.02	15:00:00	1.08688	1.08689	1.08628	1.08656	1248	1892	3
2020.01.02	15:20:00	1.08660	1.08673	1.08601	1.08625	1332	2335	4
2020.01.02	15:40:00	1.08627	1.08647	1.08609	1.08636	1379	1962	3
2020.01.02	16:00:00	1.08634	1.08635	1.08568	1.08575	1409	2073	2
2020.01.02	16:20:00	1.08575	1.08577	1.08487	1.08509	2204	4890	3
2020.01.02	16:40:00	1.08509	1.08538	1.08463	1.08526	2257	16322	3
2020.01.02	17:00:00	1.08528	1.08530	1.08463	1.08465	1627	2649	4
2020.01.02	17:20:00	1.08465	1.08474	1.08364	1.08397	2637	27427	1
2020.01.02	17:40:00	1.08397	1.08554	1.08384	1.08545	2799	8309	2
2020.01.02	18:00:00	1.08545	1.08575	1.08528	1.08559	2671	3678	2
2020.01.02	18:20:00	1.08558	1.08625	1.08543	1.08620	1247	1792	3
2020.01.02	18:40:00	1.08620	1.08620	1.08526	1.08553	1635	2257	4
2020.01.02	19:00:00	1.08553	1.08634	1.08547	1.08630	1227	2027	4
2020.01.02	19:20:00	1.08634	1.08662	1.08629	1.08655	1212	2096	4
2020.01.02	19:40:00	1.08656	1.08674	1.08635	1.08660	1093	1776	4
2020.01.02	20:00:00	1.08658	1.08659	1.08616	1.08631	1054	1405	4
2020.01.02	20:20:00	1.08632	1.08640	1.08610	1.08621	789	1054	4
2020.01.02	20:40:00	1.08621	1.08623	1.08590	1.08604	724	1238	6
2020.01.02	21:00:00	1.08604	1.08629	1.08604	1.08624	625	1002	6
2020.01.02	21:20:00	1.08622	1.08630	1.08591	1.08591	541	788	5
2020.01.02	21:40:00	1.08590	1.08619	1.08573	1.08573	1050	1513	4
2020.01.02	22:00:00	1.08573	1.08593	1.08501	1.08505	995	1211	3
2020.01.02	22:20:00	1.08505	1.08514	1.08484	1.08491	790	1010	5
2020.01.02	22:40:00	1.08491	1.08504	1.08461	1.08499	1090	1259	4
2020.01.02	23:00:00	1.08498	1.08525	1.08498	1.08516	379	391	7
2020.01.02	23:20:00	1.08516	1.08518	1.08503	1.08510	394	535	8
2020.01.02	23:40:00	1.08510	1.08510	1.08478	1.08501	650	794	8
2020.01.03	00:00:00	1.08472	1.08512	1.08455	1.08474	269	274	26
2020.01.03	00:20:00	1.08479	1.08529	1.08463	1.08520	329	366	34
2020.01.03	00:40:00	1.08522	1.08522	1.08486	1.08499	229	232	57
2020.01.03	01:00:00	1.08498	1.08549	1.08482	1.08540	405	572	7
2020.01.03	01:20:00	1.08535	1.08542	1.08516	1.08523	203	298	11
2020.01.03	01:40:00	1.08523	1.08531	1.08490	1.08519	317	437	5
2020.01.03	02:00:00	1.08517	1.08534	1.08505	1.08532	395	441	7
