<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.06815	1.06854	1.06765	1.06802	66	0	99
2020.06.01	00:20:00	1.06801	1.06823	1.06791	1.06811	71	0	99
2020.06.01	00:40:00	1.06808	1.06818	1.06771	1.06776	128	0	99
2020.06.01	01:00:00	1.06776	1.06805	1.06717	1.06717	298	0	23
2020.06.01	01:20:00	1.06718	1.06747	1.06718	1.06747	242	0	29
2020.06.01	01:40:00	1.06747	1.06754	1.06731	1.06746	215	0	28
2020.06.01	02:00:00	1.06745	1.06773	1.06744	1.06756	229	0	25
2020.06.01	02:20:00	1.06756	1.06795	1.06754	1.06774	212	0	26
2020.06.01	02:40:00	1.06774	1.06807	1.06771	1.06776	280	0	27
2020.06.01	03:00:00	1.06772	1.06812	1.06768	1.06804	535	0	24
2020.06.01	03:20:00	1.06804	1.06832	1.06788	1.06807	404	0	26
2020.06.01	03:40:00	1.06807	1.06837	1.06787	1.06807	370	0	26
2020.06.01	04:00:00	1.06808	1.06850	1.06777	1.06840	485	0	26
2020.06.01	04:20:00	1.06840	1.06937	1.06827	1.06907	665	0	26
2020.06.01	04:40:00	1.06907	1.06942	1.06890	1.06926	406	0	25
2020.06.01	05:00:00	1.06927	1.06936	1.06904	1.06915	315	0	26
2020.06.01	05:20:00	1.06915	1.06925	1.06902	1.06918	409	0	23
2020.06.01	05:40:00	1.06918	1.06963	1.06903	1.06961	412	0	22
2020.06.01	06:00:00	1.06961	1.06996	1.06933	1.06988	295	0	20
2020.06.01	06:20:00	1.06989	1.06989	1.06952	1.06958	284	0	24
2020.06.01	06:40:00	1.06958	1.06966	1.06952	1.06952	243	0	24
2020.06.01	07:00:00	1.06952	1.06988	1.06952	1.06965	251	0	27
2020.06.01	07:20:00	1.06966	1.07009	1.06965	1.06967	203	0	24
2020.06.01	07:40:00	1.06967	1.06974	1.06952	1.06956	200	0	21
2020.06.01	08:00:00	1.06954	1.06958	1.06937	1.06948	297	0	21
2020.06.01	08:20:00	1.06949	1.06959	1.06938	1.06948	333	0	26
2020.06.01	08:40:00	1.06948	1.06964	1.06946	1.06954	211	0	24
2020.06.01	09:00:00	1.06954	1.07022	1.06937	1.06999	445	0	22
2020.06.01	09:20:00	1.06996	1.06997	1.06936	1.06976	368	0	21
2020.06.01	09:40:00	1.06976	1.06982	1.06938	1.06942	406	0	22
2020.06.01	10:00:00	1.06944	1.06970	1.06899	1.06907	601	0	21
2020.06.01	10:20:00	1.06907	1.06930	1.06895	1.06912	510	0	21
2020.06.01	10:40:00	1.06912	1.07053	1.06912	1.06956	757	0	21
2020.06.01	11:00:00	1.06962	1.06970	1.06737	1.06741	1388	0	20
2020.06.01	11:20:00	1.06741	1.06780	1.06714	1.06715	995	0	20
2020.06.01	11:40:00	1.06714	1.06761	1.06676	1.06753	739	0	22
2020.06.01	12:00:00	1.06754	1.06755	1.06715	1.06737	701	0	21
2020.06.01	12:20:00	1.06737	1.06758	1.06701	1.06748	633	0	20
2020.06.01	12:40:00	1.06748	1.06800	1.06745	1.06776	755	0	23
2020.06.01	13:00:00	1.06779	1.06788	1.06738	1.06738	490	0	22
2020.06.01	13:20:00	1.06738	1.06807	1.06720	1.06792	372	0	23
2020.06.01	13:40:00	1.06792	1.06807	1.06760	1.06779	397	0	24
2020.06.01	14:00:00	1.06778	1.06827	1.06769	1.06809	562	0	22
2020.06.01	14:20:00	1.06810	1.06817	1.06782	1.06805	433	0	22
2020.06.01	14:40:00	1.06806	1.06836	1.06793	1.06809	521	0	24
2020.06.01	15:00:00	1.06811	1.06866	1.06803	1.06838	533	0	23
2020.06.01	15:20:00	1.06841	1.06855	1.06827	1.06841	657	0	21
2020.06.01	15:40:00	1.06841	1.06867	1.06827	1.06863	576	0	21
2020.06.01	16:00:00	1.06862	1.06887	1.06839	1.06857	474	0	21
2020.06.01	16:20:00	1.06859	1.06952	1.06858	1.06918	728	0	22
2020.06.01	16:40:00	1.06918	1.06977	1.06898	1.06935	604	0	22
2020.06.01	17:00:00	1.06956	1.06972	1.06879	1.06960	1196	0	22
2020.06.01	17:20:00	1.06960	1.07001	1.06908	1.06916	916	0	21
2020.06.01	17:40:00	1.06916	1.06962	1.06903	1.06952	955	0	22
2020.06.01	18:00:00	1.06951	1.06976	1.06935	1.06975	710	0	21
2020.06.01	18:20:00	1.06976	1.06979	1.06890	1.06908	536	0	21
2020.06.01	18:40:00	1.06908	1.06926	1.06896	1.06920	388	0	22
2020.06.01	19:00:00	1.06920	1.06970	1.06906	1.06965	462	0	24
2020.06.01	19:20:00	1.06965	1.06974	1.06937	1.06962	358	0	24
2020.06.01	19:40:00	1.06962	1.06971	1.06944	1.06971	413	0	23
2020.06.01	20:00:00	1.06971	1.06971	1.06951	1.06954	410	0	22
2020.06.01	20:20:00	1.06955	1.06981	1.06955	1.06980	236	0	24
2020.06.01	20:40:00	1.06980	1.07017	1.06975	1.07015	294	0	24
2020.06.01	21:00:00	1.07014	1.07033	1.06998	1.06998	260	0	24
2020.06.01	21:20:00	1.06998	1.07043	1.06993	1.07025	277	0	22
2020.06.01	21:40:00	1.07025	1.07082	1.07024	1.07049	264	0	23
2020.06.01	22:00:00	1.07049	1.07073	1.07045	1.07058	280	0	25
2020.06.01	22:20:00	1.07059	1.07061	1.07026	1.07030	239	0	25
2020.06.01	22:40:00	1.07028	1.07036	1.07017	1.07022	338	0	25
2020.06.01	23:00:00	1.07022	1.07029	1.07004	1.07026	277	0	25
2020.06.01	23:20:00	1.07026	1.07039	1.06993	1.07005	187	0	27
2020.06.01	23:40:00	1.07007	1.07009	1.06953	1.06961	342	0	32
2020.06.02	00:00:00	1.06934	1.06988	1.06934	1.06961	94	0	52
2020.06.02	00:20:00	1.06961	1.06976	1.06961	1.06961	53	0	40
2020.06.02	00:40:00	1.06961	1.06983	1.06961	1.06961	71	0	49
2020.06.02	01:00:00	1.06961	1.06986	1.06961	1.06972	221	0	32
2020.06.02	01:20:00	1.06972	1.06977	1.06961	1.06963	107	0	39
