<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	0.90148	0.90148	0.89975	0.89995	141	0	33
2020.06.01	00:20:00	0.90001	0.90017	0.89965	0.90017	73	0	61
2020.06.01	00:40:00	0.90007	0.90037	0.89971	0.90037	109	0	40
2020.06.01	01:00:00	0.90037	0.90061	0.89991	0.90004	624	0	17
2020.06.01	01:20:00	0.90004	0.90005	0.89920	0.89947	341	0	17
2020.06.01	01:40:00	0.89947	0.90000	0.89947	0.89992	284	0	17
2020.06.01	02:00:00	0.89988	0.90030	0.89987	0.90026	359	0	17
2020.06.01	02:20:00	0.90027	0.90051	0.90019	0.90045	530	0	23
2020.06.01	02:40:00	0.90045	0.90053	0.90021	0.90024	400	0	22
2020.06.01	03:00:00	0.90026	0.90026	0.89815	0.89833	770	0	17
2020.06.01	03:20:00	0.89836	0.89857	0.89763	0.89803	650	0	17
2020.06.01	03:40:00	0.89803	0.89862	0.89782	0.89858	420	0	17
2020.06.01	04:00:00	0.89856	0.89856	0.89774	0.89804	569	0	18
2020.06.01	04:20:00	0.89806	0.89815	0.89753	0.89771	855	0	17
2020.06.01	04:40:00	0.89771	0.89776	0.89700	0.89704	495	0	17
2020.06.01	05:00:00	0.89706	0.89737	0.89696	0.89717	394	0	19
2020.06.01	05:20:00	0.89716	0.89755	0.89702	0.89743	399	0	17
2020.06.01	05:40:00	0.89743	0.89782	0.89727	0.89776	426	0	17
2020.06.01	06:00:00	0.89775	0.89842	0.89775	0.89832	365	0	17
2020.06.01	06:20:00	0.89832	0.89935	0.89828	0.89907	369	0	17
2020.06.01	06:40:00	0.89907	0.89923	0.89871	0.89875	343	0	17
2020.06.01	07:00:00	0.89870	0.89898	0.89843	0.89844	314	0	17
2020.06.01	07:20:00	0.89843	0.89881	0.89838	0.89877	198	0	17
2020.06.01	07:40:00	0.89877	0.89912	0.89876	0.89903	199	0	17
2020.06.01	08:00:00	0.89903	0.89942	0.89898	0.89913	423	0	17
2020.06.01	08:20:00	0.89915	0.89945	0.89885	0.89942	384	0	17
2020.06.01	08:40:00	0.89942	0.89942	0.89891	0.89901	398	0	17
2020.06.01	09:00:00	0.89905	0.89935	0.89813	0.89823	790	0	17
2020.06.01	09:20:00	0.89820	0.89919	0.89812	0.89902	605	0	17
2020.06.01	09:40:00	0.89902	0.89908	0.89870	0.89905	650	0	17
2020.06.01	10:00:00	0.89906	0.89914	0.89743	0.89764	1149	0	17
2020.06.01	10:20:00	0.89764	0.89802	0.89722	0.89751	827	0	17
2020.06.01	10:40:00	0.89751	0.89853	0.89718	0.89733	1062	0	17
2020.06.01	11:00:00	0.89731	0.89756	0.89659	0.89721	1679	0	17
2020.06.01	11:20:00	0.89721	0.89816	0.89684	0.89712	1305	0	17
2020.06.01	11:40:00	0.89713	0.89797	0.89713	0.89792	1088	0	17
2020.06.01	12:00:00	0.89794	0.89802	0.89652	0.89689	988	0	17
2020.06.01	12:20:00	0.89689	0.89691	0.89618	0.89664	820	0	17
2020.06.01	12:40:00	0.89666	0.89733	0.89646	0.89694	903	0	17
2020.06.01	13:00:00	0.89699	0.89718	0.89667	0.89670	774	0	17
2020.06.01	13:20:00	0.89671	0.89729	0.89659	0.89666	680	0	17
2020.06.01	13:40:00	0.89666	0.89694	0.89637	0.89664	708	0	17
2020.06.01	14:00:00	0.89664	0.89760	0.89662	0.89728	618	0	17
2020.06.01	14:20:00	0.89729	0.89772	0.89683	0.89700	602	0	17
2020.06.01	14:40:00	0.89700	0.89720	0.89672	0.89682	657	0	17
2020.06.01	15:00:00	0.89683	0.89709	0.89650	0.89672	630	0	17
2020.06.01	15:20:00	0.89674	0.89685	0.89621	0.89655	814	0	17
2020.06.01	15:40:00	0.89655	0.89665	0.89530	0.89606	822	0	17
2020.06.01	16:00:00	0.89606	0.89629	0.89580	0.89596	638	0	17
2020.06.01	16:20:00	0.89596	0.89640	0.89525	0.89553	1101	0	17
2020.06.01	16:40:00	0.89553	0.89592	0.89507	0.89540	1025	0	17
2020.06.01	17:00:00	0.89533	0.89568	0.89317	0.89333	1501	0	17
2020.06.01	17:20:00	0.89332	0.89373	0.89188	0.89199	1459	0	17
2020.06.01	17:40:00	0.89199	0.89266	0.89155	0.89213	1309	0	17
2020.06.01	18:00:00	0.89212	0.89246	0.89181	0.89217	1132	0	17
2020.06.01	18:20:00	0.89217	0.89239	0.89169	0.89182	1095	0	17
2020.06.01	18:40:00	0.89183	0.89222	0.89170	0.89186	786	0	17
2020.06.01	19:00:00	0.89187	0.89235	0.89161	0.89219	651	0	17
2020.06.01	19:20:00	0.89219	0.89247	0.89203	0.89236	463	0	17
2020.06.01	19:40:00	0.89235	0.89302	0.89234	0.89278	610	0	17
2020.06.01	20:00:00	0.89278	0.89278	0.89209	0.89224	505	0	17
2020.06.01	20:20:00	0.89225	0.89235	0.89197	0.89200	415	0	17
2020.06.01	20:40:00	0.89200	0.89221	0.89168	0.89179	381	0	17
2020.06.01	21:00:00	0.89179	0.89182	0.89142	0.89143	432	0	17
2020.06.01	21:20:00	0.89143	0.89168	0.89121	0.89138	563	0	17
2020.06.01	21:40:00	0.89138	0.89143	0.89076	0.89077	582	0	17
2020.06.01	22:00:00	0.89079	0.89104	0.89053	0.89070	451	0	17
2020.06.01	22:20:00	0.89071	0.89073	0.89016	0.89039	591	0	17
2020.06.01	22:40:00	0.89040	0.89082	0.89023	0.89074	804	0	17
2020.06.01	23:00:00	0.89072	0.89085	0.89057	0.89072	529	0	19
2020.06.01	23:20:00	0.89073	0.89116	0.89065	0.89110	449	0	17
2020.06.01	23:40:00	0.89110	0.89145	0.89105	0.89105	440	0	17
2020.06.02	00:00:00	0.89063	0.89091	0.89023	0.89045	87	0	59
2020.06.02	00:20:00	0.89045	0.89080	0.89045	0.89061	90	0	69
2020.06.02	00:40:00	0.89063	0.89098	0.89045	0.89082	123	0	68
2020.06.02	01:00:00	0.89089	0.89125	0.89084	0.89117	130	0	21
2020.06.02	01:20:00	0.89117	0.89150	0.89114	0.89115	89	0	17
2020.06.02	01:40:00	0.89115	0.89153	0.89115	0.89138	205	0	23
