<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	119.719	119.823	119.659	119.743	121	0	19
2020.06.01	00:20:00	119.739	119.767	119.719	119.749	74	0	19
2020.06.01	00:40:00	119.751	119.751	119.651	119.692	198	0	19
2020.06.01	01:00:00	119.689	119.697	119.572	119.626	731	0	19
2020.06.01	01:20:00	119.626	119.763	119.622	119.760	553	0	19
2020.06.01	01:40:00	119.760	119.767	119.701	119.709	501	0	23
2020.06.01	02:00:00	119.710	119.721	119.645	119.673	612	0	19
2020.06.01	02:20:00	119.673	119.733	119.657	119.669	790	0	19
2020.06.01	02:40:00	119.669	119.758	119.662	119.714	586	0	19
2020.06.01	03:00:00	119.716	119.941	119.659	119.926	1474	0	19
2020.06.01	03:20:00	119.926	119.962	119.838	119.865	1123	0	19
2020.06.01	03:40:00	119.865	119.872	119.794	119.846	1218	0	19
2020.06.01	04:00:00	119.846	119.860	119.737	119.854	1243	0	19
2020.06.01	04:20:00	119.854	119.964	119.839	119.881	1331	0	19
2020.06.01	04:40:00	119.881	119.925	119.831	119.888	871	0	19
2020.06.01	05:00:00	119.888	119.929	119.856	119.896	806	0	19
2020.06.01	05:20:00	119.896	119.922	119.866	119.919	635	0	19
2020.06.01	05:40:00	119.919	119.944	119.887	119.914	726	0	19
2020.06.01	06:00:00	119.911	119.927	119.828	119.830	670	0	19
2020.06.01	06:20:00	119.830	119.887	119.823	119.842	532	0	19
2020.06.01	06:40:00	119.842	119.860	119.806	119.815	489	0	19
2020.06.01	07:00:00	119.817	119.890	119.806	119.819	434	0	19
2020.06.01	07:20:00	119.819	119.877	119.810	119.810	412	0	19
2020.06.01	07:40:00	119.814	119.832	119.703	119.704	567	0	19
2020.06.01	08:00:00	119.706	119.759	119.682	119.754	660	0	19
2020.06.01	08:20:00	119.755	119.808	119.754	119.787	548	0	19
2020.06.01	08:40:00	119.787	119.825	119.753	119.796	515	0	19
2020.06.01	09:00:00	119.795	119.875	119.763	119.817	1009	0	19
2020.06.01	09:20:00	119.817	119.847	119.773	119.827	819	0	19
2020.06.01	09:40:00	119.827	119.903	119.812	119.854	973	0	19
2020.06.01	10:00:00	119.856	119.901	119.782	119.812	1483	0	19
2020.06.01	10:20:00	119.812	119.835	119.734	119.746	1176	0	19
2020.06.01	10:40:00	119.745	119.945	119.727	119.867	1341	0	19
2020.06.01	11:00:00	119.867	119.867	119.413	119.489	2142	0	19
2020.06.01	11:20:00	119.491	119.672	119.461	119.641	1733	0	19
2020.06.01	11:40:00	119.641	119.703	119.596	119.636	1494	0	19
2020.06.01	12:00:00	119.639	119.667	119.603	119.640	1290	0	19
2020.06.01	12:20:00	119.640	119.651	119.534	119.640	1299	0	19
2020.06.01	12:40:00	119.643	119.672	119.509	119.572	1314	0	19
2020.06.01	13:00:00	119.579	119.644	119.565	119.604	1288	0	19
2020.06.01	13:20:00	119.605	119.685	119.603	119.613	1078	0	19
2020.06.01	13:40:00	119.612	119.671	119.589	119.628	1078	0	19
2020.06.01	14:00:00	119.627	119.771	119.626	119.764	1143	0	19
2020.06.01	14:20:00	119.766	119.786	119.688	119.743	646	0	19
2020.06.01	14:40:00	119.743	119.800	119.676	119.699	938	0	19
2020.06.01	15:00:00	119.702	119.757	119.679	119.704	1195	0	19
2020.06.01	15:20:00	119.713	119.726	119.604	119.628	1119	0	19
2020.06.01	15:40:00	119.624	119.664	119.540	119.657	1129	0	19
2020.06.01	16:00:00	119.657	119.705	119.619	119.636	930	0	19
2020.06.01	16:20:00	119.636	119.787	119.636	119.727	1359	0	19
2020.06.01	16:40:00	119.727	119.810	119.717	119.758	1241	0	19
2020.06.01	17:00:00	119.763	119.884	119.701	119.868	1866	0	19
2020.06.01	17:20:00	119.868	119.893	119.660	119.713	1660	0	19
2020.06.01	17:40:00	119.712	119.785	119.653	119.780	1691	0	19
2020.06.01	18:00:00	119.779	119.800	119.669	119.726	1283	0	19
2020.06.01	18:20:00	119.726	119.759	119.598	119.635	1220	0	19
2020.06.01	18:40:00	119.635	119.678	119.586	119.638	957	0	19
2020.06.01	19:00:00	119.638	119.725	119.612	119.678	801	0	19
2020.06.01	19:20:00	119.678	119.713	119.641	119.705	599	0	19
2020.06.01	19:40:00	119.705	119.727	119.676	119.721	771	0	19
2020.06.01	20:00:00	119.721	119.753	119.683	119.747	623	0	19
2020.06.01	20:20:00	119.741	119.783	119.737	119.753	415	0	19
2020.06.01	20:40:00	119.751	119.764	119.709	119.750	506	0	19
2020.06.01	21:00:00	119.753	119.804	119.750	119.757	545	0	19
2020.06.01	21:20:00	119.756	119.767	119.698	119.732	548	0	19
2020.06.01	21:40:00	119.732	119.800	119.711	119.781	674	0	19
2020.06.01	22:00:00	119.780	119.799	119.755	119.767	570	0	19
2020.06.01	22:20:00	119.767	119.781	119.731	119.758	504	0	19
2020.06.01	22:40:00	119.757	119.793	119.736	119.781	598	0	19
2020.06.01	23:00:00	119.780	119.804	119.747	119.780	375	0	19
2020.06.01	23:20:00	119.780	119.782	119.745	119.757	275	0	19
2020.06.01	23:40:00	119.759	119.787	119.747	119.777	653	0	19
2020.06.02	00:00:00	119.789	119.898	119.735	119.826	161	0	19
2020.06.02	00:20:00	119.824	119.833	119.763	119.794	192	0	19
2020.06.02	00:40:00	119.794	119.838	119.779	119.827	784	0	19
2020.06.02	01:00:00	119.830	119.831	119.754	119.767	397	0	19
2020.06.02	01:20:00	119.767	119.819	119.766	119.793	288	0	19
2020.06.02	01:40:00	119.791	119.791	119.716	119.723	433	0	19
2020.06.02	02:00:00	119.728	119.729	119.651	119.651	539	0	19
2020.06.02	02:20:00	119.651	119.734	119.649	119.700	523	0	19
2020.06.02	02:40:00	119.700	119.702	119.620	119.654	554	0	19
2020.06.02	03:00:00	119.654	119.808	119.613	119.764	1079	0	19
2020.06.02	03:20:00	119.764	119.809	119.719	119.788	1036	0	19
2020.06.02	03:40:00	119.788	119.819	119.709	119.733	978	0	19
2020.06.02	04:00:00	119.736	119.796	119.700	119.764	1025	0	19
2020.06.02	04:20:00	119.763	119.782	119.734	119.763	1012	0	19
2020.06.02	04:40:00	119.762	119.797	119.736	119.781	836	0	19
2020.06.02	05:00:00	119.781	119.783	119.692	119.734	945	0	19
2020.06.02	05:20:00	119.734	119.798	119.696	119.782	725	0	19
2020.06.02	05:40:00	119.782	119.810	119.746	119.784	533	0	19
2020.06.02	06:00:00	119.786	119.843	119.780	119.818	400	0	19
2020.06.02	06:20:00	119.820	119.839	119.799	119.811	587	0	19
2020.06.02	06:40:00	119.811	119.866	119.805	119.851	569	0	19
2020.06.02	07:00:00	119.851	119.866	119.818	119.837	570	0	19
2020.06.02	07:20:00	119.837	119.842	119.799	119.812	502	0	19
2020.06.02	07:40:00	119.812	119.851	119.803	119.813	412	0	19
2020.06.02	08:00:00	119.812	119.949	119.811	119.944	512	0	19
2020.06.02	08:20:00	119.944	119.971	119.913	119.945	789	0	19
2020.06.02	08:40:00	119.947	119.961	119.863	119.895	575	0	19
2020.06.02	09:00:00	119.898	119.945	119.825	119.833	852	0	19
2020.06.02	09:20:00	119.834	119.941	119.833	119.940	894	0	19
2020.06.02	09:40:00	119.940	120.003	119.784	119.827	1280	0	19
2020.06.02	10:00:00	119.830	119.973	119.825	119.940	1487	0	19
2020.06.02	10:20:00	119.940	120.043	119.892	119.903	1333	0	19
