<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.79324	1.79611	1.78977	1.79023	171	0	27
2020.06.01	00:20:00	1.79023	1.79371	1.79023	1.79311	146	0	69
2020.06.01	00:40:00	1.79311	1.79311	1.79021	1.79169	178	0	91
2020.06.01	01:00:00	1.79222	1.79453	1.79107	1.79367	685	0	54
2020.06.01	01:20:00	1.79346	1.79369	1.79153	1.79225	434	0	27
2020.06.01	01:40:00	1.79222	1.79329	1.79217	1.79283	314	0	45
2020.06.01	02:00:00	1.79282	1.79446	1.79278	1.79421	396	0	46
2020.06.01	02:20:00	1.79421	1.79430	1.79324	1.79405	380	0	49
2020.06.01	02:40:00	1.79405	1.79421	1.79286	1.79327	622	0	27
2020.06.01	03:00:00	1.79344	1.79361	1.78604	1.78662	1056	0	27
2020.06.01	03:20:00	1.78670	1.78711	1.78450	1.78608	956	0	27
2020.06.01	03:40:00	1.78608	1.78691	1.78521	1.78668	654	0	27
2020.06.01	04:00:00	1.78675	1.78714	1.78588	1.78655	864	0	27
2020.06.01	04:20:00	1.78655	1.78688	1.78355	1.78381	1284	0	27
2020.06.01	04:40:00	1.78378	1.78472	1.78291	1.78353	714	0	27
2020.06.01	05:00:00	1.78352	1.78462	1.78337	1.78439	580	0	27
2020.06.01	05:20:00	1.78417	1.78485	1.78373	1.78373	531	0	27
2020.06.01	05:40:00	1.78373	1.78428	1.78221	1.78269	774	0	27
2020.06.01	06:00:00	1.78269	1.78462	1.78252	1.78432	583	0	27
2020.06.01	06:20:00	1.78436	1.78511	1.78412	1.78495	523	0	27
2020.06.01	06:40:00	1.78476	1.78545	1.78415	1.78539	284	0	32
2020.06.01	07:00:00	1.78538	1.78590	1.78433	1.78441	259	0	30
2020.06.01	07:20:00	1.78435	1.78453	1.78357	1.78453	226	0	31
2020.06.01	07:40:00	1.78431	1.78490	1.78416	1.78454	244	0	34
2020.06.01	08:00:00	1.78469	1.78533	1.78413	1.78427	374	0	33
2020.06.01	08:20:00	1.78427	1.78459	1.78376	1.78422	405	0	36
2020.06.01	08:40:00	1.78415	1.78418	1.78245	1.78337	366	0	27
2020.06.01	09:00:00	1.78338	1.78433	1.78279	1.78284	1031	0	27
2020.06.01	09:20:00	1.78284	1.78363	1.78229	1.78308	868	0	27
2020.06.01	09:40:00	1.78308	1.78343	1.78246	1.78281	852	0	27
2020.06.01	10:00:00	1.78271	1.78441	1.78226	1.78286	1388	0	27
2020.06.01	10:20:00	1.78284	1.78348	1.78244	1.78252	1065	0	27
2020.06.01	10:40:00	1.78251	1.78267	1.78022	1.78058	1431	0	27
2020.06.01	11:00:00	1.78046	1.78623	1.77942	1.78575	2104	0	27
2020.06.01	11:20:00	1.78579	1.78629	1.78425	1.78445	1803	0	27
2020.06.01	11:40:00	1.78445	1.78600	1.78442	1.78584	1516	0	27
2020.06.01	12:00:00	1.78566	1.78654	1.78407	1.78445	1213	0	27
2020.06.01	12:20:00	1.78445	1.78512	1.78334	1.78480	1195	0	27
2020.06.01	12:40:00	1.78483	1.78539	1.78314	1.78354	1235	0	27
2020.06.01	13:00:00	1.78363	1.78528	1.78362	1.78430	1205	0	27
2020.06.01	13:20:00	1.78428	1.78520	1.78360	1.78410	1085	0	27
2020.06.01	13:40:00	1.78411	1.78501	1.78347	1.78390	1073	0	27
2020.06.01	14:00:00	1.78376	1.78459	1.78356	1.78403	1067	0	27
2020.06.01	14:20:00	1.78407	1.78478	1.78172	1.78199	945	0	27
2020.06.01	14:40:00	1.78198	1.78300	1.78196	1.78207	1023	0	27
2020.06.01	15:00:00	1.78213	1.78295	1.78161	1.78274	972	0	27
2020.06.01	15:20:00	1.78296	1.78329	1.78130	1.78248	1263	0	27
2020.06.01	15:40:00	1.78249	1.78322	1.78128	1.78258	1184	0	27
2020.06.01	16:00:00	1.78251	1.78413	1.78191	1.78312	1123	0	27
2020.06.01	16:20:00	1.78313	1.78341	1.78029	1.78035	1575	0	27
2020.06.01	16:40:00	1.78036	1.78196	1.77977	1.78020	1286	0	27
2020.06.01	17:00:00	1.78012	1.78067	1.77409	1.77503	1912	0	27
2020.06.01	17:20:00	1.77501	1.77512	1.77149	1.77208	1724	0	27
2020.06.01	17:40:00	1.77200	1.77322	1.77019	1.77049	1545	0	27
2020.06.01	18:00:00	1.77051	1.77212	1.77051	1.77145	1325	0	27
2020.06.01	18:20:00	1.77145	1.77243	1.77006	1.77033	1207	0	27
2020.06.01	18:40:00	1.77037	1.77075	1.76944	1.76971	978	0	27
2020.06.01	19:00:00	1.76971	1.77038	1.76898	1.76911	608	0	27
2020.06.01	19:20:00	1.76911	1.77126	1.76851	1.77112	570	0	27
2020.06.01	19:40:00	1.77111	1.77190	1.76992	1.77152	414	0	30
2020.06.01	20:00:00	1.77153	1.77153	1.76984	1.76989	417	0	27
2020.06.01	20:20:00	1.76997	1.77054	1.76987	1.77005	308	0	31
2020.06.01	20:40:00	1.77009	1.77044	1.76953	1.76966	387	0	27
2020.06.01	21:00:00	1.76973	1.76982	1.76907	1.76907	364	0	27
2020.06.01	21:20:00	1.76903	1.76936	1.76824	1.76853	299	0	27
2020.06.01	21:40:00	1.76852	1.76933	1.76789	1.76804	520	0	30
2020.06.01	22:00:00	1.76813	1.76898	1.76766	1.76792	375	0	27
2020.06.01	22:20:00	1.76797	1.76798	1.76739	1.76752	269	0	27
2020.06.01	22:40:00	1.76752	1.76801	1.76696	1.76791	187	0	27
2020.06.01	23:00:00	1.76791	1.76861	1.76771	1.76774	187	0	42
2020.06.01	23:20:00	1.76774	1.76874	1.76759	1.76796	140	0	35
2020.06.01	23:40:00	1.76798	1.76869	1.76724	1.76797	219	0	36
2020.06.02	00:00:00	1.76910	1.76969	1.76631	1.76633	207	0	27
2020.06.02	00:20:00	1.76648	1.76807	1.76615	1.76788	177	0	70
2020.06.02	00:40:00	1.76782	1.76892	1.76672	1.76697	203	0	27
