<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.11121	1.11185	1.11086	1.11146	93	0	16
2020.06.01	00:20:00	1.11146	1.11170	1.11135	1.11165	66	0	16
2020.06.01	00:40:00	1.11152	1.11165	1.11119	1.11120	98	0	16
2020.06.01	01:00:00	1.11121	1.11124	1.11019	1.11040	522	0	16
2020.06.01	01:20:00	1.11041	1.11115	1.11041	1.11115	333	0	16
2020.06.01	01:40:00	1.11118	1.11133	1.11106	1.11112	211	0	16
2020.06.01	02:00:00	1.11111	1.11157	1.11108	1.11139	265	0	16
2020.06.01	02:20:00	1.11138	1.11172	1.11137	1.11149	260	0	16
2020.06.01	02:40:00	1.11149	1.11187	1.11141	1.11147	281	0	16
2020.06.01	03:00:00	1.11149	1.11247	1.11119	1.11241	755	0	16
2020.06.01	03:20:00	1.11241	1.11252	1.11160	1.11175	586	0	16
2020.06.01	03:40:00	1.11171	1.11227	1.11145	1.11208	389	0	16
2020.06.01	04:00:00	1.11207	1.11260	1.11156	1.11256	538	0	16
2020.06.01	04:20:00	1.11256	1.11395	1.11247	1.11333	910	0	16
2020.06.01	04:40:00	1.11333	1.11372	1.11309	1.11332	589	0	16
2020.06.01	05:00:00	1.11335	1.11352	1.11292	1.11312	423	0	16
2020.06.01	05:20:00	1.11307	1.11365	1.11307	1.11359	394	0	16
2020.06.01	05:40:00	1.11359	1.11391	1.11357	1.11365	465	0	16
2020.06.01	06:00:00	1.11363	1.11373	1.11332	1.11332	322	0	16
2020.06.01	06:20:00	1.11332	1.11349	1.11318	1.11327	362	0	16
2020.06.01	06:40:00	1.11327	1.11351	1.11320	1.11320	307	0	16
2020.06.01	07:00:00	1.11320	1.11372	1.11318	1.11335	284	0	16
2020.06.01	07:20:00	1.11335	1.11363	1.11321	1.11329	201	0	16
2020.06.01	07:40:00	1.11329	1.11353	1.11323	1.11327	222	0	16
2020.06.01	08:00:00	1.11326	1.11346	1.11297	1.11345	353	0	16
2020.06.01	08:20:00	1.11346	1.11415	1.11345	1.11390	346	0	16
2020.06.01	08:40:00	1.11390	1.11410	1.11366	1.11390	349	0	16
2020.06.01	09:00:00	1.11388	1.11496	1.11373	1.11447	752	0	16
2020.06.01	09:20:00	1.11442	1.11443	1.11393	1.11394	641	0	16
2020.06.01	09:40:00	1.11394	1.11419	1.11344	1.11361	568	0	16
2020.06.01	10:00:00	1.11363	1.11432	1.11311	1.11336	1078	0	16
2020.06.01	10:20:00	1.11336	1.11384	1.11323	1.11350	801	0	16
2020.06.01	10:40:00	1.11350	1.11531	1.11333	1.11478	1093	0	16
2020.06.01	11:00:00	1.11478	1.11478	1.11153	1.11213	1813	0	16
2020.06.01	11:20:00	1.11216	1.11354	1.11212	1.11330	1505	0	16
2020.06.01	11:40:00	1.11328	1.11408	1.11308	1.11387	1176	0	16
2020.06.01	12:00:00	1.11391	1.11404	1.11299	1.11301	904	0	16
2020.06.01	12:20:00	1.11301	1.11301	1.11192	1.11217	863	0	16
2020.06.01	12:40:00	1.11219	1.11239	1.11067	1.11132	993	0	16
2020.06.01	13:00:00	1.11132	1.11157	1.11038	1.11061	917	0	16
2020.06.01	13:20:00	1.11060	1.11140	1.11056	1.11110	796	0	16
2020.06.01	13:40:00	1.11110	1.11120	1.10996	1.11052	739	0	16
2020.06.01	14:00:00	1.11052	1.11150	1.11050	1.11150	803	0	16
2020.06.01	14:20:00	1.11150	1.11158	1.11083	1.11137	580	0	16
2020.06.01	14:40:00	1.11137	1.11196	1.11085	1.11110	713	0	16
2020.06.01	15:00:00	1.11113	1.11176	1.11101	1.11148	735	0	16
2020.06.01	15:20:00	1.11149	1.11200	1.11048	1.11059	912	0	16
2020.06.01	15:40:00	1.11059	1.11094	1.10999	1.11092	782	0	16
2020.06.01	16:00:00	1.11090	1.11118	1.11026	1.11040	725	0	16
2020.06.01	16:20:00	1.11039	1.11195	1.11039	1.11147	1144	0	16
2020.06.01	16:40:00	1.11147	1.11260	1.11132	1.11245	1013	0	16
2020.06.01	17:00:00	1.11245	1.11372	1.11193	1.11345	1537	0	16
2020.06.01	17:20:00	1.11345	1.11373	1.11185	1.11242	1356	0	16
2020.06.01	17:40:00	1.11236	1.11365	1.11200	1.11362	1380	0	16
2020.06.01	18:00:00	1.11362	1.11394	1.11187	1.11238	1045	0	16
2020.06.01	18:20:00	1.11238	1.11286	1.11123	1.11156	998	0	16
2020.06.01	18:40:00	1.11160	1.11238	1.11126	1.11218	694	0	16
2020.06.01	19:00:00	1.11218	1.11285	1.11183	1.11247	710	0	16
2020.06.01	19:20:00	1.11247	1.11273	1.11200	1.11273	485	0	16
2020.06.01	19:40:00	1.11273	1.11291	1.11218	1.11291	635	0	16
2020.06.01	20:00:00	1.11290	1.11295	1.11243	1.11289	514	0	16
2020.06.01	20:20:00	1.11282	1.11299	1.11268	1.11297	361	0	16
2020.06.01	20:40:00	1.11294	1.11320	1.11260	1.11284	424	0	16
2020.06.01	21:00:00	1.11287	1.11314	1.11263	1.11265	430	0	16
2020.06.01	21:20:00	1.11269	1.11284	1.11216	1.11268	469	0	16
2020.06.01	21:40:00	1.11268	1.11319	1.11245	1.11316	551	0	16
2020.06.01	22:00:00	1.11315	1.11342	1.11306	1.11338	432	0	16
2020.06.01	22:20:00	1.11338	1.11355	1.11285	1.11305	296	0	16
2020.06.01	22:40:00	1.11306	1.11350	1.11282	1.11342	493	0	16
2020.06.01	23:00:00	1.11343	1.11355	1.11302	1.11336	274	0	16
2020.06.01	23:20:00	1.11338	1.11339	1.11301	1.11317	127	0	16
2020.06.01	23:40:00	1.11317	1.11337	1.11312	1.11335	189	0	16
2020.06.02	00:00:00	1.11347	1.11357	1.11290	1.11343	65	0	16
2020.06.02	00:20:00	1.11343	1.11343	1.11308	1.11326	61	0	16
2020.06.02	00:40:00	1.11326	1.11338	1.11303	1.11311	105	0	16
2020.06.02	01:00:00	1.11312	1.11344	1.11302	1.11340	158	0	16
2020.06.02	01:20:00	1.11340	1.11346	1.11325	1.11327	71	0	16
2020.06.02	01:40:00	1.11327	1.11328	1.11301	1.11314	165	0	16
2020.06.02	02:00:00	1.11314	1.11317	1.11283	1.11283	219	0	16
2020.06.02	02:20:00	1.11283	1.11305	1.11279	1.11286	135	0	16
2020.06.02	02:40:00	1.11286	1.11289	1.11233	1.11245	238	0	16
2020.06.02	03:00:00	1.11247	1.11344	1.11238	1.11329	526	0	16
2020.06.02	03:20:00	1.11326	1.11375	1.11301	1.11359	542	0	16
2020.06.02	03:40:00	1.11359	1.11369	1.11292	1.11310	572	0	16
2020.06.02	04:00:00	1.11313	1.11322	1.11273	1.11299	453	0	16
2020.06.02	04:20:00	1.11299	1.11307	1.11277	1.11290	415	0	16
2020.06.02	04:40:00	1.11293	1.11301	1.11226	1.11250	370	0	16
2020.06.02	05:00:00	1.11250	1.11250	1.11183	1.11215	436	0	16
2020.06.02	05:20:00	1.11215	1.11251	1.11192	1.11241	380	0	16
2020.06.02	05:40:00	1.11241	1.11254	1.11206	1.11231	289	0	16
2020.06.02	06:00:00	1.11231	1.11262	1.11222	1.11251	299	0	16
2020.06.02	06:20:00	1.11251	1.11259	1.11237	1.11241	200	0	16
2020.06.02	06:40:00	1.11238	1.11263	1.11235	1.11261	244	0	16
2020.06.02	07:00:00	1.11261	1.11261	1.11241	1.11250	262	0	16
2020.06.02	07:20:00	1.11250	1.11266	1.11224	1.11246	255	0	16
2020.06.02	07:40:00	1.11247	1.11268	1.11233	1.11248	219	0	16
2020.06.02	08:00:00	1.11248	1.11356	1.11237	1.11352	349	0	16
2020.06.02	08:20:00	1.11352	1.11367	1.11307	1.11352	428	0	16
2020.06.02	08:40:00	1.11352	1.11359	1.11293	1.11329	442	0	16
2020.06.02	09:00:00	1.11332	1.11372	1.11232	1.11236	673	0	16
2020.06.02	09:20:00	1.11236	1.11337	1.11232	1.11336	682	0	16
2020.06.02	09:40:00	1.11336	1.11358	1.11143	1.11175	1010	0	16
2020.06.02	10:00:00	1.11177	1.11311	1.11168	1.11290	1244	0	16
2020.06.02	10:20:00	1.11290	1.11361	1.11198	1.11213	1066	0	16
2020.06.02	10:40:00	1.11213	1.11279	1.11156	1.11270	1199	0	16
2020.06.02	11:00:00	1.11269	1.11478	1.11224	1.11451	1287	0	16
2020.06.02	11:20:00	1.11448	1.11704	1.11445	1.11620	1699	0	16
2020.06.02	11:40:00	1.11620	1.11703	1.11580	1.11696	1189	0	16
2020.06.02	12:00:00	1.11693	1.11840	1.11693	1.11723	1276	0	16
2020.06.02	12:20:00	1.11722	1.11841	1.11722	1.11827	1028	0	16
2020.06.02	12:40:00	1.11827	1.11869	1.11784	1.11793	1236	0	16
2020.06.02	13:00:00	1.11794	1.11802	1.11659	1.11746	1243	0	16
2020.06.02	13:20:00	1.11750	1.11759	1.11643	1.11695	911	0	16
2020.06.02	13:40:00	1.11692	1.11713	1.11636	1.11678	797	0	16
2020.06.02	14:00:00	1.11678	1.11689	1.11613	1.11655	742	0	16
2020.06.02	14:20:00	1.11650	1.11669	1.11542	1.11648	982	0	16
2020.06.02	14:40:00	1.11649	1.11692	1.11601	1.11683	925	0	16
2020.06.02	15:00:00	1.11685	1.11784	1.11675	1.11748	1275	0	16
2020.06.02	15:20:00	1.11748	1.11748	1.11562	1.11568	1267	0	16
2020.06.02	15:40:00	1.11568	1.11660	1.11564	1.11644	1131	0	16
2020.06.02	16:00:00	1.11642	1.11757	1.11625	1.11751	1121	0	16
2020.06.02	16:20:00	1.11750	1.11771	1.11699	1.11756	1096	0	16
2020.06.02	16:40:00	1.11758	1.11880	1.11672	1.11880	1243	0	16
2020.06.02	17:00:00	1.11882	1.11945	1.11784	1.11849	1426	0	16
2020.06.02	17:20:00	1.11850	1.11951	1.11827	1.11929	1401	0	16
2020.06.02	17:40:00	1.11927	1.11941	1.11744	1.11825	1606	0	16
2020.06.02	18:00:00	1.11828	1.11858	1.11757	1.11837	1490	0	16
2020.06.02	18:20:00	1.11839	1.11871	1.11724	1.11760	1073	0	16
2020.06.02	18:40:00	1.11761	1.11773	1.11633	1.11650	942	0	16
2020.06.02	19:00:00	1.11652	1.11758	1.11628	1.11751	875	0	16
2020.06.02	19:20:00	1.11752	1.11831	1.11734	1.11792	820	0	16
2020.06.02	19:40:00	1.11795	1.11819	1.11718	1.11730	919	0	16
2020.06.02	20:00:00	1.11732	1.11804	1.11714	1.11790	713	0	16
2020.06.02	20:20:00	1.11791	1.11803	1.11678	1.11683	560	0	16
2020.06.02	20:40:00	1.11683	1.11699	1.11632	1.11697	789	0	16
2020.06.02	21:00:00	1.11701	1.11701	1.11662	1.11672	681	0	16
2020.06.02	21:20:00	1.11675	1.11687	1.11652	1.11677	419	0	16
2020.06.02	21:40:00	1.11678	1.11736	1.11642	1.11713	477	0	16
2020.06.02	22:00:00	1.11713	1.11723	1.11629	1.11635	478	0	16
2020.06.02	22:20:00	1.11636	1.11645	1.11602	1.11616	582	0	16
2020.06.02	22:40:00	1.11616	1.11695	1.11614	1.11644	607	0	16
2020.06.02	23:00:00	1.11648	1.11668	1.11623	1.11643	324	0	16
2020.06.02	23:20:00	1.11642	1.11670	1.11632	1.11660	142	0	16
2020.06.02	23:40:00	1.11660	1.11684	1.11653	1.11655	176	0	16
2020.06.03	00:00:00	1.11670	1.11694	1.11647	1.11687	76	0	17
2020.06.03	00:20:00	1.11687	1.11709	1.11674	1.11684	159	0	22
2020.06.03	00:40:00	1.11684	1.11696	1.11669	1.11691	127	0	16
2020.06.03	01:00:00	1.11681	1.11696	1.11658	1.11671	118	0	16
