<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.84977	1.85267	1.84938	1.85067	128	0	24
2020.06.01	00:20:00	1.85072	1.85434	1.85050	1.85059	192	0	86
2020.06.01	00:40:00	1.85070	1.85224	1.84967	1.85162	286	0	74
2020.06.01	01:00:00	1.85132	1.85501	1.84965	1.85449	814	0	45
2020.06.01	01:20:00	1.85447	1.85486	1.85329	1.85377	590	0	30
2020.06.01	01:40:00	1.85377	1.85409	1.85324	1.85348	399	0	35
2020.06.01	02:00:00	1.85346	1.85493	1.85339	1.85444	525	0	29
2020.06.01	02:20:00	1.85444	1.85470	1.85378	1.85446	532	0	26
2020.06.01	02:40:00	1.85446	1.85481	1.85305	1.85392	573	0	26
2020.06.01	03:00:00	1.85389	1.85458	1.84850	1.84922	1453	0	24
2020.06.01	03:20:00	1.84929	1.85051	1.84827	1.84994	1342	0	25
2020.06.01	03:40:00	1.84994	1.85051	1.84868	1.84969	881	0	24
2020.06.01	04:00:00	1.84969	1.85072	1.84878	1.84915	1231	0	25
2020.06.01	04:20:00	1.84911	1.84983	1.84137	1.84226	1601	0	24
2020.06.01	04:40:00	1.84228	1.84525	1.84069	1.84519	966	0	24
2020.06.01	05:00:00	1.84518	1.84600	1.84486	1.84504	748	0	24
2020.06.01	05:20:00	1.84504	1.84569	1.84381	1.84382	669	0	24
2020.06.01	05:40:00	1.84382	1.84384	1.84102	1.84132	866	0	24
2020.06.01	06:00:00	1.84133	1.84290	1.84078	1.84257	592	0	24
2020.06.01	06:20:00	1.84257	1.84276	1.84079	1.84141	561	0	24
2020.06.01	06:40:00	1.84126	1.84314	1.84093	1.84302	498	0	24
2020.06.01	07:00:00	1.84312	1.84312	1.84145	1.84163	538	0	24
2020.06.01	07:20:00	1.84164	1.84186	1.84110	1.84181	370	0	24
2020.06.01	07:40:00	1.84181	1.84216	1.84074	1.84116	501	0	30
2020.06.01	08:00:00	1.84118	1.84180	1.84025	1.84062	729	0	24
2020.06.01	08:20:00	1.84062	1.84093	1.83848	1.83876	637	0	24
2020.06.01	08:40:00	1.83876	1.83991	1.83716	1.83771	675	0	24
2020.06.01	09:00:00	1.83759	1.83802	1.83577	1.83678	1332	0	24
2020.06.01	09:20:00	1.83679	1.83739	1.83553	1.83644	989	0	24
2020.06.01	09:40:00	1.83643	1.83674	1.83505	1.83505	788	0	24
2020.06.01	10:00:00	1.83496	1.83884	1.83455	1.83835	1380	0	24
2020.06.01	10:20:00	1.83836	1.83918	1.83651	1.83726	1104	0	24
2020.06.01	10:40:00	1.83728	1.83737	1.83395	1.83479	1569	0	24
2020.06.01	11:00:00	1.83477	1.84369	1.83475	1.84317	2264	0	24
