<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.69816	1.69896	1.69683	1.69792	136	0	95
2020.06.01	00:20:00	1.69783	1.70096	1.69769	1.69859	137	0	36
2020.06.01	00:40:00	1.69869	1.69961	1.69823	1.69836	119	0	97
2020.06.01	01:00:00	1.69831	1.70192	1.69751	1.70173	902	0	36
2020.06.01	01:20:00	1.70173	1.70280	1.70129	1.70180	456	0	37
2020.06.01	01:40:00	1.70180	1.70193	1.70092	1.70092	412	0	55
2020.06.01	02:00:00	1.70092	1.70137	1.70061	1.70128	477	0	48
2020.06.01	02:20:00	1.70128	1.70170	1.70089	1.70107	536	0	44
2020.06.01	02:40:00	1.70117	1.70122	1.70054	1.70069	426	0	41
2020.06.01	03:00:00	1.70078	1.70214	1.70032	1.70144	1216	0	40
2020.06.01	03:20:00	1.70149	1.70149	1.69954	1.70079	1031	0	43
2020.06.01	03:40:00	1.70079	1.70098	1.69906	1.69955	709	0	36
2020.06.01	04:00:00	1.69961	1.70040	1.69948	1.70032	891	0	43
2020.06.01	04:20:00	1.70030	1.70188	1.70015	1.70121	1297	0	43
2020.06.01	04:40:00	1.70116	1.70229	1.70052	1.70209	953	0	42
2020.06.01	05:00:00	1.70212	1.70232	1.70146	1.70154	685	0	42
2020.06.01	05:20:00	1.70155	1.70170	1.70070	1.70072	653	0	36
2020.06.01	05:40:00	1.70072	1.70072	1.69949	1.69949	669	0	40
2020.06.01	06:00:00	1.69949	1.70009	1.69855	1.70000	640	0	36
2020.06.01	06:20:00	1.70000	1.70031	1.69897	1.69964	562	0	42
2020.06.01	06:40:00	1.69948	1.70085	1.69926	1.70085	507	0	40
2020.06.01	07:00:00	1.70076	1.70114	1.70036	1.70088	514	0	45
2020.06.01	07:20:00	1.70088	1.70111	1.69992	1.70005	378	0	47
2020.06.01	07:40:00	1.70004	1.70026	1.69973	1.69976	387	0	36
2020.06.01	08:00:00	1.69976	1.69998	1.69918	1.69998	636	0	36
2020.06.01	08:20:00	1.69998	1.70042	1.69910	1.69910	547	0	44
2020.06.01	08:40:00	1.69910	1.70005	1.69909	1.69946	492	0	46
2020.06.01	09:00:00	1.69943	1.70111	1.69876	1.70110	1093	0	36
2020.06.01	09:20:00	1.70108	1.70120	1.69861	1.69861	706	0	47
2020.06.01	09:40:00	1.69861	1.69881	1.69755	1.69761	618	0	45
2020.06.01	10:00:00	1.69756	1.69960	1.69719	1.69878	1244	0	40
2020.06.01	10:20:00	1.69874	1.69959	1.69844	1.69913	985	0	40
2020.06.01	10:40:00	1.69913	1.69932	1.69739	1.69893	1216	0	41
2020.06.01	11:00:00	1.69892	1.70122	1.69825	1.70063	1893	0	41
2020.06.01	11:20:00	1.70064	1.70186	1.69940	1.70123	1796	0	36
2020.06.01	11:40:00	1.70114	1.70145	1.70055	1.70075	1322	0	36
2020.06.01	12:00:00	1.70091	1.70189	1.70050	1.70082	1173	0	42
