<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.18476	1.18689	1.18360	1.18628	106	0	79
2020.06.01	00:20:00	1.18666	1.18706	1.18584	1.18597	114	0	109
2020.06.01	00:40:00	1.18615	1.18701	1.18575	1.18619	190	0	109
2020.06.01	01:00:00	1.18593	1.18619	1.18462	1.18536	517	0	54
2020.06.01	01:20:00	1.18538	1.18687	1.18538	1.18649	351	0	36
2020.06.01	01:40:00	1.18644	1.18644	1.18577	1.18585	320	0	51
2020.06.01	02:00:00	1.18586	1.18604	1.18545	1.18559	357	0	47
2020.06.01	02:20:00	1.18553	1.18601	1.18536	1.18554	517	0	34
2020.06.01	02:40:00	1.18553	1.18617	1.18540	1.18575	491	0	46
2020.06.01	03:00:00	1.18579	1.18891	1.18577	1.18856	788	0	30
2020.06.01	03:20:00	1.18855	1.18972	1.18821	1.18912	744	0	41
2020.06.01	03:40:00	1.18909	1.18934	1.18842	1.18842	461	0	37
2020.06.01	04:00:00	1.18846	1.18979	1.18833	1.18947	616	0	41
2020.06.01	04:20:00	1.18944	1.19103	1.18921	1.19065	932	0	31
2020.06.01	04:40:00	1.19065	1.19179	1.19055	1.19176	647	0	35
2020.06.01	05:00:00	1.19176	1.19179	1.19128	1.19138	584	0	43
2020.06.01	05:20:00	1.19138	1.19168	1.19098	1.19116	528	0	48
2020.06.01	05:40:00	1.19116	1.19159	1.19061	1.19109	520	0	43
2020.06.01	06:00:00	1.19109	1.19123	1.18997	1.19072	528	0	42
2020.06.01	06:20:00	1.19073	1.19073	1.18908	1.18937	412	0	44
2020.06.01	06:40:00	1.18937	1.18995	1.18916	1.18971	385	0	42
2020.06.01	07:00:00	1.18984	1.19049	1.18945	1.19042	363	0	45
2020.06.01	07:20:00	1.19040	1.19082	1.18985	1.18988	357	0	46
2020.06.01	07:40:00	1.18988	1.19002	1.18921	1.18937	388	0	47
2020.06.01	08:00:00	1.18934	1.18945	1.18872	1.18921	597	0	44
2020.06.01	08:20:00	1.18921	1.18960	1.18878	1.18885	479	0	48
2020.06.01	08:40:00	1.18888	1.18957	1.18888	1.18945	334	0	39
2020.06.01	09:00:00	1.18939	1.19115	1.18891	1.19107	884	0	30
2020.06.01	09:20:00	1.19107	1.19110	1.18938	1.18974	688	0	40
2020.06.01	09:40:00	1.18970	1.19004	1.18929	1.18934	751	0	41
2020.06.01	10:00:00	1.18934	1.19106	1.18911	1.19078	1225	0	35
2020.06.01	10:20:00	1.19079	1.19141	1.19020	1.19103	1035	0	38
2020.06.01	10:40:00	1.19104	1.19216	1.19099	1.19168	1340	0	33
2020.06.01	11:00:00	1.19178	1.19188	1.18907	1.18945	1948	0	32
2020.06.01	11:20:00	1.18944	1.19018	1.18834	1.18930	1725	0	34
2020.06.01	11:40:00	1.18930	1.18941	1.18834	1.18865	1443	0	38
2020.06.01	12:00:00	1.18867	1.19036	1.18844	1.18986	1093	0	34
2020.06.01	12:20:00	1.18985	1.19075	1.18974	1.19032	1175	0	37
2020.06.01	12:40:00	1.19030	1.19099	1.18964	1.19028	1140	0	38
2020.06.01	13:00:00	1.19020	1.19055	1.18962	1.19012	1057	0	41
2020.06.01	13:20:00	1.19012	1.19095	1.18955	1.19087	924	0	34
2020.06.01	13:40:00	1.19088	1.19142	1.19025	1.19066	909	0	37
