<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	132.626	133.012	132.626	132.981	169	0	26
2020.06.01	00:20:00	132.975	133.047	132.906	132.943	151	0	31
2020.06.01	00:40:00	132.959	133.026	132.885	132.930	278	0	52
2020.06.01	01:00:00	132.925	132.929	132.745	132.884	859	0	26
2020.06.01	01:20:00	132.883	133.151	132.880	133.117	769	0	26
2020.06.01	01:40:00	133.117	133.117	132.978	132.987	658	0	28
2020.06.01	02:00:00	132.987	132.996	132.866	132.905	732	0	30
2020.06.01	02:20:00	132.905	132.953	132.850	132.866	874	0	26
2020.06.01	02:40:00	132.866	132.988	132.861	132.956	604	0	31
2020.06.01	03:00:00	132.963	133.515	132.916	133.472	1512	0	26
2020.06.01	03:20:00	133.471	133.610	133.408	133.461	1255	0	26
2020.06.01	03:40:00	133.460	133.465	133.323	133.351	1160	0	27
2020.06.01	04:00:00	133.351	133.465	133.275	133.440	1362	0	27
2020.06.01	04:20:00	133.441	133.610	133.420	133.515	1331	0	26
2020.06.01	04:40:00	133.515	133.653	133.499	133.625	875	0	26
2020.06.01	05:00:00	133.625	133.648	133.579	133.614	614	0	26
2020.06.01	05:20:00	133.609	133.643	133.562	133.603	603	0	27
2020.06.01	05:40:00	133.603	133.653	133.529	133.546	662	0	26
2020.06.01	06:00:00	133.547	133.548	133.363	133.370	651	0	26
2020.06.01	06:20:00	133.370	133.400	133.235	133.271	829	0	26
2020.06.01	06:40:00	133.271	133.335	133.237	133.296	736	0	26
2020.06.01	07:00:00	133.299	133.394	133.275	133.345	770	0	27
2020.06.01	07:20:00	133.345	133.408	133.285	133.286	665	0	29
2020.06.01	07:40:00	133.285	133.304	133.117	133.127	674	0	30
2020.06.01	08:00:00	133.129	133.177	133.070	133.166	887	0	29
2020.06.01	08:20:00	133.166	133.248	133.147	133.163	748	0	30
2020.06.01	08:40:00	133.163	133.269	133.148	133.231	852	0	30
2020.06.01	09:00:00	133.230	133.382	133.163	133.382	1257	0	26
2020.06.01	09:20:00	133.381	133.384	133.215	133.265	993	0	26
2020.06.01	09:40:00	133.265	133.365	133.247	133.290	848	0	26
2020.06.01	10:00:00	133.292	133.489	133.232	133.452	1273	0	26
2020.06.01	10:20:00	133.452	133.510	133.349	133.403	1080	0	27
