<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.98892	1.99309	1.98701	1.98809	183	0	65
2020.06.01	00:20:00	1.98810	1.99253	1.98759	1.99091	259	0	65
2020.06.01	00:40:00	1.99087	1.99171	1.98885	1.98994	255	0	65
2020.06.01	01:00:00	1.99063	1.99319	1.98893	1.99251	836	0	42
2020.06.01	01:20:00	1.99267	1.99294	1.99109	1.99231	479	0	35
2020.06.01	01:40:00	1.99226	1.99274	1.99134	1.99194	477	0	35
2020.06.01	02:00:00	1.99194	1.99300	1.99179	1.99271	406	0	35
2020.06.01	02:20:00	1.99262	1.99291	1.99119	1.99179	442	0	35
2020.06.01	02:40:00	1.99221	1.99221	1.99071	1.99163	509	0	35
2020.06.01	03:00:00	1.99173	1.99232	1.98817	1.98822	845	0	35
2020.06.01	03:20:00	1.98829	1.98924	1.98701	1.98870	694	0	35
2020.06.01	03:40:00	1.98873	1.98884	1.98705	1.98811	585	0	35
2020.06.01	04:00:00	1.98814	1.98977	1.98814	1.98895	694	0	35
2020.06.01	04:20:00	1.98903	1.98935	1.98654	1.98659	1228	0	35
2020.06.01	04:40:00	1.98654	1.98844	1.98565	1.98786	723	0	35
2020.06.01	05:00:00	1.98786	1.98903	1.98756	1.98855	482	0	35
2020.06.01	05:20:00	1.98851	1.98906	1.98727	1.98735	498	0	35
2020.06.01	05:40:00	1.98735	1.98751	1.98552	1.98554	641	0	35
2020.06.01	06:00:00	1.98559	1.98622	1.98450	1.98602	575	0	35
2020.06.01	06:20:00	1.98602	1.98640	1.98421	1.98487	530	0	35
2020.06.01	06:40:00	1.98468	1.98643	1.98435	1.98618	433	0	35
2020.06.01	07:00:00	1.98636	1.98662	1.98559	1.98583	398	0	35
2020.06.01	07:20:00	1.98583	1.98604	1.98448	1.98492	395	0	35
2020.06.01	07:40:00	1.98514	1.98574	1.98430	1.98475	354	0	35
2020.06.01	08:00:00	1.98462	1.98522	1.98382	1.98427	588	0	35
2020.06.01	08:20:00	1.98407	1.98494	1.98324	1.98355	539	0	35
2020.06.01	08:40:00	1.98360	1.98417	1.98227	1.98339	646	0	35
2020.06.01	09:00:00	1.98331	1.98535	1.98261	1.98474	1100	0	35
2020.06.01	09:20:00	1.98473	1.98547	1.98283	1.98324	841	0	35
2020.06.01	09:40:00	1.98318	1.98365	1.98261	1.98283	967	0	35
2020.06.01	10:00:00	1.98275	1.98680	1.98235	1.98586	1513	0	35
2020.06.01	10:20:00	1.98585	1.98700	1.98515	1.98581	1151	0	35
2020.06.01	10:40:00	1.98583	1.98598	1.98283	1.98414	1442	0	35
2020.06.01	11:00:00	1.98395	1.99048	1.98338	1.99014	2120	0	35
2020.06.01	11:20:00	1.99015	1.99124	1.98783	1.98890	1900	0	35
2020.06.01	11:40:00	1.98896	1.98959	1.98852	1.98869	1576	0	35
2020.06.01	12:00:00	1.98853	1.99034	1.98853	1.98950	1369	0	35
2020.06.01	12:20:00	1.98947	1.99054	1.98908	1.99011	1080	0	35
2020.06.01	12:40:00	1.99011	1.99042	1.98778	1.98838	1209	0	35
2020.06.01	13:00:00	1.98825	1.99017	1.98825	1.98972	1095	0	35
2020.06.01	13:20:00	1.98970	1.98970	1.98827	1.98948	1033	0	35
2020.06.01	13:40:00	1.98945	1.99026	1.98896	1.98932	975	0	35
2020.06.01	14:00:00	1.98932	1.98936	1.98743	1.98810	1059	0	35
2020.06.01	14:20:00	1.98808	1.98819	1.98608	1.98628	1013	0	35
2020.06.01	14:40:00	1.98627	1.98749	1.98621	1.98697	1008	0	35
2020.06.01	15:00:00	1.98704	1.98828	1.98644	1.98789	1090	0	35
2020.06.01	15:20:00	1.98811	1.98838	1.98695	1.98793	1365	0	35
2020.06.01	15:40:00	1.98792	1.99023	1.98766	1.98920	1342	0	35
2020.06.01	16:00:00	1.98918	1.99054	1.98872	1.99009	1009	0	35
2020.06.01	16:20:00	1.99001	1.99044	1.98775	1.98781	1604	0	35
2020.06.01	16:40:00	1.98783	1.98964	1.98734	1.98766	1504	0	35
2020.06.01	17:00:00	1.98806	1.98862	1.98537	1.98666	2128	0	35
2020.06.01	17:20:00	1.98666	1.98688	1.98489	1.98635	1832	0	35
2020.06.01	17:40:00	1.98629	1.98717	1.98415	1.98446	1760	0	35
2020.06.01	18:00:00	1.98449	1.98596	1.98426	1.98532	1525	0	35
2020.06.01	18:20:00	1.98532	1.98599	1.98458	1.98497	1355	0	35
2020.06.01	18:40:00	1.98503	1.98505	1.98348	1.98388	1140	0	35
2020.06.01	19:00:00	1.98389	1.98460	1.98250	1.98269	1028	0	35
2020.06.01	19:20:00	1.98269	1.98464	1.98227	1.98443	823	0	35
2020.06.01	19:40:00	1.98444	1.98444	1.98257	1.98410	904	0	35
2020.06.01	20:00:00	1.98408	1.98420	1.98303	1.98354	772	0	35
2020.06.01	20:20:00	1.98367	1.98446	1.98341	1.98413	841	0	35
2020.06.01	20:40:00	1.98413	1.98450	1.98384	1.98416	665	0	35
2020.06.01	21:00:00	1.98422	1.98499	1.98397	1.98442	659	0	35
2020.06.01	21:20:00	1.98442	1.98481	1.98362	1.98372	735	0	35
2020.06.01	21:40:00	1.98372	1.98527	1.98366	1.98472	878	0	35
2020.06.01	22:00:00	1.98477	1.98566	1.98368	1.98461	936	0	35
2020.06.01	22:20:00	1.98462	1.98555	1.98448	1.98493	691	0	35
2020.06.01	22:40:00	1.98495	1.98531	1.98425	1.98462	848	0	35
2020.06.01	23:00:00	1.98462	1.98537	1.98428	1.98455	641	0	35
2020.06.01	23:20:00	1.98455	1.98505	1.98372	1.98375	438	0	35
2020.06.01	23:40:00	1.98375	1.98423	1.98267	1.98310	550	0	35
2020.06.02	00:00:00	1.98310	1.98529	1.98212	1.98310	230	0	75
2020.06.02	00:20:00	1.98252	1.98447	1.98221	1.98427	278	0	75
2020.06.02	00:40:00	1.98425	1.98540	1.98265	1.98283	163	0	75
2020.06.02	01:00:00	1.98285	1.98369	1.98182	1.98306	278	0	59
2020.06.02	01:20:00	1.98306	1.98439	1.98240	1.98398	287	0	46
2020.06.02	01:40:00	1.98398	1.98502	1.98381	1.98446	392	0	35
2020.06.02	02:00:00	1.98446	1.98588	1.98420	1.98556	583	0	35
2020.06.02	02:20:00	1.98554	1.98682	1.98509	1.98598	477	0	35
2020.06.02	02:40:00	1.98598	1.98813	1.98586	1.98746	730	0	35
2020.06.02	03:00:00	1.98741	1.98741	1.98532	1.98533	677	0	35
2020.06.02	03:20:00	1.98533	1.98639	1.98375	1.98581	466	0	35
2020.06.02	03:40:00	1.98581	1.98768	1.98551	1.98716	434	0	35
2020.06.02	04:00:00	1.98716	1.98925	1.98658	1.98920	652	0	35
2020.06.02	04:20:00	1.98920	1.98982	1.98860	1.98931	494	0	35
2020.06.02	04:40:00	1.98919	1.99185	1.98914	1.99086	347	0	35
2020.06.02	05:00:00	1.99086	1.99106	1.98885	1.98907	261	0	35
2020.06.02	05:20:00	1.98907	1.98939	1.98831	1.98882	323	0	35
2020.06.02	05:40:00	1.98877	1.99016	1.98823	1.98964	282	0	35
