<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.98883	1.99300	1.98692	1.98800	182	0	85
2020.06.01	00:20:00	1.98801	1.99244	1.98750	1.99082	258	0	85
2020.06.01	00:40:00	1.99078	1.99162	1.98876	1.98985	256	0	85
2020.06.01	01:00:00	1.99054	1.99310	1.98884	1.99242	837	0	62
2020.06.01	01:20:00	1.99258	1.99285	1.99100	1.99222	473	0	41
2020.06.01	01:40:00	1.99217	1.99265	1.99125	1.99185	471	0	53
2020.06.01	02:00:00	1.99185	1.99292	1.99170	1.99262	409	0	49
2020.06.01	02:20:00	1.99253	1.99282	1.99110	1.99170	442	0	44
2020.06.01	02:40:00	1.99212	1.99212	1.99062	1.99154	506	0	41
2020.06.01	03:00:00	1.99164	1.99225	1.98808	1.98813	834	0	41
2020.06.01	03:20:00	1.98820	1.98915	1.98691	1.98861	664	0	41
2020.06.01	03:40:00	1.98864	1.98876	1.98696	1.98802	586	0	41
2020.06.01	04:00:00	1.98805	1.98974	1.98805	1.98886	694	0	41
2020.06.01	04:20:00	1.98894	1.98932	1.98645	1.98650	1228	0	41
2020.06.01	04:40:00	1.98645	1.98842	1.98556	1.98777	722	0	41
2020.06.01	05:00:00	1.98777	1.98894	1.98747	1.98846	458	0	41
2020.06.01	05:20:00	1.98842	1.98901	1.98718	1.98726	499	0	41
2020.06.01	05:40:00	1.98726	1.98743	1.98543	1.98552	630	0	41
2020.06.01	06:00:00	1.98555	1.98617	1.98441	1.98593	561	0	41
2020.06.01	06:20:00	1.98593	1.98633	1.98412	1.98478	512	0	41
2020.06.01	06:40:00	1.98459	1.98641	1.98426	1.98609	421	0	41
2020.06.01	07:00:00	1.98627	1.98656	1.98550	1.98574	405	0	41
2020.06.01	07:20:00	1.98574	1.98596	1.98439	1.98483	391	0	42
2020.06.01	07:40:00	1.98505	1.98568	1.98421	1.98466	339	0	41
2020.06.01	08:00:00	1.98453	1.98513	1.98373	1.98418	593	0	41
2020.06.01	08:20:00	1.98398	1.98485	1.98315	1.98346	536	0	42
2020.06.01	08:40:00	1.98351	1.98409	1.98218	1.98330	609	0	41
2020.06.01	09:00:00	1.98322	1.98531	1.98249	1.98470	1109	0	41
2020.06.01	09:20:00	1.98469	1.98543	1.98274	1.98320	839	0	41
