<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.23166	1.23521	1.23166	1.23364	106	0	17
2020.06.01	00:20:00	1.23364	1.23467	1.23346	1.23396	118	0	23
2020.06.01	00:40:00	1.23421	1.23487	1.23366	1.23421	155	0	18
2020.06.01	01:00:00	1.23397	1.23414	1.23262	1.23349	469	0	17
2020.06.01	01:20:00	1.23349	1.23532	1.23349	1.23510	263	0	19
2020.06.01	01:40:00	1.23500	1.23500	1.23433	1.23442	232	0	17
2020.06.01	02:00:00	1.23443	1.23465	1.23413	1.23430	225	0	22
2020.06.01	02:20:00	1.23430	1.23471	1.23409	1.23413	294	0	17
2020.06.01	02:40:00	1.23410	1.23483	1.23409	1.23436	252	0	19
2020.06.01	03:00:00	1.23441	1.23821	1.23423	1.23809	723	0	17
2020.06.01	03:20:00	1.23804	1.23901	1.23741	1.23782	530	0	17
2020.06.01	03:40:00	1.23782	1.23811	1.23715	1.23741	386	0	21
2020.06.01	04:00:00	1.23743	1.23881	1.23727	1.23870	475	0	18
2020.06.01	04:20:00	1.23864	1.24072	1.23853	1.24000	731	0	17
2020.06.01	04:40:00	1.24000	1.24100	1.23992	1.24090	467	0	17
2020.06.01	05:00:00	1.24091	1.24098	1.24040	1.24050	246	0	17
2020.06.01	05:20:00	1.24050	1.24116	1.24050	1.24070	241	0	18
2020.06.01	05:40:00	1.24070	1.24137	1.24030	1.24030	369	0	18
2020.06.01	06:00:00	1.24030	1.24030	1.23910	1.23919	282	0	17
2020.06.01	06:20:00	1.23919	1.23941	1.23779	1.23805	310	0	17
2020.06.01	06:40:00	1.23805	1.23877	1.23797	1.23851	268	0	17
2020.06.01	07:00:00	1.23852	1.23915	1.23820	1.23902	327	0	21
2020.06.01	07:20:00	1.23902	1.23932	1.23850	1.23850	238	0	22
2020.06.01	07:40:00	1.23850	1.23862	1.23810	1.23813	176	0	23
2020.06.01	08:00:00	1.23811	1.23829	1.23753	1.23819	327	0	17
2020.06.01	08:20:00	1.23819	1.23889	1.23819	1.23830	388	0	22
2020.06.01	08:40:00	1.23830	1.23901	1.23830	1.23882	402	0	25
2020.06.01	09:00:00	1.23876	1.24064	1.23842	1.24060	743	0	17
2020.06.01	09:20:00	1.24060	1.24062	1.23887	1.23890	466	0	19
2020.06.01	09:40:00	1.23890	1.23943	1.23839	1.23850	557	0	17
2020.06.01	10:00:00	1.23850	1.24072	1.23819	1.24015	995	0	17
2020.06.01	10:20:00	1.24016	1.24101	1.23981	1.24050	747	0	18
2020.06.01	10:40:00	1.24052	1.24242	1.24041	1.24218	895	0	17
2020.06.01	11:00:00	1.24218	1.24227	1.23881	1.23940	1519	0	17
2020.06.01	11:20:00	1.23940	1.24087	1.23897	1.24079	1339	0	17
2020.06.01	11:40:00	1.24079	1.24130	1.24000	1.24034	1074	0	18
2020.06.01	12:00:00	1.24048	1.24157	1.24009	1.24082	1022	0	17
2020.06.01	12:20:00	1.24080	1.24104	1.23978	1.24024	712	0	17
2020.06.01	12:40:00	1.24024	1.24030	1.23818	1.23889	806	0	19
2020.06.01	13:00:00	1.23881	1.23936	1.23780	1.23843	746	0	19
2020.06.01	13:20:00	1.23840	1.23913	1.23822	1.23901	681	0	17
2020.06.01	13:40:00	1.23901	1.23923	1.23778	1.23837	617	0	17
2020.06.01	14:00:00	1.23840	1.23872	1.23742	1.23860	672	0	19
2020.06.01	14:20:00	1.23860	1.23894	1.23768	1.23879	600	0	20
2020.06.01	14:40:00	1.23879	1.23938	1.23804	1.23881	686	0	18
2020.06.01	15:00:00	1.23885	1.23974	1.23858	1.23937	774	0	17
2020.06.01	15:20:00	1.23931	1.24020	1.23848	1.23861	910	0	19
2020.06.01	15:40:00	1.23861	1.24002	1.23837	1.23964	791	0	17
2020.06.01	16:00:00	1.23964	1.23987	1.23890	1.23921	546	0	19
2020.06.01	16:20:00	1.23921	1.24192	1.23911	1.24097	1133	0	17
2020.06.01	16:40:00	1.24097	1.24240	1.24057	1.24222	1008	0	17
2020.06.01	17:00:00	1.24227	1.24639	1.24159	1.24625	1456	0	17
2020.06.01	17:20:00	1.24625	1.24745	1.24574	1.24693	1389	0	17
2020.06.01	17:40:00	1.24692	1.24831	1.24627	1.24817	1320	0	17
2020.06.01	18:00:00	1.24818	1.24874	1.24603	1.24663	1046	0	17
2020.06.01	18:20:00	1.24664	1.24701	1.24548	1.24623	1085	0	17
2020.06.01	18:40:00	1.24628	1.24699	1.24566	1.24687	839	0	19
2020.06.01	19:00:00	1.24686	1.24793	1.24633	1.24676	680	0	17
2020.06.01	19:20:00	1.24676	1.24698	1.24612	1.24687	497	0	19
2020.06.01	19:40:00	1.24687	1.24690	1.24557	1.24637	433	0	19
2020.06.01	20:00:00	1.24637	1.24740	1.24600	1.24713	435	0	20
2020.06.01	20:20:00	1.24705	1.24762	1.24683	1.24756	583	0	18
2020.06.01	20:40:00	1.24756	1.24797	1.24723	1.24773	443	0	18
2020.06.01	21:00:00	1.24773	1.24846	1.24753	1.24803	371	0	17
2020.06.01	21:20:00	1.24807	1.24834	1.24748	1.24804	505	0	18
2020.06.01	21:40:00	1.24806	1.24949	1.24793	1.24949	553	0	18
2020.06.01	22:00:00	1.24946	1.24986	1.24916	1.24985	563	0	17
2020.06.01	22:20:00	1.24985	1.25060	1.24953	1.24992	376	0	17
2020.06.01	22:40:00	1.24994	1.25024	1.24942	1.24977	501	0	22
2020.06.01	23:00:00	1.24981	1.24993	1.24940	1.24973	309	0	17
2020.06.01	23:20:00	1.24972	1.24987	1.24890	1.24903	186	0	21
2020.06.01	23:40:00	1.24902	1.24904	1.24851	1.24862	237	0	19
2020.06.02	00:00:00	1.24876	1.25007	1.24858	1.24976	106	0	22
2020.06.02	00:20:00	1.24976	1.24977	1.24914	1.24922	103	0	24
2020.06.02	00:40:00	1.24922	1.24930	1.24870	1.24909	121	0	17
