<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	0.85347	0.85387	0.85215	0.85326	166	0	71
2020.06.01	00:20:00	0.85326	0.85331	0.85226	0.85256	142	0	110
2020.06.01	00:40:00	0.85256	0.85357	0.85256	0.85285	144	0	107
2020.06.01	01:00:00	0.85254	0.85394	0.85254	0.85376	807	0	48
2020.06.01	01:20:00	0.85379	0.85454	0.85365	0.85389	394	0	35
2020.06.01	01:40:00	0.85389	0.85392	0.85349	0.85357	341	0	47
2020.06.01	02:00:00	0.85357	0.85366	0.85333	0.85352	397	0	46
2020.06.01	02:20:00	0.85352	0.85409	0.85348	0.85366	400	0	48
2020.06.01	02:40:00	0.85366	0.85408	0.85363	0.85370	399	0	42
2020.06.01	03:00:00	0.85373	0.85561	0.85359	0.85545	1018	0	38
2020.06.01	03:20:00	0.85544	0.85553	0.85451	0.85507	934	0	40
2020.06.01	03:40:00	0.85504	0.85527	0.85450	0.85453	626	0	38
2020.06.01	04:00:00	0.85453	0.85474	0.85416	0.85464	839	0	37
2020.06.01	04:20:00	0.85464	0.85608	0.85457	0.85605	1032	0	35
2020.06.01	04:40:00	0.85604	0.85640	0.85468	0.85599	826	0	41
2020.06.01	05:00:00	0.85599	0.85612	0.85548	0.85550	533	0	35
2020.06.01	05:20:00	0.85549	0.85570	0.85524	0.85556	474	0	42
2020.06.01	05:40:00	0.85556	0.85598	0.85518	0.85569	701	0	35
2020.06.01	06:00:00	0.85569	0.85592	0.85562	0.85582	555	0	39
2020.06.01	06:20:00	0.85583	0.85607	0.85555	0.85601	432	0	41
2020.06.01	06:40:00	0.85611	0.85631	0.85589	0.85602	381	0	41
2020.06.01	07:00:00	0.85602	0.85649	0.85599	0.85627	359	0	35
2020.06.01	07:20:00	0.85627	0.85663	0.85605	0.85613	330	0	40
2020.06.01	07:40:00	0.85618	0.85637	0.85600	0.85609	260	0	41
2020.06.01	08:00:00	0.85604	0.85652	0.85583	0.85650	450	0	40
2020.06.01	08:20:00	0.85650	0.85678	0.85630	0.85642	336	0	35
2020.06.01	08:40:00	0.85641	0.85699	0.85641	0.85661	464	0	39
2020.06.01	09:00:00	0.85654	0.85696	0.85632	0.85695	753	0	36
2020.06.01	09:20:00	0.85697	0.85703	0.85634	0.85635	584	0	35
2020.06.01	09:40:00	0.85635	0.85649	0.85583	0.85600	529	0	36
2020.06.01	10:00:00	0.85601	0.85607	0.85513	0.85527	948	0	35
2020.06.01	10:20:00	0.85527	0.85554	0.85505	0.85550	665	0	35
2020.06.01	10:40:00	0.85550	0.85610	0.85522	0.85608	894	0	35
2020.06.01	11:00:00	0.85611	0.85638	0.85429	0.85438	1507	0	35
2020.06.01	11:20:00	0.85446	0.85534	0.85441	0.85518	1295	0	35
2020.06.01	11:40:00	0.85512	0.85529	0.85485	0.85510	1049	0	36
2020.06.01	12:00:00	0.85517	0.85526	0.85472	0.85475	795	0	35
2020.06.01	12:20:00	0.85475	0.85486	0.85421	0.85438	614	0	35
2020.06.01	12:40:00	0.85438	0.85503	0.85421	0.85503	691	0	37
2020.06.01	13:00:00	0.85501	0.85502	0.85371	0.85381	689	0	35
2020.06.01	13:20:00	0.85381	0.85437	0.85376	0.85415	671	0	35
2020.06.01	13:40:00	0.85415	0.85434	0.85367	0.85398	641	0	35
2020.06.01	14:00:00	0.85399	0.85400	0.85364	0.85374	651	0	35
2020.06.01	14:20:00	0.85373	0.85455	0.85354	0.85451	608	0	35
2020.06.01	14:40:00	0.85451	0.85482	0.85412	0.85482	590	0	35
2020.06.01	15:00:00	0.85482	0.85489	0.85420	0.85444	648	0	35
2020.06.01	15:20:00	0.85434	0.85502	0.85428	0.85468	865	0	35
2020.06.01	15:40:00	0.85471	0.85513	0.85420	0.85500	863	0	35
2020.06.01	16:00:00	0.85499	0.85533	0.85475	0.85498	873	0	35
2020.06.01	16:20:00	0.85500	0.85604	0.85490	0.85573	1166	0	35
2020.06.01	16:40:00	0.85575	0.85582	0.85483	0.85519	1093	0	35
2020.06.01	17:00:00	0.85535	0.85676	0.85508	0.85651	1500	0	35
2020.06.01	17:20:00	0.85650	0.85707	0.85607	0.85652	1324	0	35
2020.06.01	17:40:00	0.85657	0.85668	0.85539	0.85639	1280	0	35
2020.06.01	18:00:00	0.85636	0.85651	0.85485	0.85506	1027	0	35
2020.06.01	18:20:00	0.85506	0.85539	0.85473	0.85480	872	0	37
2020.06.01	18:40:00	0.85479	0.85513	0.85448	0.85473	717	0	35
2020.06.01	19:00:00	0.85473	0.85484	0.85395	0.85415	636	0	35
2020.06.01	19:20:00	0.85415	0.85452	0.85382	0.85382	571	0	36
2020.06.01	19:40:00	0.85382	0.85432	0.85363	0.85392	406	0	35
2020.06.01	20:00:00	0.85391	0.85438	0.85380	0.85436	439	0	35
2020.06.01	20:20:00	0.85427	0.85492	0.85422	0.85487	408	0	36
2020.06.01	20:40:00	0.85487	0.85508	0.85452	0.85469	522	0	36
2020.06.01	21:00:00	0.85469	0.85485	0.85430	0.85438	406	0	38
2020.06.01	21:20:00	0.85437	0.85463	0.85424	0.85452	373	0	38
2020.06.01	21:40:00	0.85452	0.85479	0.85429	0.85452	541	0	37
2020.06.01	22:00:00	0.85443	0.85456	0.85373	0.85416	589	0	38
2020.06.01	22:20:00	0.85416	0.85416	0.85376	0.85403	470	0	38
2020.06.01	22:40:00	0.85403	0.85441	0.85395	0.85429	531	0	38
2020.06.01	23:00:00	0.85429	0.85465	0.85385	0.85432	452	0	40
2020.06.01	23:20:00	0.85432	0.85454	0.85388	0.85423	236	0	41
2020.06.01	23:40:00	0.85423	0.85477	0.85334	0.85351	324	0	40
2020.06.02	00:00:00	0.85351	0.85555	0.85332	0.85501	205	0	65
2020.06.02	00:20:00	0.85501	0.85503	0.85392	0.85410	159	0	70
2020.06.02	00:40:00	0.85415	0.85461	0.85374	0.85452	122	0	35
2020.06.02	01:00:00	0.85452	0.85463	0.85413	0.85428	179	0	35
2020.06.02	01:20:00	0.85428	0.85434	0.85385	0.85385	128	0	36
2020.06.02	01:40:00	0.85385	0.85387	0.85322	0.85387	253	0	35
2020.06.02	02:00:00	0.85384	0.85390	0.85335	0.85335	353	0	47
2020.06.02	02:20:00	0.85335	0.85374	0.85294	0.85353	316	0	48
2020.06.02	02:40:00	0.85350	0.85350	0.85268	0.85295	359	0	47
2020.06.02	03:00:00	0.85300	0.85390	0.85300	0.85371	811	0	42
2020.06.02	03:20:00	0.85369	0.85417	0.85356	0.85389	560	0	42
2020.06.02	03:40:00	0.85388	0.85415	0.85312	0.85318	661	0	37
2020.06.02	04:00:00	0.85326	0.85342	0.85225	0.85225	692	0	35
2020.06.02	04:20:00	0.85225	0.85241	0.85165	0.85198	740	0	39
2020.06.02	04:40:00	0.85207	0.85215	0.85113	0.85151	722	0	40
2020.06.02	05:00:00	0.85152	0.85179	0.85123	0.85163	585	0	40
2020.06.02	05:20:00	0.85162	0.85175	0.85113	0.85113	507	0	40
2020.06.02	05:40:00	0.85113	0.85156	0.85102	0.85110	493	0	37
2020.06.02	06:00:00	0.85113	0.85158	0.85104	0.85153	420	0	40
2020.06.02	06:20:00	0.85153	0.85158	0.85106	0.85108	364	0	39
2020.06.02	06:40:00	0.85108	0.85173	0.85103	0.85142	461	0	40
