<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	0.59533	0.59612	0.59440	0.59605	164	0	79
2020.06.01	00:20:00	0.59604	0.59604	0.59488	0.59508	165	0	123
2020.06.01	00:40:00	0.59508	0.59594	0.59506	0.59558	245	0	123
2020.06.01	01:00:00	0.59540	0.59547	0.59435	0.59470	700	0	42
2020.06.01	01:20:00	0.59473	0.59550	0.59471	0.59533	338	0	42
2020.06.01	01:40:00	0.59533	0.59534	0.59493	0.59504	282	0	43
2020.06.01	02:00:00	0.59503	0.59514	0.59467	0.59477	413	0	42
2020.06.01	02:20:00	0.59477	0.59525	0.59476	0.59487	380	0	42
2020.06.01	02:40:00	0.59487	0.59549	0.59484	0.59514	401	0	44
2020.06.01	03:00:00	0.59514	0.59773	0.59509	0.59759	888	0	39
2020.06.01	03:20:00	0.59755	0.59834	0.59741	0.59784	762	0	39
2020.06.01	03:40:00	0.59781	0.59809	0.59753	0.59754	512	0	39
2020.06.01	04:00:00	0.59753	0.59807	0.59733	0.59785	649	0	40
2020.06.01	04:20:00	0.59786	0.59915	0.59768	0.59913	859	0	40
2020.06.01	04:40:00	0.59913	0.59956	0.59854	0.59931	773	0	40
2020.06.01	05:00:00	0.59931	0.59940	0.59894	0.59899	510	0	40
2020.06.01	05:20:00	0.59899	0.59920	0.59885	0.59920	371	0	40
2020.06.01	05:40:00	0.59920	0.59978	0.59894	0.59972	582	0	40
2020.06.01	06:00:00	0.59972	0.59993	0.59920	0.59943	467	0	39
2020.06.01	06:20:00	0.59943	0.59946	0.59901	0.59905	340	0	39
2020.06.01	06:40:00	0.59912	0.59930	0.59879	0.59881	283	0	40
2020.06.01	07:00:00	0.59882	0.59933	0.59875	0.59924	282	0	39
2020.06.01	07:20:00	0.59925	0.59968	0.59921	0.59921	235	0	39
2020.06.01	07:40:00	0.59925	0.59936	0.59899	0.59908	258	0	39
2020.06.01	08:00:00	0.59905	0.59924	0.59877	0.59916	334	0	39
2020.06.01	08:20:00	0.59916	0.59942	0.59905	0.59921	341	0	39
2020.06.01	08:40:00	0.59922	0.59979	0.59921	0.59951	375	0	38
2020.06.01	09:00:00	0.59945	0.60002	0.59914	0.60001	810	0	35
2020.06.01	09:20:00	0.60000	0.60002	0.59959	0.59979	560	0	35
2020.06.01	09:40:00	0.59979	0.59997	0.59959	0.59970	521	0	35
2020.06.01	10:00:00	0.59974	0.59990	0.59918	0.59952	943	0	35
2020.06.01	10:20:00	0.59953	0.59966	0.59929	0.59965	671	0	35
2020.06.01	10:40:00	0.59965	0.60073	0.59964	0.60044	936	0	35
2020.06.01	11:00:00	0.60048	0.60057	0.59744	0.59756	1551	0	35
2020.06.01	11:20:00	0.59756	0.59795	0.59740	0.59784	1246	0	35
2020.06.01	11:40:00	0.59780	0.59789	0.59723	0.59759	989	0	35
2020.06.01	12:00:00	0.59767	0.59809	0.59732	0.59796	751	0	35
2020.06.01	12:20:00	0.59796	0.59837	0.59762	0.59792	817	0	35
2020.06.01	12:40:00	0.59792	0.59869	0.59776	0.59850	790	0	35
2020.06.01	13:00:00	0.59849	0.59850	0.59782	0.59802	768	0	35
2020.06.01	13:20:00	0.59802	0.59856	0.59794	0.59845	652	0	35
2020.06.01	13:40:00	0.59846	0.59864	0.59806	0.59842	685	0	35
2020.06.01	14:00:00	0.59843	0.59859	0.59824	0.59854	723	0	35
2020.06.01	14:20:00	0.59853	0.59925	0.59824	0.59920	584	0	35
2020.06.01	14:40:00	0.59921	0.59928	0.59877	0.59919	655	0	35
2020.06.01	15:00:00	0.59919	0.59952	0.59908	0.59914	612	0	35
2020.06.01	15:20:00	0.59906	0.59965	0.59896	0.59925	756	0	35
2020.06.01	15:40:00	0.59928	0.59962	0.59902	0.59934	746	0	35
2020.06.01	16:00:00	0.59932	0.59952	0.59876	0.59914	627	0	35
2020.06.01	16:20:00	0.59915	0.60043	0.59913	0.60039	975	0	35
2020.06.01	16:40:00	0.60037	0.60080	0.59939	0.60015	880	0	35
2020.06.01	17:00:00	0.60015	0.60272	0.60015	0.60244	1329	0	35
2020.06.01	17:20:00	0.60243	0.60342	0.60240	0.60320	1182	0	35
2020.06.01	17:40:00	0.60321	0.60403	0.60295	0.60389	1095	0	35
2020.06.01	18:00:00	0.60389	0.60391	0.60333	0.60375	823	0	35
2020.06.01	18:20:00	0.60375	0.60383	0.60321	0.60371	764	0	35
2020.06.01	18:40:00	0.60371	0.60402	0.60360	0.60402	618	0	35
2020.06.01	19:00:00	0.60399	0.60448	0.60377	0.60447	552	0	38
2020.06.01	19:20:00	0.60447	0.60460	0.60365	0.60369	421	0	39
2020.06.01	19:40:00	0.60370	0.60399	0.60341	0.60361	456	0	43
2020.06.01	20:00:00	0.60361	0.60416	0.60359	0.60409	403	0	39
2020.06.01	20:20:00	0.60405	0.60426	0.60396	0.60422	312	0	39
2020.06.01	20:40:00	0.60422	0.60454	0.60411	0.60454	338	0	39
2020.06.01	21:00:00	0.60453	0.60473	0.60447	0.60463	322	0	39
2020.06.01	21:20:00	0.60462	0.60503	0.60454	0.60496	326	0	35
2020.06.01	21:40:00	0.60496	0.60546	0.60484	0.60524	436	0	39
2020.06.01	22:00:00	0.60524	0.60555	0.60508	0.60536	431	0	41
2020.06.01	22:20:00	0.60536	0.60552	0.60517	0.60534	324	0	41
2020.06.01	22:40:00	0.60532	0.60548	0.60508	0.60513	431	0	41
2020.06.01	23:00:00	0.60515	0.60521	0.60483	0.60519	297	0	41
2020.06.01	23:20:00	0.60519	0.60536	0.60478	0.60504	155	0	42
2020.06.01	23:40:00	0.60504	0.60507	0.60369	0.60373	218	0	41
2020.06.02	00:00:00	0.60369	0.60516	0.60366	0.60513	175	0	35
2020.06.02	00:20:00	0.60513	0.60513	0.60413	0.60464	199	0	77
2020.06.02	00:40:00	0.60463	0.60504	0.60427	0.60503	345	0	82
2020.06.02	01:00:00	0.60502	0.60518	0.60470	0.60499	229	0	46
2020.06.02	01:20:00	0.60499	0.60501	0.60451	0.60458	164	0	45
2020.06.02	01:40:00	0.60458	0.60458	0.60411	0.60433	180	0	44
2020.06.02	02:00:00	0.60431	0.60432	0.60379	0.60379	328	0	35
2020.06.02	02:20:00	0.60376	0.60427	0.60354	0.60415	316	0	42
2020.06.02	02:40:00	0.60414	0.60414	0.60320	0.60350	328	0	43
2020.06.02	03:00:00	0.60352	0.60505	0.60352	0.60490	689	0	35
2020.06.02	03:20:00	0.60488	0.60550	0.60488	0.60507	526	0	42
2020.06.02	03:40:00	0.60507	0.60541	0.60461	0.60472	647	0	41
2020.06.02	04:00:00	0.60477	0.60492	0.60406	0.60407	654	0	41
2020.06.02	04:20:00	0.60407	0.60428	0.60381	0.60411	607	0	42
2020.06.02	04:40:00	0.60415	0.60431	0.60327	0.60343	519	0	42
2020.06.02	05:00:00	0.60343	0.60367	0.60310	0.60336	457	0	42
2020.06.02	05:20:00	0.60337	0.60346	0.60310	0.60322	377	0	41
2020.06.02	05:40:00	0.60324	0.60339	0.60282	0.60313	359	0	43
2020.06.02	06:00:00	0.60314	0.60355	0.60310	0.60353	324	0	43
2020.06.02	06:20:00	0.60353	0.60358	0.60316	0.60317	266	0	43
2020.06.02	06:40:00	0.60318	0.60390	0.60317	0.60389	366	0	42
2020.06.02	07:00:00	0.60387	0.60390	0.60349	0.60363	234	0	42
2020.06.02	07:20:00	0.60363	0.60396	0.60325	0.60376	362	0	42
2020.06.02	07:40:00	0.60376	0.60392	0.60363	0.60372	259	0	44
2020.06.02	08:00:00	0.60371	0.60434	0.60354	0.60428	450	0	42
2020.06.02	08:20:00	0.60428	0.60451	0.60411	0.60438	447	0	44
2020.06.02	08:40:00	0.60438	0.60442	0.60373	0.60427	435	0	42
2020.06.02	09:00:00	0.60425	0.60427	0.60304	0.60313	694	0	35
2020.06.02	09:20:00	0.60313	0.60349	0.60279	0.60304	773	0	35
2020.06.02	09:40:00	0.60305	0.60347	0.60279	0.60295	1075	0	35
2020.06.02	10:00:00	0.60297	0.60302	0.60245	0.60259	1276	0	35
2020.06.02	10:20:00	0.60259	0.60317	0.60247	0.60262	1205	0	35
2020.06.02	10:40:00	0.60262	0.60263	0.60174	0.60211	1192	0	35
2020.06.02	11:00:00	0.60211	0.60252	0.60166	0.60170	1355	0	35
2020.06.02	11:20:00	0.60173	0.60286	0.60119	0.60269	1384	0	35
2020.06.02	11:40:00	0.60269	0.60319	0.60248	0.60317	995	0	35
2020.06.02	12:00:00	0.60316	0.60393	0.60313	0.60391	996	0	35
2020.06.02	12:20:00	0.60392	0.60579	0.60379	0.60570	948	0	35
