<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	66.678	66.845	66.601	66.828	157	0	47
2020.06.01	00:20:00	66.828	66.829	66.698	66.726	123	0	51
2020.06.01	00:40:00	66.726	66.810	66.726	66.755	133	0	58
2020.06.01	01:00:00	66.734	66.759	66.611	66.668	794	0	23
2020.06.01	01:20:00	66.674	66.814	66.666	66.794	570	0	22
2020.06.01	01:40:00	66.794	66.798	66.729	66.743	485	0	33
2020.06.01	02:00:00	66.743	66.743	66.651	66.673	588	0	27
2020.06.01	02:20:00	66.673	66.734	66.671	66.679	589	0	28
2020.06.01	02:40:00	66.680	66.773	66.673	66.738	433	0	26
2020.06.01	03:00:00	66.742	67.124	66.713	67.104	1216	0	22
2020.06.01	03:20:00	67.102	67.204	67.058	67.099	983	0	22
2020.06.01	03:40:00	67.098	67.113	67.045	67.051	695	0	25
2020.06.01	04:00:00	67.052	67.090	66.990	67.072	947	0	23
2020.06.01	04:20:00	67.072	67.211	67.052	67.187	1179	0	22
2020.06.01	04:40:00	67.187	67.238	67.112	67.201	794	0	22
2020.06.01	05:00:00	67.204	67.222	67.158	67.178	517	0	24
2020.06.01	05:20:00	67.178	67.213	67.150	67.213	428	0	22
2020.06.01	05:40:00	67.213	67.280	67.186	67.245	575	0	24
2020.06.01	06:00:00	67.245	67.255	67.133	67.142	490	0	22
2020.06.01	06:20:00	67.142	67.167	67.115	67.126	379	0	23
2020.06.01	06:40:00	67.132	67.151	67.081	67.087	392	0	26
2020.06.01	07:00:00	67.091	67.160	67.086	67.127	337	0	29
2020.06.01	07:20:00	67.132	67.185	67.121	67.121	371	0	25
2020.06.01	07:40:00	67.127	67.142	67.054	67.060	409	0	24
2020.06.01	08:00:00	67.058	67.103	67.022	67.095	473	0	22
2020.06.01	08:20:00	67.095	67.142	67.090	67.118	380	0	24
2020.06.01	08:40:00	67.118	67.196	67.105	67.154	476	0	23
2020.06.01	09:00:00	67.148	67.208	67.106	67.189	819	0	22
2020.06.01	09:20:00	67.189	67.203	67.148	67.182	506	0	25
2020.06.01	09:40:00	67.183	67.235	67.180	67.208	651	0	22
2020.06.01	10:00:00	67.212	67.242	67.141	67.187	983	0	22
2020.06.01	10:20:00	67.187	67.202	67.130	67.167	910	0	22
2020.06.01	10:40:00	67.167	67.326	67.161	67.302	1031	0	22
2020.06.01	11:00:00	67.306	67.308	66.861	66.897	1603	0	22
2020.06.01	11:20:00	66.897	67.042	66.866	67.026	1270	0	22
2020.06.01	11:40:00	67.026	67.043	66.947	66.972	1160	0	27
2020.06.01	12:00:00	66.982	67.051	66.949	67.029	966	0	23
2020.06.01	12:20:00	67.029	67.048	66.968	67.021	797	0	25
2020.06.01	12:40:00	67.021	67.042	66.995	67.027	706	0	22
2020.06.01	13:00:00	67.027	67.042	66.978	67.012	768	0	22
2020.06.01	13:20:00	67.013	67.065	66.996	67.029	752	0	24
2020.06.01	13:40:00	67.028	67.078	67.009	67.043	656	0	25
2020.06.01	14:00:00	67.046	67.121	67.033	67.115	753	0	22
2020.06.01	14:20:00	67.115	67.184	67.077	67.179	670	0	24
2020.06.01	14:40:00	67.180	67.193	67.109	67.150	672	0	24
2020.06.01	15:00:00	67.151	67.192	67.122	67.129	682	0	25
2020.06.01	15:20:00	67.124	67.177	67.099	67.099	893	0	23
2020.06.01	15:40:00	67.097	67.129	67.060	67.108	803	0	22
2020.06.01	16:00:00	67.104	67.136	67.051	67.080	688	0	24
2020.06.01	16:20:00	67.080	67.255	67.080	67.232	1085	0	22
2020.06.01	16:40:00	67.232	67.293	67.180	67.233	973	0	23
2020.06.01	17:00:00	67.246	67.532	67.243	67.514	1337	0	22
2020.06.01	17:20:00	67.514	67.582	67.502	67.542	1239	0	22
2020.06.01	17:40:00	67.541	67.642	67.486	67.634	1006	0	22
2020.06.01	18:00:00	67.634	67.634	67.533	67.571	820	0	22
2020.06.01	18:20:00	67.573	67.580	67.516	67.561	626	0	24
2020.06.01	18:40:00	67.561	67.612	67.542	67.589	498	0	24
2020.06.01	19:00:00	67.588	67.643	67.561	67.634	451	0	24
2020.06.01	19:20:00	67.634	67.652	67.567	67.572	339	0	26
2020.06.01	19:40:00	67.574	67.611	67.539	67.563	386	0	25
2020.06.01	20:00:00	67.563	67.644	67.555	67.640	354	0	26
2020.06.01	20:20:00	67.632	67.653	67.620	67.639	272	0	27
2020.06.01	20:40:00	67.634	67.655	67.619	67.653	317	0	24
2020.06.01	21:00:00	67.652	67.689	67.652	67.681	283	0	22
2020.06.01	21:20:00	67.681	67.694	67.640	67.686	217	0	23
2020.06.01	21:40:00	67.686	67.741	67.666	67.731	405	0	22
2020.06.01	22:00:00	67.727	67.749	67.694	67.727	441	0	25
2020.06.01	22:20:00	67.727	67.754	67.708	67.737	312	0	22
2020.06.01	22:40:00	67.737	67.763	67.723	67.733	378	0	27
2020.06.01	23:00:00	67.733	67.739	67.698	67.735	288	0	27
2020.06.01	23:20:00	67.734	67.746	67.688	67.717	170	0	30
2020.06.01	23:40:00	67.721	67.733	67.635	67.648	281	0	28
2020.06.02	00:00:00	67.643	67.804	67.635	67.792	186	0	52
2020.06.02	00:20:00	67.804	67.804	67.698	67.719	168	0	65
2020.06.02	00:40:00	67.721	67.763	67.664	67.761	417	0	56
2020.06.02	01:00:00	67.767	67.778	67.694	67.739	331	0	29
2020.06.02	01:20:00	67.739	67.767	67.701	67.716	455	0	27
2020.06.02	01:40:00	67.716	67.716	67.618	67.648	435	0	22
2020.06.02	02:00:00	67.652	67.658	67.568	67.569	534	0	24
2020.06.02	02:20:00	67.569	67.663	67.551	67.629	497	0	27
2020.06.02	02:40:00	67.626	67.627	67.501	67.546	466	0	27
2020.06.02	03:00:00	67.552	67.788	67.549	67.759	890	0	23
2020.06.02	03:20:00	67.756	67.833	67.754	67.795	558	0	26
2020.06.02	03:40:00	67.795	67.840	67.704	67.723	702	0	22
2020.06.02	04:00:00	67.728	67.751	67.653	67.663	838	0	25
2020.06.02	04:20:00	67.661	67.687	67.611	67.643	741	0	24
2020.06.02	04:40:00	67.652	67.672	67.559	67.591	640	0	22
2020.06.02	05:00:00	67.590	67.627	67.530	67.574	657	0	23
2020.06.02	05:20:00	67.575	67.599	67.534	67.581	494	0	23
2020.06.02	05:40:00	67.581	67.608	67.525	67.559	459	0	23
2020.06.02	06:00:00	67.562	67.617	67.558	67.617	374	0	26
2020.06.02	06:20:00	67.617	67.621	67.572	67.572	470	0	22
2020.06.02	06:40:00	67.572	67.681	67.572	67.672	485	0	22
2020.06.02	07:00:00	67.673	67.688	67.624	67.651	391	0	22
2020.06.02	07:20:00	67.651	67.678	67.600	67.653	461	0	22
2020.06.02	07:40:00	67.653	67.678	67.627	67.638	342	0	22
2020.06.02	08:00:00	67.637	67.753	67.622	67.741	608	0	22
2020.06.02	08:20:00	67.741	67.784	67.716	67.742	490	0	25
2020.06.02	08:40:00	67.742	67.751	67.645	67.709	461	0	23
2020.06.02	09:00:00	67.706	67.730	67.565	67.577	743	0	24
2020.06.02	09:20:00	67.576	67.653	67.572	67.629	884	0	22
2020.06.02	09:40:00	67.629	67.683	67.557	67.577	1115	0	22
2020.06.02	10:00:00	67.572	67.624	67.536	67.587	1332	0	22
2020.06.02	10:20:00	67.587	67.665	67.569	67.596	1278	0	22
2020.06.02	10:40:00	67.596	67.602	67.512	67.551	1224	0	23
2020.06.02	11:00:00	67.549	67.640	67.507	67.603	1340	0	22
2020.06.02	11:20:00	67.604	67.828	67.593	67.810	1324	0	22
2020.06.02	11:40:00	67.808	67.855	67.780	67.853	887	0	22
2020.06.02	12:00:00	67.853	67.894	67.819	67.822	1002	0	22
2020.06.02	12:20:00	67.822	67.967	67.816	67.957	828	0	22
2020.06.02	12:40:00	67.957	68.039	67.945	68.010	959	0	22
2020.06.02	13:00:00	68.009	68.060	67.957	68.029	963	0	22
2020.06.02	13:20:00	68.029	68.047	68.000	68.009	742	0	22
2020.06.02	13:40:00	68.009	68.092	67.991	68.079	877	0	22
2020.06.02	14:00:00	68.078	68.106	68.042	68.062	704	0	22
2020.06.02	14:20:00	68.062	68.121	67.991	68.119	686	0	22
2020.06.02	14:40:00	68.119	68.221	68.115	68.177	1057	0	22
2020.06.02	15:00:00	68.179	68.434	68.158	68.420	1426	0	23
2020.06.02	15:20:00	68.420	68.543	68.373	68.499	1399	0	22
2020.06.02	15:40:00	68.498	68.530	68.371	68.412	1369	0	23
2020.06.02	16:00:00	68.414	68.477	68.403	68.452	1079	0	23
2020.06.02	16:20:00	68.452	68.577	68.443	68.523	1297	0	24
2020.06.02	16:40:00	68.527	68.746	68.525	68.745	1326	0	22
2020.06.02	17:00:00	68.744	68.920	68.727	68.919	1222	0	22
2020.06.02	17:20:00	68.921	69.148	68.918	69.099	1469	0	22
2020.06.02	17:40:00	69.099	69.120	68.905	69.087	1510	0	22
2020.06.02	18:00:00	69.092	69.093	68.825	68.938	1426	0	22
2020.06.02	18:20:00	68.938	68.976	68.849	68.873	885	0	22
2020.06.02	18:40:00	68.873	68.933	68.851	68.875	777	0	23
2020.06.02	19:00:00	68.874	68.987	68.867	68.986	611	0	23
2020.06.02	19:20:00	68.986	69.026	68.959	69.026	610	0	26
2020.06.02	19:40:00	69.024	69.043	68.951	69.001	670	0	24
2020.06.02	20:00:00	69.000	69.078	68.992	69.069	598	0	25
2020.06.02	20:20:00	69.069	69.109	69.060	69.081	608	0	22
2020.06.02	20:40:00	69.079	69.115	69.064	69.115	426	0	25
2020.06.02	21:00:00	69.113	69.133	69.084	69.126	546	0	23
2020.06.02	21:20:00	69.125	69.136	69.096	69.105	361	0	24
2020.06.02	21:40:00	69.106	69.212	69.101	69.176	491	0	25
2020.06.02	22:00:00	69.176	69.187	69.095	69.142	440	0	25
2020.06.02	22:20:00	69.140	69.158	69.074	69.087	620	0	22
2020.06.02	22:40:00	69.087	69.134	69.081	69.119	559	0	26
2020.06.02	23:00:00	69.121	69.158	69.085	69.157	357	0	24
2020.06.02	23:20:00	69.167	69.229	69.132	69.169	285	0	22
2020.06.02	23:40:00	69.164	69.227	69.151	69.206	328	0	28
2020.06.03	00:00:00	69.175	69.177	69.077	69.126	188	0	52
2020.06.03	00:20:00	69.126	69.234	69.126	69.167	213	0	22
2020.06.03	00:40:00	69.167	69.193	69.136	69.155	271	0	22
2020.06.03	01:00:00	69.164	69.235	69.149	69.200	595	0	22
2020.06.03	01:20:00	69.186	69.196	69.146	69.147	419	0	25
2020.06.03	01:40:00	69.147	69.158	69.069	69.127	552	0	25
2020.06.03	02:00:00	69.125	69.186	69.096	69.159	482	0	22
2020.06.03	02:20:00	69.158	69.471	69.157	69.450	974	0	22
2020.06.03	02:40:00	69.450	69.523	69.419	69.448	896	0	22
2020.06.03	03:00:00	69.448	69.523	69.405	69.475	997	0	22
2020.06.03	03:20:00	69.479	69.615	69.458	69.589	806	0	22
2020.06.03	03:40:00	69.589	69.748	69.565	69.628	1362	0	22
2020.06.03	04:00:00	69.630	69.759	69.589	69.642	1359	0	22
2020.06.03	04:20:00	69.642	69.740	69.533	69.539	1165	0	22
2020.06.03	04:40:00	69.539	69.658	69.509	69.560	1020	0	25
2020.06.03	05:00:00	69.560	69.595	69.424	69.499	824	0	22
2020.06.03	05:20:00	69.499	69.500	69.366	69.442	769	0	24
2020.06.03	05:40:00	69.442	69.562	69.440	69.511	787	0	22
2020.06.03	06:00:00	69.511	69.595	69.479	69.573	698	0	23
2020.06.03	06:20:00	69.574	69.694	69.571	69.683	626	0	22
2020.06.03	06:40:00	69.683	69.683	69.604	69.666	547	0	22
2020.06.03	07:00:00	69.666	69.668	69.537	69.557	558	0	24
2020.06.03	07:20:00	69.558	69.638	69.553	69.594	477	0	22
2020.06.03	07:40:00	69.594	69.610	69.539	69.552	460	0	22
2020.06.03	08:00:00	69.552	69.610	69.547	69.599	391	0	23
2020.06.03	08:20:00	69.599	69.619	69.515	69.610	551	0	24
2020.06.03	08:40:00	69.610	69.633	69.523	69.595	442	0	22
2020.06.03	09:00:00	69.594	69.690	69.577	69.680	969	0	22
2020.06.03	09:20:00	69.677	69.705	69.618	69.705	606	0	24
2020.06.03	09:40:00	69.708	69.742	69.637	69.699	715	0	23
2020.06.03	10:00:00	69.695	69.747	69.644	69.713	1081	0	24
2020.06.03	10:20:00	69.711	69.767	69.686	69.747	1061	0	22
2020.06.03	10:40:00	69.747	69.747	69.585	69.594	955	0	25
2020.06.03	11:00:00	69.594	69.626	69.250	69.367	1379	0	22
2020.06.03	11:20:00	69.365	69.597	69.365	69.525	1118	0	22
2020.06.03	11:40:00	69.525	69.540	69.414	69.438	905	0	22
2020.06.03	12:00:00	69.438	69.580	69.438	69.516	840	0	22
2020.06.03	12:20:00	69.515	69.566	69.477	69.543	899	0	22
2020.06.03	12:40:00	69.543	69.686	69.525	69.664	686	0	22
2020.06.03	13:00:00	69.668	69.702	69.551	69.554	1132	0	22
2020.06.03	13:20:00	69.555	69.669	69.541	69.609	902	0	23
2020.06.03	13:40:00	69.610	69.637	69.390	69.390	879	0	22
2020.06.03	14:00:00	69.399	69.495	69.324	69.346	971	0	22
2020.06.03	14:20:00	69.346	69.346	69.073	69.221	1235	0	22
2020.06.03	14:40:00	69.221	69.301	69.155	69.243	1107	0	22
2020.06.03	15:00:00	69.244	69.427	69.243	69.422	980	0	25
2020.06.03	15:20:00	69.424	69.537	69.379	69.444	1197	0	22
2020.06.03	15:40:00	69.450	69.532	69.391	69.473	1008	0	22
2020.06.03	16:00:00	69.474	69.605	69.431	69.605	1012	0	22
2020.06.03	16:20:00	69.606	69.700	69.437	69.533	1610	0	22
2020.06.03	16:40:00	69.532	69.662	69.428	69.615	1590	0	22
2020.06.03	17:00:00	69.608	69.813	69.599	69.739	2024	0	22
2020.06.03	17:20:00	69.738	69.842	69.658	69.834	1515	0	22
2020.06.03	17:40:00	69.828	69.939	69.791	69.879	1609	0	22
2020.06.03	18:00:00	69.881	70.097	69.853	70.058	1463	0	22
2020.06.03	18:20:00	70.058	70.163	70.036	70.143	1174	0	22
2020.06.03	18:40:00	70.147	70.157	70.033	70.055	1102	0	22
2020.06.03	19:00:00	70.054	70.108	70.033	70.097	763	0	22
2020.06.03	19:20:00	70.092	70.099	70.009	70.035	729	0	24
2020.06.03	19:40:00	70.035	70.064	69.991	70.015	655	0	22
2020.06.03	20:00:00	70.014	70.036	69.971	70.005	514	0	26
2020.06.03	20:20:00	70.005	70.029	69.994	70.003	363	0	24
2020.06.03	20:40:00	70.003	70.012	69.939	69.995	458	0	25
2020.06.03	21:00:00	69.995	70.027	69.978	70.017	433	0	26
2020.06.03	21:20:00	70.017	70.076	69.993	70.052	436	0	26
2020.06.03	21:40:00	70.056	70.071	70.032	70.049	360	0	24
2020.06.03	22:00:00	70.039	70.055	70.018	70.032	407	0	27
2020.06.03	22:20:00	70.036	70.087	69.999	70.080	432	0	27
2020.06.03	22:40:00	70.080	70.132	70.021	70.026	559	0	23
2020.06.03	23:00:00	70.031	70.038	69.997	69.998	353	0	22
2020.06.03	23:20:00	69.998	70.006	69.948	69.954	251	0	22
2020.06.03	23:40:00	69.954	69.984	69.800	69.897	291	0	22
2020.06.04	00:00:00	69.876	69.914	69.836	69.870	93	0	87
2020.06.04	00:20:00	69.870	69.943	69.823	69.898	221	0	22
2020.06.04	00:40:00	69.907	69.952	69.873	69.916	169	0	24
2020.06.04	01:00:00	69.889	69.960	69.885	69.889	266	0	22
2020.06.04	01:20:00	69.889	69.958	69.889	69.957	215	0	25
2020.06.04	01:40:00	69.957	70.062	69.949	70.043	274	0	26
2020.06.04	02:00:00	70.045	70.064	70.010	70.015	756	0	22
2020.06.04	02:20:00	70.009	70.106	70.003	70.095	888	0	24
2020.06.04	02:40:00	70.095	70.097	70.034	70.046	478	0	22
2020.06.04	03:00:00	70.045	70.063	69.775	69.808	841	0	22
2020.06.04	03:20:00	69.809	69.843	69.744	69.745	824	0	22
2020.06.04	03:40:00	69.745	69.870	69.698	69.861	944	0	25
2020.06.04	04:00:00	69.865	69.966	69.851	69.936	726	0	22
2020.06.04	04:20:00	69.934	69.962	69.849	69.856	728	0	22
2020.06.04	04:40:00	69.855	69.931	69.815	69.885	630	0	22
2020.06.04	05:00:00	69.882	69.892	69.822	69.881	689	0	22
2020.06.04	05:20:00	69.881	69.907	69.839	69.865	548	0	22
2020.06.04	05:40:00	69.866	69.868	69.811	69.849	504	0	22
2020.06.04	06:00:00	69.850	69.905	69.813	69.813	600	0	22
2020.06.04	06:20:00	69.812	69.888	69.810	69.888	437	0	26
2020.06.04	06:40:00	69.890	69.899	69.847	69.869	286	0	26
2020.06.04	07:00:00	69.874	69.937	69.873	69.886	519	0	25
2020.06.04	07:20:00	69.886	69.970	69.880	69.953	549	0	25
2020.06.04	07:40:00	69.952	69.974	69.903	69.963	524	0	22
2020.06.04	08:00:00	69.963	70.082	69.963	70.053	714	0	22
2020.06.04	08:20:00	70.053	70.105	70.037	70.060	645	0	23
2020.06.04	08:40:00	70.058	70.096	69.968	70.014	553	0	23
2020.06.04	09:00:00	70.021	70.133	69.995	70.002	791	0	22
2020.06.04	09:20:00	70.002	70.030	69.952	69.991	823	0	22
