<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	0.61925	0.62057	0.61852	0.62035	85	0	25
2020.06.01	00:20:00	0.62032	0.62033	0.61915	0.61945	60	0	25
2020.06.01	00:40:00	0.61945	0.62025	0.61945	0.61985	56	0	25
2020.06.01	01:00:00	0.61957	0.61976	0.61844	0.61883	442	0	25
2020.06.01	01:20:00	0.61884	0.61987	0.61884	0.61974	251	0	25
2020.06.01	01:40:00	0.61975	0.61977	0.61942	0.61952	208	0	26
2020.06.01	02:00:00	0.61952	0.61955	0.61914	0.61924	392	0	25
2020.06.01	02:20:00	0.61928	0.61968	0.61925	0.61936	296	0	25
2020.06.01	02:40:00	0.61935	0.61995	0.61929	0.61962	277	0	25
2020.06.01	03:00:00	0.61963	0.62263	0.61953	0.62248	888	0	25
2020.06.01	03:20:00	0.62245	0.62322	0.62200	0.62232	775	0	25
2020.06.01	03:40:00	0.62232	0.62274	0.62195	0.62224	426	0	25
2020.06.01	04:00:00	0.62224	0.62273	0.62194	0.62263	590	0	25
2020.06.01	04:20:00	0.62264	0.62417	0.62246	0.62396	1019	0	25
2020.06.01	04:40:00	0.62396	0.62443	0.62344	0.62406	601	0	25
2020.06.01	05:00:00	0.62409	0.62418	0.62362	0.62368	370	0	25
2020.06.01	05:20:00	0.62368	0.62414	0.62363	0.62413	302	0	25
2020.06.01	05:40:00	0.62413	0.62487	0.62403	0.62449	494	0	25
2020.06.01	06:00:00	0.62449	0.62458	0.62374	0.62383	351	0	25
2020.06.01	06:20:00	0.62377	0.62394	0.62349	0.62356	293	0	25
2020.06.01	06:40:00	0.62363	0.62391	0.62334	0.62334	196	0	25
2020.06.01	07:00:00	0.62335	0.62387	0.62334	0.62375	189	0	25
2020.06.01	07:20:00	0.62377	0.62413	0.62370	0.62370	265	0	25
2020.06.01	07:40:00	0.62375	0.62389	0.62354	0.62365	217	0	25
2020.06.01	08:00:00	0.62364	0.62390	0.62328	0.62384	317	0	25
2020.06.01	08:20:00	0.62384	0.62430	0.62381	0.62415	282	0	25
2020.06.01	08:40:00	0.62415	0.62473	0.62412	0.62442	373	0	25
2020.06.01	09:00:00	0.62436	0.62514	0.62405	0.62493	615	0	25
2020.06.01	09:20:00	0.62493	0.62504	0.62450	0.62456	409	0	25
2020.06.01	09:40:00	0.62456	0.62485	0.62432	0.62449	421	0	25
2020.06.01	10:00:00	0.62453	0.62494	0.62406	0.62436	771	0	25
2020.06.01	10:20:00	0.62436	0.62464	0.62412	0.62458	545	0	25
2020.06.01	10:40:00	0.62458	0.62605	0.62454	0.62591	659	0	25
2020.06.01	11:00:00	0.62594	0.62600	0.62243	0.62265	1318	0	25
2020.06.01	11:20:00	0.62266	0.62389	0.62253	0.62373	958	0	25
2020.06.01	11:40:00	0.62373	0.62397	0.62313	0.62362	1077	0	25
2020.06.01	12:00:00	0.62364	0.62383	0.62330	0.62358	801	0	25
2020.06.01	12:20:00	0.62358	0.62367	0.62288	0.62301	521	0	25
2020.06.01	12:40:00	0.62301	0.62317	0.62260	0.62294	495	0	25
2020.06.01	13:00:00	0.62294	0.62294	0.62204	0.62228	565	0	25
2020.06.01	13:20:00	0.62228	0.62286	0.62228	0.62267	664	0	25
2020.06.01	13:40:00	0.62267	0.62284	0.62207	0.62241	448	0	25
2020.06.01	14:00:00	0.62241	0.62293	0.62234	0.62289	578	0	25
2020.06.01	14:20:00	0.62289	0.62358	0.62257	0.62353	497	0	25
2020.06.01	14:40:00	0.62353	0.62367	0.62293	0.62334	620	0	25
2020.06.01	15:00:00	0.62334	0.62376	0.62331	0.62333	583	0	25
2020.06.01	15:20:00	0.62326	0.62378	0.62293	0.62293	797	0	25
2020.06.01	15:40:00	0.62293	0.62324	0.62264	0.62306	671	0	25
2020.06.01	16:00:00	0.62305	0.62331	0.62237	0.62260	678	0	25
2020.06.01	16:20:00	0.62260	0.62433	0.62260	0.62417	970	0	25
2020.06.01	16:40:00	0.62417	0.62489	0.62363	0.62464	780	0	25
2020.06.01	17:00:00	0.62469	0.62743	0.62449	0.62717	1011	0	25
2020.06.01	17:20:00	0.62716	0.62791	0.62711	0.62762	969	0	25
2020.06.01	17:40:00	0.62764	0.62886	0.62731	0.62883	929	0	25
2020.06.01	18:00:00	0.62883	0.62884	0.62766	0.62781	654	0	25
