<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	1.37703	1.37751	1.37553	1.37594	57	0	14
2020.06.01	00:20:00	1.37601	1.37777	1.37527	1.37658	82	0	14
2020.06.01	00:40:00	1.37658	1.37702	1.37609	1.37610	30	0	15
2020.06.01	01:00:00	1.37609	1.37997	1.37609	1.37964	564	0	14
2020.06.01	01:20:00	1.37963	1.37963	1.37769	1.37780	196	0	21
2020.06.01	01:40:00	1.37779	1.37820	1.37770	1.37791	202	0	23
2020.06.01	02:00:00	1.37791	1.37833	1.37774	1.37831	302	0	21
2020.06.01	02:20:00	1.37831	1.37855	1.37807	1.37832	455	0	19
2020.06.01	02:40:00	1.37833	1.37839	1.37746	1.37775	388	0	21
2020.06.01	03:00:00	1.37777	1.37812	1.37395	1.37422	778	0	15
2020.06.01	03:20:00	1.37427	1.37429	1.37252	1.37398	659	0	14
2020.06.01	03:40:00	1.37398	1.37439	1.37287	1.37339	485	0	19
2020.06.01	04:00:00	1.37341	1.37382	1.37254	1.37264	710	0	17
2020.06.01	04:20:00	1.37264	1.37290	1.37134	1.37191	1069	0	14
2020.06.01	04:40:00	1.37191	1.37195	1.37105	1.37160	653	0	14
2020.06.01	05:00:00	1.37164	1.37221	1.37153	1.37165	440	0	15
2020.06.01	05:20:00	1.37174	1.37174	1.37074	1.37074	400	0	15
2020.06.01	05:40:00	1.37074	1.37074	1.36977	1.37016	552	0	15
2020.06.01	06:00:00	1.37013	1.37190	1.37013	1.37184	510	0	14
2020.06.01	06:20:00	1.37184	1.37282	1.37174	1.37275	324	0	14
2020.06.01	06:40:00	1.37275	1.37325	1.37239	1.37322	377	0	14
2020.06.01	07:00:00	1.37320	1.37345	1.37262	1.37272	302	0	18
2020.06.01	07:20:00	1.37272	1.37286	1.37235	1.37265	231	0	19
2020.06.01	07:40:00	1.37263	1.37280	1.37235	1.37266	228	0	16
2020.06.01	08:00:00	1.37264	1.37339	1.37245	1.37289	385	0	18
2020.06.01	08:20:00	1.37289	1.37291	1.37193	1.37208	380	0	18
2020.06.01	08:40:00	1.37208	1.37238	1.37159	1.37176	480	0	18
2020.06.01	09:00:00	1.37182	1.37226	1.37048	1.37115	623	0	17
2020.06.01	09:20:00	1.37115	1.37143	1.37066	1.37102	471	0	15
2020.06.01	09:40:00	1.37102	1.37116	1.37040	1.37066	419	0	15
2020.06.01	10:00:00	1.37058	1.37073	1.36934	1.36972	707	0	14
2020.06.01	10:20:00	1.36972	1.37000	1.36934	1.36965	572	0	14
2020.06.01	10:40:00	1.36965	1.36966	1.36720	1.36769	664	0	15
2020.06.01	11:00:00	1.36766	1.37263	1.36765	1.37209	1393	0	14
2020.06.01	11:20:00	1.37209	1.37278	1.37062	1.37102	1240	0	14
2020.06.01	11:40:00	1.37105	1.37178	1.37047	1.37124	779	0	14
2020.06.01	12:00:00	1.37118	1.37167	1.37035	1.37068	680	0	14
2020.06.01	12:20:00	1.37067	1.37164	1.37045	1.37134	533	0	14
2020.06.01	12:40:00	1.37134	1.37251	1.37119	1.37246	630	0	14
2020.06.01	13:00:00	1.37245	1.37311	1.37195	1.37203	544	0	14
2020.06.01	13:20:00	1.37203	1.37235	1.37114	1.37167	580	0	14
2020.06.01	13:40:00	1.37167	1.37259	1.37141	1.37199	563	0	14
2020.06.01	14:00:00	1.37199	1.37199	1.37052	1.37052	550	0	17
2020.06.01	14:20:00	1.37052	1.37129	1.37011	1.37034	460	0	18
2020.06.01	14:40:00	1.37034	1.37131	1.36992	1.37131	400	0	20
2020.06.01	15:00:00	1.37131	1.37135	1.36998	1.37069	531	0	16
2020.06.01	15:20:00	1.37072	1.37192	1.37029	1.37192	755	0	18
2020.06.01	15:40:00	1.37191	1.37236	1.37121	1.37214	613	0	14
2020.06.01	16:00:00	1.37220	1.37371	1.37208	1.37320	778	0	14
2020.06.01	16:20:00	1.37320	1.37320	1.37071	1.37092	1000	0	14
2020.06.01	16:40:00	1.37093	1.37110	1.36912	1.36946	973	0	15
2020.06.01	17:00:00	1.36946	1.36983	1.36531	1.36560	1305	0	15
2020.06.01	17:20:00	1.36560	1.36578	1.36415	1.36466	1179	0	14
2020.06.01	17:40:00	1.36466	1.36482	1.36173	1.36183	1116	0	14
2020.06.01	18:00:00	1.36177	1.36250	1.36129	1.36189	986	0	14
2020.06.01	18:20:00	1.36189	1.36300	1.36161	1.36164	820	0	14
2020.06.01	18:40:00	1.36164	1.36164	1.35963	1.36024	706	0	14
2020.06.01	19:00:00	1.36024	1.36067	1.35828	1.35847	671	0	14
2020.06.01	19:20:00	1.35847	1.35998	1.35845	1.35935	549	0	14
2020.06.01	19:40:00	1.35928	1.36004	1.35916	1.35961	485	0	14
2020.06.01	20:00:00	1.35961	1.35983	1.35865	1.35902	421	0	15
2020.06.01	20:20:00	1.35907	1.35985	1.35905	1.35976	378	0	14
2020.06.01	20:40:00	1.35976	1.35995	1.35929	1.35933	488	0	16
2020.06.01	21:00:00	1.35933	1.35943	1.35859	1.35867	370	0	16
2020.06.01	21:20:00	1.35867	1.35944	1.35845	1.35845	302	0	14
2020.06.01	21:40:00	1.35845	1.35875	1.35759	1.35759	533	0	14
2020.06.01	22:00:00	1.35759	1.35765	1.35646	1.35651	649	0	14
2020.06.01	22:20:00	1.35649	1.35676	1.35571	1.35640	488	0	14
2020.06.01	22:40:00	1.35640	1.35685	1.35605	1.35675	519	0	16
2020.06.01	23:00:00	1.35674	1.35738	1.35649	1.35686	340	0	18
2020.06.01	23:20:00	1.35686	1.35774	1.35677	1.35695	190	0	15
2020.06.01	23:40:00	1.35695	1.35761	1.35689	1.35696	227	0	15
2020.06.02	00:00:00	1.35697	1.35730	1.35629	1.35717	52	0	31
2020.06.02	00:20:00	1.35717	1.35777	1.35675	1.35737	104	0	14
2020.06.02	00:40:00	1.35741	1.35749	1.35702	1.35702	109	0	14
2020.06.02	01:00:00	1.35715	1.35727	1.35660	1.35661	122	0	14
2020.06.02	01:20:00	1.35661	1.35694	1.35645	1.35671	94	0	19
2020.06.02	01:40:00	1.35670	1.35757	1.35670	1.35744	190	0	14
2020.06.02	02:00:00	1.35744	1.35793	1.35743	1.35787	192	0	15
2020.06.02	02:20:00	1.35787	1.35787	1.35713	1.35743	177	0	17
2020.06.02	02:40:00	1.35744	1.35842	1.35744	1.35817	352	0	19
2020.06.02	03:00:00	1.35810	1.35813	1.35505	1.35540	571	0	15
2020.06.02	03:20:00	1.35540	1.35541	1.35451	1.35480	347	0	15
2020.06.02	03:40:00	1.35483	1.35543	1.35440	1.35507	545	0	17
2020.06.02	04:00:00	1.35506	1.35592	1.35487	1.35529	605	0	18
2020.06.02	04:20:00	1.35529	1.35571	1.35501	1.35522	440	0	21
2020.06.02	04:40:00	1.35521	1.35646	1.35500	1.35624	534	0	20
2020.06.02	05:00:00	1.35623	1.35697	1.35599	1.35667	431	0	15
2020.06.02	05:20:00	1.35665	1.35700	1.35604	1.35605	369	0	18
2020.06.02	05:40:00	1.35604	1.35710	1.35595	1.35661	357	0	17
2020.06.02	06:00:00	1.35664	1.35671	1.35619	1.35628	300	0	21
2020.06.02	06:20:00	1.35628	1.35651	1.35616	1.35644	223	0	22
2020.06.02	06:40:00	1.35644	1.35649	1.35524	1.35524	276	0	18
2020.06.02	07:00:00	1.35521	1.35551	1.35478	1.35497	290	0	15
2020.06.02	07:20:00	1.35495	1.35581	1.35479	1.35506	433	0	20
2020.06.02	07:40:00	1.35507	1.35543	1.35496	1.35525	479	0	19
2020.06.02	08:00:00	1.35525	1.35525	1.35348	1.35350	331	0	14
2020.06.02	08:20:00	1.35350	1.35384	1.35286	1.35295	355	0	15
2020.06.02	08:40:00	1.35298	1.35385	1.35284	1.35326	390	0	16
