<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	0.96103	0.96159	0.96087	0.96135	57	0	16
2020.06.01	00:20:00	0.96135	0.96139	0.96120	0.96120	56	0	33
2020.06.01	00:40:00	0.96120	0.96154	0.96089	0.96134	88	0	15
2020.06.01	01:00:00	0.96134	0.96134	0.96089	0.96103	307	0	18
2020.06.01	01:20:00	0.96103	0.96105	0.96067	0.96067	99	0	21
2020.06.01	01:40:00	0.96067	0.96071	0.96042	0.96066	125	0	17
2020.06.01	02:00:00	0.96066	0.96080	0.96041	0.96052	221	0	19
2020.06.01	02:20:00	0.96052	0.96071	0.96036	0.96058	277	0	19
2020.06.01	02:40:00	0.96058	0.96073	0.96050	0.96059	284	0	17
2020.06.01	03:00:00	0.96059	0.96096	0.96002	0.96005	416	0	17
2020.06.01	03:20:00	0.96005	0.96082	0.96001	0.96067	314	0	15
2020.06.01	03:40:00	0.96069	0.96082	0.96037	0.96040	328	0	15
2020.06.01	04:00:00	0.96040	0.96087	0.96026	0.96030	399	0	15
2020.06.01	04:20:00	0.96030	0.96033	0.95988	0.96022	628	0	15
2020.06.01	04:40:00	0.96021	0.96048	0.96004	0.96035	380	0	16
2020.06.01	05:00:00	0.96037	0.96054	0.96024	0.96043	267	0	17
2020.06.01	05:20:00	0.96045	0.96045	0.96006	0.96009	232	0	16
2020.06.01	05:40:00	0.96013	0.96038	0.95972	0.96034	284	0	15
2020.06.01	06:00:00	0.96036	0.96096	0.96020	0.96090	365	0	16
2020.06.01	06:20:00	0.96090	0.96090	0.96053	0.96070	267	0	17
2020.06.01	06:40:00	0.96070	0.96073	0.96052	0.96066	208	0	16
2020.06.01	07:00:00	0.96066	0.96076	0.96047	0.96073	234	0	15
2020.06.01	07:20:00	0.96072	0.96094	0.96070	0.96075	247	0	17
2020.06.01	07:40:00	0.96075	0.96086	0.96042	0.96059	342	0	17
2020.06.01	08:00:00	0.96063	0.96073	0.96041	0.96044	263	0	17
2020.06.01	08:20:00	0.96044	0.96047	0.95994	0.96005	217	0	18
2020.06.01	08:40:00	0.96008	0.96029	0.95997	0.96013	253	0	17
2020.06.01	09:00:00	0.96014	0.96019	0.95966	0.96004	560	0	17
2020.06.01	09:20:00	0.96005	0.96032	0.95965	0.96032	437	0	16
2020.06.01	09:40:00	0.96032	0.96057	0.96001	0.96030	438	0	17
2020.06.01	10:00:00	0.96028	0.96045	0.95969	0.96017	783	0	16
2020.06.01	10:20:00	0.96018	0.96038	0.95978	0.96009	667	0	17
2020.06.01	10:40:00	0.96009	0.96046	0.95927	0.95938	792	0	16
2020.06.01	11:00:00	0.95943	0.96037	0.95905	0.95970	1213	0	15
2020.06.01	11:20:00	0.95970	0.95970	0.95840	0.95848	987	0	17
2020.06.01	11:40:00	0.95848	0.95860	0.95781	0.95836	866	0	16
2020.06.01	12:00:00	0.95833	0.95893	0.95814	0.95892	678	0	15
2020.06.01	12:20:00	0.95892	0.95986	0.95892	0.95970	772	0	15
2020.06.01	12:40:00	0.95970	0.96127	0.95969	0.96074	662	0	17
2020.06.01	13:00:00	0.96073	0.96127	0.96052	0.96098	718	0	16
2020.06.01	13:20:00	0.96100	0.96119	0.96052	0.96108	567	0	16
2020.06.01	13:40:00	0.96108	0.96193	0.96108	0.96145	511	0	16
2020.06.01	14:00:00	0.96145	0.96145	0.96087	0.96087	630	0	16
2020.06.01	14:20:00	0.96087	0.96133	0.96079	0.96096	501	0	16
2020.06.01	14:40:00	0.96100	0.96143	0.96061	0.96125	476	0	16
2020.06.01	15:00:00	0.96123	0.96133	0.96098	0.96117	522	0	17
2020.06.01	15:20:00	0.96118	0.96208	0.96080	0.96195	542	0	15
2020.06.01	15:40:00	0.96195	0.96240	0.96184	0.96191	522	0	15
2020.06.01	16:00:00	0.96191	0.96238	0.96184	0.96232	462	0	15
2020.06.01	16:20:00	0.96230	0.96232	0.96159	0.96191	745	0	15
2020.06.01	16:40:00	0.96191	0.96203	0.96116	0.96125	644	0	15
2020.06.01	17:00:00	0.96135	0.96170	0.96042	0.96054	1027	0	15
2020.06.01	17:20:00	0.96054	0.96149	0.96044	0.96107	996	0	16
2020.06.01	17:40:00	0.96106	0.96146	0.96029	0.96032	891	0	15
2020.06.01	18:00:00	0.96032	0.96184	0.96017	0.96163	565	0	15
2020.06.01	18:20:00	0.96163	0.96191	0.96101	0.96170	656	0	15
2020.06.01	18:40:00	0.96170	0.96191	0.96115	0.96129	585	0	16
2020.06.01	19:00:00	0.96129	0.96151	0.96078	0.96146	436	0	15
2020.06.01	19:20:00	0.96146	0.96173	0.96119	0.96120	323	0	16
2020.06.01	19:40:00	0.96120	0.96155	0.96114	0.96115	349	0	15
2020.06.01	20:00:00	0.96115	0.96147	0.96097	0.96100	327	0	16
2020.06.01	20:20:00	0.96106	0.96126	0.96101	0.96116	253	0	15
2020.06.01	20:40:00	0.96116	0.96176	0.96108	0.96157	259	0	15
2020.06.01	21:00:00	0.96154	0.96176	0.96143	0.96158	308	0	16
2020.06.01	21:20:00	0.96154	0.96221	0.96144	0.96180	282	0	16
2020.06.01	21:40:00	0.96180	0.96230	0.96150	0.96161	351	0	15
2020.06.01	22:00:00	0.96161	0.96183	0.96143	0.96151	364	0	16
2020.06.01	22:20:00	0.96151	0.96171	0.96115	0.96151	308	0	16
2020.06.01	22:40:00	0.96149	0.96163	0.96106	0.96115	311	0	15
2020.06.01	23:00:00	0.96115	0.96143	0.96114	0.96123	118	0	17
2020.06.01	23:20:00	0.96125	0.96149	0.96118	0.96125	116	0	18
2020.06.01	23:40:00	0.96125	0.96128	0.96059	0.96061	140	0	15
2020.06.02	00:00:00	0.96036	0.96086	0.96029	0.96066	73	0	17
2020.06.02	00:20:00	0.96066	0.96093	0.96047	0.96087	65	0	18
2020.06.02	00:40:00	0.96087	0.96100	0.96075	0.96095	163	0	26
2020.06.02	01:00:00	0.96094	0.96094	0.96073	0.96077	128	0	25
2020.06.02	01:20:00	0.96078	0.96085	0.96073	0.96079	63	0	21
2020.06.02	01:40:00	0.96079	0.96095	0.96075	0.96075	91	0	21
2020.06.02	02:00:00	0.96074	0.96080	0.96073	0.96076	84	0	19
2020.06.02	02:20:00	0.96076	0.96084	0.96066	0.96083	98	0	19
2020.06.02	02:40:00	0.96083	0.96109	0.96080	0.96106	178	0	17
2020.06.02	03:00:00	0.96106	0.96106	0.96034	0.96044	333	0	18
2020.06.02	03:20:00	0.96044	0.96051	0.96004	0.96008	324	0	17
2020.06.02	03:40:00	0.96008	0.96062	0.95998	0.96052	470	0	20
2020.06.02	04:00:00	0.96050	0.96086	0.96048	0.96070	297	0	18
2020.06.02	04:20:00	0.96069	0.96107	0.96066	0.96103	275	0	19
2020.06.02	04:40:00	0.96103	0.96144	0.96096	0.96113	296	0	18
2020.06.02	05:00:00	0.96113	0.96146	0.96105	0.96126	350	0	18
2020.06.02	05:20:00	0.96126	0.96141	0.96111	0.96115	188	0	19
2020.06.02	05:40:00	0.96115	0.96147	0.96108	0.96142	183	0	15
2020.06.02	06:00:00	0.96147	0.96161	0.96133	0.96136	204	0	17
2020.06.02	06:20:00	0.96136	0.96141	0.96132	0.96140	149	0	19
2020.06.02	06:40:00	0.96140	0.96146	0.96125	0.96131	153	0	19
2020.06.02	07:00:00	0.96129	0.96134	0.96115	0.96121	163	0	20
2020.06.02	07:20:00	0.96121	0.96133	0.96102	0.96122	186	0	18
2020.06.02	07:40:00	0.96123	0.96131	0.96116	0.96126	94	0	18
2020.06.02	08:00:00	0.96126	0.96137	0.96086	0.96086	294	0	17
2020.06.02	08:20:00	0.96087	0.96117	0.96070	0.96104	309	0	17
2020.06.02	08:40:00	0.96104	0.96135	0.96103	0.96116	325	0	17
2020.06.02	09:00:00	0.96120	0.96160	0.96078	0.96147	520	0	18
2020.06.02	09:20:00	0.96147	0.96147	0.96052	0.96058	487	0	17
2020.06.02	09:40:00	0.96058	0.96187	0.96056	0.96168	837	0	15
2020.06.02	10:00:00	0.96175	0.96175	0.96078	0.96090	908	0	16
2020.06.02	10:20:00	0.96090	0.96136	0.96047	0.96110	789	0	17
2020.06.02	10:40:00	0.96113	0.96139	0.96050	0.96068	860	0	16
2020.06.02	11:00:00	0.96068	0.96099	0.95893	0.95908	924	0	16
2020.06.02	11:20:00	0.95908	0.95912	0.95723	0.95766	992	0	16
2020.06.02	11:40:00	0.95766	0.95821	0.95749	0.95793	916	0	15
2020.06.02	12:00:00	0.95793	0.95898	0.95754	0.95898	836	0	15
2020.06.02	12:20:00	0.95898	0.96044	0.95883	0.96025	755	0	15
2020.06.02	12:40:00	0.96021	0.96172	0.95986	0.96145	852	0	16
2020.06.02	13:00:00	0.96141	0.96290	0.96139	0.96158	607	0	15
2020.06.02	13:20:00	0.96157	0.96235	0.96143	0.96183	583	0	16
2020.06.02	13:40:00	0.96182	0.96195	0.96145	0.96174	624	0	16
2020.06.02	14:00:00	0.96174	0.96220	0.96086	0.96168	562	0	16
2020.06.02	14:20:00	0.96171	0.96237	0.96158	0.96194	599	0	15
2020.06.02	14:40:00	0.96192	0.96198	0.96106	0.96115	603	0	17
2020.06.02	15:00:00	0.96115	0.96163	0.96076	0.96163	914	0	16
2020.06.02	15:20:00	0.96163	0.96365	0.96163	0.96324	783	0	15
2020.06.02	15:40:00	0.96324	0.96325	0.96241	0.96259	701	0	15
2020.06.02	16:00:00	0.96259	0.96290	0.96206	0.96227	773	0	15
2020.06.02	16:20:00	0.96227	0.96269	0.96171	0.96179	871	0	16
2020.06.02	16:40:00	0.96174	0.96195	0.96072	0.96076	851	0	15
2020.06.02	17:00:00	0.96076	0.96165	0.96050	0.96132	963	0	15
2020.06.02	17:20:00	0.96132	0.96213	0.96094	0.96142	1078	0	16
2020.06.02	17:40:00	0.96142	0.96171	0.96028	0.96060	1160	0	16
2020.06.02	18:00:00	0.96065	0.96068	0.95964	0.96059	861	0	17
2020.06.02	18:20:00	0.96059	0.96124	0.96021	0.96122	729	0	17
2020.06.02	18:40:00	0.96121	0.96224	0.96084	0.96218	625	0	15
2020.06.02	19:00:00	0.96218	0.96225	0.96154	0.96167	566	0	17
2020.06.02	19:20:00	0.96167	0.96205	0.96148	0.96157	575	0	17
2020.06.02	19:40:00	0.96157	0.96189	0.96134	0.96181	527	0	17
2020.06.02	20:00:00	0.96184	0.96205	0.96148	0.96157	447	0	17
2020.06.02	20:20:00	0.96158	0.96258	0.96157	0.96254	472	0	15
2020.06.02	20:40:00	0.96254	0.96286	0.96212	0.96212	515	0	17
2020.06.02	21:00:00	0.96212	0.96258	0.96212	0.96255	433	0	17
2020.06.02	21:20:00	0.96255	0.96275	0.96206	0.96216	290	0	18
2020.06.02	21:40:00	0.96213	0.96243	0.96200	0.96203	290	0	15
2020.06.02	22:00:00	0.96200	0.96274	0.96200	0.96266	287	0	16
2020.06.02	22:20:00	0.96267	0.96288	0.96255	0.96275	373	0	16
2020.06.02	22:40:00	0.96275	0.96284	0.96216	0.96250	450	0	17
2020.06.02	23:00:00	0.96249	0.96252	0.96223	0.96232	155	0	19
2020.06.02	23:20:00	0.96232	0.96244	0.96213	0.96242	97	0	17
2020.06.02	23:40:00	0.96240	0.96252	0.96179	0.96180	180	0	19
2020.06.03	00:00:00	0.96183	0.96229	0.96143	0.96194	75	0	26
2020.06.03	00:20:00	0.96194	0.96248	0.96146	0.96207	60	0	16
2020.06.03	00:40:00	0.96204	0.96238	0.96198	0.96220	322	0	31
2020.06.03	01:00:00	0.96217	0.96270	0.96168	0.96221	143	0	17
2020.06.03	01:20:00	0.96220	0.96229	0.96192	0.96192	57	0	17
2020.06.03	01:40:00	0.96192	0.96201	0.96172	0.96180	100	0	17
2020.06.03	02:00:00	0.96180	0.96238	0.96174	0.96224	150	0	15
2020.06.03	02:20:00	0.96224	0.96227	0.96163	0.96169	634	0	17
2020.06.03	02:40:00	0.96169	0.96182	0.96150	0.96168	457	0	16
2020.06.03	03:00:00	0.96169	0.96214	0.96148	0.96162	613	0	17
2020.06.03	03:20:00	0.96159	0.96179	0.96137	0.96154	434	0	15
2020.06.03	03:40:00	0.96153	0.96179	0.96108	0.96164	704	0	15
2020.06.03	04:00:00	0.96164	0.96164	0.96087	0.96114	718	0	15
2020.06.03	04:20:00	0.96113	0.96162	0.96092	0.96134	531	0	16
2020.06.03	04:40:00	0.96134	0.96150	0.96109	0.96132	485	0	15
2020.06.03	05:00:00	0.96132	0.96169	0.96129	0.96159	361	0	17
2020.06.03	05:20:00	0.96159	0.96173	0.96128	0.96136	434	0	17
2020.06.03	05:40:00	0.96136	0.96153	0.96101	0.96121	610	0	17
2020.06.03	06:00:00	0.96121	0.96134	0.96083	0.96115	370	0	18
2020.06.03	06:20:00	0.96115	0.96130	0.96096	0.96109	466	0	16
2020.06.03	06:40:00	0.96111	0.96125	0.96085	0.96095	428	0	17
2020.06.03	07:00:00	0.96097	0.96106	0.96071	0.96082	270	0	16
2020.06.03	07:20:00	0.96077	0.96117	0.96076	0.96105	204	0	16
2020.06.03	07:40:00	0.96105	0.96115	0.96096	0.96115	147	0	16
2020.06.03	08:00:00	0.96115	0.96121	0.96075	0.96084	169	0	15
2020.06.03	08:20:00	0.96084	0.96132	0.96079	0.96085	210	0	15
2020.06.03	08:40:00	0.96085	0.96152	0.96084	0.96123	335	0	16
2020.06.03	09:00:00	0.96125	0.96184	0.96072	0.96167	748	0	16
2020.06.03	09:20:00	0.96167	0.96167	0.96107	0.96140	524	0	16
2020.06.03	09:40:00	0.96139	0.96208	0.96117	0.96173	856	0	16
2020.06.03	10:00:00	0.96174	0.96179	0.96054	0.96092	934	0	17
2020.06.03	10:20:00	0.96086	0.96252	0.96078	0.96210	908	0	17
2020.06.03	10:40:00	0.96210	0.96312	0.96200	0.96224	827	0	18
2020.06.03	11:00:00	0.96224	0.96350	0.96194	0.96277	1100	0	18
2020.06.03	11:20:00	0.96278	0.96299	0.96204	0.96262	792	0	17
