<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	109.648	109.668	109.618	109.619	2406	3115	11
2019.01.02	00:20:00	109.618	109.666	109.606	109.661	1320	3846	2
2019.01.02	00:40:00	109.661	109.698	109.659	109.677	1338	1513	2
2019.01.02	01:00:00	109.676	109.726	109.653	109.708	1245	2084	1
2019.01.02	01:20:00	109.708	109.725	109.669	109.669	555	1171	1
2019.01.02	01:40:00	109.669	109.704	109.646	109.670	878	1494	1
2019.01.02	02:00:00	109.669	109.679	109.542	109.591	1533	3172	1
2019.01.02	02:20:00	109.592	109.637	109.563	109.629	1193	2492	1
2019.01.02	02:40:00	109.628	109.680	109.594	109.625	981	1814	1
2019.01.02	03:00:00	109.625	109.671	109.582	109.648	1186	2443	1
2019.01.02	03:20:00	109.650	109.674	109.642	109.656	716	1580	1
2019.01.02	03:40:00	109.656	109.667	109.587	109.597	1604	3579	1
2019.01.02	04:00:00	109.597	109.611	109.481	109.481	1692	3733	1
2019.01.02	04:20:00	109.480	109.484	109.336	109.345	2114	4128	1
2019.01.02	04:40:00	109.344	109.442	109.341	109.412	1178	2643	1
2019.01.02	05:00:00	109.411	109.419	109.356	109.392	843	2045	1
2019.01.02	05:20:00	109.393	109.401	109.343	109.393	948	2271	1
2019.01.02	05:40:00	109.395	109.426	109.377	109.420	717	1459	1
2019.01.02	06:00:00	109.420	109.429	109.352	109.353	1195	2738	1
2019.01.02	06:20:00	109.353	109.382	109.342	109.363	888	2269	1
2019.01.02	06:40:00	109.364	109.389	109.362	109.387	613	1573	1
2019.01.02	07:00:00	109.387	109.409	109.368	109.390	721	1931	1
2019.01.02	07:20:00	109.390	109.423	109.361	109.361	967	2678	1
2019.01.02	07:40:00	109.360	109.374	109.297	109.303	1018	2046	1
2019.01.02	08:00:00	109.302	109.302	109.139	109.144	1267	2367	1
2019.01.02	08:20:00	109.143	109.185	109.126	109.159	737	1382	1
2019.01.02	08:40:00	109.160	109.266	109.139	109.256	904	1636	1
2019.01.02	09:00:00	109.256	109.278	109.188	109.206	1618	3461	1
2019.01.02	09:20:00	109.206	109.301	109.181	109.294	1605	3539	1
2019.01.02	09:40:00	109.293	109.346	109.274	109.308	1349	2862	1
2019.01.02	10:00:00	109.308	109.323	109.139	109.143	3149	6167	1
2019.01.02	10:20:00	109.143	109.149	108.990	109.021	3764	7517	1
2019.01.02	10:40:00	109.021	109.041	108.902	108.950	3494	6965	1
2019.01.02	11:00:00	108.949	108.972	108.707	108.752	3935	7265	1
2019.01.02	11:20:00	108.752	108.908	108.738	108.881	2610	4606	1
2019.01.02	11:40:00	108.882	108.977	108.863	108.941	2458	4434	1
2019.01.02	12:00:00	108.942	109.001	108.888	108.930	2176	4627	1
2019.01.02	12:20:00	108.931	108.941	108.879	108.921	2031	4473	1
2019.01.02	12:40:00	108.922	109.102	108.884	109.045	2271	4583	1
2019.01.02	13:00:00	109.045	109.171	109.043	109.167	2400	5004	1
2019.01.02	13:20:00	109.167	109.176	109.051	109.051	2386	4306	1
2019.01.02	13:40:00	109.050	109.119	109.045	109.107	1698	3589	1
2019.01.02	14:00:00	109.104	109.237	109.101	109.208	2045	4121	1
2019.01.02	14:20:00	109.207	109.285	109.170	109.172	2490	4896	1
2019.01.02	14:40:00	109.172	109.198	109.132	109.142	1667	3266	1
2019.01.02	15:00:00	109.141	109.166	108.987	109.020	2327	4186	1
2019.01.02	15:20:00	109.020	109.103	108.820	109.068	3611	6654	1
2019.01.02	15:40:00	109.068	109.194	109.015	109.188	2874	5170	1
2019.01.02	16:00:00	109.187	109.266	109.175	109.234	2185	4414	1
2019.01.02	16:20:00	109.234	109.326	109.212	109.235	3584	6752	1
2019.01.02	16:40:00	109.236	109.359	109.228	109.337	3516	6548	1
2019.01.02	17:00:00	109.337	109.380	109.266	109.341	3616	7054	1
2019.01.02	17:20:00	109.343	109.380	109.313	109.363	3111	5725	1
2019.01.02	17:40:00	109.365	109.392	109.266	109.283	2387	4266	1
2019.01.02	18:00:00	109.282	109.349	109.268	109.308	2204	3724	1
2019.01.02	18:20:00	109.306	109.307	109.265	109.294	1936	3514	1
2019.01.02	18:40:00	109.293	109.356	109.213	109.219	2527	4409	1
2019.01.02	19:00:00	109.220	109.317	109.219	109.257	2139	3846	1
2019.01.02	19:20:00	109.256	109.356	109.251	109.338	2105	3834	1
2019.01.02	19:40:00	109.338	109.464	109.326	109.442	2102	3965	1
2019.01.02	20:00:00	109.442	109.455	109.379	109.406	1402	2505	1
2019.01.02	20:20:00	109.406	109.452	109.390	109.427	1424	2419	1
2019.01.02	20:40:00	109.427	109.449	109.403	109.448	1249	2279	1
2019.01.02	21:00:00	109.449	109.449	109.349	109.371	1532	2640	1
2019.01.02	21:20:00	109.373	109.390	109.347	109.360	1445	2427	1
2019.01.02	21:40:00	109.360	109.361	109.181	109.196	1500	2713	1
2019.01.02	22:00:00	109.196	109.201	109.037	109.108	2450	4776	1
2019.01.02	22:20:00	109.108	109.149	109.092	109.092	1903	4123	1
2019.01.02	22:40:00	109.093	109.124	109.073	109.081	1430	2642	1
2019.01.02	23:00:00	109.082	109.121	109.079	109.108	589	924	1
2019.01.02	23:20:00	109.108	109.108	108.901	108.942	1012	1974	1
2019.01.02	23:40:00	108.941	108.986	108.867	108.874	1092	1848	1
2019.01.03	00:00:00	108.872	108.898	108.800	108.807	1151	1844	1
2019.01.03	00:20:00	108.807	108.808	104.736	105.103	2850	3795	1
2019.01.03	00:40:00	105.095	107.111	104.983	106.700	6749	7447	1
2019.01.03	01:00:00	106.700	107.425	106.498	107.162	5443	7882	1
2019.01.03	01:20:00	107.162	107.871	107.111	107.739	3898	6339	1
2019.01.03	01:40:00	107.741	107.746	107.338	107.427	3563	5666	1
2019.01.03	02:00:00	107.433	107.852	107.427	107.800	2509	3797	1
2019.01.03	02:20:00	107.800	107.854	107.486	107.600	2206	3644	1
2019.01.03	02:40:00	107.600	107.708	107.450	107.642	1904	3089	1
2019.01.03	03:00:00	107.643	107.802	107.637	107.644	2879	5956	1
2019.01.03	03:20:00	107.645	107.688	107.445	107.543	1806	3350	1
2019.01.03	03:40:00	107.545	107.568	107.431	107.535	2448	4586	1
2019.01.03	04:00:00	107.534	107.549	107.441	107.487	1507	2782	1
2019.01.03	04:20:00	107.488	107.509	107.078	107.078	2287	4169	1
2019.01.03	04:40:00	107.078	107.231	107.073	107.134	2055	3488	1
2019.01.03	05:00:00	107.134	107.195	107.022	107.071	1771	3529	1
2019.01.03	05:20:00	107.072	107.204	107.072	107.178	1374	2736	1
2019.01.03	05:40:00	107.179	107.197	107.126	107.156	887	1658	1
2019.01.03	06:00:00	107.157	107.192	107.151	107.162	998	2042	1
2019.01.03	06:20:00	107.162	107.226	107.152	107.203	950	1879	1
2019.01.03	06:40:00	107.204	107.284	107.152	107.152	1117	2370	1
2019.01.03	07:00:00	107.153	107.161	106.913	106.992	1515	3192	1
2019.01.03	07:20:00	106.992	106.995	106.746	106.891	2015	3892	1
2019.01.03	07:40:00	106.890	106.978	106.829	106.967	1345	2766	1
2019.01.03	08:00:00	106.968	106.976	106.836	106.885	1515	3043	1
2019.01.03	08:20:00	106.883	106.905	106.797	106.845	1564	3059	1
2019.01.03	08:40:00	106.844	106.895	106.826	106.849	1707	3684	1
2019.01.03	09:00:00	106.849	107.208	106.849	107.144	4049	7301	1
2019.01.03	09:20:00	107.146	107.491	107.143	107.400	4051	7480	1
2019.01.03	09:40:00	107.401	107.672	107.401	107.551	4668	8699	1
2019.01.03	10:00:00	107.552	107.797	107.428	107.750	4382	7257	1
2019.01.03	10:20:00	107.750	107.958	107.692	107.816	3268	5755	1
2019.01.03	10:40:00	107.818	107.836	107.618	107.643	2669	5087	1
2019.01.03	11:00:00	107.644	107.846	107.644	107.796	2169	3839	1
2019.01.03	11:20:00	107.797	107.806	107.684	107.727	1412	2976	1
2019.01.03	11:40:00	107.727	107.756	107.657	107.657	1904	3249	1
2019.01.03	12:00:00	107.658	107.683	107.505	107.575	2192	4234	1
2019.01.03	12:20:00	107.578	107.598	107.527	107.582	1562	2596	1
2019.01.03	12:40:00	107.583	107.669	107.570	107.639	1577	2611	1
2019.01.03	13:00:00	107.639	107.679	107.596	107.614	1800	3326	1
2019.01.03	13:20:00	107.614	107.634	107.535	107.571	1346	2395	1
2019.01.03	13:40:00	107.571	107.583	107.513	107.549	1266	2174	1
2019.01.03	14:00:00	107.550	107.665	107.523	107.626	1583	2632	1
2019.01.03	14:20:00	107.627	107.657	107.585	107.649	972	1849	1
2019.01.03	14:40:00	107.650	107.713	107.648	107.662	1145	2048	1
2019.01.03	15:00:00	107.660	107.999	107.594	107.962	3042	5290	1
2019.01.03	15:20:00	107.962	107.990	107.727	107.736	3486	6528	1
2019.01.03	15:40:00	107.737	107.779	107.696	107.747	2659	6231	1
2019.01.03	16:00:00	107.746	107.803	107.702	107.772	2048	4475	1
2019.01.03	16:20:00	107.773	107.966	107.754	107.809	3474	7153	1
2019.01.03	16:40:00	107.808	107.826	107.717	107.746	3500	6618	1
2019.01.03	17:00:00	107.746	107.746	107.104	107.465	6858	11458	1
2019.01.03	17:20:00	107.464	107.942	107.386	107.601	5755	10029	1
2019.01.03	17:40:00	107.601	107.763	107.525	107.541	5662	9928	1
2019.01.03	18:00:00	107.546	107.756	107.495	107.644	4323	7344	1
2019.01.03	18:20:00	107.645	107.846	107.572	107.840	3803	7532	1
2019.01.03	18:40:00	107.840	108.304	107.828	108.095	5163	9552	1
2019.01.03	19:00:00	108.091	108.109	107.892	107.940	3775	8040	1
2019.01.03	19:20:00	107.940	107.985	107.858	107.865	3118	6564	1
