<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	09:00:00	109.274	109.274	109.186	109.203	891	0	6
2019.01.02	09:20:00	109.203	109.298	109.179	109.291	996	0	6
2019.01.02	09:40:00	109.291	109.342	109.272	109.305	900	0	6
2019.01.02	10:00:00	109.305	109.319	109.136	109.139	2357	0	6
2019.01.02	10:20:00	109.141	109.146	108.986	109.019	2698	0	6
2019.01.02	10:40:00	109.019	109.037	108.899	108.947	2218	0	6
2019.01.02	11:00:00	108.948	108.969	108.704	108.749	2901	0	6
2019.01.02	11:20:00	108.749	108.904	108.736	108.880	1890	0	6
2019.01.02	11:40:00	108.880	108.974	108.860	108.939	1968	0	6
2019.01.02	12:00:00	108.939	108.998	108.885	108.927	1714	0	6
2019.01.02	12:20:00	108.927	108.938	108.877	108.919	1424	0	6
2019.01.02	12:40:00	108.919	109.099	108.882	109.043	1613	0	6
2019.01.02	13:00:00	109.043	109.169	109.041	109.163	1825	0	6
2019.01.02	13:20:00	109.163	109.173	109.048	109.048	1795	0	7
2019.01.02	13:40:00	109.047	109.117	109.043	109.104	1377	0	6
2019.01.02	14:00:00	109.104	109.236	109.098	109.204	1517	0	6
2019.01.02	14:20:00	109.205	109.282	109.167	109.171	1602	0	6
2019.01.02	14:40:00	109.171	109.195	109.129	109.139	1238	0	6
2019.01.02	15:00:00	109.136	109.163	108.984	109.016	1559	0	6
2019.01.02	15:20:00	109.016	109.099	108.817	109.066	2565	0	6
2019.01.02	15:40:00	109.066	109.191	109.011	109.185	1931	0	6
2019.01.02	16:00:00	109.185	109.263	109.172	109.232	1620	0	6
2019.01.02	16:20:00	109.232	109.322	109.209	109.231	2450	0	6
2019.01.02	16:40:00	109.231	109.358	109.225	109.334	2355	0	6
2019.01.02	17:00:00	109.334	109.355	109.264	109.335	1888	0	6
2019.01.02	17:20:00	109.345	109.379	109.315	109.361	1851	0	6
2019.01.02	17:40:00	109.360	109.389	109.262	109.276	1760	0	6
2019.01.02	18:00:00	109.279	109.345	109.264	109.304	1586	0	6
2019.01.02	18:20:00	109.304	109.306	109.262	109.291	1534	0	6
2019.01.02	18:40:00	109.291	109.354	109.211	109.215	1939	0	6
2019.01.02	19:00:00	109.215	109.314	109.215	109.254	1640	0	6
2019.01.02	19:20:00	109.254	109.353	109.247	109.336	1682	0	6
2019.01.02	19:40:00	109.334	109.460	109.322	109.439	1486	0	6
2019.01.02	20:00:00	109.439	109.452	109.376	109.404	1129	0	6
2019.01.02	20:20:00	109.402	109.447	109.388	109.425	1170	0	6
2019.01.02	20:40:00	109.425	109.446	109.401	109.445	998	0	7
2019.01.02	21:00:00	109.445	109.446	109.347	109.370	1415	0	6
2019.01.02	21:20:00	109.370	109.387	109.345	109.356	1413	0	6
2019.01.02	21:40:00	109.356	109.358	109.178	109.193	1442	0	6
2019.01.02	22:00:00	109.191	109.197	109.034	109.107	2041	0	6
2019.01.02	22:20:00	109.107	109.147	109.090	109.090	1731	0	7
2019.01.02	22:40:00	109.090	109.122	109.070	109.077	1532	0	6
