<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.01	00:00:00	107.635	107.750	107.631	107.735	122	0	15
2020.06.01	00:20:00	107.735	107.750	107.702	107.719	91	0	15
2020.06.01	00:40:00	107.719	107.725	107.665	107.713	104	0	15
2020.06.01	01:00:00	107.713	107.744	107.688	107.726	588	0	15
2020.06.01	01:20:00	107.726	107.806	107.717	107.776	276	0	15
2020.06.01	01:40:00	107.776	107.776	107.722	107.730	153	0	15
2020.06.01	02:00:00	107.730	107.734	107.643	107.669	290	0	15
2020.06.01	02:20:00	107.673	107.695	107.643	107.655	378	0	15
2020.06.01	02:40:00	107.655	107.713	107.655	107.702	289	0	15
2020.06.01	03:00:00	107.706	107.849	107.659	107.800	1111	0	15
2020.06.01	03:20:00	107.804	107.845	107.799	107.813	660	0	15
2020.06.01	03:40:00	107.813	107.817	107.720	107.760	614	0	15
2020.06.01	04:00:00	107.759	107.770	107.705	107.722	603	0	15
2020.06.01	04:20:00	107.722	107.737	107.648	107.672	707	0	15
2020.06.01	04:40:00	107.672	107.706	107.629	107.678	557	0	15
2020.06.01	05:00:00	107.677	107.716	107.673	107.707	413	0	15
2020.06.01	05:20:00	107.707	107.707	107.646	107.681	340	0	15
2020.06.01	05:40:00	107.681	107.686	107.641	107.670	346	0	15
2020.06.01	06:00:00	107.670	107.683	107.618	107.627	435	0	15
2020.06.01	06:20:00	107.627	107.668	107.621	107.645	257	0	15
2020.06.01	06:40:00	107.645	107.652	107.609	107.626	264	0	15
2020.06.01	07:00:00	107.626	107.648	107.605	107.615	242	0	15
2020.06.01	07:20:00	107.615	107.645	107.611	107.611	277	0	15
2020.06.01	07:40:00	107.611	107.621	107.513	107.524	406	0	15
2020.06.01	08:00:00	107.524	107.561	107.514	107.544	420	0	15
2020.06.01	08:20:00	107.544	107.555	107.520	107.530	335	0	15
2020.06.01	08:40:00	107.530	107.566	107.513	107.540	310	0	15
2020.06.01	09:00:00	107.541	107.561	107.480	107.508	570	0	15
2020.06.01	09:20:00	107.508	107.567	107.485	107.563	415	0	15
2020.06.01	09:40:00	107.563	107.638	107.561	107.618	394	0	15
2020.06.01	10:00:00	107.619	107.620	107.569	107.605	542	0	15
2020.06.01	10:20:00	107.605	107.620	107.533	107.534	444	0	15
2020.06.01	10:40:00	107.534	107.556	107.499	107.519	592	0	15
2020.06.01	11:00:00	107.519	107.531	107.371	107.434	1198	0	15
2020.06.01	11:20:00	107.434	107.469	107.398	107.456	878	0	15
2020.06.01	11:40:00	107.460	107.461	107.396	107.402	621	0	15
2020.06.01	12:00:00	107.400	107.499	107.397	107.485	646	0	15
2020.06.01	12:20:00	107.488	107.568	107.475	107.567	722	0	15
2020.06.01	12:40:00	107.567	107.615	107.554	107.589	723	0	15
2020.06.01	13:00:00	107.589	107.695	107.586	107.685	643	0	15
2020.06.01	13:20:00	107.686	107.695	107.634	107.645	506	0	15
2020.06.01	13:40:00	107.644	107.735	107.643	107.714	520	0	15
2020.06.01	14:00:00	107.714	107.756	107.695	107.745	515	0	15
2020.06.01	14:20:00	107.745	107.754	107.732	107.738	352	0	15
2020.06.01	14:40:00	107.739	107.750	107.703	107.725	373	0	15
2020.06.01	15:00:00	107.725	107.738	107.679	107.690	414	0	15
2020.06.01	15:20:00	107.697	107.709	107.644	107.709	568	0	15
2020.06.01	15:40:00	107.709	107.719	107.656	107.703	534	0	15
2020.06.01	16:00:00	107.701	107.741	107.696	107.735	371	0	15
2020.06.01	16:20:00	107.740	107.750	107.685	107.712	598	0	15
2020.06.01	16:40:00	107.715	107.745	107.650	107.650	582	0	15
2020.06.01	17:00:00	107.650	107.701	107.629	107.648	976	0	15
2020.06.01	17:20:00	107.648	107.657	107.585	107.610	757	0	15
2020.06.01	17:40:00	107.609	107.618	107.540	107.552	783	0	15
2020.06.01	18:00:00	107.552	107.632	107.525	107.624	549	0	15
2020.06.01	18:20:00	107.624	107.632	107.593	107.621	534	0	15
2020.06.01	18:40:00	107.621	107.627	107.560	107.564	375	0	15
2020.06.01	19:00:00	107.564	107.596	107.558	107.571	311	0	15
2020.06.01	19:20:00	107.569	107.592	107.563	107.570	274	0	15
2020.06.01	19:40:00	107.570	107.611	107.570	107.571	380	0	15
2020.06.01	20:00:00	107.571	107.611	107.569	107.593	368	0	15
2020.06.01	20:20:00	107.594	107.620	107.588	107.588	279	0	15
2020.06.01	20:40:00	107.588	107.605	107.568	107.601	260	0	15
2020.06.01	21:00:00	107.601	107.638	107.594	107.623	250	0	15
2020.06.01	21:20:00	107.623	107.623	107.595	107.600	179	0	15
2020.06.01	21:40:00	107.600	107.624	107.590	107.597	272	0	15
2020.06.01	22:00:00	107.598	107.598	107.560	107.562	258	0	15
2020.06.01	22:20:00	107.562	107.590	107.559	107.586	262	0	15
2020.06.01	22:40:00	107.585	107.591	107.564	107.572	242	0	15
2020.06.01	23:00:00	107.571	107.585	107.569	107.578	159	0	15
2020.06.01	23:20:00	107.578	107.592	107.566	107.577	162	0	15
2020.06.01	23:40:00	107.577	107.584	107.565	107.575	251	0	15
2020.06.02	00:00:00	107.570	107.622	107.523	107.611	157	0	16
2020.06.02	00:20:00	107.611	107.614	107.543	107.600	222	0	15
2020.06.02	00:40:00	107.600	107.645	107.585	107.631	562	0	15
2020.06.02	01:00:00	107.635	107.637	107.560	107.564	230	0	15
2020.06.02	01:20:00	107.564	107.618	107.564	107.601	188	0	15
2020.06.02	01:40:00	107.598	107.598	107.546	107.548	252	0	15
2020.06.02	02:00:00	107.551	107.553	107.507	107.511	231	0	15
2020.06.02	02:20:00	107.511	107.567	107.511	107.552	217	0	15
2020.06.02	02:40:00	107.551	107.553	107.515	107.552	313	0	15
2020.06.02	03:00:00	107.552	107.619	107.512	107.570	542	0	15
2020.06.02	03:20:00	107.570	107.594	107.544	107.563	353	0	15
2020.06.02	03:40:00	107.563	107.583	107.523	107.561	584	0	15
2020.06.02	04:00:00	107.562	107.623	107.561	107.598	494	0	15
2020.06.02	04:20:00	107.597	107.619	107.590	107.604	395	0	15
2020.06.02	04:40:00	107.604	107.661	107.597	107.659	339	0	15
2020.06.02	05:00:00	107.657	107.667	107.627	107.652	400	0	15
2020.06.02	05:20:00	107.652	107.680	107.634	107.670	251	0	15
2020.06.02	05:40:00	107.670	107.691	107.667	107.683	187	0	15
2020.06.02	06:00:00	107.685	107.713	107.683	107.695	191	0	15
2020.06.02	06:20:00	107.695	107.710	107.684	107.697	225	0	15
2020.06.02	06:40:00	107.697	107.730	107.694	107.715	175	0	15
2020.06.02	07:00:00	107.715	107.733	107.700	107.715	236	0	15
2020.06.02	07:20:00	107.715	107.717	107.676	107.693	221	0	15
2020.06.02	07:40:00	107.693	107.715	107.679	107.691	231	0	15
2020.06.02	08:00:00	107.690	107.728	107.690	107.711	284	0	15
2020.06.02	08:20:00	107.711	107.746	107.699	107.711	330	0	15
2020.06.02	08:40:00	107.711	107.725	107.686	107.689	310	0	15
2020.06.02	09:00:00	107.689	107.728	107.680	107.725	427	0	15
2020.06.02	09:20:00	107.725	107.745	107.702	107.723	415	0	15
2020.06.02	09:40:00	107.723	107.775	107.721	107.773	449	0	15
2020.06.02	10:00:00	107.773	107.793	107.765	107.767	491	0	15
2020.06.02	10:20:00	107.767	107.829	107.737	107.807	608	0	15
2020.06.02	10:40:00	107.810	107.827	107.770	107.776	475	0	15
2020.06.02	11:00:00	107.778	107.779	107.742	107.753	673	0	15
2020.06.02	11:20:00	107.753	107.767	107.692	107.739	737	0	15
2020.06.02	11:40:00	107.738	107.790	107.731	107.762	586	0	15
2020.06.02	12:00:00	107.763	107.779	107.690	107.697	590	0	15
2020.06.02	12:20:00	107.697	107.744	107.675	107.726	560	0	15
2020.06.02	12:40:00	107.726	107.762	107.689	107.705	685	0	15
2020.06.02	13:00:00	107.704	107.782	107.704	107.751	573	0	15
2020.06.02	13:20:00	107.751	107.770	107.738	107.741	441	0	15
2020.06.02	13:40:00	107.742	107.783	107.729	107.761	480	0	15
2020.06.02	14:00:00	107.760	107.835	107.758	107.805	349	0	15
2020.06.02	14:20:00	107.805	107.837	107.803	107.836	394	0	15
2020.06.02	14:40:00	107.836	107.929	107.828	107.898	558	0	15
2020.06.02	15:00:00	107.897	108.255	107.893	108.241	1367	0	15
2020.06.02	15:20:00	108.244	108.463	108.243	108.436	1323	0	15
2020.06.02	15:40:00	108.436	108.462	108.250	108.293	1215	0	15
2020.06.02	16:00:00	108.299	108.400	108.299	108.314	813	0	15
2020.06.02	16:20:00	108.314	108.465	108.295	108.365	932	0	15
2020.06.02	16:40:00	108.370	108.414	108.328	108.331	984	0	15
2020.06.02	17:00:00	108.329	108.396	108.274	108.394	886	0	15
2020.06.02	17:20:00	108.394	108.656	108.394	108.576	1171	0	15
2020.06.02	17:40:00	108.579	108.615	108.424	108.567	1393	0	15
2020.06.02	18:00:00	108.565	108.566	108.443	108.534	1098	0	15
2020.06.02	18:20:00	108.534	108.582	108.509	108.529	699	0	15
2020.06.02	18:40:00	108.529	108.605	108.517	108.589	607	0	15
2020.06.02	19:00:00	108.587	108.643	108.580	108.643	603	0	15
2020.06.02	19:20:00	108.643	108.690	108.618	108.669	533	0	15
2020.06.02	19:40:00	108.665	108.684	108.593	108.684	662	0	15
2020.06.02	20:00:00	108.683	108.707	108.653	108.668	574	0	15
2020.06.02	20:20:00	108.669	108.754	108.669	108.719	348	0	15
2020.06.02	20:40:00	108.719	108.758	108.719	108.758	402	0	15
2020.06.02	21:00:00	108.756	108.764	108.694	108.703	459	0	15
2020.06.02	21:20:00	108.703	108.728	108.703	108.710	301	0	15
2020.06.02	21:40:00	108.710	108.734	108.680	108.699	349	0	15
2020.06.02	22:00:00	108.701	108.735	108.701	108.733	286	0	15
2020.06.02	22:20:00	108.733	108.734	108.685	108.686	382	0	15
2020.06.02	22:40:00	108.686	108.704	108.633	108.702	452	0	15
2020.06.02	23:00:00	108.701	108.711	108.650	108.711	364	0	15
2020.06.02	23:20:00	108.711	108.718	108.669	108.682	228	0	15
2020.06.02	23:40:00	108.682	108.692	108.651	108.655	254	0	15
2020.06.03	00:00:00	108.629	108.676	108.629	108.673	247	0	16
2020.06.03	00:20:00	108.670	108.683	108.658	108.669	724	0	15
2020.06.03	00:40:00	108.669	108.676	108.612	108.628	303	0	15
2020.06.03	01:00:00	108.638	108.669	108.612	108.659	171	0	15
2020.06.03	01:20:00	108.659	108.659	108.631	108.635	165	0	15
2020.06.03	01:40:00	108.635	108.650	108.572	108.606	239	0	15
2020.06.03	02:00:00	108.604	108.695	108.604	108.687	279	0	15
