<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	0.94930	0.95345	0.94560	0.95230	107701	45415500000	9
2015.01.03	0.95231	0.95374	0.94991	0.95314	3313	300650000	17
2015.01.05	0.95057	0.95767	0.94887	0.95026	140611	33933300000	4
2015.01.06	0.95029	0.95955	0.94995	0.95752	151260	35477199000	2
2015.01.07	0.95754	0.95845	0.95123	0.95393	152630	34089650000	1
2015.01.08	0.95395	0.96104	0.95362	0.96036	140207	20500196000	1
2015.01.09	0.96036	0.97383	0.95848	0.97359	144991	33357500000	2
2015.01.10	0.97363	0.97420	0.97255	0.97331	3398	232350000	3
2015.01.12	0.97390	0.97742	0.96770	0.97602	136379	29558540000	5
2015.01.13	0.97609	0.97946	0.97148	0.97570	146446	26574300000	5
2015.01.14	0.97570	0.97854	0.96811	0.97415	165384	36529850000	1
2015.01.15	0.97416	0.98499	0.97154	0.98402	193776	41546300000	2
2015.01.16	0.98407	0.98877	0.97858	0.98553	118882	12630350000	9
2015.01.17	0.98544	0.98713	0.98435	0.98551	2784	0	10
2015.01.19	0.98471	0.98616	0.97957	0.98066	53157	0	9
2015.01.20	0.98062	0.99002	0.97720	0.98943	50662	0	16
2015.01.21	0.98946	1.00814	0.98706	0.99751	65743	0	18
2015.01.22	0.99747	1.00441	0.99222	0.99440	69911	0	16
2015.01.23	0.99452	0.99542	0.97935	0.98360	71187	0	29
2015.01.24	0.98361	0.98437	0.98149	0.98149	1875	0	68
2015.01.26	0.98073	0.98710	0.97841	0.98709	50801	0	26
2015.01.27	0.98703	0.99303	0.98172	0.98462	64427	4952299000	3
2015.01.28	0.98466	0.99637	0.98000	0.98964	72445	0	2
2015.01.29	0.98954	0.99035	0.97449	0.97898	62738	15000000	12
2015.01.30	0.97896	0.99059	0.97848	0.98911	62833	0	27
2015.01.31	0.98912	0.99042	0.98661	0.98661	2054	0	40
2015.02.02	0.98488	0.99641	0.98112	0.98155	65040	0	3
2015.02.03	0.98165	0.98470	0.95882	0.96721	86700	0	1
2015.02.04	0.96730	0.97878	0.96452	0.97756	85986	0	3
2015.02.05	0.97754	0.97954	0.96787	0.97128	94843	0	9
2015.02.06	0.97130	0.97967	0.96049	0.97683	80587	0	9
2015.02.07	0.97683	0.97745	0.97381	0.97477	1940	0	9
2015.02.09	0.97304	0.97766	0.96872	0.97331	75509	0	9
2015.02.10	0.97336	0.98040	0.96936	0.97674	85684	0	9
2015.02.11	0.97673	0.98026	0.97282	0.97414	76546	0	7
2015.02.12	0.97416	0.97536	0.95947	0.96681	92470	0	9
2015.02.13	0.96677	0.97331	0.96490	0.96783	76141	0	9
2015.02.14	0.96782	0.96832	0.96204	0.96431	1990	0	9
2015.02.16	0.96729	0.97051	0.96558	0.96888	65759	0	9
2015.02.17	0.96887	0.97182	0.96548	0.96759	88395	0	9
2015.02.18	0.96761	0.97223	0.96720	0.97115	80693	0	9
2015.02.19	0.97116	0.97674	0.96863	0.97334	80099	0	9
2015.02.20	0.97333	0.98403	0.97244	0.98395	76499	0	6
2015.02.21	0.98393	0.98402	0.98218	0.98218	2038	0	10
2015.02.23	0.98306	0.98470	0.97911	0.98114	63512	0	9
2015.02.24	0.98116	0.98580	0.97759	0.97842	76997	0	9
2015.02.25	0.97836	0.98381	0.97721	0.98019	76698	0	9
2015.02.26	0.98008	0.98404	0.97478	0.97602	80701	0	9
2015.02.27	0.97604	0.97888	0.97281	0.97712	75871	0	9
2015.02.28	0.97713	0.97715	0.97555	0.97675	2231	0	9
2015.03.02	0.97581	0.97721	0.97052	0.97368	63485	0	9
2015.03.03	0.97368	0.98105	0.97204	0.97661	72297	0	9
2015.03.04	0.97658	0.98284	0.96993	0.97123	71573	0	9
2015.03.05	0.97125	0.97402	0.96833	0.97184	74074	0	9
2015.03.06	0.97184	0.97875	0.97097	0.97348	75405	0	9
2015.03.07	0.97351	0.97430	0.97310	0.97376	1095	0	9
2015.03.09	0.97294	0.97479	0.96972	0.97073	58955	0	8
2015.03.10	0.97048	0.97133	0.96288	0.96740	88783	0	9
2015.03.11	0.96738	0.96904	0.96320	0.96801	82395	0	9
2015.03.12	0.96802	0.97937	0.96652	0.97753	85061	0	9
2015.03.13	0.97819	0.97895	0.97392	0.97570	76233	0	7
2015.03.16	0.97529	0.98070	0.97415	0.97568	72433	0	4
2015.03.17	0.97583	0.97892	0.97129	0.97396	73132	0	1
2015.03.18	0.97366	0.98006	0.97203	0.97657	91044	0	3
2015.03.19	0.97617	0.97782	0.96973	0.97201	93092	0	2
2015.03.20	0.97206	0.97947	0.97162	0.97479	83094	0	9
2015.03.23	0.97799	0.98718	0.97734	0.98668	78465	0	9
2015.03.24	0.98668	0.98791	0.98129	0.98374	69723	0	39
2015.03.25	0.98373	0.98720	0.98061	0.98181	62783	0	11
2015.03.26	0.98181	0.98274	0.97435	0.97692	72186	0	9
2015.03.27	0.97695	0.97936	0.97125	0.97668	82507	0	9
2015.03.30	0.97459	0.97675	0.96785	0.96976	80419	0	9
2015.03.31	0.96977	0.97177	0.96291	0.96433	60809	0	9
2015.04.01	0.96436	0.97024	0.95803	0.95920	65197	0	19
