<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	0.94775	0.95370	0.94621	0.95342	39393	0	37
2015.01.05	0.95067	0.95743	0.94874	0.95052	77922	0	37
2015.01.06	0.95016	0.95946	0.95016	0.95647	80391	0	37
2015.01.07	0.95621	0.95835	0.95114	0.95412	85059	0	37
2015.01.08	0.95378	0.96119	0.95360	0.96077	72264	0	37
2015.01.09	0.96082	0.97414	0.95840	0.97279	84433	0	37
2015.01.12	0.97367	0.97732	0.96757	0.97652	73358	0	37
2015.01.13	0.97607	0.97936	0.97139	0.97609	79686	0	37
2015.01.14	0.97617	0.97842	0.96801	0.97368	102124	0	37
2015.01.15	0.97378	0.98489	0.97142	0.98206	133445	0	37
2015.01.16	0.98128	0.98869	0.97815	0.98533	111472	0	37
2015.01.19	0.98392	0.98617	0.97953	0.98000	71955	0	37
2015.01.20	0.97996	0.99038	0.97722	0.98937	92432	0	37
2015.01.21	0.98942	1.00827	0.98712	0.99729	121953	0	37
2015.01.22	0.99734	1.00442	0.99203	0.99338	124954	0	37
2015.01.23	0.99341	0.99556	0.97950	0.98264	120608	0	37
2015.01.26	0.97917	0.98892	0.97847	0.98817	92625	0	37
2015.01.27	0.98819	0.99294	0.98163	0.98376	96992	0	37
2015.01.28	0.98382	0.99628	0.97993	0.98845	107659	0	37
2015.01.29	0.98852	0.99008	0.97484	0.97887	102958	0	37
2015.01.30	0.97882	0.99062	0.97872	0.98810	105613	0	37
2015.02.02	0.98406	0.99635	0.97994	0.97994	96071	0	37
2015.02.03	0.98001	0.98462	0.95873	0.96712	137197	0	37
2015.02.04	0.96712	0.97863	0.96438	0.97432	120955	0	37
2015.02.05	0.97432	0.97937	0.96771	0.96924	103584	0	37
2015.02.06	0.96921	0.97950	0.96604	0.97556	102443	0	37
2015.02.09	0.97243	0.97753	0.96979	0.97226	89925	0	37
2015.02.10	0.97226	0.98024	0.96920	0.97767	100854	0	37
2015.02.11	0.97765	0.98012	0.97267	0.97423	97975	0	37
2015.02.12	0.97308	0.97524	0.95902	0.96719	103272	0	37
2015.02.13	0.96718	0.97313	0.96429	0.96458	89616	0	37
2015.02.16	0.96697	0.97038	0.96544	0.96847	76987	0	37
2015.02.17	0.96847	0.97170	0.96525	0.96822	110824	0	37
2015.02.18	0.96827	0.97283	0.96697	0.97247	89571	0	37
2015.02.19	0.97247	0.97674	0.96843	0.97333	94524	0	37
2015.02.20	0.97327	0.98386	0.97226	0.98322	98857	0	37
2015.02.23	0.98271	0.98453	0.97893	0.98046	82262	0	37
2015.02.24	0.98070	0.98563	0.97727	0.97733	103595	0	37
2015.02.25	0.97726	0.98358	0.97697	0.98041	98020	0	37
