<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	00:00:00	0.94942	0.94961	0.94732	0.94844	1776	2307	30
2015.01.02	01:00:00	0.94844	0.95074	0.94811	0.95009	3664	5883	23
2015.01.02	02:00:00	0.95008	0.95089	0.94914	0.94963	1899	4234	24
2015.01.02	03:00:00	0.94960	0.94960	0.94560	0.94639	2919	5419	16
2015.01.02	04:00:00	0.94639	0.94654	0.94558	0.94608	1311	1834	22
2015.01.02	05:00:00	0.94603	0.94665	0.94558	0.94596	1157	1950	21
2015.01.02	06:00:00	0.94597	0.94744	0.94593	0.94685	1437	2696	22
2015.01.02	07:00:00	0.94686	0.94787	0.94685	0.94762	922	1882	21
2015.01.02	08:00:00	0.94764	0.94916	0.94758	0.94838	1129	1820	17
2015.01.02	09:00:00	0.94838	0.94895	0.94688	0.94810	2018	4712	14
2015.01.02	10:00:00	0.94810	0.94883	0.94780	0.94850	2198	5835	17
2015.01.02	11:00:00	0.94850	0.94939	0.94793	0.94939	1863	3956	18
2015.01.02	12:00:00	0.94944	0.94949	0.94738	0.94776	2236	3816	10
2015.01.02	13:00:00	0.94779	0.94799	0.94640	0.94699	1962	3951	11
2015.01.02	14:00:00	0.94699	0.94751	0.94633	0.94734	1969	3825	14
2015.01.02	15:00:00	0.94733	0.94862	0.94689	0.94833	2246	5265	8
2015.01.02	16:00:00	0.94828	0.94927	0.94769	0.94892	2976	5920	12
2015.01.02	17:00:00	0.94892	0.95239	0.94892	0.95169	5765	10072	10
2015.01.02	18:00:00	0.95169	0.95324	0.95141	0.95164	4175	7420	6
2015.01.02	19:00:00	0.95164	0.95325	0.95159	0.95254	2810	5936	14
2015.01.02	20:00:00	0.95249	0.95269	0.95192	0.95211	1339	2357	21
2015.01.02	21:00:00	0.95213	0.95329	0.95184	0.95326	1704	4278	22
2015.01.02	22:00:00	0.95326	0.95340	0.95153	0.95231	2380	4636	14
2015.01.02	23:00:00	0.95228	0.95372	0.94994	0.95303	2589	3193	20
2015.01.05	00:00:00	0.95074	0.95768	0.95023	0.95363	2719	3005	24
2015.01.05	01:00:00	0.95363	0.95368	0.95078	0.95134	4227	5901	10
2015.01.05	02:00:00	0.95134	0.95444	0.95134	0.95351	3464	5582	15
2015.01.05	03:00:00	0.95353	0.95466	0.95233	0.95309	3153	5654	16
2015.01.05	04:00:00	0.95308	0.95409	0.95198	0.95203	2204	2702	16
2015.01.05	05:00:00	0.95204	0.95229	0.95093	0.95133	3107	4196	15
2015.01.05	06:00:00	0.95133	0.95244	0.95102	0.95194	2187	3513	18
